condition,true_class,seed,evidence_sufficient,classification_correct,classification_margin,top_score,second_score,mean_score,score_spread,top_to_second_ratio
process_disturbance_2.0,process_disturbance,10,False,True,0.8723727930613583,3.240161012637093,2.367788219575735,1.584264433011004,3.240161012637093,1.368433623348419
process_disturbance_2.0,process_disturbance,11,False,True,0.6635366499833988,1.7742242836605362,1.1106876336771374,0.8155578497766449,1.7742242836605362,1.597410675929685
process_disturbance_2.0,process_disturbance,12,False,True,1.3173016805712465,2.770004757408799,1.4527030768375524,1.2318435804233674,2.770004757408799,1.9067934814573577
process_disturbance_2.0,process_disturbance,13,False,True,0.6074692897327683,2.0230835266043674,1.4156142368715992,0.9503914769877525,1.8980835266043674,1.429120641703774
process_disturbance_2.0,process_disturbance,14,False,True,0.8785765696266954,2.3301947586171754,1.45161818899048,1.071658172846271,2.0801947586171754,1.6052394329917368
process_disturbance_2.0,process_disturbance,15,False,False,0.03827014972272891,0.6296940185450072,0.5914238688222783,0.4313341791855948,0.5004751891699134,1.0647084971356886
process_disturbance_2.0,process_disturbance,16,False,True,0.7087096063800524,1.7974867224259683,1.0887771160459159,0.8615946821049989,1.6460887943635716,1.6509225772049692
process_disturbance_2.0,process_disturbance,17,False,True,0.7835584315641877,2.0180013437132107,1.234442912149023,0.9614580729312453,1.924613307850463,1.6347465920465027
process_disturbance_2.0,process_disturbance,18,False,True,0.42466823307648105,1.452784016201204,1.028115783124723,0.8147969187813376,1.331522530293619,1.4130548718787157
process_disturbance_2.0,process_disturbance,19,False,True,0.7220923093832563,1.8415054446148407,1.1194131352315844,0.8122956209138695,1.8415054446148407,1.645063280620005
process_disturbance_2.0,process_disturbance,20,False,True,1.4478005256526085,3.3649118669455094,1.9171113412929008,1.480763367068805,3.2399118669455094,1.7551989779969983
process_disturbance_2.0,process_disturbance,21,False,False,0.1160834615120121,0.8922381077534653,0.7761546462414532,0.5994851935183971,0.8922381077534653,1.1495622838476836
process_disturbance_2.0,process_disturbance,22,False,True,1.70592074984917,3.5100954242034437,1.8041746743542737,1.4444309420240629,3.5100954242034437,1.945540791640801
process_disturbance_2.0,process_disturbance,23,False,False,0.4809686959295182,0.9594918701685281,0.4785231742390099,0.4364231805781056,0.8765505585005613,2.0051105606168234
process_disturbance_2.0,process_disturbance,24,False,True,0.39538908497422987,1.1431405940102228,0.747751509035993,0.6148275781752361,0.9073816759925246,1.5287706948026623
process_disturbance_2.0,process_disturbance,25,False,False,0.14754520943542104,0.9158381893835652,0.7682929799481442,0.49030100958401535,0.8834496639510641,1.1920428967660066
process_disturbance_2.0,process_disturbance,26,False,True,1.3233618447677316,2.6082319500362057,1.2848701052684741,1.0886843469599576,2.6082319500362057,2.0299576893721754
process_disturbance_2.0,process_disturbance,27,False,False,0.07539123805766268,0.5785815666865282,0.5031903286288655,0.39863227957806147,0.44082434368967593,1.1498264846662398
process_disturbance_2.0,process_disturbance,28,False,True,0.03368077494816801,1.1761338631741152,1.1424530882259472,0.7533522266296232,1.1761338631741152,1.0294811010572342
process_disturbance_2.0,process_disturbance,29,False,False,0.0417099657407074,1.5048055717801652,1.4630956060394578,0.8942909229135247,1.5048055717801652,1.02850802474391
process_disturbance_2.0,process_disturbance,30,False,True,1.3548123328948676,3.053146253938404,1.6983339210435364,1.2735986162801196,2.928146253938404,1.7977302438030616
process_disturbance_2.0,process_disturbance,31,False,True,0.9476176049035034,2.514426165762528,1.5668085608590245,1.1644721414667067,2.29919629702883,1.604807523123536
process_disturbance_2.0,process_disturbance,32,False,False,0.068607695966653,0.544522832326697,0.47591513636004396,0.3893893946544258,0.35,1.1441595165269236
process_disturbance_2.0,process_disturbance,33,False,True,0.03946085559971446,0.38039265025241215,0.3409317946526977,0.23745944019114884,0.27687933439292667,1.1157441348020853
process_disturbance_2.0,process_disturbance,34,False,True,0.09737352002065458,0.6864923397208539,0.5891188197001993,0.5852582044011599,0.17537585163453306,1.16528672444897
process_disturbance_2.0,process_disturbance,35,False,True,1.5637636093912306,4.070307141577974,2.5065435321867433,1.7686012421850548,4.070307141577974,1.623872511811258
process_disturbance_2.0,process_disturbance,36,False,True,0.5277555360272579,1.0825711833873637,0.5548156473601058,0.6111708202239302,0.7752747332391123,1.9512268418103291
process_disturbance_2.0,process_disturbance,37,False,False,0.010361312036120562,0.5852824497404792,0.5749211377043586,0.4908914977397191,0.22489349680706694,1.018022144874469
process_disturbance_2.0,process_disturbance,38,False,False,0.08317780970137711,0.5008988290346321,0.417721019333255,0.40114668642189283,0.23224478697866618,1.1991228735220032
process_disturbance_2.0,process_disturbance,39,False,True,1.9617255594605494,3.552712487580178,1.5909869281196287,1.4218647206140733,3.383953020823691,2.2330243101223086
process_disturbance_2.0,process_disturbance,40,False,True,0.20415767148379482,1.1025373378493106,0.8983796663655158,0.7367941765041482,0.6743960545935577,1.2272509932337492
process_disturbance_2.0,process_disturbance,41,False,True,0.24123720015921735,0.8366771994956141,0.5954399993363968,0.4856913763502387,0.8206167914596698,1.4051410728648817
process_disturbance_2.0,process_disturbance,42,False,True,1.442810413681599,3.430253081981471,1.987442668299872,1.544936747837073,3.168201840914522,1.725963287743089
process_disturbance_2.0,process_disturbance,43,False,True,0.6178056894185124,1.2428056894185124,0.625,0.6325096617942086,1.0027006392937443,1.9884891030664384
process_disturbance_2.0,process_disturbance,44,False,True,0.8908278490269117,2.1573028371223404,1.2664749880954287,0.9606260282837566,2.1573028371223404,1.7033915848309549
process_disturbance_2.0,process_disturbance,45,False,True,0.1765708033557648,0.6923592597022206,0.5157884563464558,0.3918963733986912,0.5829214821561322,1.3423318245723197
process_disturbance_2.0,process_disturbance,46,False,True,0.22090884394942,0.9731984960041424,0.7522896520547224,0.5801988190716281,0.7528913677764952,1.2936486542713435
