test_index,outcome,best_persistence,primary_actions,expanded_actions,true_safe_actions,added_actions,primary_action,expanded_action,true_responsive_action,action_step,primary_regret,expanded_regret,incremental_regret,selected_safety_score,selected_downside_score,realized_downside,downside_error,safety_overconfidence,predicted_primary_regret,predicted_expanded_action_regret,predicted_regret_margin,score_action_1,score_action_2,score_action_3,downside_action_1,downside_action_2,downside_action_3
47,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.8249603174603173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10235416666666666,0.8249603174603173,0.8211420818764565,0.006232968782926774,0.0,5.687419666358372e-06
48,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.8936577380952379,0.005197061602340277,0.0,-0.005197061602340277,0.0,0.0,0.0011144367578716334,0.0011144367578716334,0.8936577380952379,0.10269246031746032,0.6599674561549559,0.005197061602340277,0.0,5.687419666358372e-06
49,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.853458333333333,0.006221364149157478,0.0,-0.006221364149157478,0.0,0.0,0.00324972846645007,0.00324972846645007,0.853458333333333,0.04435416666666667,0.7602356150793648,0.006221364149157478,0.0,0.0
50,neutral,1,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.8846644483988234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09273809523809523,0.19989087301587305,0.8846644483988234,0.014110779751905955,0.0,0.0
51,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.8577648809523807,0.0071008122067686905,0.0,-0.0071008122067686905,0.0,0.0,0.0018255313418692237,0.0018255313418692237,0.8577648809523807,0.029333333333333333,0.9480570436507937,0.0071008122067686905,0.0,0.0
52,neutral,1,3,3,1|3,,3,3,1,0,0.0,0.0,0.0,0.7475069895382397,7.347583788843164e-05,0.0,-7.347583788843164e-05,0.0,3.2499540950619273e-06,3.2499540950619273e-06,0.0,0.6550967261904762,0.11875892857142858,0.7475069895382397,0.03565903384525318,0.00026794578454324234,7.347583788843164e-05
53,neutral,1,1|3,1|3,1|3,,1,1,1,0,0.0,0.0,0.0,0.7118095238095239,0.018502264837540753,0.0,-0.018502264837540753,0.0,9.993608842315427e-05,0.0002589306514709241,0.00015899456304776984,0.7118095238095239,0.05633333333333334,0.6811175421800418,0.018502264837540753,0.0003985072138057794,9.961517977116989e-05
54,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.8460446428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08210416666666667,0.8460446428571428,0.8261678755272502,0.005934444747646888,0.0,0.0
55,neutral,1,3,3,1|3,,3,3,1,0,0.0,0.0,0.0,0.925409902597403,0.00016764635200797903,0.0,-0.00016764635200797903,0.0,0.0,0.0,0.0,0.7655937500000002,0.3816106150793653,0.925409902597403,0.04460445231202162,0.00013574936618764748,0.00016764635200797903
56,neutral,3,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7112175404252606,0.0029025627055316847,0.0,-0.0029025627055316847,0.0,0.0012531822990558762,0.0012531822990558762,0.0,0.3275654761904762,0.1353749999999999,0.7112175404252606,0.047423691618454666,0.0018190551332252253,0.0029025627055316847
57,neutral,3,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7833823131525338,0.002870978576422809,0.0,-0.002870978576422809,0.0,0.00118460826765007,0.00118460826765007,0.0,0.5979166666666665,0.13485416666666666,0.7833823131525338,0.0421061335673528,0.0015011145224479911,0.002870978576422809
58,beneficial,2,3,2|3,2|3,2,3,2,2,1,0.0,0.0,0.0,0.6097351190476191,0.000809785638086825,0.0,-0.000809785638086825,0.0,0.00047693076345033835,0.013642415502224876,0.013165484738774538,0.25093303571428577,0.6097351190476191,0.751781746031746,0.05235883008873273,0.000809785638086825,0.0004948435324688677
59,neutral,1,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.8970863095238093,0.0,0.0,0.0,0.0,0.0,5.3498270684466725e-05,5.3498270684466725e-05,0.09879166666666667,0.8970863095238093,0.8180183219558218,0.012051574708218375,0.0,0.0
60,beneficial,1,3,1|3,1|3,1,3,1,1,2,0.0,0.0,0.0,0.603017857142857,0.011938327103978859,0.0,-0.011938327103978859,0.0,0.0,0.03053862639247551,0.03053862639247551,0.603017857142857,0.08381249999999998,0.7689419330669329,0.011938327103978859,4.265564749768779e-06,4.265564749768779e-06
61,neutral,1,3,3,2|3,,3,3,2,0,0.0,0.0,0.0,0.8426969835719835,5.687419666358372e-06,0.0,-5.687419666358372e-06,0.0,0.0,0.0,0.0,0.21116666666666664,0.5577564484126988,0.8426969835719835,0.013680686666661472,0.0,5.687419666358372e-06
62,harmful,3,3,2|3,3,2,3,2,3,1,0.0,0.03676296772801363,0.03676296772801363,0.8773244047619048,0.0007638969302730996,0.03676296772801363,0.03599907079774053,0.8773244047619048,0.0004788807359073754,0.0037217949366551576,0.003242914200747782,0.08749305555555557,0.8773244047619048,0.8382778679653679,0.04991875043077653,0.0007638969302730996,0.00218658467476788
63,neutral,3,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.6646400162337662,0.0022452789186694073,0.0,-0.0022452789186694073,0.0,0.00047238082771725156,0.00047238082771725156,0.0,0.6991220238095235,0.12714583333333335,0.6646400162337662,0.037386729881762316,0.0009427986013131933,0.0022452789186694073
64,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7644247835497837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905520833333334,0.09790922619047619,0.7644247835497837,0.028064883641592427,0.0,0.0
65,neutral,2,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.6276835317460318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058395833333333334,0.6276835317460318,0.9089112103174604,0.03787488887336311,0.0,0.0
66,neutral,2,1,1|3,3,3,1,1,3,0,0.03138122831986774,0.03138122831986774,0.0,0.6971041666666664,0.03429307173858844,0.03138122831986774,-0.0029118434187207012,0.6971041666666664,0.0,0.0,0.0,0.6971041666666664,0.115860119047619,0.6637871791198995,0.03429307173858844,0.0016197724826876104,0.002108375803172917
67,neutral,3,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7841066468253969,0.0020803511824398317,0.0,-0.0020803511824398317,0.0,0.00045775603428947287,0.00045775603428947287,0.0,0.607186011904762,0.14168154761904758,0.7841066468253969,0.04360465634277897,0.0006883300485528808,0.0020803511824398317
68,neutral,3,1,1,1,,1,1,1,0,0.057717810433482175,0.057717810433482175,0.0,0.46729464285714306,0.03284494675367072,0.057717810433482175,0.024872863679811452,0.0,0.0010411227943530866,0.0010411227943530866,0.0,0.46729464285714306,0.058416666666666665,0.400325224407945,0.03284494675367072,0.029743651614396568,0.013365219376548674
69,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7892260180587385,0.0026141871077540336,0.0,-0.0026141871077540336,0.0,0.0005966915718533704,0.0005966915718533704,0.0,0.6491874999999999,0.1405535714285714,0.7892260180587385,0.03798063070153749,0.0010449834652060499,0.0026141871077540336
70,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.7884196255133753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7268958333333333,0.08574999999999999,0.7884196255133753,0.02308663143034584,0.0,0.0
71,neutral,2,2|3,2|3,2|3,,2,2,2,0,0.0,0.0,0.0,0.34210416666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13404166666666664,0.34210416666666665,0.8012914325258076,0.0015778132923001177,0.0,5.687419666358372e-06
72,neutral,2,3,3,3,,3,3,3,0,0.0,0.0,0.0,0.830152560266531,0.0002609712046401773,0.0,-0.0002609712046401773,0.0,0.00013731056051636647,0.00013731056051636647,0.0,0.5904970238095237,0.06591666666666667,0.830152560266531,0.04072806489690741,0.0004930511515659514,0.0002609712046401773
73,neutral,1,1|3,1|3,1|3,,1,1,1,0,0.0,0.0,0.0,0.7564895833333333,0.013311526687831744,0.0,-0.013311526687831744,0.0,0.0,0.0,0.0,0.7564895833333333,0.11050297619047621,0.592674918831168,0.013311526687831744,0.001002217981458769,0.0014154448317237876
74,neutral,1,1|3,1|3,1|3,,1,1,1,0,0.0,0.0,0.0,0.7851354166666665,0.012256552742049958,0.0,-0.012256552742049958,0.0,0.0,0.0,0.0,0.7851354166666665,0.1613958333333333,0.5464482774170264,0.012256552742049958,0.0011166395238975716,0.0015456300137761494
