analysis,population,policy,reference_policy,metric,n,mean,ci95_low,ci95_high,mean_delta,win_rate,direction_agreement
paired_comparison,seed_100_139,two_stage_0.25,direct_loss,action_entropy,40,,-0.11144325634432335,-0.06531934887580627,-0.08838130261006481,0.125,
paired_comparison,seed_100_139,two_stage_0.25,direct_loss,pareto_efficient,40,,-0.41513903352723935,-0.13486096647276066,-0.275,0.0,
paired_comparison,seed_100_139,two_stage_1.00,direct_loss,mean_regret,40,,-0.006471630466011955,-0.004922882002297125,-0.00569725623415454,1.0,
paired_comparison,seed_100_139,two_stage_1.00,direct_loss,under_count,40,,-6.897829063150335,-5.402170936849665,-6.15,1.0,
paired_comparison,seed_100_139,two_stage_1.00,direct_loss,over_count,40,,17.446067683394507,20.153932316605495,18.8,0.0,
paired_comparison,seed_100_139,two_stage_1.00,direct_loss,action_entropy,40,,-0.4047089591265896,-0.3100215372158292,-0.3573652481712094,0.0,
paired_comparison,seed_100_139,two_stage_1.00,direct_loss,pareto_efficient,40,,-0.11840227916430705,0.018402279164307048,-0.05,0.0,
paired_comparison,seed_100_139,fixed_k3,direct_loss,mean_regret,40,,-0.012142662505405933,-0.010109416288201086,-0.01112603939680351,1.0,
paired_comparison,seed_100_139,fixed_k3,direct_loss,under_count,40,,-15.038244705002228,-11.711755294997772,-13.375,1.0,
paired_comparison,seed_100_139,fixed_k3,direct_loss,over_count,40,,26.45076255254154,31.599237447458457,29.025,0.0,
paired_comparison,seed_100_139,fixed_k3,direct_loss,action_entropy,40,,-0.9681683141552462,-0.9454421622281581,-0.9568052381917022,0.0,
paired_comparison,seed_100_139,fixed_k3,direct_loss,pareto_efficient,40,,-1.0,-1.0,-1.0,0.0,
paired_comparison,seed_100_139,oracle,direct_loss,mean_regret,40,,-0.014448026315638584,-0.012205357179085677,-0.01332669174736213,1.0,
paired_comparison,seed_100_139,oracle,direct_loss,under_count,40,,-15.038244705002228,-11.711755294997772,-13.375,1.0,
paired_comparison,seed_100_139,oracle,direct_loss,over_count,40,,-39.258275627491564,-34.59172437250843,-36.925,1.0,
paired_comparison,seed_100_139,oracle,direct_loss,action_entropy,40,,-0.23356693905178433,-0.17893629577218578,-0.20625161741198506,0.025,
paired_comparison,seed_100_139,oracle,direct_loss,pareto_efficient,40,,-1.0,-1.0,-1.0,0.0,
paired_comparison,seed_000_009,direct_loss,two_stage_1.00,mean_regret,10,,0.008869997121545375,0.013935285615345853,0.011402641368445614,0.0,
paired_comparison,seed_000_009,direct_loss,two_stage_1.00,under_count,10,,10.138114778493557,14.261885221506441,12.2,0.0,
paired_comparison,seed_000_009,direct_loss,two_stage_1.00,over_count,10,,-29.644935329880177,-21.355064670119823,-25.5,1.0,
paired_comparison,seed_000_009,direct_loss,two_stage_1.00,action_entropy,10,,0.3565825988004905,0.5469023725511816,0.451742485675836,1.0,
paired_comparison,seed_000_009,direct_loss,two_stage_1.00,pareto_efficient,10,,0.0,0.0,0.0,0.0,
paired_comparison,seed_000_009,fixed_risk_0.010,two_stage_1.00,mean_regret,10,,0.0027320410663517324,0.006603960996328871,0.004668001031340302,0.0,
paired_comparison,seed_000_009,fixed_risk_0.010,two_stage_1.00,under_count,10,,3.5215407417280167,7.078459258271983,5.3,0.0,
paired_comparison,seed_000_009,fixed_risk_0.010,two_stage_1.00,over_count,10,,-10.860152537443291,-6.13984746255671,-8.5,1.0,
paired_comparison,seed_000_009,fixed_risk_0.010,two_stage_1.00,action_entropy,10,,0.16500358312057795,0.3363053093344085,0.2506544462274932,1.0,
paired_comparison,seed_000_009,fixed_risk_0.010,two_stage_1.00,pareto_efficient,10,,0.0,0.0,0.0,0.0,
paired_comparison,seed_000_009,two_stage_0.10,two_stage_1.00,mean_regret,10,,0.006625144450819797,0.011292529131853066,0.008958836791336432,0.0,
paired_comparison,seed_000_009,two_stage_0.10,two_stage_1.00,under_count,10,,8.130224378260305,12.069775621739694,10.1,0.0,
paired_comparison,seed_000_009,two_stage_0.10,two_stage_1.00,over_count,10,,-25.253071604602063,-17.34692839539794,-21.3,1.0,
paired_comparison,seed_000_009,two_stage_0.10,two_stage_1.00,action_entropy,10,,0.35573277993716723,0.5661908204807555,0.4609618002089614,1.0,
paired_comparison,seed_000_009,two_stage_0.10,two_stage_1.00,pareto_efficient,10,,0.0,0.0,0.0,0.0,
paired_comparison,seed_000_009,two_stage_0.25,two_stage_1.00,mean_regret,10,,0.004483609723781534,0.008589702856288163,0.006536656290034849,0.0,
paired_comparison,seed_000_009,two_stage_0.25,two_stage_1.00,under_count,10,,5.817944258260515,9.382055741739485,7.6,0.0,
paired_comparison,seed_000_009,two_stage_0.25,two_stage_1.00,over_count,10,,-17.64788613705558,-12.152113862944423,-14.9,1.0,
paired_comparison,seed_000_009,two_stage_0.25,two_stage_1.00,action_entropy,10,,0.2990005451014313,0.4734688698141764,0.38623470745780386,1.0,
paired_comparison,seed_000_009,two_stage_0.25,two_stage_1.00,pareto_efficient,10,,-0.4613333333333333,0.061333333333333295,-0.2,0.0,
paired_comparison,seed_000_009,fixed_k3,two_stage_1.00,mean_regret,10,,-0.005836266681505619,-0.0026049711200738495,-0.004220618900789734,1.0,
paired_comparison,seed_000_009,fixed_k3,two_stage_1.00,under_count,10,,-7.848066210442417,-3.5519337895575838,-5.7,1.0,
