regime,seed,true_class,predicted_class,measurement_noise_score,process_disturbance_score,parameter_mismatch_score,structural_change_score,classification_margin,correct
measurement_noise,40,measurement_noise,measurement_noise,1.067211137080417,0.24003648783328618,0.0,0.24003648783328618,0.8271746492471308,True
measurement_noise,41,measurement_noise,measurement_noise,1.4765826173362924,0.08186843933735521,0.09401713952095059,0.08186843933735521,1.3825654778153418,True
measurement_noise,42,measurement_noise,measurement_noise,1.4165058620208302,0.0,0.5982267328622012,0.0,0.818279129158629,True
measurement_noise,43,measurement_noise,measurement_noise,1.3581350148706288,0.06737780273940697,0.0,0.06737780273940697,1.2907572121312219,True
measurement_noise,44,measurement_noise,measurement_noise,1.452620169816627,0.0,0.4750840016846333,0.0,0.9775361681319937,True
measurement_noise,45,measurement_noise,measurement_noise,1.4106903204483268,0.0,0.40316744291534323,0.0,1.0075228775329834,True
measurement_noise,46,measurement_noise,measurement_noise,1.6604127451222452,0.0,0.5879952154832359,0.0,1.0724175296390093,True
measurement_noise,47,measurement_noise,measurement_noise,1.7079697427596259,0.0,0.6258131324741878,0.0,1.082156610285438,True
measurement_noise,48,measurement_noise,measurement_noise,1.2493491051389458,0.7189221733460529,0.11882114210454842,0.5455752653594735,0.5304269317928929,True
measurement_noise,49,measurement_noise,measurement_noise,1.6869078032351947,0.6920973563072322,0.577027933163367,0.6920973563072322,0.9948104469279625,True
measurement_noise,50,measurement_noise,measurement_noise,0.9770219200232291,0.10861587896917685,0.034853838273622983,0.10861587896917685,0.8684060410540522,True
measurement_noise,51,measurement_noise,parameter_mismatch,0.8300802474495438,0.3317637490207477,0.9381431004153211,0.3317637490207477,0.10806285296577733,False
measurement_noise,52,measurement_noise,measurement_noise,1.0449162283699631,0.0,0.48448123570492574,0.0,0.5604349926650374,True
measurement_noise,53,measurement_noise,measurement_noise,1.453103358678712,0.0,0.6680330321844505,0.0,0.7850703264942616,True
measurement_noise,54,measurement_noise,measurement_noise,1.5054592541588514,0.14855530781544418,0.5630425490179108,0.14855530781544418,0.9424167051409406,True
measurement_noise,55,measurement_noise,measurement_noise,1.407792323547764,0.7699985463154564,0.2008139729224213,0.7699985463154564,0.6377937772323077,True
measurement_noise,56,measurement_noise,measurement_noise,1.5253014958642157,0.37290421447876687,0.0,0.1516065505285562,1.1523972813854488,True
measurement_noise,57,measurement_noise,measurement_noise,0.8087029532996213,0.28294516068060704,0.03713670230859534,0.28294516068060704,0.5257577926190142,True
measurement_noise,58,measurement_noise,measurement_noise,1.4817685136748011,0.7205145133830747,0.6279965748055094,0.7205145133830747,0.7612540002917264,True
measurement_noise,59,measurement_noise,measurement_noise,0.800821292820746,0.7332886425935872,0.0,0.7332886425935872,0.06753265022715882,True
measurement_noise,60,measurement_noise,measurement_noise,1.2157955596600818,0.0,0.551343453074774,0.0,0.6644521065853078,True
measurement_noise,61,measurement_noise,measurement_noise,1.2366363656909,0.28333933568650826,0.33490844640342765,0.28333933568650826,0.9017279192874724,True
measurement_noise,62,measurement_noise,measurement_noise,0.8439523193503593,0.0,0.13126714006199713,0.0,0.7126851792883622,True
measurement_noise,63,measurement_noise,measurement_noise,1.1489690969435882,0.0,0.0,0.0,1.1489690969435882,True
measurement_noise,64,measurement_noise,measurement_noise,1.3214122492259088,0.018451720757387463,0.017216526755101658,0.018451720757387463,1.3029605284685213,True
measurement_noise,65,measurement_noise,measurement_noise,1.853806046035067,0.1971872428205022,0.26576391293336754,0.1971872428205022,1.5880421331016994,True
measurement_noise,66,measurement_noise,measurement_noise,1.3673245789245536,0.26698316334923355,0.30930870295013224,0.26698316334923355,1.0580158759744214,True
measurement_noise,67,measurement_noise,measurement_noise,1.0466324813353247,0.22030892671974842,0.203270090895465,0.01625290969614271,0.8263235546155763,True
measurement_noise,68,measurement_noise,measurement_noise,1.7265515136224225,0.13783801848130894,0.6992301745327434,0.13783801848130894,1.0273213390896792,True
measurement_noise,69,measurement_noise,measurement_noise,1.7338190980625217,0.7622948986794662,0.6544849255385423,0.6773080919038665,0.9715241993830555,True
measurement_noise,70,measurement_noise,measurement_noise,1.253883271840843,0.13069793179210157,0.736162835367222,0.13069793179210157,0.517720436473621,True
measurement_noise,71,measurement_noise,measurement_noise,1.0059181043492789,0.0,0.0,0.14414748945094424,0.8617706148983346,True
measurement_noise,72,measurement_noise,measurement_noise,1.2224880304500525,0.0,0.0,0.0,1.2224880304500525,True
measurement_noise,73,measurement_noise,measurement_noise,1.5283536589798916,0.24629356555166118,0.5477096968632459,0.24629356555166118,0.9806439621166457,True
measurement_noise,74,measurement_noise,measurement_noise,0.9784094779823984,0.750113774019557,0.23882406507974685,0.750113774019557,0.22829570396284138,True
measurement_noise,75,measurement_noise,measurement_noise,1.589851030137879,0.674343933106955,0.37975116606167925,0.674343933106955,0.915507097030924,True
measurement_noise,76,measurement_noise,measurement_noise,1.1640272656280495,0.0,0.48810345044246706,0.0,0.6759238151855824,True
measurement_noise,77,measurement_noise,measurement_noise,1.0382620740429287,0.0,0.13267361094677776,0.0,0.9055884630961509,True
measurement_noise,78,measurement_noise,measurement_noise,1.530252676960945,0.4268726711534524,0.5477663348779539,0.4268726711534524,0.9824863420829911,True
measurement_noise,79,measurement_noise,measurement_noise,1.944726432461032,0.0,0.5874462708261463,0.0,1.3572801616348857,True
measurement_noise,80,measurement_noise,measurement_noise,1.3357735199368987,0.3728327470516576,0.018167520890017386,0.49855516470110506,0.8372183552357937,True
measurement_noise,81,measurement_noise,measurement_noise,1.4585258107847054,0.7629335347673195,0.3449865449518106,0.7629335347673195,0.6955922760173859,True
measurement_noise,82,measurement_noise,measurement_noise,1.022475212176183,0.0,0.2570062256046233,0.0,0.7654689865715598,True
measurement_noise,83,measurement_noise,measurement_noise,0.8611670921524415,0.13083496766602065,0.1362576423079913,0.13083496766602065,0.7249094498444502,True
measurement_noise,84,measurement_noise,measurement_noise,1.8852677699117892,0.23152228629249247,0.6361743227570468,0.23152228629249247,1.2490934471547424,True
measurement_noise,85,measurement_noise,measurement_noise,1.6091437938334474,0.10275193082636776,0.46972070305213,0.0,1.1394230907813174,True
measurement_noise,86,measurement_noise,measurement_noise,1.097874534738339,0.0,0.3864813413675794,0.0,0.7113931933707596,True
measurement_noise,87,measurement_noise,measurement_noise,1.4777051261707612,0.0,0.7159893530790035,0.0,0.7617157730917578,True
measurement_noise,88,measurement_noise,measurement_noise,1.6483564203197902,0.18003001035109414,0.7471325662274371,0.18003001035109414,0.9012238540923532,True
measurement_noise,89,measurement_noise,measurement_noise,1.2550946040658468,0.0,0.05418168171004589,0.0,1.2009129223558008,True
measurement_noise,90,measurement_noise,measurement_noise,1.122262342625591,0.22341688421899314,0.6674583607728404,0.0,0.4548039818527507,True
measurement_noise,91,measurement_noise,measurement_noise,1.56732692386525,0.40964591393822325,0.04420555807910387,0.40964591393822325,1.157681009927027,True
measurement_noise,92,measurement_noise,measurement_noise,1.417815522027948,0.3571851930203072,0.6962226535396278,0.3571851930203072,0.7215928684883203,True
measurement_noise,93,measurement_noise,measurement_noise,1.1745242058490557,0.12173360065217495,0.0628566382276674,0.12173360065217495,1.0527906051968807,True
measurement_noise,94,measurement_noise,measurement_noise,1.2889154152208113,0.08851177656568933,0.41329508595116937,0.08851177656568933,0.875620329269642,True
measurement_noise,95,measurement_noise,measurement_noise,1.3353492659249235,0.8674851752274664,0.030803373970852754,0.8674851752274664,0.46786409069745716,True
