condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient
measurement_noise_1.10,measurement_noise,1041,True,1.034203908254092,1.7235895360169187,-0.008221311864594405,0.5814487127336729,1.6933854406673652,3.931418103666537,3,0.08070268325116595,0.28492659544428456,-0.003538702859823384,0.16844771992359528,True
measurement_noise_1.10,measurement_noise,1042,True,1.0924880994628137,1.283098610442999,0.1385585223048762,-0.595034276678981,0.45918022927087637,5.5421641525751975,2,0.21915125412168535,0.2586168399061346,-0.001193742937554032,0.11038798500208419,True
measurement_noise_1.10,measurement_noise,1043,True,1.0368900410053092,1.4624544503255903,0.3090705547700432,0.6728310230197737,1.3885093401033761,4.350506680018726,2,0.1334652355447153,0.17220396637382188,0.006141421795006874,0.15136798671007176,True
measurement_noise_1.10,measurement_noise,1044,True,0.45933494140680664,0.9815346140793885,-0.1337557057937444,0.15168853732741694,1.467475633694423,2.9592826814065476,1,0.2610477518359696,0.29354786282651957,-0.0021383196541288063,0.11411365972069593,True
measurement_noise_1.10,measurement_noise,1045,True,0.7533591836433671,1.0624768060007075,-0.011459224841608995,-0.48898226177804616,0.6044872519603892,6.520044927139291,2,0.49716780622667356,0.3309763924041995,-0.004319381838885028,0.1113649927898199,True
measurement_noise_1.10,measurement_noise,1046,True,1.4438292550526126,1.9980755355980493,0.9698885511788037,0.9638337193214214,0.9963020343401688,5.283156543800755,3,-0.2608041725829482,-0.26757528351080595,-0.0006212806741654475,0.1634511806383238,True
measurement_noise_1.10,measurement_noise,1047,True,0.9061032879967628,1.3595267987858133,-0.2965764892109495,-0.3050566735371929,0.9900326241592143,2.8977881394330716,2,-0.1693812610485111,-0.11512397219197398,0.00010581604055137639,0.11514934733466343,True
measurement_noise_1.10,measurement_noise,1048,True,0.48466470805162587,0.9440151172550463,0.649849958591607,0.7283258216515668,1.0611081600479637,6.120925538591698,3,0.2043275164749762,0.01173377133677414,0.0033988181331690015,0.1571935582694046,True
measurement_noise_1.10,measurement_noise,1049,True,0.28813875120827537,0.6919573668602388,0.09960923346479356,0.4215369597721268,1.4510967068732634,4.686296445195931,4,0.7179468289464328,0.6214590421539473,0.006168141108704672,0.13112242996814047,True
measurement_noise_1.10,measurement_noise,1050,True,1.0105828605017115,1.6339002162133582,1.1157500832190856,0.2731999521524008,0.5681206702120272,12.236031570696708,2,-0.2241090890416995,-0.03581756321533522,0.002391155363469899,0.13425656446091644,True
measurement_noise_1.10,measurement_noise,1051,True,1.3444709525994092,1.7164433985269878,0.5105193488799014,0.5458896425248019,1.0243245665977052,3.1236811482074502,3,-0.18635862068056286,-0.2729986673266144,0.007431237783496303,0.1413987962628115,True
measurement_noise_1.10,measurement_noise,1052,True,1.574669285831831,2.3178312599380657,0.06436539543789777,-0.21098740257712745,0.8256814019676961,4.645058665766169,2,-0.008735011417391858,0.4426509338661932,0.0017630068393221787,0.13015734418077912,True
measurement_noise_1.10,measurement_noise,1053,True,1.1012685561037008,1.6487466617814535,0.20252189432224732,0.23719287333555505,1.032381432733738,5.042397334056877,2,-0.5392261712060156,-0.5559348017129717,-0.0001569885313730257,0.1314140463062958,True
measurement_noise_1.10,measurement_noise,1054,True,0.9395320935430289,1.6029391541377258,0.0022114317604058353,0.07795113108273455,1.074723114924455,3.3449409973241764,3,0.11077245816882178,0.15406903273450348,-0.0032988688154905743,0.1284380267611983,True
measurement_noise_1.10,measurement_noise,1055,True,1.1184273818611536,2.008279549973521,-0.0610550559295715,-0.23107681736869212,0.8678759665634465,4.456283756712543,3,-0.045427183862976804,-0.2706858926283241,-0.0006085116538192548,0.13912503092656722,True
measurement_noise_1.10,measurement_noise,1056,True,1.4066955240409387,1.9543135138423153,-0.3412470676343765,0.29318461014006025,1.9984759431402097,1.3939012733609193,3,-0.3786719903728347,-0.29686343045408287,0.000917081470208303,0.14141303361911567,True
measurement_noise_1.10,measurement_noise,1057,True,1.0205328667276885,1.7160473167336587,-0.05448554999402977,0.029636825007031353,1.1361117862903272,1.7187560983583827,1,-0.5181388017376118,0.024517203010335678,-0.0024505348551591144,0.1056916684389416,True
measurement_noise_1.10,measurement_noise,1058,True,1.2935401607447725,1.7433766252624336,0.10175502669515701,0.6635232821555612,1.778122346077412,2.7534597048578098,2,0.2574270189775519,-0.0757510538755218,0.007377313773796246,0.14762869147254495,True
measurement_noise_1.10,measurement_noise,1059,True,1.397276949100442,1.7914399891159358,-0.11244767509600062,-0.4366496736832446,0.7410345276371229,4.4539647118301815,2,0.5266393115210498,-0.04338046716968608,0.008322750811958102,0.11385401188816578,True
