step,true_state,observation,predicted_state,prediction_error,estimated_a,true_a
44,12.206666108678979,12.302428177297845,-2.6055517668819515e+31,2.6055517668819515e+31,2.3529217833799014e+31,0.92
45,12.23013281998466,12.282615585265042,2.8946651246830795e+32,-2.8946651246830795e+32,-2.6136206051614094e+32,0.92
46,12.251722194385888,12.349214409056833,-3.2102097178925375e+33,3.2102097178925375e+33,2.893019692520353e+33,0.92
47,12.271584418835017,12.343358224482534,3.5726520472557507e+34,-3.5726520472557507e+34,-3.2402537219893334e+34,0.92
48,12.289857665328217,12.195809845545277,-3.9995612428727185e+35,3.9995612428727185e+35,3.625416000723831e+35,0.92
49,12.30666905210196,12.199063388029472,4.421488415582508e+36,-4.421488415582508e+36,-3.9513489559856597e+36,0.92
50,12.322135527933803,12.251640286813402,-4.820275638229314e+37,4.820275638229314e+37,4.309092949084124e+37,0.92
51,12.336364685699099,12.411263645770616,5.2793456774622624e+38,-5.2793456774622624e+38,-4.743542240292455e+38,0.92
52,12.349455510843171,12.311938175193564,-5.887335335911906e+39,5.887335335911906e+39,5.371187457975888e+39,0.92
53,12.361499069975718,12.7118622033478,6.612972790997421e+40,-6.612972790997421e+40,-5.97636222676221e+40,0.92
54,12.372579144377662,12.249685263049688,-7.597069310389404e+41,7.597069310389404e+41,7.128195635159988e+41,0.92
55,12.382772812827449,12.217941622842126,8.731815302415441e+42,-8.731815302415441e+42,-7.844139574857616e+42,0.92
56,12.392150987801253,12.507422015121708,-9.5839239407036e+43,9.5839239407036e+43,8.583251900536291e+43,0.92
57,12.400778908777154,12.614056405978674,1.0735435378210284e+45,-1.0735435378210284e+45,-9.883484473253873e+44,0.92
58,12.408716596074981,12.48457049970087,-1.2467083063323876e+46,1.2467083063323876e+46,1.1592490670977717e+46,0.92
