regime,seed,pre_parameter_mean,event_parameter_mean,post_parameter_mean,parameter_shift_event_vs_pre,parameter_shift_post_vs_pre,final_parameter_estimate,event_mean_abs_parameter_update,post_mean_abs_parameter_update,event_cumulative_abs_parameter_update,post_cumulative_abs_parameter_update,event_mean_lambda,post_mean_lambda,event_mean_effective_q,post_mean_effective_q,event_mean_nis,post_mean_nis
process_disturbance,10,0.9190118622164396,0.9403051079719841,0.9204829086874404,0.021293245755544477,0.0014710464710008253,0.9189093720365373,0.006372538113313558,0.0033757666321763673,0.06372538113313557,0.06751533264352735,0.1758702132205319,0.1318115004988667,0.6900580218635773,0.06823051418829826,4.33485049822647,0.9823518326694821
process_disturbance,11,0.924841167869103,0.940886329221277,0.9231158845710448,0.016045161352174042,-0.0017252832980582111,0.9254188985322775,0.006261936402200375,0.0026354052419500233,0.06261936402200374,0.05270810483900046,0.1809096552505307,0.12743614549164373,0.6659393168603279,0.08185843224673865,4.169954977750091,0.926208031366899
process_disturbance,12,0.9190406917288355,0.9424257930774296,0.9200304159187946,0.023385101348594062,0.0009897241899591291,0.9216808253635012,0.007430018653281305,0.00302169441867182,0.07430018653281305,0.06043388837343639,0.1790226303044634,0.12284694383402384,0.754353706636785,0.07235325389660412,4.804388392891275,0.8360618391467057
process_disturbance,13,0.9226605671485967,0.9410593324037206,0.9213644732854507,0.01839876525512396,-0.0012960938631459973,0.9210893907844528,0.00576064106804083,0.0022252931949357695,0.057606410680408296,0.0445058638987154,0.17250063161302065,0.08437574356827066,0.6289591186249478,0.0238672090237627,4.021855725655292,0.6519319784862543
process_disturbance,14,0.9257241290485841,0.9414319364586786,0.9208629099966192,0.015707807410094476,-0.0048612190519649046,0.9146991439651967,0.005244125082583169,0.0031147389344856826,0.052441250825831696,0.06229477868971366,0.16837344220109407,0.11478324385322144,0.6982224468083029,0.05551618029224581,4.14962923124428,0.9358191374257249
process_disturbance,15,0.9199713829584987,0.9380734145495675,0.9211941537380289,0.018102031591068823,0.0012227707795302578,0.9243364736238366,0.0057577576261516085,0.002883990486062514,0.05757757626151609,0.05767980972125027,0.17257578245342445,0.12765133787554875,0.4240066247748273,0.05721238990829698,3.0701412087783257,0.8940992902942638
process_disturbance,16,0.9171914924935544,0.9360963482725999,0.9191405837390851,0.01890485577904555,0.0019490912455307763,0.9202439594689916,0.0052265061870416995,0.0027010372521138163,0.05226506187041699,0.05402074504227632,0.17307605030302406,0.11678034346615712,0.5904517683463035,0.06387267046431243,3.4147448471742616,0.8612123611985112
process_disturbance,17,0.9181982848484452,0.9358964711847471,0.9187674252163776,0.017698186336301824,0.0005691403679323193,0.9191912583279205,0.005826833967772825,0.002107244855562652,0.058268339677728265,0.042144897111253035,0.16933139338311992,0.08331506743374412,0.5916926202678742,0.020887166564623378,3.6846456371692673,0.5413976930843969
process_disturbance,18,0.9239332278397561,0.9349119962319401,0.9212875351656242,0.010978768392184035,-0.0026456926741318387,0.9201742346601842,0.00596580803848931,0.0026062016317028817,0.0596580803848931,0.05212403263405764,0.1747689591809486,0.09849180869121102,0.5550645751524665,0.032353722470190305,3.4663669134868345,0.7641514824297682
process_disturbance,19,0.916155838880429,0.9384023616351989,0.921136421861379,0.022246522754769904,0.004980582980950055,0.9190720706910575,0.006030581800027513,0.0026481762844282695,0.06030581800027514,0.05296352568856538,0.1760838917064913,0.12487713049882791,0.5125385163989388,0.0707406305976541,3.20880163027917,0.9307647959693918
