context_index,optimal_persistence,selected_persistence,direction,best_loss,selected_loss,regret,consequential_regret,absolute_margin,total_spread
16,1,3,excessive_persistence,0.01278900814591171,0.0637342246745473,0.05094521652863559,1,0.05094521652863559,0.05094521652863559
17,1,1,optimal,0.013810951856734695,0.013810951856734695,0.0,0,0.0495391141673306,0.0495391141673306
17,1,2,excessive_persistence,0.013810951856734695,0.0633500660240653,0.0495391141673306,1,0.0495391141673306,0.0495391141673306
17,1,3,excessive_persistence,0.013810951856734695,0.0633500660240653,0.0495391141673306,1,0.0495391141673306,0.0495391141673306
18,1,1,optimal,0.2464524283544331,0.2464524283544331,0.0,0,0.0,0.0
18,1,2,excessive_persistence,0.2464524283544331,0.2464524283544331,0.0,0,0.0,0.0
18,1,3,excessive_persistence,0.2464524283544331,0.2464524283544331,0.0,0,0.0,0.0
19,1,1,optimal,0.1765333598472752,0.1765333598472752,0.0,0,0.0,0.0
19,1,2,excessive_persistence,0.1765333598472752,0.1765333598472752,0.0,0,0.0,0.0
19,1,3,excessive_persistence,0.1765333598472752,0.1765333598472752,0.0,0,0.0,0.0
20,1,1,optimal,0.11585274528480563,0.11585274528480563,0.0,0,0.0,0.0
20,1,2,excessive_persistence,0.11585274528480563,0.11585274528480563,0.0,0,0.0,0.0
20,1,3,excessive_persistence,0.11585274528480563,0.11585274528480563,0.0,0,0.0,0.0
21,1,1,optimal,0.058856005155197726,0.058856005155197726,0.0,0,0.0,0.0
21,1,2,excessive_persistence,0.058856005155197726,0.058856005155197726,0.0,0,0.0,0.0
21,1,3,excessive_persistence,0.058856005155197726,0.058856005155197726,0.0,0,0.0,0.0
22,2,1,insufficient_persistence,0.10590203557434369,0.13366849447037346,0.027766458896029772,1,0.0,0.027766458896029772
22,2,2,optimal,0.10590203557434369,0.10590203557434369,0.0,0,0.0,0.027766458896029772
22,2,3,excessive_persistence,0.10590203557434369,0.10590203557434369,0.0,0,0.0,0.027766458896029772
23,1,1,optimal,0.051652032274359716,0.051652032274359716,0.0,0,0.0,0.0
23,1,2,excessive_persistence,0.051652032274359716,0.051652032274359716,0.0,0,0.0,0.0
23,1,3,excessive_persistence,0.051652032274359716,0.051652032274359716,0.0,0,0.0,0.0
24,2,1,insufficient_persistence,0.29268459285683296,0.3047481831454533,0.012063590288620363,1,0.0,0.012063590288620363
24,2,2,optimal,0.29268459285683296,0.29268459285683296,0.0,0,0.0,0.012063590288620363
24,2,3,excessive_persistence,0.29268459285683296,0.29268459285683296,0.0,0,0.0,0.012063590288620363
25,1,1,optimal,0.21213719494218158,0.21213719494218158,0.0,0,0.0,0.0
25,1,2,excessive_persistence,0.21213719494218158,0.21213719494218158,0.0,0,0.0,0.0
25,1,3,excessive_persistence,0.21213719494218158,0.21213719494218158,0.0,0,0.0,0.0
26,1,1,optimal,0.11014202572172951,0.11014202572172951,0.0,0,0.0,0.0
26,1,2,excessive_persistence,0.11014202572172951,0.11014202572172951,0.0,0,0.0,0.0
26,1,3,excessive_persistence,0.11014202572172951,0.11014202572172951,0.0,0,0.0,0.0
27,1,1,optimal,0.05623876111238317,0.05623876111238317,0.0,0,0.0,0.0
27,1,2,excessive_persistence,0.05623876111238317,0.05623876111238317,0.0,0,0.0,0.0
27,1,3,excessive_persistence,0.05623876111238317,0.05623876111238317,0.0,0,0.0,0.0
28,1,1,optimal,0.24009838355710347,0.24009838355710347,0.0,0,0.0,0.0
28,1,2,excessive_persistence,0.24009838355710347,0.24009838355710347,0.0,0,0.0,0.0
28,1,3,excessive_persistence,0.24009838355710347,0.24009838355710347,0.0,0,0.0,0.0
29,1,1,optimal,0.17880429969237238,0.17880429969237238,0.0,0,0.0,0.0
29,1,2,excessive_persistence,0.17880429969237238,0.17880429969237238,0.0,0,0.0,0.0
29,1,3,excessive_persistence,0.17880429969237238,0.17880429969237238,0.0,0,0.0,0.0
30,1,1,optimal,0.12222206248927192,0.12222206248927192,0.0,0,0.0,0.0
30,1,2,excessive_persistence,0.12222206248927192,0.12222206248927192,0.0,0,0.0,0.0
