condition,true_class,run_index,evidence_time,scheme,candidate_exists,benefit_probability,release_probability,predicted_release,selected_persistence,persistence_distance_1,persistence_distance_2,persistence_distance_3,adopted_event_memory,release_evidence_run,release_count,transition_count,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,A_mae,C_mae,S_mae,marginal_mae
measurement_noise_0.850,measurement_noise,102,70,fixed_3,True,0.26223938219315696,0.7767299388919908,True,3,,,,False,0,0,0,0.23316744894749578,0.6773623478729909,0.06539795359565033,0.013167448947495775,0.12263765212700917,0.005397953595650332,0.04706768489005176
measurement_noise_0.850,measurement_noise,102,80,fixed_3,True,0.33236090443546445,0.7721647200029017,True,3,,,,False,0,0,0,0.23016793824744786,0.6771163324559143,0.06283243590186538,0.010167938247447855,0.12288366754408575,0.002832435901865382,0.04529468056446633
measurement_noise_0.850,measurement_noise,102,100,fixed_3,True,0.3551769622513385,0.7023842253540296,True,3,,,,False,0,0,0,0.22737034770726997,0.6787565201801254,0.06140181533372008,0.007370347707269964,0.1212434798198746,0.00140181533372008,0.043338547620288215
measurement_noise_0.850,measurement_noise,102,60,adaptive_persistence,True,0.2159002114625811,0.7559878324263523,True,,,,,False,0,0,0,0.2293948178126715,0.7164817819212979,0.06509291373386196,0.009394817812671485,0.08351821807870219,0.005092913733861962,0.032668649875078545
measurement_noise_0.850,measurement_noise,102,70,adaptive_persistence,True,0.26223938219315696,0.7767299388919908,True,,,,,False,0,0,0,0.23316744894749578,0.6773623478729909,0.06539795359565033,0.013167448947495775,0.12263765212700917,0.005397953595650332,0.04706768489005176
measurement_noise_0.850,measurement_noise,102,80,adaptive_persistence,True,0.33236090443546445,0.7721647200029017,True,,,,,False,0,0,0,0.23016793824744786,0.6771163324559143,0.06283243590186538,0.010167938247447855,0.12288366754408575,0.002832435901865382,0.04529468056446633
measurement_noise_0.850,measurement_noise,102,100,adaptive_persistence,True,0.3551769622513385,0.7023842253540296,True,,,,,False,0,0,0,0.22737034770726997,0.6787565201801254,0.06140181533372008,0.007370347707269964,0.1212434798198746,0.00140181533372008,0.043338547620288215
measurement_noise_0.850,measurement_noise,103,60,fixed_1,True,0.17220209610417778,0.742244418750299,True,1,,,,False,0,0,0,0.2246993072478722,0.7477457157634144,0.061153357657410694,0.004699307247872209,0.052254284236585624,0.001153357657410696,0.01936898304728951
measurement_noise_0.850,measurement_noise,103,70,fixed_1,True,0.292913803249197,0.7376814834030961,True,1,,,,False,0,0,0,0.2273386151543191,0.7224927270025403,0.06067746872801113,0.007338615154319106,0.07750727299745974,0.0006774687280111311,0.02850778562659666
measurement_noise_0.850,measurement_noise,103,80,fixed_1,True,0.2573206644747548,0.6442329448937242,True,1,,,,False,0,0,0,0.22600689844483787,0.6953838450265662,0.059305050096228246,0.0060068984448378715,0.1046161549734338,0.0006949499037717521,0.037106001107347804
measurement_noise_0.850,measurement_noise,103,100,fixed_1,True,0.30818916539082003,0.5936250729142637,True,1,,,,False,0,0,0,0.22536652765556908,0.6604636172013386,0.05706177920777022,0.005366527655569081,0.13953638279866143,0.00293822079222978,0.04928037708215343
measurement_noise_0.850,measurement_noise,103,60,fixed_2,True,0.17220209610417778,0.742244418750299,True,2,,,,False,0,0,0,0.2246993072478722,0.7477457157634144,0.061153357657410694,0.004699307247872209,0.052254284236585624,0.001153357657410696,0.01936898304728951
measurement_noise_0.850,measurement_noise,103,70,fixed_2,True,0.292913803249197,0.7376814834030961,True,2,,,,False,0,0,0,0.2273386151543191,0.7224927270025403,0.06067746872801113,0.007338615154319106,0.07750727299745974,0.0006774687280111311,0.02850778562659666
measurement_noise_0.850,measurement_noise,103,80,fixed_2,True,0.2573206644747548,0.6442329448937242,True,2,,,,False,0,0,0,0.22600689844483787,0.6953838450265662,0.059305050096228246,0.0060068984448378715,0.1046161549734338,0.0006949499037717521,0.037106001107347804
measurement_noise_0.850,measurement_noise,103,100,fixed_2,True,0.30818916539082003,0.5936250729142637,True,2,,,,False,0,0,0,0.22536652765556908,0.6604636172013386,0.05706177920777022,0.005366527655569081,0.13953638279866143,0.00293822079222978,0.04928037708215343
measurement_noise_0.850,measurement_noise,103,60,fixed_3,True,0.17220209610417778,0.742244418750299,True,3,,,,False,0,0,0,0.2246993072478722,0.7477457157634144,0.061153357657410694,0.004699307247872209,0.052254284236585624,0.001153357657410696,0.01936898304728951
measurement_noise_0.850,measurement_noise,103,70,fixed_3,True,0.292913803249197,0.7376814834030961,True,3,,,,False,0,0,0,0.2273386151543191,0.7224927270025403,0.06067746872801113,0.007338615154319106,0.07750727299745974,0.0006774687280111311,0.02850778562659666
measurement_noise_0.850,measurement_noise,103,80,fixed_3,True,0.2573206644747548,0.6442329448937242,True,3,,,,False,0,0,0,0.22600689844483787,0.6953838450265662,0.059305050096228246,0.0060068984448378715,0.1046161549734338,0.0006949499037717521,0.037106001107347804
measurement_noise_0.850,measurement_noise,103,100,fixed_3,True,0.30818916539082003,0.5936250729142637,True,3,,,,False,0,0,0,0.22536652765556908,0.6604636172013386,0.05706177920777022,0.005366527655569081,0.13953638279866143,0.00293822079222978,0.04928037708215343
measurement_noise_0.850,measurement_noise,103,60,adaptive_persistence,True,0.17220209610417778,0.742244418750299,True,,,,,False,0,0,0,0.2246993072478722,0.7477457157634144,0.061153357657410694,0.004699307247872209,0.052254284236585624,0.001153357657410696,0.01936898304728951
measurement_noise_0.850,measurement_noise,103,70,adaptive_persistence,True,0.292913803249197,0.7376814834030961,True,,,,,False,0,0,0,0.2273386151543191,0.7224927270025403,0.06067746872801113,0.007338615154319106,0.07750727299745974,0.0006774687280111311,0.02850778562659666
measurement_noise_0.850,measurement_noise,103,80,adaptive_persistence,True,0.2573206644747548,0.6442329448937242,True,,,,,False,0,0,0,0.22600689844483787,0.6953838450265662,0.059305050096228246,0.0060068984448378715,0.1046161549734338,0.0006949499037717521,0.037106001107347804
measurement_noise_0.850,measurement_noise,103,100,adaptive_persistence,True,0.30818916539082003,0.5936250729142637,True,,,,,False,0,0,0,0.22536652765556908,0.6604636172013386,0.05706177920777022,0.005366527655569081,0.13953638279866143,0.00293822079222978,0.04928037708215343
measurement_noise_0.850,measurement_noise,104,60,fixed_1,True,0.18530191873443225,0.6773105175506003,True,1,,,,False,0,0,0,0.23841141290966666,0.6630434996815888,0.07125670227781802,0.018411412909666663,0.13695650031841122,0.011256702277818026,0.055541538501965304
measurement_noise_0.850,measurement_noise,104,70,fixed_1,True,0.34119644305235125,0.7719232685461055,True,1,,,,False,0,0,0,0.236455621033124,0.6601281395037609,0.06559642954483663,0.016455621033124007,0.13987186049623912,0.005596429544836634,0.053974637024733256
measurement_noise_0.850,measurement_noise,104,80,fixed_1,True,0.31833949460039596,0.6357094599367881,True,1,,,,False,0,0,0,0.234479474623632,0.6540154893439352,0.06472183469011629,0.014479474623632,0.14598451065606488,0.004721834690116292,0.055061939989937726
measurement_noise_0.850,measurement_noise,104,100,fixed_1,True,0.32257559771681477,0.5257740422891259,True,1,,,,False,0,0,0,0.2303348415117808,0.6629017605268779,0.06321333400642594,0.010334841511780796,0.13709823947312216,0.0032133340064259414,0.0502154716637763
measurement_noise_0.850,measurement_noise,104,60,fixed_2,True,0.18530191873443225,0.6773105175506003,True,2,,,,False,0,0,0,0.23841141290966666,0.6630434996815888,0.07125670227781802,0.018411412909666663,0.13695650031841122,0.011256702277818026,0.055541538501965304
measurement_noise_0.850,measurement_noise,104,70,fixed_2,True,0.34119644305235125,0.7719232685461055,True,2,,,,False,0,0,0,0.236455621033124,0.6601281395037609,0.06559642954483663,0.016455621033124007,0.13987186049623912,0.005596429544836634,0.053974637024733256
measurement_noise_0.850,measurement_noise,104,80,fixed_2,True,0.31833949460039596,0.6357094599367881,True,2,,,,False,0,0,0,0.234479474623632,0.6540154893439352,0.06472183469011629,0.014479474623632,0.14598451065606488,0.004721834690116292,0.055061939989937726
measurement_noise_0.850,measurement_noise,104,100,fixed_2,True,0.32257559771681477,0.5257740422891259,True,2,,,,False,0,0,0,0.2303348415117808,0.6629017605268779,0.06321333400642594,0.010334841511780796,0.13709823947312216,0.0032133340064259414,0.0502154716637763
measurement_noise_0.850,measurement_noise,104,60,fixed_3,True,0.18530191873443225,0.6773105175506003,True,3,,,,False,0,0,0,0.23841141290966666,0.6630434996815888,0.07125670227781802,0.018411412909666663,0.13695650031841122,0.011256702277818026,0.055541538501965304
measurement_noise_0.850,measurement_noise,104,70,fixed_3,True,0.34119644305235125,0.7719232685461055,True,3,,,,False,0,0,0,0.236455621033124,0.6601281395037609,0.06559642954483663,0.016455621033124007,0.13987186049623912,0.005596429544836634,0.053974637024733256
measurement_noise_0.850,measurement_noise,104,80,fixed_3,True,0.31833949460039596,0.6357094599367881,True,3,,,,False,0,0,0,0.234479474623632,0.6540154893439352,0.06472183469011629,0.014479474623632,0.14598451065606488,0.004721834690116292,0.055061939989937726
measurement_noise_0.850,measurement_noise,104,100,fixed_3,True,0.32257559771681477,0.5257740422891259,True,3,,,,False,0,0,0,0.2303348415117808,0.6629017605268779,0.06321333400642594,0.010334841511780796,0.13709823947312216,0.0032133340064259414,0.0502154716637763
measurement_noise_0.850,measurement_noise,104,60,adaptive_persistence,True,0.18530191873443225,0.6773105175506003,True,,,,,False,0,0,0,0.23841141290966666,0.6630434996815888,0.07125670227781802,0.018411412909666663,0.13695650031841122,0.011256702277818026,0.055541538501965304
measurement_noise_0.850,measurement_noise,104,70,adaptive_persistence,True,0.34119644305235125,0.7719232685461055,True,,,,,False,0,0,0,0.236455621033124,0.6601281395037609,0.06559642954483663,0.016455621033124007,0.13987186049623912,0.005596429544836634,0.053974637024733256
measurement_noise_0.850,measurement_noise,104,80,adaptive_persistence,True,0.31833949460039596,0.6357094599367881,True,,,,,False,0,0,0,0.234479474623632,0.6540154893439352,0.06472183469011629,0.014479474623632,0.14598451065606488,0.004721834690116292,0.055061939989937726
measurement_noise_0.850,measurement_noise,104,100,adaptive_persistence,True,0.32257559771681477,0.5257740422891259,True,,,,,False,0,0,0,0.2303348415117808,0.6629017605268779,0.06321333400642594,0.010334841511780796,0.13709823947312216,0.0032133340064259414,0.0502154716637763
measurement_noise_0.850,measurement_noise,105,60,fixed_1,True,0.23658299876000627,0.788158325342617,True,1,,,,False,0,0,0,0.2248189318646328,0.7396530871737136,0.06135715690963247,0.004818931864632808,0.06034691282628646,0.0013571569096324718,0.02217433386685058
measurement_noise_0.850,measurement_noise,105,70,fixed_1,True,0.22746732987787774,0.7549098994123001,True,1,,,,False,0,0,0,0.22135738355910817,0.7636621957000148,0.0605700612427634,0.0013573835591081662,0.03633780429998523,0.0005700612427634033,0.012755083033952267
measurement_noise_0.850,measurement_noise,105,80,fixed_1,True,0.19472579017895322,0.656163285582435,True,1,,,,False,0,0,0,0.22038810760588498,0.7685048663477301,0.06037748629425746,0.0003881076058849797,0.03149513365226997,0.00037748629425746194,0.010753575850804137
measurement_noise_0.850,measurement_noise,105,100,fixed_1,True,0.31009204674430113,0.6663769762663664,True,1,,,,False,0,0,0,0.2204186342532336,0.7427659579596794,0.059662603504405845,0.0004186342532336018,0.057234042040320676,0.00033739649559415275,0.019330024263049476
