condition,true_class,seed,policy,classification_correct,classification_margin,failure_mode,adaptation_scale,uncertainty_scale,abstain,incorrect_commitment_cost,unnecessary_abstention_cost,adaptation_exposure,uncertainty_cost,severe_failure_penalty,total_policy_cost
measurement_noise_boundary,measurement_noise,34020,failure_aware,False,0.18740750003659024,A_C,0.1,2.0,True,0.0,0.0,0.1,0.1,0.0,0.2
measurement_noise_boundary,measurement_noise,34021,baseline,True,0.3274437659388766,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34021,generic_uncertainty,True,0.3274437659388766,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34021,failure_aware,True,0.3274437659388766,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34022,baseline,True,0.6990839339503276,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34022,generic_uncertainty,True,0.6990839339503276,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34022,failure_aware,True,0.6990839339503276,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34023,baseline,True,0.29893910867603063,C,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34023,generic_uncertainty,True,0.29893910867603063,C,0.25,1.5,True,0.0,0.25,0.0,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34023,failure_aware,True,0.29893910867603063,C,0.5,1.15,True,0.0,0.25,0.0,0.014999999999999993,0.0,0.265
measurement_noise_boundary,measurement_noise,34024,baseline,True,0.5428482185710963,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34024,generic_uncertainty,True,0.5428482185710963,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34024,failure_aware,True,0.5428482185710963,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34025,baseline,True,0.5630103539131125,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34025,generic_uncertainty,True,0.5630103539131125,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34025,failure_aware,True,0.5630103539131125,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34026,baseline,False,0.12847651139328375,A_C,1.0,1.0,False,1.0,0.0,1.0,0.0,0.5,2.5
measurement_noise_boundary,measurement_noise,34026,generic_uncertainty,False,0.12847651139328375,A_C,0.25,1.5,True,0.0,0.0,0.25,0.05,0.0,0.3
measurement_noise_boundary,measurement_noise,34026,failure_aware,False,0.12847651139328375,A_C,0.1,2.0,True,0.0,0.0,0.1,0.1,0.0,0.2
measurement_noise_boundary,measurement_noise,34027,baseline,True,0.6687788924496924,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34027,generic_uncertainty,True,0.6687788924496924,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34027,failure_aware,True,0.6687788924496924,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34028,baseline,True,0.7123372639597043,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34028,generic_uncertainty,True,0.7123372639597043,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34028,failure_aware,True,0.7123372639597043,pass,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
measurement_noise_boundary,measurement_noise,34029,baseline,True,0.24522226684186954,C,1.0,1.0,False,0.0,0.0,0.0,0.0,0.0,0.0
