generation_seed,test_index,primary_action,baseline_action,unconditional_action,hierarchical_action,true_responsive_action,baseline_expansion,baseline_outcome,state_harmful_probability,support_distance_baseline_action,unconditional_veto,hierarchical_veto,hierarchical_support_condition,current_mismatch_indicator,anchor_age,trigger_score,safety_score_baseline_action,downside_score_baseline_action,baseline_regret,unconditional_regret,hierarchical_regret
44031,46,2,2,2,2,2,0,none,0.22512796709105043,1.4750510772518015,0,0,0,0.0582428845495889,10.0,10.79649297110075,0.6377440476190476,4.714212729078533e-06,0.0,0.0,0.0
44031,47,2,2,2,2,2,0,none,0.2840093577077618,2.369128276948911,0,0,1,0.2990751967996582,20.0,10.79649297110075,0.7261577380952382,0.0,0.0,0.0,0.0
44031,48,2,2,2,2,2,0,none,0.06319124509410035,2.0563627405922364,0,0,1,0.09015088490054679,40.0,10.79649297110075,0.701764880952381,0.004925737410149842,0.0,0.0,0.0
44031,49,2,2,2,2,2,0,none,0.9994296923274908,2.833266913712711,0,0,1,2.8476204982781286,7.0,14.705577450410473,0.971205357142857,0.00018766813317039186,0.0,0.0,0.0
44031,50,2,2,2,2,2,0,none,0.7222666022538142,2.433957785202287,0,0,1,1.1201633928373742,17.0,14.705577450410473,0.854592261904762,0.00018149719006952357,0.0,0.0,0.0
44031,51,1,1,1,1,1,0,none,0.03669374761521204,2.593327949242168,0,0,1,0.20407967046996892,37.0,14.705577450410473,0.9123789682539684,0.014809335155879077,0.0,0.0,0.0
44031,52,3,3,3,3,3,0,none,0.4315379933663926,2.1368477586205765,0,0,1,0.6676232221339767,7.0,15.35241468980229,0.8854434523809525,0.0,0.0,0.0,0.0
44031,53,2,2,2,2,2,0,none,0.08612213456960896,2.049233234723665,0,0,1,0.2169064304004015,17.0,15.35241468980229,0.7209895833333334,0.0,0.0,0.0,0.0
44031,54,3,3,3,3,1,0,none,0.024421370537710832,2.5004909678245344,0,0,1,0.13662056769635716,37.0,15.35241468980229,0.7406547619047613,0.0,0.0,0.0,0.0
44031,55,3,3,3,3,2,0,none,0.45079277322658673,1.7848067844815945,0,0,0,0.01837793865890355,12.0,6.337855453748655,0.9850625000000001,0.0,0.0,0.0,0.0
44031,56,3,3,3,3,2,0,none,0.3389747633563465,1.4851795101067593,0,0,0,0.03373340765553464,22.0,6.337855453748655,0.9942083333333334,0.0,0.0,0.0,0.0
44031,57,3,3,3,3,3,0,none,0.47154424612867685,1.4464934061435455,0,0,0,0.3445221928793065,32.0,6.337855453748655,0.9870625,0.0,0.0,0.0,0.0
44031,58,2,2,2,2,2,0,none,0.21743040202100775,1.6318296586308907,0,0,0,0.3100614939622194,52.0,6.337855453748655,0.8299761904761906,6.37280176155124e-05,0.0,0.0,0.0
44031,59,3,2,3,3,2,1,beneficial,0.7891725135167798,2.1259663681855683,1,1,1,0.3404198914672483,10.0,5.307625746477998,0.7442499999999996,0.00176239841726666,0.0,0.0,0.0
44031,60,3,1,1,1,3,1,harmful,0.316151539490939,2.106839165795855,0,0,1,0.03925734127395693,30.0,5.307625746477998,0.8734613095238098,0.012941649047846537,0.0013038392600966398,0.0013038392600966398,0.0013038392600966398
44031,61,3,3,3,3,3,0,none,0.6424125163067348,2.163300571523492,0,0,1,0.4438121586849455,10.0,9.108921018534954,0.9361428571428569,0.0,0.0,0.0,0.0
44031,62,3,1,1,1,1,1,beneficial,0.16374177308079332,2.192532751888731,0,0,1,0.10658622892901495,30.0,9.108921018534954,0.794530753968254,0.0033124501215256487,0.0,0.0,0.0
44031,63,3,2,2,2,2,1,beneficial,0.20743142462222083,1.5678551816279596,0,0,0,0.012900906530676133,9.0,10.795117494348787,0.8342678571428574,0.0014015030611933988,0.0,0.0,0.0
44031,64,3,3,3,3,3,0,none,0.13071786799554547,2.2840931739054433,0,0,1,0.0041012785806398945,19.0,10.795117494348787,0.7869568452380953,0.0,0.0,0.0,0.0
44031,65,1,1,1,1,3,0,none,0.867530253109597,2.744640261221109,0,0,1,1.2436011644990046,29.0,10.795117494348787,0.6970505952380951,0.002358656220878731,0.10225419189216753,0.10225419189216753,0.10225419189216753
44031,66,3,2,2,2,2,1,beneficial,0.0898972557153893,1.5527168883200373,0,0,0,0.33597144792156514,49.0,10.795117494348787,0.923122023809524,8.383520985822303e-05,0.0,0.0,0.0
44031,67,3,1,3,3,1,1,beneficial,0.6980192557771671,2.1616532462484,1,1,1,0.0682326169625127,5.0,4.612339812534982,0.6184464285714287,0.0005177346889672815,0.0,0.0,0.0
44031,68,3,3,3,3,3,0,none,0.6965203920744875,2.5371232771309162,0,0,1,0.3682395209825574,25.0,4.612339812534982,0.7463839285714283,0.0,0.0,0.0,0.0
44031,69,2,2,2,2,2,0,none,0.6386697371785899,2.4607392780006276,0,0,1,0.7030729976965578,8.0,12.65732056430289,0.9439791666666666,7.0713190936178005e-06,0.0,0.0,0.0
44031,70,1,1,1,1,1,0,none,0.544767064828496,2.717323102074655,0,0,1,0.8926310705996607,28.0,12.65732056430289,0.9058045634920636,0.011639802208304306,0.04602676436248132,0.04602676436248132,0.04602676436248132
44031,71,2,2,2,2,3,0,none,0.7756677728925224,1.9664555798813481,0,0,0,0.47708654612945744,16.0,6.1392014015604675,0.7306249999999995,0.003702405775294248,0.029896908492161978,0.029896908492161978,0.029896908492161978
44031,72,1,1,1,1,1,0,none,0.30010460216121415,2.8406242425130026,0,0,1,0.02606851722633298,26.0,6.1392014015604675,0.9149077380952381,0.011835438191365151,0.04570258399942764,0.04570258399942764,0.04570258399942764
44031,73,2,2,2,2,2,0,none,0.7654263081740583,2.074143875991618,0,0,1,0.31285883271152326,5.0,6.363712579153624,0.7821755952380953,0.0,0.0,0.0,0.0
44031,74,1,1,1,1,1,0,none,0.40440502069415424,2.2685259189742455,0,0,1,0.011123471196983883,15.0,6.363712579153624,0.9057797619047621,0.009913637555026564,0.07289678676631392,0.07289678676631392,0.07289678676631392
44031,75,3,2,2,2,2,1,beneficial,0.3011224768427891,2.470565367295555,0,0,1,0.18200106921108344,35.0,6.363712579153624,0.6372276785714286,0.00011123507420218,0.0,0.0,0.0
44031,76,2,2,2,2,2,0,none,0.4783306228324288,10.115277812217924,0,0,1,0.5315507130125312,8.0,12.87174256952142,0.907854166666667,0.0006218004445351309,0.0,0.0,0.0
44031,77,1,1,1,1,1,0,none,0.7949259184993783,12.87260526893147,0,0,1,0.3531818311566704,10.0,5.340034493964086,0.681136904761905,0.005521380208011053,0.0,0.0,0.0
44031,78,1,1,1,1,1,0,none,0.6688140166831955,10.714935729960581,0,0,1,0.06446841568888412,7.0,4.6724561345647375,0.7782961309523807,0.011676842580033257,0.0,0.0,0.0
44031,79,1,1,1,1,1,0,none,0.4129333073226802,12.054454055368147,0,0,1,0.06233366362246819,27.0,4.6724561345647375,0.7603492063492062,0.01680291073032,0.0,0.0,0.0
44031,80,2,2,2,2,2,0,none,0.4626953856622355,13.225262322509,0,0,1,0.25133866059624477,8.0,9.709905011908447,0.8146458333333331,0.003895194784218815,0.011723067241087699,0.011723067241087699,0.011723067241087699
44031,81,1,1,1,1,1,0,none,0.5786811723476548,12.804612594774536,0,0,1,0.10824555551318803,13.0,5.448543569331652,0.7305535714285715,0.018707899188885827,0.016874410067912116,0.016874410067912116,0.016874410067912116
44031,82,2,2,2,2,1,0,none,0.7083732666162512,11.273222305254274,0,0,1,0.21273135949833283,4.0,6.365004060474811,0.7366354166666667,0.004770365227318788,0.00471610252344291,0.00471610252344291,0.00471610252344291
44031,83,1,1,1,1,1,0,none,0.524376364334491,12.488572782637439,0,0,1,0.008471858464973812,15.0,4.645257921834953,0.7526339285714286,0.017062000071703772,0.0032029343921282268,0.0032029343921282268,0.0032029343921282268
44031,84,1,1,1,1,1,0,none,0.990216007590605,11.792331433236445,0,0,1,1.5244300265858473,25.0,5.385838511334013,0.7990744047619046,0.006501623510462043,0.0,0.0,0.0
44031,85,1,1,1,1,1,0,none,0.23458463494371892,13.157470132238368,0,0,1,0.0026891274590659367,35.0,5.385838511334013,0.7522589285714285,0.02229133995033895,0.0,0.0,0.0
44032,0,2,2,2,2,2,0,none,0.9996468212408094,2.7122239905453975,0,0,1,2.3309252917663814,16.0,5.164998282601772,0.7238779761904764,0.0033029414723597505,0.0,0.0,0.0
44032,1,3,2,3,3,2,1,beneficial,0.5569246789764755,2.0543319798154935,1,1,1,0.406528794257458,36.0,5.164998282601772,0.7887113095238096,0.0018937252685912887,0.0,0.0,0.0
44032,2,1,1,1,1,1,0,none,0.1691970089357033,2.3263364345811572,0,0,1,0.17924285955812297,14.0,12.763544967627332,0.5911870039682544,0.0279879166171596,0.007414739763931033,0.007414739763931033,0.007414739763931033
44032,3,3,3,3,3,3,0,none,0.12278367790907815,2.3647564883635694,0,0,1,0.22211286566920344,24.0,12.763544967627332,0.17563690476190474,0.0,0.0,0.0,0.0
44032,4,3,3,3,3,3,0,none,0.9915837196249144,2.389882086934791,0,0,1,1.5227977455823403,5.0,8.481146755953668,0.9817708333333331,0.0,0.0,0.0,0.0
44032,5,2,2,2,2,2,0,none,0.4193389939956088,2.1174217712336065,0,0,1,0.3554646213379366,25.0,8.481146755953668,0.6617217261904762,0.0013726998782242125,0.0,0.0,0.0
44032,6,2,2,2,2,2,0,none,0.2874923007035033,1.5771477327186179,0,0,0,0.21824896008188477,10.0,11.583959134407792,0.879282738095238,0.00013446379818438038,0.0,0.0,0.0
44032,7,2,2,2,2,2,0,none,0.6439138752608221,2.3292385604774153,0,0,1,0.8019017504593806,20.0,11.583959134407792,0.8499315476190478,0.0004191457635410761,0.0,0.0,0.0
44032,8,3,1,1,1,3,1,harmful,0.1622717762425694,2.3241691177054884,0,0,1,0.45968151911159016,40.0,11.583959134407792,0.680648313492064,0.0189500552189591,0.012929299114928794,0.012929299114928794,0.012929299114928794
44032,9,3,2,3,3,2,1,beneficial,0.7486631644793369,2.049001728028229,1,1,1,0.4339173985126608,7.0,7.776869571928644,0.7969776785714286,0.0023750357474213034,0.0,0.0,0.0
44032,10,3,3,3,3,3,0,none,0.9688448808698227,1.9279980130344587,0,0,0,1.261470257913859,17.0,7.776869571928644,0.9925208333333333,0.0,0.0,0.0,0.0
44032,11,2,2,2,2,2,0,none,0.1890833864087392,1.890665525507386,0,0,0,0.001231904548744003,27.0,7.776869571928644,0.9164092261904762,0.0029506828728776747,0.0,0.0,0.0
44032,12,2,2,2,2,2,0,none,0.12229569482553565,2.6469276741432246,0,0,1,0.15478232071590348,47.0,7.776869571928644,0.8895000000000001,0.0003616439798734904,0.0,0.0,0.0
44032,13,3,3,3,3,3,0,none,0.9512221574168348,2.658453300957266,0,0,1,1.0965676376462192,4.0,9.779638565083934,0.8738616071428571,0.0,0.0,0.0,0.0
44032,14,3,3,3,3,2,0,none,0.7554008393240463,2.568447326077808,0,0,1,0.7160832198708007,14.0,9.779638565083934,0.8470699404761901,0.0,0.0,0.0,0.0
44032,15,1,1,1,1,1,0,none,0.5029611069156669,2.20941487551266,0,0,1,0.696324626408837,34.0,9.779638565083934,0.8721056547619045,0.010381414143928064,0.006266504703575759,0.006266504703575759,0.006266504703575759
