condition,true_class,seed,classification_correct,classification_margin,score_spread,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_longest_nis_run_above_1,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation,parameter_shift_post_vs_pre,post_cumulative_abs_parameter_update,evidence_sufficient,operating_point_hard_accuracy,operating_point_coverage,operating_point_selective_accuracy
process_disturbance_2.50,process_disturbance,2044,True,1.8128421433718755,3.487746734741956,1.990995461222452,-0.14619788474728657,0.22951779223366714,22.13561850298617,1,0.4538408366531975,0.21351357661323625,-0.001770010704164049,0.04191408252223112,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2045,True,6.80397690907636,12.242602451765258,5.813788521351242,-0.46846303876876483,0.06427257304683383,58.43645745972419,1,0.2309526332527332,-0.3330808281840209,0.005942587590253012,0.036286668500943274,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2046,True,2.546049548757085,5.658929664932952,2.8857266109059374,0.17277019699515217,0.25057872236086565,28.151829880685742,1,0.7663285616209998,0.067128609316992,0.009033389995064423,0.0512121318540784,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2047,True,1.8953187972179604,3.757088191082007,2.47672236912504,0.07732600080506491,0.2632368235309415,21.079852402034916,2,-0.01910400912182056,-0.4321578797200303,-0.0011910399339917221,0.060377272765553054,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2048,True,1.0457089378592324,2.4647082182952436,1.924039318538743,0.2717361544138479,0.3656756746475009,16.907443823833436,1,0.31204390355479916,-0.034253537618493715,-0.005934582125386667,0.0558505364189145,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2049,True,1.0437979768703862,2.2500978501278786,1.6532014015206042,0.1352991091951865,0.40940435172718304,18.1580109269713,2,0.17622406042303837,-0.25410684549847284,0.0005578323928744355,0.06009021129967834,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2050,True,1.299744559853747,3.321703481074673,2.2663512823700613,0.41961934813775936,0.3803254325541646,16.955478592921295,2,0.631008331431918,0.2181427560309831,-0.001210523796201679,0.052585372004853276,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2051,True,1.8181185311678227,3.5741608976601986,2.130345627148822,0.1133220550335643,0.32813323634693836,24.0567315603931,2,0.21148690581237573,-0.23660236939395893,-0.0031478898983062775,0.06321757737575143,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2052,True,2.2615031735699502,4.674769098359449,2.7292399631510684,0.3595317615540428,0.2629199808811476,24.861655515603072,4,0.4988464691596223,-0.04766714053612997,0.004851855912515246,0.05531607984090209,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2053,True,1.9934992610862792,4.934660066848745,2.6142010340695903,0.35247043329019667,0.3068787329146939,22.99460153820302,5,0.9026497250158028,0.31452063476386094,0.0035676541194554767,0.06574909862180368,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2054,True,1.8106435366726688,3.5492477458697427,2.034761866582506,-0.11334340966968448,0.2703418209936018,22.886994290556185,2,0.5983660981833541,0.23197060150612867,-0.0015167676969484178,0.055924427216853964,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2055,True,4.302470525323525,8.397237065035597,4.655209110011591,0.31528279712360174,0.18796129521069357,37.175869826440184,2,-0.3788548861030472,-0.5910019405163263,0.0047130304101205,0.06650053238951739,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2056,True,1.093238888701264,3.0926093711529723,2.0269050898533125,0.719505474887123,0.4723724457066547,17.95919941963924,2,0.6503877073797425,0.0028892140810206635,-0.0008042307092516188,0.07115316352575853,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2057,True,3.390307962648135,5.989981306658843,2.9675261611279056,-0.42647247317647463,0.17779911951930039,35.101869545180584,2,0.6304659643682835,0.2101799221813168,-0.002278097967099435,0.049672021454662985,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2058,True,0.5195060666157629,1.9494829407233556,1.7235721665826762,0.4168583437016773,0.4353598566620263,13.446477226969236,3,0.18816304774986606,0.3516261478160513,0.0008395937581280322,0.06252273716250359,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2059,False,0.23717018288165137,0.9861836144768892,1.2615553610161605,0.5442604915113269,0.6174830880685874,8.356281224307136,1,0.3324591154618117,-0.38667412348600005,-0.0005351529169231872,0.06787365149791932,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2060,False,0.3075148391050718,0.6005633699415236,0.35932349586667534,-0.30624027236136886,0.529846139436618,6.434165469120538,1,-0.30217774542670356,-0.5074251689257594,0.000950352193525017,0.05122302649288403,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2061,True,1.5336450879955041,3.5526138366859286,2.814729530975147,1.115886519589973,0.44976078596622526,18.087316385499058,3,-0.00022511420526243053,0.09448535990611509,0.0005507049030877287,0.07252485566045073,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2062,True,0.624188256576389,1.8113421225209647,1.1284240543564619,-0.2698704994130823,0.36176662766991124,15.062608607953702,1,0.6998219629940068,0.21969320384477137,0.0004343336423955346,0.0518479224426803,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2063,True,0.14414678446087437,0.5247419394312348,0.661078183603377,-0.23419134628222427,0.436817888508225,10.345592178185804,2,0.21757535430919744,-0.10690473680518017,-0.00745606308343949,0.04951613742123017,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2064,True,2.4615451150195438,5.053368133273203,2.846760708345488,-0.19122033925325144,0.22728257902171814,24.73077093681314,2,0.645344237236043,0.2961762234059886,0.00011091429623011351,0.053577379820535946,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2065,True,0.5832164855677899,1.603336413657538,1.7780777447464127,0.40648844147192476,0.5245490210710122,14.830269047038934,3,0.1316805563971391,-0.3349924416329785,-0.0015263688965191369,0.09244650051581507,False,0.86,0.76,0.9473684210526315
process_disturbance_2.50,process_disturbance,2066,True,0.8736169408399486,1.700396377519684,1.3147859331757252,-0.3998632726367889,0.3345033305268733,17.09451272070453,2,0.20226775825686158,0.05930547593744345,0.002605591556079867,0.05373510824618438,False,0.86,0.76,0.9473684210526315
