policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,safe_action_recall,safe_action_precision,responsive_action_retention,expansion_contexts,beneficial_expansions,harmful_expansions,neutral_expansions,generation_seed,veto_count,harmful_vetoed,beneficial_vetoed,harmful_veto_recall,beneficial_preservation
support_baseline,0.5714285714285714,0.1428434096626148,0.020059529344920057,0.0,0.10339628801625517,0.6373626373626373,0.34065934065934067,33,6,52,0.22118114499387806,0.9340659340659341,0.054945054945054944,1.0,0.9945054945054945,1.0,1,0,0,1,44037,0,0,0,0.0,1.0
state_guard_0.50,0.5714285714285714,0.1428434096626148,0.020059529344920057,0.0,0.10339628801625517,0.6373626373626373,0.34065934065934067,33,6,52,0.22118114499387806,0.9340659340659341,0.054945054945054944,1.0,0.9945054945054945,1.0,1,0,0,1,44037,0,0,0,0.0,1.0
hierarchical_guard,0.5714285714285714,0.1428434096626148,0.020059529344920057,0.0,0.10339628801625517,0.6373626373626373,0.34065934065934067,33,6,52,0.22118114499387806,0.9340659340659341,0.054945054945054944,1.0,0.9945054945054945,1.0,1,0,0,1,44037,0,0,0,0.0,1.0
support_baseline,0.5517241379310345,0.1438982651841444,0.021413021773044025,0.0,0.10444927419167604,0.5977011494252874,0.3793103448275862,35,4,48,0.2719413038348006,0.9310344827586207,0.011494252873563218,0.9712643678160919,0.9712643678160919,0.9885057471264368,0,0,0,0,44038,0,0,0,0.0,1.0
state_guard_0.50,0.5517241379310345,0.1438982651841444,0.021413021773044025,0.0,0.10444927419167604,0.5977011494252874,0.3793103448275862,35,4,48,0.2719413038348006,0.9310344827586207,0.011494252873563218,0.9712643678160919,0.9712643678160919,0.9885057471264368,0,0,0,0,44038,0,0,0,0.0,1.0
hierarchical_guard,0.5517241379310345,0.1438982651841444,0.021413021773044025,0.0,0.10444927419167604,0.5977011494252874,0.3793103448275862,35,4,48,0.2719413038348006,0.9310344827586207,0.011494252873563218,0.9712643678160919,0.9712643678160919,0.9885057471264368,0,0,0,0,44038,0,0,0,0.0,1.0
support_baseline,0.5632183908045977,0.1425587836971699,0.01930179110699383,0.0,0.10451858550415305,0.632183908045977,0.3563218390804598,32,6,49,0.3674264425748832,0.896551724137931,0.04597701149425287,0.9885057471264368,0.9827586206896551,0.9885057471264368,1,0,1,0,44039,0,0,0,0.0,1.0
state_guard_0.50,0.5632183908045977,0.1425587836971699,0.01930179110699383,0.0,0.10451858550415305,0.632183908045977,0.3563218390804598,32,6,49,0.3674264425748832,0.896551724137931,0.04597701149425287,0.9885057471264368,0.9827586206896551,0.9885057471264368,1,0,1,0,44039,0,0,0,0.0,1.0
hierarchical_guard,0.5632183908045977,0.1425587836971699,0.01930179110699383,0.0,0.10451858550415305,0.632183908045977,0.3563218390804598,32,6,49,0.3674264425748832,0.896551724137931,0.04597701149425287,0.9885057471264368,0.9827586206896551,0.9885057471264368,1,0,1,0,44039,0,0,0,0.0,1.0
support_baseline,0.4943820224719101,0.1509788606221318,0.02518763029916396,0.0,0.12793329680204896,0.5730337078651685,0.4044943820224719,37,8,44,0.356733107662288,0.898876404494382,0.0449438202247191,0.9887640449438202,0.9662921348314607,0.9887640449438202,2,0,0,2,44040,0,0,0,0.0,1.0
state_guard_0.50,0.47191011235955055,0.1509788606221318,0.02518763029916396,0.0,0.12793329680204896,0.5730337078651685,0.4044943820224719,37,10,42,0.41796960091239366,0.8764044943820225,0.02247191011235955,0.9887640449438202,0.9775280898876404,0.9887640449438202,0,0,0,0,44040,2,0,0,0.0,1.0
hierarchical_guard,0.48314606741573035,0.1509788606221318,0.02518763029916396,0.0,0.12793329680204896,0.5730337078651685,0.4044943820224719,37,9,43,0.3887081737799801,0.8876404494382022,0.033707865168539325,0.9887640449438202,0.9719101123595506,0.9887640449438202,1,0,0,1,44040,1,0,0,0.0,1.0
support_baseline,0.4222222222222222,0.14186105981256517,0.020802094487553786,0.0,0.12686508074342384,0.6,0.35555555555555557,34,18,38,0.6602842402457233,0.7444444444444445,0.1111111111111111,0.9703703703703703,0.9388888888888889,0.9555555555555556,6,2,0,4,44041,0,0,0,0.0,1.0
state_guard_0.50,0.4111111111111111,0.14186105981256517,0.020802094487553786,0.0,0.12686508074342384,0.6,0.35555555555555557,34,19,37,0.6765936844308686,0.7444444444444445,0.1,0.9648148148148148,0.95,0.9444444444444444,3,1,0,2,44041,3,0,1,0.0,0.5
