block,generation_seed,test_index,predicted_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_spread,true_loss_k1,true_loss_k2,true_loss_k3,true_best_loss,true_loss_spread,true_best_action,true_responsive_action,true_safe_action_count,primary_safe_action_count,support_safe_action_count,primary_action,support_action,primary_regret,support_regret,support_under,support_over,support_distance_k1,support_distance_k2,support_distance_k3,support_distance_selected,safety_score_selected,downside_score_selected,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
block_086,44011,31,0.04445439802207867,0.16964063571837187,0.1398367579074206,0.1456261794748032,0.029803877810951285,0.06309465256669303,0.06309465256669303,0.06309465256669303,0.06309465256669303,0.0,1,2,2,2,2,2,2,0.0,0.0,0,1,2.1053276599216715,2.1053276599216715,2.1053276599216715,2.1053276599216715,0.7583511904761905,0.0073926485684347835,0.7773433823107145,0.3288076750669512,18.0,6.361122938861032,0.9260361803148511,0.05350831711322684,0.9151117046032828
block_086,44011,32,0.04901233019287953,0.08783215485098227,0.07680452231823111,0.09733517669891237,0.02053065438068126,0.02678306790302544,0.02678306790302544,0.02678306790302544,0.02678306790302544,0.0,1,2,2,1,1,3,3,0.0,0.0,0,1,3.251454733343482,3.251454733343482,3.251454733343482,3.251454733343482,0.9345859251721105,0.0,0.6443354778449207,0.4693540772776263,38.0,6.361122938861032,0.6915540784807667,0.22184808434997733,0.9254053836149294
block_086,44011,33,0.05965142089354956,0.22521309161935674,0.17674176671239025,0.18496887131762055,0.048471324906966484,0.22102047258279522,0.22102047258279522,0.22102047258279522,0.22102047258279522,0.0,1,2,2,1,1,3,3,0.0,0.0,0,1,3.1149835668286263,3.1149835668286263,3.1149835668286263,3.1149835668286263,0.9988125,0.0,0.6032131674673998,0.46495233886880843,9.0,9.717178483268373,1.0811251026354647,0.1862058101843404,0.9173978551201125
block_086,44011,34,0.025242277007799956,0.1869251831035432,0.17955514921010235,0.17743539921932755,0.009489783884215647,0.1292441251056566,0.1292441251056566,0.1292441251056566,0.1292441251056566,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,2.8384582931753735,2.8384582931753735,2.8384582931753735,2.8384582931753735,0.9864674586629536,0.0,0.7004620202553759,0.3975212962536832,19.0,9.717178483268373,0.9319139942272745,1.2149882480920025,0.918033308100588
block_086,44011,35,0.010302509325606486,0.14433732409238306,0.14532505186136138,0.13320849348965294,0.012116558371708441,0.07036587823102275,0.07036587823102275,0.07036587823102275,0.07036587823102275,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,3.3914720237102776,3.3914720237102776,3.3914720237102776,3.3914720237102776,0.8349778449501742,0.0,0.6788539632216369,0.3837979185318873,29.0,9.717178483268373,0.8486339718433835,0.9325208329365745,0.9274476819610958
block_086,44011,36,0.0510565995936473,0.09431879807449889,0.0672838265011743,0.06770166956964657,0.027034971573324587,0.03151044474236305,0.03151044474236305,0.03151044474236305,0.03151044474236305,0.0,1,2,2,1,1,3,3,0.0,0.0,0,1,2.6307292217983345,2.6307292217983345,2.6307292217983345,2.6307292217983345,0.9323388017615397,0.0,0.6413427640501221,0.47288151893038477,49.0,9.717178483268373,0.7333016783826065,0.5579727091929512,0.917715824646772
block_086,44011,37,0.0016282174915486591,0.23689378534746566,0.23950032408552344,0.2515996563525586,0.014705871005092935,0.20962055775513433,0.20962055775513433,0.20962055775513433,0.20962055775513433,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,14.657324645892322,14.657324645892322,14.657324645892322,14.657324645892322,0.8847398122710625,0.013872537364459748,0.8633326568871927,0.3169711113828742,1.0,35.526543359041824,1.2983268681567104,1.6251308458165263,0.9229260133354672
block_086,44011,38,0.0015597332989458373,0.21830973591631642,0.2133195230610809,0.21305520280494455,0.005254533111371862,0.10681584465483455,0.10681584465483455,0.10681584465483455,0.10681584465483455,0.0,1,3,1,1,1,3,3,0.0,0.0,0,1,14.080749925303788,14.080749925303788,14.080749925303788,14.080749925303788,0.9853940892282922,0.0,0.8238471475363673,0.2814668218002747,11.0,35.526543359041824,1.1890595840646578,0.010394065173016267,0.9187732024550799
block_086,44011,39,0.002127585628845082,0.18744598358335798,0.18219854519787207,0.1822950864189244,0.005247438385485914,0.057810388291034874,0.057810388291034874,0.057810388291034874,0.057810388291034874,0.0,1,2,2,1,1,3,3,0.0,0.0,0,1,13.818396870487891,13.818396870487891,13.818396870487891,13.818396870487891,0.9853940892282922,0.0,0.7923731228725878,0.2746612900296416,21.0,35.526543359041824,1.0254011882457832,0.05133597297556296,0.9197243045865902
block_086,44011,40,0.002876801045252066,0.06567195118854798,0.06984307977065662,0.09283772563306078,0.027165774444512805,0.024752678050070517,0.024752678050070517,0.024752678050070517,0.024752678050070517,0.0,1,1,1,1,1,1,1,0.0,0.0,0,0,14.051458504473292,14.051458504473292,14.051458504473292,14.051458504473292,0.4583388070263071,0.03976217215847207,0.7225279894432328,0.28855903378999576,41.0,35.526543359041824,0.9184772774326379,0.2836397906576259,0.921864388471615
block_086,44011,41,0.04994232148497756,0.23986667794705815,0.20782539108966866,0.22763146751041521,0.032041286857389495,0.20178584737489252,0.20178584737489252,0.20178584737489252,0.20178584737489252,0.0,1,2,2,1,1,3,3,0.0,0.0,0,1,3.219735802573362,3.219735802573362,3.219735802573362,3.219735802573362,0.9975,0.0,0.5718580483954118,0.4733337422573894,11.0,7.114455379828495,1.2114220843984354,0.07898471910804994,0.9138851868605415
