generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions,replication_class,predicted_action_loss,local_mean_error,local_error_std,local_underestimate_fraction,local_severe_underestimate_fraction,reconstructed_calibration_error,reconstructed_severe_underestimation
44080,65,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.2407410149910345,0.30013770285361235,0.468010308717,0.12503653260065126,0.04289234206713517,0.08214419053351608,0,1,2,,beneficial,0.12503653260065126,0.08395182347005316,0.02061569674096261,0.0,0.0,0.08214419053351608,0
44081,2,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.171164298062908,0.32856552090480307,0.468010308717,0.08938817001940481,0.03489632604631703,0.05449184397308778,0,1,1,,beneficial,0.08938817001940481,0.07122980568508969,0.02363246586085142,0.0,0.0,0.05449184397308778,0
44081,12,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.1021930294857207,0.5394893137428614,0.468010308717,0.1362042358927778,0.04425236213167567,0.09195187376110214,0,1,1,1,beneficial,0.1362042358927778,0.048355017019277725,0.0650080172264677,0.2857142857142857,0.0,0.09195187376110214,0
44081,29,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,1.8825255405053212,0.32467599808687,0.468010308717,0.10331391023340374,0.03680115161078393,0.06651275862261981,0,1,1,,beneficial,0.10331391023340374,0.07558329353281416,0.029942492843118194,0.0,0.0,0.06651275862261981,0
44081,40,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.8357012320251187,0.5109377589961517,0.468010308717,0.15996173275238548,0.15883427693272706,0.001127455819658424,0,2,2,2,beneficial,0.15996173275238548,0.042313617580552965,0.06478495258337678,0.2857142857142857,0.14285714285714285,0.001127455819658424,0
44081,44,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.030165252452438,0.4102183065970881,0.468010308717,0.10918714081084856,0.03319118346800376,0.0759959573428448,0,1,1,,beneficial,0.10918714081084856,0.06416938926133994,0.043646375637628715,0.14285714285714285,0.0,0.0759959573428448,0
44081,59,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,2.128773559236939,0.45839026778144415,0.468010308717,0.11715169502135156,0.026101667883115506,0.09105002713823605,0,1,1,,beneficial,0.11715169502135156,0.05391400416100473,0.044795799918410005,0.14285714285714285,0.0,0.09105002713823605,0
44082,26,2,1,2,1,1,harmful,neutral,0.09189898610942182,0.05587401700730321,0.05587401700730321,2.4260036998081973,0.644412411724856,0.468010308717,0.1291070148005214,0.355216273660646,-0.22610925886012462,1,3,2,1,harmful,0.1291070148005214,0.026394730694007235,0.054195542075899834,0.42857142857142855,0.0,-0.22610925886012462,1
44084,14,3,2,3,1,1,beneficial,neutral,0.0,0.0,0.0,2.3158257723221096,0.49149210737101307,0.468010308717,0.20150098832006275,0.08583268126533447,0.11566830705472828,0,1,2,2,beneficial,0.20150098832006275,0.06220664803535384,0.06272388884946746,0.14285714285714285,0.0,0.11566830705472828,0
44084,15,3,1,1,1,0,beneficial,beneficial,0.0,0.0,0.0,1.827252551633616,0.3380077073357599,0.468010308717,0.1492061535847183,0.0377808620700571,0.11142529151466121,0,1,1,,beneficial,0.1492061535847183,0.08260946595430362,0.04930309569472391,0.0,0.0,0.11142529151466121,0
44084,18,3,1,3,1,1,beneficial,neutral,0.0,0.0,0.0,1.7575765256847689,0.4816607237115034,0.468010308717,0.17986052051243073,0.030031603501368027,0.1498289170110627,0,1,1,1,beneficial,0.17986052051243073,0.06109286595500925,0.06186332505124608,0.14285714285714285,0.0,0.1498289170110627,0
44084,24,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,2.324817610716782,0.32170233921244956,0.468010308717,0.25521044464343373,0.033720666978799545,0.22148977766463418,0,1,2,,beneficial,0.25521044464343373,0.11689369079461706,0.0847696094554994,0.14285714285714285,0.0,0.22148977766463418,0
