test_index,best_persistence,predicted_under_risk,selected_lambda,oracle_lambda,selected_action,oracle_lambda_action,selected_regret,oracle_lambda_regret,predicted_regret_lambda_0.00,predicted_regret_lambda_0.10,predicted_regret_lambda_0.25,predicted_regret_lambda_1.00
25,1,0.022694503764401536,0.1,0.0,2,2,0.0,0.0,0.00010699654136893345,0.0,0.0,0.0
26,1,0.023856148773027813,0.1,0.0,2,2,0.0,0.0,3.882205948953818e-05,0.0,0.0,0.0
27,1,0.035066168873382424,0.25,0.0,3,1,0.0,0.0,0.0018937184110290664,0.00113176450846491,0.0,0.0
28,1,0.04750235102302107,1.0,0.0,3,1,0.0,0.0,0.03870875327248843,0.02336755421901309,0.01202168770227471,0.0
29,1,0.023237868677336185,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
30,1,0.023780873381575078,1.0,0.0,3,1,0.0,0.0,0.017150200702642383,0.021853630358872445,0.007075805634498555,0.0
31,1,0.019701317976916273,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
32,3,0.041186146798371175,1.0,0.25,3,3,0.0,0.0,0.0019940727531063654,0.0008276333361250962,0.00010946279645300112,1.1374839332716744e-05
33,3,0.0332631374973132,1.0,1.0,3,3,0.0,0.0,0.02772458264767623,0.031296569045274975,0.02462243093007585,9.749862285185782e-06
34,2,0.042777572975419474,1.0,1.0,3,3,0.0,0.0,0.04681728878899895,0.04400051735711698,0.04182130955867267,2.2749678665433488e-05
35,2,0.03567679074560212,0.1,0.0,3,3,0.0,0.0,0.0006329330658822826,0.0,0.0,0.0
36,2,0.0361148293602659,1.0,0.0,3,3,0.0,0.0,0.0048364817569961655,0.002240008794722068,0.00300708888318355,0.0
37,2,0.03646748878062584,0.25,0.0,3,2,0.0,0.0,0.0017772765105626281,0.001481896568453549,0.0,9.668613432809234e-05
38,2,0.02468004002788759,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0
39,2,0.03118213995305355,0.25,0.0,2,2,0.0,0.0,0.00034978602026100044,4.662915304902232e-05,0.0,0.0
40,2,0.034663160168209146,0.25,0.0,3,2,0.0,0.0,0.0018762531648030896,0.0012549350976829635,0.0,0.0010346228861629633
41,3,0.020797499966750708,1.0,0.0,1,1,0.007375586548430901,0.007375586548430901,0.03741894405797302,0.03781705047829372,0.03698134707150415,0.0007902263382143077
42,3,0.026822066442761982,1.0,0.0,1,1,0.03091974117703608,0.03091974117703608,0.04604676152065093,0.041722775497828386,0.04054348265532564,0.0003917819661597157
43,2,0.03951930612254934,1.0,1.0,3,3,0.006871910725323005,0.006871910725323005,0.046793013560071685,0.03266150940362027,0.015865524073613895,2.1124701617902526e-05
44,1,0.024436690988507717,1.0,0.0,3,1,0.006622848127195047,0.0,0.050603460245575826,0.04788685747558303,0.04687751313646619,0.0008381631611164708
45,1,0.021222086183046187,1.0,0.0,3,2,0.0,0.0,0.037534617264532374,0.011187679819021063,0.008480612252873788,0.0
46,1,0.01365850721967068,1.0,0.0,3,2,0.0,0.0,0.035159630832880595,0.007503668559710618,0.002620174013107413,0.00047693076345033835
47,1,0.01259623508265569,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
48,1,0.009318752027240971,1.0,0.0,3,1,0.0,0.0,0.013908084743762521,0.009964909162919068,0.0011144367578716334,0.0
49,1,0.028818895238164565,1.0,0.0,3,1,0.0,0.0,0.011901274095840953,0.015263728333483032,0.00324972846645007,0.0
