generation_seed,test_index,action,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss,realized_action_regret,unsafe_action
44261,61,2,1.618076041765887,2.577225931064427,0.9591498892985402,0.14151241561486363,0.020605590316144215,0.012329046056767212,1
44261,61,3,1.618076041765887,2.3332108790941346,0.7151348373282476,0.13241868338727109,0.011511858088551666,0.0002590831233272306,0
44261,62,1,1.5708569603375409,2.2532609396819594,0.6824039793444185,0.09846327232424593,0.0,0.04241350039030567,1
44261,62,2,1.5708569603375409,2.6345120139734144,1.0636550536358735,0.10307959181761543,0.004616319493369506,0.030343537456865716,1
44261,62,3,1.5708569603375409,2.177907580140398,0.6070506198028573,0.11673610215515297,0.018272829830907042,0.0,0
44261,63,1,1.7544907220054742,2.174351455274464,0.41986073326898987,0.1764599443421694,0.02577664523757181,0.021143010920483485,1
44261,63,2,1.7544907220054742,2.147621078707044,0.3931303567015698,0.17047411485989886,0.019790815755301255,0.0,0
44261,63,3,1.7544907220054742,1.9752161025443034,0.22072538053882917,0.1506832991045976,0.0,0.0,0
44261,64,1,1.0788577236193713,2.254288511514185,1.1754307878948138,0.16570510746424497,0.04156029461481328,0.06326735984776363,1
44261,64,2,1.0788577236193713,2.191547575015953,1.1126898513965817,0.15221173184146636,0.028066918992034673,0.0,0
44261,64,3,1.0788577236193713,2.0819119747196146,1.0030542511002434,0.12414481284943168,0.0,0.0,0
44261,65,1,1.1230365936091238,1.616598078965992,0.49356148535686817,0.07683883426425377,0.0,0.0632673598477636,1
44261,65,2,1.1230365936091238,1.9457834462152532,0.8227468526061295,0.07803666162733601,0.0011978273630822434,0.0,0
44261,65,3,1.1230365936091238,1.7888194463776952,0.6657828527685714,0.09030927575271379,0.013470441488460022,0.0,0
44261,66,1,2.6316235909104124,2.8318780979480866,0.20025450703767422,0.03925873655420103,0.0,0.06326735984776362,1
44261,66,2,2.6316235909104124,2.969480530528494,0.3378569396180815,0.07993310337732734,0.040674366823126314,0.0,0
44261,66,3,2.6316235909104124,3.017160240058484,0.3855366491480714,0.08351615181648174,0.04425741526228071,0.0,0
44261,67,1,1.9606294020866568,2.742576669034718,0.7819472669480612,0.10870514566217551,0.0,0.0,0
44261,67,2,1.9606294020866568,2.8767118958973397,0.9160824938106829,0.11834298321316489,0.009637837550989375,0.006559109903643806,1
44261,67,3,1.9606294020866568,2.9715901979710493,1.0109607958843925,0.12144757337299798,0.012742427710822471,0.004435348938162581,0
44261,68,1,4.013458786637471,4.156111532127185,0.1426527454897144,0.04172858040312198,0.0,0.0021237609654811973,0
