test_index,best_persistence,predicted_under_risk,predicted_safe_set,true_minimum_set,baseline_lambda,responsive_model_lambda,responsive_oracle_lambda,responsive_model_action,responsive_model_regret,responsive_model_in_true_set,responsive_oracle_match,responsive_score_0.00,responsive_score_0.10,responsive_score_0.25,responsive_score_1.00
43,2,0.03951930612254934,1.00,1.00,1.0,1.0,1.0,3,0.006871910725323005,1,1,0.09909920634920637,0.7120371558344581,0.19767377677905118,0.6956111309325597
44,1,0.024436690988507717,1.00,0.00|0.10|0.25,1.0,1.0,0.0,3,0.006622848127195047,0,0,0.32833235415378287,0.3576798944338924,0.19849035980288385,0.7465759835402695
45,1,0.021222086183046187,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6339234693877547,0.6771194123676757,0.03776630109203196,0.3669886621315194
46,1,0.01365850721967068,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6828996598639452,0.3698024802628285,0.20571712101261186,0.22987069676355384
47,1,0.01259623508265569,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,1.0,0.005453531249405634,0.0,0.002142857142857143
48,1,0.009318752027240971,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.8874120284477426,0.005446407186038523,0.45570713117123873,0.04482766439909298
49,1,0.028818895238164565,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.6379417130488558,0.023054636524478953,0.018844051303371065,0.20455786277214846
50,1,0.023520217346594405,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.9951802721088435,0.0,0.0,0.020766800659657806
51,1,0.02958356952205886,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.455924654710369,0.0013824884792626728,0.4464587855104253,0.09806230674087814
52,1,0.03759264192945932,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.33720634920634923,0.29902492052377355,0.04160043411277111,0.7197252628324063
53,1,0.024715343027548062,0.25|1.00,0.00|0.10|0.25|1.00,0.25,0.25,0.0,1,0.0,1,0,0.5737172232529374,0.07614165736410304,0.08879204554767832,0.03168310657596372
54,1,0.024536543970978028,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9985714285714286,0.0041548205489092185,0.0,0.002142857142857143
55,1,0.04103390877169623,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,0.25,0.0,3,0.0,1,0,0.7336540404040404,0.22215390179369532,0.272083609256455,0.030094104308390025
56,3,0.03274480707504506,1.00,0.25|1.00,1.0,1.0,0.25,3,0.0,1,0,0.26910322613894044,0.20606288514738402,0.32670897477564886,0.32526618223046794
57,3,0.03312817728570933,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.31381292517006804,0.058358625761105946,0.18446642049028736,0.5077882435025296
58,2,0.03188031448587982,1.00,0.10|0.25|1.00,1.0,1.0,0.1,3,0.0,1,0,0.3583628633271492,0.6216679701340014,0.20981851901723567,0.35756179138322
59,1,0.02450722746566402,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,0.1,0.0,2,0.0,1,0,0.9769421768707485,0.06567705904069614,0.029458864438029666,0.009226190476190476
60,1,0.025880579595396618,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,3,0.0,1,0,0.43915764790764783,0.013721720604000518,0.06761041371927837,0.6640997137782855
61,1,0.013577055933409007,0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.1,0.25,0.0,3,0.0,1,0,0.9741474953617812,0.0013127413127413127,0.28829141725300744,0.028429705215419508
62,3,0.05077392905885838,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.8291156462585036,0.4362002864053526,0.15538748602957697,0.20419666048237478
63,3,0.03441037613827375,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.46421655328798184,0.035220158888839,0.14020036114483617,0.6492006208077641
64,2,0.028331236741233785,1.00,0.25|1.00,1.0,1.0,0.25,3,0.0,1,0,0.7984961348175634,0.023015115904809754,0.009559491830920403,0.04907931354359926
65,2,0.02666612018666824,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,0.9858809523809522,0.008166823835026602,0.004047095761381475,0.02865300968872398
66,2,0.024864527996219323,0.25,1.00,0.25,0.25,1.0,1,0.03138122831986774,0,0,0.4774076479076476,0.024472866780955015,0.21968584365972832,0.059206916099773244
67,3,0.03559728941070486,1.00,0.25|1.00,1.0,1.0,0.25,3,0.0,1,0,0.5678821377035661,0.0313092053153085,0.07169863802207453,0.13679751597608736
68,3,0.02766769465236672,1.00,0.00|0.10|0.25|1.00,1.0,1.0,0.0,1,0.057717810433482175,1,0,0.4442069160997731,0.2268699864190976,0.285963474403585,0.6390582037010611
69,2,0.03267914010910429,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.34593707482993186,0.005534013605442177,0.20196564230384967,0.4141309246309248
70,2,0.02537222256577211,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.5512070191713047,0.031305848242608625,0.059340573957421795,0.18172152054294907
71,2,0.0203037311797933,0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,0.0,0.0,0.0,2,0.0,1,1,1.0,0.0013095238095238095,0.0,0.0014285714285714286
72,2,0.031056467919537645,1.00,1.00,1.0,1.0,1.0,3,0.0,1,1,0.23292336631622357,0.009498337718925954,0.33269566039023435,0.5545554247339964
73,1,0.012339921780130157,0.00|0.10|0.25,0.00|0.10|0.25|1.00,0.0,0.0,0.0,1,0.0,1,1,0.9046995980210266,0.0013127413127413127,0.07002245523516165,0.05327551020408163
74,1,0.01009082743405334,0.00|0.10|0.25,0.00|0.10|0.25|1.00,0.0,0.0,0.0,1,0.0,1,1,0.9341740878169451,0.0013127413127413127,0.06592357835368173,0.0451343537414966
