condition,true_class,magnitude,sequence_replicate,evidence_budget,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,marginal_mae,joint_total_variation,joint_js_divergence
process_disturbance_2.70,process_disturbance,2.7,82,20,0.6,0.4,0.0,0.05,0.46,0.06,0.06,0.04333333333333333,0.06999999999999995,0.03152010795101522
process_disturbance_2.70,process_disturbance,2.7,83,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,83,10,0.5,0.5,0.1,0.0,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,83,20,0.45,0.55,0.1,0.05,0.46,0.06,0.06,0.046666666666666676,0.1,0.008685220160995624
process_disturbance_2.70,process_disturbance,2.7,84,5,0.4,0.6,0.2,0.2,0.46,0.06,0.06,0.13999999999999999,0.28,0.07815939349433479
process_disturbance_2.70,process_disturbance,2.7,84,10,0.6,0.4,0.1,0.1,0.46,0.06,0.06,0.04666666666666667,0.13999999999999999,0.0216719226419523
process_disturbance_2.70,process_disturbance,2.7,84,20,0.6,0.4,0.1,0.05,0.46,0.06,0.06,0.03666666666666667,0.09999999999999998,0.010084121500214552
process_disturbance_2.70,process_disturbance,2.7,85,5,1.0,0.0,0.0,0.0,0.46,0.06,0.06,0.19333333333333333,0.4600000000000001,0.2803220841364248
process_disturbance_2.70,process_disturbance,2.7,85,10,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,85,20,0.6,0.4,0.0,0.05,0.46,0.06,0.06,0.04333333333333333,0.06999999999999995,0.03152010795101522
process_disturbance_2.70,process_disturbance,2.7,86,5,0.4,0.6,0.0,0.2,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,86,10,0.6,0.4,0.1,0.1,0.46,0.06,0.06,0.04666666666666667,0.13999999999999999,0.0216719226419523
process_disturbance_2.70,process_disturbance,2.7,86,20,0.5,0.5,0.1,0.05,0.46,0.06,0.06,0.029999999999999995,0.049999999999999996,0.004580911118678519
process_disturbance_2.70,process_disturbance,2.7,87,5,0.8,0.2,0.2,0.0,0.46,0.06,0.06,0.15333333333333335,0.4,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,87,10,0.8,0.2,0.2,0.0,0.46,0.06,0.06,0.15333333333333335,0.4,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,87,20,0.5,0.5,0.1,0.05,0.46,0.06,0.06,0.029999999999999995,0.049999999999999996,0.004580911118678519
process_disturbance_2.70,process_disturbance,2.7,88,5,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,88,10,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,88,20,0.65,0.35,0.1,0.0,0.46,0.06,0.06,0.07000000000000002,0.15000000000000002,0.042288882588815815
process_disturbance_2.70,process_disturbance,2.7,89,5,0.4,0.6,0.0,0.2,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,89,10,0.6,0.4,0.1,0.1,0.46,0.06,0.06,0.04666666666666667,0.13999999999999999,0.0216719226419523
process_disturbance_2.70,process_disturbance,2.7,89,20,0.6,0.4,0.1,0.1,0.46,0.06,0.06,0.04666666666666667,0.13999999999999999,0.0216719226419523
process_disturbance_2.70,process_disturbance,2.7,90,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,90,10,0.5,0.5,0.1,0.0,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,90,20,0.5,0.5,0.1,0.05,0.46,0.06,0.06,0.029999999999999995,0.049999999999999996,0.004580911118678519
process_disturbance_2.70,process_disturbance,2.7,91,5,0.0,1.0,0.0,0.2,0.46,0.06,0.06,0.24666666666666667,0.6000000000000001,0.3975771340456288
process_disturbance_2.70,process_disturbance,2.7,91,10,0.1,0.9,0.1,0.1,0.46,0.06,0.06,0.17333333333333334,0.44000000000000006,0.17309567537043818
process_disturbance_2.70,process_disturbance,2.7,91,20,0.4,0.6,0.05,0.05,0.46,0.06,0.06,0.053333333333333316,0.16,0.019264573899813793
process_disturbance_2.70,process_disturbance,2.7,92,5,0.4,0.6,0.2,0.2,0.46,0.06,0.06,0.13999999999999999,0.28,0.07815939349433479
process_disturbance_2.70,process_disturbance,2.7,92,10,0.4,0.6,0.1,0.1,0.46,0.06,0.06,0.07333333333333332,0.14,0.016595600512443846
process_disturbance_2.70,process_disturbance,2.7,92,20,0.45,0.55,0.1,0.05,0.46,0.06,0.06,0.046666666666666676,0.1,0.008685220160995624
process_disturbance_2.70,process_disturbance,2.7,93,5,0.8,0.2,0.0,0.2,0.46,0.06,0.06,0.15333333333333335,0.4000000000000001,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,93,10,0.7,0.3,0.0,0.1,0.46,0.06,0.06,0.08666666666666668,0.19999999999999996,0.05435411575817236
process_disturbance_2.70,process_disturbance,2.7,93,20,0.6,0.4,0.05,0.1,0.46,0.06,0.06,0.03666666666666667,0.09999999999999999,0.010084121500214552
process_disturbance_2.70,process_disturbance,2.7,94,5,0.2,0.8,0.2,0.0,0.46,0.06,0.06,0.18000000000000002,0.4,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,94,10,0.3,0.7,0.2,0.0,0.46,0.06,0.06,0.14666666666666664,0.30000000000000004,0.09482383139952341
process_disturbance_2.70,process_disturbance,2.7,94,20,0.4,0.6,0.15,0.0,0.46,0.06,0.06,0.09666666666666665,0.19999999999999998,0.057463058730402077
process_disturbance_2.70,process_disturbance,2.7,95,5,0.6,0.4,0.0,0.2,0.46,0.06,0.06,0.08666666666666667,0.19999999999999998,0.07306588426197563
process_disturbance_2.70,process_disturbance,2.7,95,10,0.6,0.4,0.0,0.2,0.46,0.06,0.06,0.08666666666666667,0.19999999999999998,0.07306588426197563
process_disturbance_2.70,process_disturbance,2.7,95,20,0.65,0.35,0.0,0.1,0.46,0.06,0.06,0.07000000000000002,0.15000000000000002,0.042288882588815815
process_disturbance_2.70,process_disturbance,2.7,96,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,96,10,0.4,0.6,0.1,0.0,0.46,0.06,0.06,0.07999999999999999,0.19999999999999998,0.052253176928281804
process_disturbance_2.70,process_disturbance,2.7,96,20,0.5,0.5,0.05,0.0,0.46,0.06,0.06,0.03666666666666666,0.11000000000000001,0.036425592119996034
process_disturbance_2.70,process_disturbance,2.7,97,5,0.4,0.6,0.2,0.0,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,97,10,0.3,0.7,0.1,0.0,0.46,0.06,0.06,0.11333333333333331,0.30000000000000004,0.08500427853096146
process_disturbance_2.70,process_disturbance,2.7,97,20,0.55,0.45,0.05,0.05,0.46,0.06,0.06,0.01,0.019999999999999976,0.0007420399269863409
process_disturbance_2.70,process_disturbance,2.7,98,5,0.8,0.2,0.0,0.2,0.46,0.06,0.06,0.15333333333333335,0.4000000000000001,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,98,10,0.6,0.4,0.1,0.1,0.46,0.06,0.06,0.04666666666666667,0.13999999999999999,0.0216719226419523
process_disturbance_2.70,process_disturbance,2.7,98,20,0.55,0.45,0.1,0.05,0.46,0.06,0.06,0.020000000000000004,0.050000000000000024,0.004908980288598667
process_disturbance_2.70,process_disturbance,2.7,99,5,0.4,0.6,0.2,0.0,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,99,10,0.6,0.4,0.2,0.0,0.46,0.06,0.06,0.08666666666666667,0.19999999999999998,0.07306588426197563
process_disturbance_2.70,process_disturbance,2.7,99,20,0.55,0.45,0.15,0.0,0.46,0.06,0.06,0.05333333333333334,0.10000000000000002,0.0453077024543322
process_disturbance_2.70,process_disturbance,2.7,100,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,100,10,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,100,20,0.5,0.5,0.0,0.1,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,101,5,0.2,0.8,0.4,0.0,0.46,0.06,0.06,0.24666666666666667,0.4,0.1917864906034744
process_disturbance_2.70,process_disturbance,2.7,101,10,0.4,0.6,0.2,0.0,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,101,20,0.4,0.6,0.15,0.05,0.46,0.06,0.06,0.07999999999999999,0.15000000000000002,0.02400571964970937
process_disturbance_2.70,process_disturbance,2.7,102,5,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,102,10,0.4,0.6,0.0,0.2,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,102,20,0.45,0.55,0.1,0.15,0.46,0.06,0.06,0.07333333333333335,0.13000000000000003,0.02187493773924866
process_disturbance_2.70,process_disturbance,2.7,103,5,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,103,10,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,103,20,0.5,0.5,0.1,0.05,0.46,0.06,0.06,0.029999999999999995,0.049999999999999996,0.004580911118678519
process_disturbance_2.70,process_disturbance,2.7,104,5,0.2,0.8,0.2,0.2,0.46,0.06,0.06,0.2066666666666667,0.34,0.1176402888015381
process_disturbance_2.70,process_disturbance,2.7,104,10,0.5,0.5,0.1,0.1,0.46,0.06,0.06,0.04,0.08000000000000004,0.008747851480290843
process_disturbance_2.70,process_disturbance,2.7,104,20,0.4,0.6,0.1,0.1,0.46,0.06,0.06,0.07333333333333332,0.14,0.016595600512443846
process_disturbance_2.70,process_disturbance,2.7,105,5,0.2,0.8,0.0,0.2,0.46,0.06,0.06,0.18000000000000002,0.39999999999999997,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,105,10,0.2,0.8,0.1,0.1,0.46,0.06,0.06,0.14,0.34,0.09208435072879075
process_disturbance_2.70,process_disturbance,2.7,105,20,0.4,0.6,0.05,0.15,0.46,0.06,0.06,0.07999999999999999,0.15000000000000002,0.02400571964970937
process_disturbance_2.70,process_disturbance,2.7,106,5,0.6,0.4,0.2,0.0,0.46,0.06,0.06,0.08666666666666667,0.19999999999999998,0.07306588426197563
process_disturbance_2.70,process_disturbance,2.7,106,10,0.6,0.4,0.1,0.0,0.46,0.06,0.06,0.05333333333333334,0.09999999999999999,0.03568704831262755
process_disturbance_2.70,process_disturbance,2.7,106,20,0.6,0.4,0.05,0.0,0.46,0.06,0.06,0.04333333333333333,0.06999999999999995,0.03152010795101522
process_disturbance_2.70,process_disturbance,2.7,107,5,0.2,0.8,0.0,0.2,0.46,0.06,0.06,0.18000000000000002,0.39999999999999997,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,107,10,0.3,0.7,0.2,0.1,0.46,0.06,0.06,0.13999999999999999,0.24000000000000005,0.059166254983685454
process_disturbance_2.70,process_disturbance,2.7,107,20,0.5,0.5,0.1,0.05,0.46,0.06,0.06,0.029999999999999995,0.049999999999999996,0.004580911118678519
process_disturbance_2.70,process_disturbance,2.7,108,5,0.4,0.6,0.0,0.2,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,108,10,0.5,0.5,0.0,0.1,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,108,20,0.5,0.5,0.0,0.05,0.46,0.06,0.06,0.03666666666666666,0.11000000000000001,0.036425592119996034
process_disturbance_2.70,process_disturbance,2.7,109,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,109,10,0.7,0.3,0.0,0.0,0.46,0.06,0.06,0.09333333333333334,0.15999999999999998,0.06836924142884761
process_disturbance_2.70,process_disturbance,2.7,109,20,0.6,0.4,0.1,0.0,0.46,0.06,0.06,0.05333333333333334,0.09999999999999999,0.03568704831262755
process_disturbance_2.70,process_disturbance,2.7,110,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,110,10,0.7,0.3,0.1,0.0,0.46,0.06,0.06,0.08666666666666668,0.19999999999999998,0.05435411575817236
process_disturbance_2.70,process_disturbance,2.7,110,20,0.6,0.4,0.05,0.05,0.46,0.06,0.06,0.02666666666666666,0.059999999999999984,0.0026984452841595317
process_disturbance_2.70,process_disturbance,2.7,111,5,0.2,0.8,0.0,0.0,0.46,0.06,0.06,0.15333333333333335,0.4600000000000001,0.1874073026837612
process_disturbance_2.70,process_disturbance,2.7,111,10,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,111,20,0.55,0.45,0.05,0.0,0.46,0.06,0.06,0.02666666666666667,0.07,0.03211798487607917
process_disturbance_2.70,process_disturbance,2.7,112,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,112,10,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,112,20,0.5,0.5,0.05,0.05,0.46,0.06,0.06,0.01999999999999999,0.06000000000000001,0.002968253039303332
process_disturbance_2.70,process_disturbance,2.7,113,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,113,10,0.5,0.5,0.0,0.2,0.46,0.06,0.06,0.08,0.14000000000000004,0.06014181310031418
process_disturbance_2.70,process_disturbance,2.7,113,20,0.55,0.45,0.0,0.1,0.46,0.06,0.06,0.036666666666666674,0.059999999999999984,0.03373064295545435
process_disturbance_2.70,process_disturbance,2.7,114,5,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,114,10,0.7,0.3,0.0,0.0,0.46,0.06,0.06,0.09333333333333334,0.15999999999999998,0.06836924142884761
process_disturbance_2.70,process_disturbance,2.7,114,20,0.7,0.3,0.0,0.0,0.46,0.06,0.06,0.09333333333333334,0.15999999999999998,0.06836924142884761
process_disturbance_2.70,process_disturbance,2.7,115,5,0.2,0.8,0.0,0.2,0.46,0.06,0.06,0.18000000000000002,0.39999999999999997,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,115,10,0.5,0.5,0.0,0.1,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,115,20,0.45,0.55,0.05,0.1,0.46,0.06,0.06,0.046666666666666676,0.10000000000000002,0.008685220160995624
process_disturbance_2.70,process_disturbance,2.7,116,5,0.4,0.6,0.4,0.0,0.46,0.06,0.06,0.18,0.3400000000000001,0.15230559529627108
process_disturbance_2.70,process_disturbance,2.7,116,10,0.2,0.8,0.2,0.1,0.46,0.06,0.06,0.17333333333333334,0.34,0.1019039035973527
process_disturbance_2.70,process_disturbance,2.7,116,20,0.45,0.55,0.1,0.05,0.46,0.06,0.06,0.046666666666666676,0.1,0.008685220160995624
process_disturbance_2.70,process_disturbance,2.7,117,5,0.2,0.8,0.0,0.0,0.46,0.06,0.06,0.15333333333333335,0.4600000000000001,0.1874073026837612
process_disturbance_2.70,process_disturbance,2.7,117,10,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,117,20,0.5,0.5,0.1,0.0,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,118,5,0.8,0.2,0.0,0.2,0.46,0.06,0.06,0.15333333333333335,0.4000000000000001,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,118,10,0.5,0.5,0.2,0.1,0.46,0.06,0.06,0.07333333333333333,0.18000000000000005,0.04612668742963894
process_disturbance_2.70,process_disturbance,2.7,118,20,0.5,0.5,0.1,0.15,0.46,0.06,0.06,0.056666666666666664,0.13000000000000003,0.023543646833611383
process_disturbance_2.70,process_disturbance,2.7,119,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,119,10,0.4,0.6,0.1,0.1,0.46,0.06,0.06,0.07333333333333332,0.14,0.016595600512443846
process_disturbance_2.70,process_disturbance,2.7,119,20,0.6,0.4,0.05,0.1,0.46,0.06,0.06,0.03666666666666667,0.09999999999999999,0.010084121500214552
process_disturbance_2.70,process_disturbance,2.7,120,5,0.2,0.8,0.0,0.2,0.46,0.06,0.06,0.18000000000000002,0.39999999999999997,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,120,10,0.3,0.7,0.1,0.2,0.46,0.06,0.06,0.13999999999999999,0.24000000000000005,0.059166254983685454
process_disturbance_2.70,process_disturbance,2.7,120,20,0.4,0.6,0.1,0.1,0.46,0.06,0.06,0.07333333333333332,0.14,0.016595600512443846
process_disturbance_2.70,process_disturbance,2.7,121,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,121,10,0.6,0.4,0.0,0.1,0.46,0.06,0.06,0.05333333333333334,0.09999999999999999,0.03568704831262755
process_disturbance_2.70,process_disturbance,2.7,121,20,0.5,0.5,0.0,0.1,0.46,0.06,0.06,0.04666666666666666,0.10000000000000002,0.035956856067771346
process_disturbance_2.70,process_disturbance,2.7,122,5,0.4,0.6,0.0,0.2,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,122,10,0.4,0.6,0.0,0.1,0.46,0.06,0.06,0.07999999999999999,0.2,0.052253176928281804
process_disturbance_2.70,process_disturbance,2.7,122,20,0.45,0.55,0.1,0.1,0.46,0.06,0.06,0.05666666666666668,0.09,0.01029787824037081
process_disturbance_2.70,process_disturbance,2.7,123,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,123,10,0.7,0.3,0.1,0.0,0.46,0.06,0.06,0.08666666666666668,0.19999999999999998,0.05435411575817236
process_disturbance_2.70,process_disturbance,2.7,123,20,0.65,0.35,0.05,0.0,0.46,0.06,0.06,0.06000000000000001,0.11000000000000001,0.034903206372760794
process_disturbance_2.70,process_disturbance,2.7,124,5,0.6,0.4,0.2,0.2,0.46,0.06,0.06,0.11333333333333334,0.34,0.22850853849684719
process_disturbance_2.70,process_disturbance,2.7,124,10,0.8,0.2,0.1,0.1,0.46,0.06,0.06,0.11333333333333334,0.3400000000000001,0.1956016654643795
process_disturbance_2.70,process_disturbance,2.7,124,20,0.6,0.4,0.05,0.1,0.46,0.06,0.06,0.03666666666666667,0.09999999999999999,0.010084121500214552
process_disturbance_2.70,process_disturbance,2.7,125,5,0.2,0.8,0.0,0.2,0.46,0.06,0.06,0.18000000000000002,0.39999999999999997,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,125,10,0.4,0.6,0.0,0.1,0.46,0.06,0.06,0.07999999999999999,0.2,0.052253176928281804
process_disturbance_2.70,process_disturbance,2.7,125,20,0.4,0.6,0.05,0.05,0.46,0.06,0.06,0.053333333333333316,0.16,0.019264573899813793
process_disturbance_2.70,process_disturbance,2.7,126,5,0.8,0.2,0.0,0.2,0.46,0.06,0.06,0.15333333333333335,0.4000000000000001,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,126,10,0.8,0.2,0.0,0.1,0.46,0.06,0.06,0.12000000000000001,0.30000000000000004,0.10184651735509709
process_disturbance_2.70,process_disturbance,2.7,126,20,0.6,0.4,0.0,0.1,0.46,0.06,0.06,0.05333333333333334,0.09999999999999999,0.03568704831262755
process_disturbance_2.70,process_disturbance,2.7,127,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,127,10,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,127,20,0.6,0.4,0.05,0.0,0.46,0.06,0.06,0.04333333333333333,0.06999999999999995,0.03152010795101522
process_disturbance_2.70,process_disturbance,2.7,128,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,128,10,0.7,0.3,0.0,0.0,0.46,0.06,0.06,0.09333333333333334,0.15999999999999998,0.06836924142884761
process_disturbance_2.70,process_disturbance,2.7,128,20,0.55,0.45,0.05,0.05,0.46,0.06,0.06,0.01,0.019999999999999976,0.0007420399269863409
process_disturbance_2.70,process_disturbance,2.7,129,5,1.0,0.0,0.0,0.0,0.46,0.06,0.06,0.19333333333333333,0.4600000000000001,0.2803220841364248
process_disturbance_2.70,process_disturbance,2.7,129,10,0.8,0.2,0.0,0.1,0.46,0.06,0.06,0.12000000000000001,0.30000000000000004,0.10184651735509709
process_disturbance_2.70,process_disturbance,2.7,129,20,0.55,0.45,0.05,0.1,0.46,0.06,0.06,0.020000000000000004,0.050000000000000024,0.004908980288598666
process_disturbance_2.70,process_disturbance,2.7,130,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,130,10,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,130,20,0.6,0.4,0.05,0.05,0.46,0.06,0.06,0.02666666666666666,0.059999999999999984,0.0026984452841595317
process_disturbance_2.70,process_disturbance,2.7,131,5,0.2,0.8,0.2,0.0,0.46,0.06,0.06,0.18000000000000002,0.4,0.14347831234881409
process_disturbance_2.70,process_disturbance,2.7,131,10,0.3,0.7,0.2,0.0,0.46,0.06,0.06,0.14666666666666664,0.30000000000000004,0.09482383139952341
process_disturbance_2.70,process_disturbance,2.7,131,20,0.45,0.55,0.1,0.05,0.46,0.06,0.06,0.046666666666666676,0.1,0.008685220160995624
process_disturbance_2.70,process_disturbance,2.7,132,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,132,10,0.6,0.4,0.1,0.0,0.46,0.06,0.06,0.05333333333333334,0.09999999999999999,0.03568704831262755
process_disturbance_2.70,process_disturbance,2.7,132,20,0.5,0.5,0.05,0.1,0.46,0.06,0.06,0.029999999999999995,0.049999999999999996,0.00458091111867852
process_disturbance_2.70,process_disturbance,2.7,133,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,133,10,0.6,0.4,0.2,0.0,0.46,0.06,0.06,0.08666666666666667,0.19999999999999998,0.07306588426197563
process_disturbance_2.70,process_disturbance,2.7,133,20,0.55,0.45,0.1,0.0,0.46,0.06,0.06,0.036666666666666674,0.059999999999999984,0.03373064295545435
process_disturbance_2.70,process_disturbance,2.7,134,5,0.4,0.6,0.0,0.2,0.46,0.06,0.06,0.11333333333333333,0.2,0.06798956213246718
process_disturbance_2.70,process_disturbance,2.7,134,10,0.6,0.4,0.0,0.1,0.46,0.06,0.06,0.05333333333333334,0.09999999999999999,0.03568704831262755
process_disturbance_2.70,process_disturbance,2.7,134,20,0.45,0.55,0.0,0.1,0.46,0.06,0.06,0.06333333333333334,0.15000000000000002,0.042142559241688325
process_disturbance_2.70,process_disturbance,2.7,135,5,0.8,0.2,0.2,0.0,0.46,0.06,0.06,0.15333333333333335,0.4,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,135,10,0.5,0.5,0.2,0.0,0.46,0.06,0.06,0.08,0.14000000000000004,0.06014181310031418
process_disturbance_2.70,process_disturbance,2.7,135,20,0.55,0.45,0.1,0.05,0.46,0.06,0.06,0.020000000000000004,0.050000000000000024,0.004908980288598667
process_disturbance_2.70,process_disturbance,2.7,136,5,1.0,0.0,0.0,0.0,0.46,0.06,0.06,0.19333333333333333,0.4600000000000001,0.2803220841364248
process_disturbance_2.70,process_disturbance,2.7,136,10,1.0,0.0,0.0,0.0,0.46,0.06,0.06,0.19333333333333333,0.4600000000000001,0.2803220841364248
process_disturbance_2.70,process_disturbance,2.7,136,20,0.7,0.3,0.05,0.1,0.46,0.06,0.06,0.07,0.2,0.03872215308475296
process_disturbance_2.70,process_disturbance,2.7,137,5,0.4,0.6,0.0,0.0,0.46,0.06,0.06,0.08666666666666666,0.26,0.0938275856797432
process_disturbance_2.70,process_disturbance,2.7,137,10,0.4,0.6,0.1,0.0,0.46,0.06,0.06,0.07999999999999999,0.19999999999999998,0.052253176928281804
process_disturbance_2.70,process_disturbance,2.7,137,20,0.45,0.55,0.1,0.0,0.46,0.06,0.06,0.06333333333333334,0.15000000000000002,0.042142559241688325
process_disturbance_2.70,process_disturbance,2.7,138,5,0.8,0.2,0.2,0.0,0.46,0.06,0.06,0.15333333333333335,0.4,0.2469956270844028
process_disturbance_2.70,process_disturbance,2.7,138,10,0.7,0.3,0.1,0.0,0.46,0.06,0.06,0.08666666666666668,0.19999999999999998,0.05435411575817236
process_disturbance_2.70,process_disturbance,2.7,138,20,0.65,0.35,0.05,0.0,0.46,0.06,0.06,0.06000000000000001,0.11000000000000001,0.034903206372760794
process_disturbance_2.70,process_disturbance,2.7,139,5,0.6,0.4,0.0,0.0,0.46,0.06,0.06,0.06,0.11999999999999997,0.06289605290010805
process_disturbance_2.70,process_disturbance,2.7,139,10,0.7,0.3,0.0,0.0,0.46,0.06,0.06,0.09333333333333334,0.15999999999999998,0.06836924142884761
process_disturbance_2.70,process_disturbance,2.7,139,20,0.45,0.55,0.1,0.1,0.46,0.06,0.06,0.05666666666666668,0.09,0.01029787824037081
process_disturbance_2.70,process_disturbance,2.7,140,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
process_disturbance_2.70,process_disturbance,2.7,140,10,0.8,0.2,0.1,0.0,0.46,0.06,0.06,0.12000000000000001,0.30000000000000004,0.10184651735509709
process_disturbance_2.70,process_disturbance,2.7,140,20,0.65,0.35,0.05,0.1,0.46,0.06,0.06,0.05333333333333335,0.15000000000000002,0.020888080702085546
process_disturbance_2.70,process_disturbance,2.7,141,5,0.8,0.2,0.0,0.0,0.46,0.06,0.06,0.12666666666666668,0.26,0.09155297284953129
