condition,true_class,magnitude,sequence_replicate,evidence_budget,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,marginal_mae,joint_total_variation,joint_js_divergence
structural_change_delta_0.050,structural_change,0.05,436,20,0.0,1.0,1.0,0.85,1.0,1.0,0.82,0.010000000000000009,0.030000000000000013,0.001179400642406167
structural_change_delta_0.050,structural_change,0.05,437,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,437,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,437,20,0.0,1.0,1.0,0.75,1.0,1.0,0.82,0.023333333333333317,0.06999999999999998,0.00525439454014014
structural_change_delta_0.050,structural_change,0.05,438,5,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,438,10,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,438,20,0.0,1.0,1.0,0.75,1.0,1.0,0.82,0.023333333333333317,0.06999999999999998,0.00525439454014014
structural_change_delta_0.050,structural_change,0.05,439,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,439,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
structural_change_delta_0.050,structural_change,0.05,439,20,0.0,1.0,1.0,0.9,1.0,1.0,0.82,0.02666666666666669,0.08000000000000003,0.00970249198407536
structural_change_delta_0.050,structural_change,0.05,440,5,0.0,1.0,1.0,0.6,1.0,1.0,0.82,0.07333333333333332,0.22,0.043207426247930225
structural_change_delta_0.050,structural_change,0.05,440,10,0.0,1.0,1.0,0.8,1.0,1.0,0.82,0.006666666666666636,0.019999999999999962,0.00046888957607618426
