generation_seed,test_index,clean_action,poison_action,clean_unsafe,poison_unsafe,transition,clean_regret,poison_regret,delta_regret
44817,76,1,3,0,1,safe-to-unsafe,0.0,0.0155127788814501,0.0155127788814501
44817,77,1,3,0,0,safe-to-safe,0.0,0.0006531402540583,0.0006531402540583
44818,12,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44818,75,1,3,0,1,safe-to-unsafe,0.0,0.0485404854765583,0.0485404854765583
44818,76,1,3,0,1,safe-to-unsafe,0.0,0.0322333181966962,0.0322333181966962
44818,77,1,3,0,1,safe-to-unsafe,0.0,0.0171559737051478,0.0171559737051478
44818,78,1,3,0,0,safe-to-safe,0.0,0.0013580260438593,0.0013580260438593
44819,11,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44819,40,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44819,74,1,3,0,1,safe-to-unsafe,0.0,0.0484147468084378,0.0484147468084378
44819,75,1,3,0,1,safe-to-unsafe,0.0,0.0311774513265798,0.0311774513265798
44819,76,1,3,0,1,safe-to-unsafe,0.0,0.0167299378038636,0.0167299378038636
44819,77,1,3,0,0,safe-to-safe,0.0,0.001443539316505,0.001443539316505
44820,2,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44820,11,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44820,76,1,3,0,1,safe-to-unsafe,0.0,0.0485096826463287,0.0485096826463287
44820,77,1,3,0,1,safe-to-unsafe,0.0,0.0320785962200232,0.0320785962200232
44820,78,1,3,0,1,safe-to-unsafe,0.0,0.0208776647891442,0.0208776647891442
44820,79,1,3,0,0,safe-to-safe,0.0,0.0032464488735791,0.0032464488735791
44821,1,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44821,8,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44821,11,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44821,29,2,3,1,0,unsafe-to-safe,0.0765381164426268,0.0,-0.0765381164426268
44821,41,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44821,75,1,3,0,1,safe-to-unsafe,0.0,0.0252679439273234,0.0252679439273234
44821,76,1,3,0,1,safe-to-unsafe,0.0,0.0189436985114293,0.0189436985114293
44821,77,1,3,0,1,safe-to-unsafe,0.0,0.0263479383971385,0.0263479383971385
44821,79,1,3,0,1,safe-to-unsafe,0.0,0.0216235170274421,0.0216235170274421
44821,80,1,3,0,0,safe-to-safe,0.0,0.0034375380719868,0.0034375380719868
44822,1,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44822,9,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44822,12,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44822,30,2,3,1,0,unsafe-to-safe,0.0172797240787203,0.0,-0.0172797240787203
44822,72,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44822,73,2,3,0,0,safe-to-safe,0.0,0.0,0.0
44822,77,1,3,0,1,safe-to-unsafe,0.0,0.0256339170289621,0.0256339170289621
