model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
action_support_only,44781,258,42,216,0.5555555555555556,0.16666666666666666,0.3684210526315789,0.9444444444444444,0.5889550264550265
action_support_only,44782,264,47,217,0.5689773507206589,0.1702127659574468,0.5333333333333333,0.967741935483871,0.6255515246592803
action_support_only,44783,255,43,212,0.6088745063624397,0.27906976744186046,0.48,0.9386792452830188,0.6287845546292233
action_support_only,44784,219,55,164,0.5906319290465631,0.2727272727272727,0.5,0.9085365853658537,0.6053215077605321
action_support_only,44785,216,54,162,0.5740740740740741,0.2222222222222222,0.5,0.9259259259259259,0.6640374942844078
action_support_only,44786,225,49,176,0.5520640074211502,0.1836734693877551,0.391304347826087,0.9204545454545454,0.6021567717996289
action_support_only,44787,210,58,152,0.5533121597096189,0.1724137931034483,0.5,0.9342105263157895,0.558529945553539
action_support_only,44788,213,60,153,0.5256535947712418,0.11666666666666667,0.4117647058823529,0.934640522875817,0.5272331154684096
action_support_only,44789,204,54,150,0.5466666666666666,0.16666666666666666,0.45,0.9266666666666666,0.6471604938271605
action_support_only,44790,222,56,166,0.5531411359724613,0.17857142857142858,0.45454545454545453,0.927710843373494,0.5567986230636832
context_plus_action_support,44751,201,39,162,0.5441595441595442,0.38461538461538464,0.23809523809523808,0.7037037037037037,0.6289965178854067
context_plus_action_support,44752,192,34,158,0.6286299329858526,0.5294117647058824,0.29508196721311475,0.7278481012658228,0.7045793000744601
context_plus_action_support,44753,189,35,154,0.5512987012987013,0.34285714285714286,0.24489795918367346,0.7597402597402597,0.6211502782931355
context_plus_action_support,44754,189,38,151,0.5779888462879051,0.4473684210526316,0.2786885245901639,0.7086092715231788,0.6418612757058209
context_plus_action_support,44755,189,37,152,0.5820590327169275,0.4864864864864865,0.26865671641791045,0.6776315789473685,0.5969061166429588
context_plus_action_support,44756,189,42,147,0.5357142857142857,0.35714285714285715,0.2631578947368421,0.7142857142857143,0.5834143181081956
context_plus_action_support,44757,186,38,148,0.4994665718349929,0.2894736842105263,0.2037037037037037,0.7094594594594594,0.6097083926031295
context_plus_action_support,44758,186,37,149,0.5145111554507528,0.32432432432432434,0.21428571428571427,0.7046979865771812,0.619626337747143
context_plus_action_support,44759,189,41,148,0.5241430454845089,0.36585365853658536,0.24193548387096775,0.6824324324324325,0.6086025049439684
context_plus_action_support,44760,189,40,149,0.5389261744966443,0.4,0.25,0.6778523489932886,0.598489932885906
context_plus_action_support,44761,186,36,150,0.555,0.4166666666666667,0.2459016393442623,0.6933333333333334,0.6464814814814814
context_plus_action_support,44762,186,39,147,0.5648874934589221,0.4358974358974359,0.27419354838709675,0.6938775510204082,0.652014652014652
context_plus_action_support,44763,186,39,147,0.5939298796441653,0.48717948717948717,0.30158730158730157,0.7006802721088435,0.6671899529042387
context_plus_action_support,44764,186,35,151,0.5741721854304636,0.4,0.2692307692307692,0.7483443708609272,0.6775780510879849
context_plus_action_support,44765,189,35,154,0.5941558441558441,0.42857142857142855,0.28846153846153844,0.7597402597402597,0.7131725417439703
context_plus_action_support,44766,195,45,150,0.5433333333333333,0.3333333333333333,0.28846153846153844,0.7533333333333333,0.6508148148148147
context_plus_action_support,44767,195,41,154,0.5928888184985746,0.43902439024390244,0.3157894736842105,0.7467532467532467,0.6580614507443776
context_plus_action_support,44768,201,41,160,0.5519817073170732,0.34146341463414637,0.2692307692307692,0.7625,0.661280487804878
context_plus_action_support,44769,207,41,166,0.6228327945930061,0.3902439024390244,0.4,0.8554216867469879,0.7129003820158685
context_plus_action_support,44770,213,41,172,0.620745887691435,0.3170731707317073,0.5,0.9244186046511628,0.7261769710720364
context_plus_action_support,44771,204,42,162,0.6322751322751323,0.35714285714285715,0.5,0.9074074074074074,0.7186948853615519
context_plus_action_support,44772,201,40,161,0.6377329192546584,0.35,0.5384615384615384,0.9254658385093167,0.7133540372670808
context_plus_action_support,44773,210,46,164,0.6051166489925769,0.32608695652173914,0.4411764705882353,0.8841463414634146,0.6622481442205727
