trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
411,164,9,217,10.620494866629736
412,164,5,217,10.620494866629736
413,164,6,217,10.620494866629736
414,164,5,217,10.620494866629736
415,164,10,217,10.620494866629736
416,164,7,217,10.620494866629736
417,164,6,217,10.620494866629736
418,164,10,217,10.620494866629736
419,164,9,217,10.620494866629736
420,164,8,217,10.620494866629736
421,164,9,217,10.620494866629736
422,164,5,217,10.620494866629736
423,164,5,217,10.620494866629736
424,164,12,217,10.620494866629736
425,164,8,217,10.620494866629736
426,164,7,217,10.620494866629736
427,164,11,217,10.620494866629736
428,164,7,217,10.620494866629736
429,164,7,217,10.620494866629736
430,164,9,217,10.620494866629736
431,164,11,217,10.620494866629736
432,164,7,217,10.620494866629736
433,164,6,217,10.620494866629736
434,164,10,217,10.620494866629736
435,164,13,217,10.620494866629736
436,164,5,217,10.620494866629736
437,164,2,217,10.620494866629736
438,164,9,217,10.620494866629736
439,164,6,217,10.620494866629736
440,164,5,217,10.620494866629736
441,164,4,217,10.620494866629736
442,164,3,217,10.620494866629736
443,164,4,217,10.620494866629736
444,164,6,217,10.620494866629736
445,164,3,217,10.620494866629736
446,164,3,217,10.620494866629736
447,164,10,217,10.620494866629736
448,164,9,217,10.620494866629736
449,164,9,217,10.620494866629736
450,164,10,217,10.620494866629736
451,164,5,217,10.620494866629736
452,164,3,217,10.620494866629736
453,164,6,217,10.620494866629736
454,164,5,217,10.620494866629736
455,164,3,217,10.620494866629736
456,164,7,217,10.620494866629736
457,164,5,217,10.620494866629736
458,164,7,217,10.620494866629736
459,164,5,217,10.620494866629736
460,164,6,217,10.620494866629736
461,164,9,217,10.620494866629736
462,164,8,217,10.620494866629736
463,164,9,217,10.620494866629736
464,164,7,217,10.620494866629736
465,164,9,217,10.620494866629736
466,164,8,217,10.620494866629736
467,164,3,217,10.620494866629736
468,164,6,217,10.620494866629736
469,164,11,217,10.620494866629736
470,164,6,217,10.620494866629736
471,164,14,217,10.620494866629736
472,164,7,217,10.620494866629736
473,164,7,217,10.620494866629736
474,164,3,217,10.620494866629736
475,164,7,217,10.620494866629736
476,164,4,217,10.620494866629736
477,164,7,217,10.620494866629736
478,164,3,217,10.620494866629736
479,164,5,217,10.620494866629736
480,164,5,217,10.620494866629736
481,164,6,217,10.620494866629736
482,164,5,217,10.620494866629736
483,164,9,217,10.620494866629736
484,164,9,217,10.620494866629736
485,164,4,217,10.620494866629736
486,164,8,217,10.620494866629736
487,164,6,217,10.620494866629736
488,164,5,217,10.620494866629736
489,164,8,217,10.620494866629736
490,164,9,217,10.620494866629736
