test_index,best_persistence,predicted_under_risk,predicted_safe_levels,predicted_safe_actions,predicted_safe_action_count,true_minimum_levels,true_safe_actions,true_safe_action_count,responsive_true_lambda,responsive_true_action,conservative_true_action,action_headroom,baseline_lambda,baseline_action,baseline_action_gap,baseline_lambda_gap,baseline_matches_responsive_action,baseline_matches_responsive_lambda,different_lambda_same_action_available,different_lambda_different_action_available
61,1,0.013577055933409007,0.10|0.25|1.00,3,1,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.1,3,1,0.1,0,0,1,0
62,3,0.05077392905885838,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
63,3,0.03441037613827375,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
64,2,0.028331236741233785,1.00,3,1,0.25|1.00,3,1,0.25,3,3,0,1.0,3,0,0.75,1,0,0,0
65,2,0.02666612018666824,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,0,1
66,2,0.024864527996219323,0.25,1,1,1.00,3,1,1.0,3,3,0,0.25,1,-2,-0.75,0,0,0,0
67,3,0.03559728941070486,1.00,3,1,0.25|1.00,3,1,0.25,3,3,0,1.0,3,0,0.75,1,0,0,0
68,3,0.02766769465236672,1.00,1,1,0.00|0.10|0.25|1.00,1,1,0.0,1,1,0,1.0,1,0,1.0,1,0,0,0
69,2,0.03267914010910429,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
70,2,0.02537222256577211,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
71,2,0.0203037311797933,0.00|0.10|0.25|1.00,2|3,2,0.00|0.10|0.25|1.00,2|3,2,0.0,2,3,1,0.0,2,0,0.0,1,1,0,1
72,2,0.031056467919537645,1.00,3,1,1.00,3,1,1.0,3,3,0,1.0,3,0,0.0,1,1,0,0
73,1,0.012339921780130157,0.00|0.10|0.25,1|3,2,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,0.0,1,0,0.0,1,1,1,1
74,1,0.01009082743405334,0.00|0.10|0.25,1|3,2,0.00|0.10|0.25|1.00,1|3,2,0.0,1,3,2,0.0,1,0,0.0,1,1,1,1
