trial,unsafe_selected,total_regret
245,740,42.69001494429243
246,738,42.87179752285643
247,742,41.97576518708102
248,713,40.80025003423004
249,738,41.09590296939967
250,724,39.64250383552755
251,752,42.22251146376854
252,735,41.70199124664438
253,732,42.71775737102302
254,723,40.131671484918726
255,738,41.36623083083879
256,714,40.617420717050926
257,727,40.61306774041434
258,728,41.662969904687344
259,728,41.573529577140654
260,725,40.571612367513104
261,720,41.09485894447954
262,720,40.803177391696124
263,712,40.64017088990403
264,740,42.33418558705072
265,715,39.870661387955295
266,748,41.77222052828129
267,708,40.930082155759536
268,720,40.26570671287293
269,728,40.23232118868667
270,729,41.134046623211134
271,743,42.821444525229694
272,729,41.485307326493825
273,729,41.7189784654519
274,720,41.62228260276962
275,726,40.72582809752001
276,735,41.342734564996725
277,743,42.430649263720376
278,736,41.59031608551309
279,727,41.85170144712655
280,707,40.25001324138058
281,736,41.64050756424736
282,738,43.17430349363601
283,706,40.065329518420945
284,739,43.79538062378357
285,714,40.12599636151329
286,733,41.652071081099635
287,713,39.96358139543064
288,709,40.91295941566197
289,757,43.10008949744839
290,737,41.092505572326566
291,729,42.66092820298891
292,712,41.28980708107545
293,716,40.81780629805148
294,713,40.42376009487345
295,709,39.77949455952295
296,719,40.57694804540692
297,743,42.61326767864482
298,731,42.12847503347306
299,718,40.88155580171853
300,732,41.89939210035998
301,740,41.597316305562266
302,734,41.40546419279036
303,727,42.42309911454749
304,718,41.261454199196194
305,693,39.39983043977863
306,717,40.282921469564386
307,725,41.3534032964368
308,712,39.8180491494721
309,741,42.35379483838074
310,728,40.99149714910959
311,722,40.592825607357405
312,712,41.23619569622426
313,729,41.60675408968039
314,713,40.94310058582633
315,742,41.66158681464936
316,746,41.89428697036502
317,727,40.57813810093595
318,743,42.72078037032151
319,733,42.55468251231001
320,705,41.12651847400385
321,723,41.282058305160454
322,722,41.53677494703498
323,712,39.836382729506134
324,721,39.70618258710092
325,736,40.866329981669274
326,704,39.460846419958806
327,734,42.10227789149576
328,717,42.45099898159134
329,753,43.242540025412204
330,707,40.604338203779925
331,722,40.69192280189671
332,736,40.23284490877668
333,726,42.21417101796146
334,726,41.31460860092595
335,732,41.919723664107984
336,726,41.28141456816435
337,710,39.8556955964571
338,742,42.226547470356785
339,727,41.52746851195643
340,719,40.711366871252224
341,743,41.932402702890286
342,709,39.82933346480054
343,755,42.05573728211942
344,734,41.66366853130332
345,734,42.80120552024055
346,724,40.59039850863105
347,709,40.6187113790534
348,742,43.00970471023898
349,710,40.68793878277125
350,715,40.75794843112487
351,744,42.357173341541014
352,736,41.88271310870867
353,739,42.70745177632961
354,766,43.993334464453675
355,739,42.702298464237906
356,738,42.094708553354465
357,721,40.221423558500305
358,717,40.85723343700716
359,729,40.81333587097026
360,763,43.54655618323014
361,719,40.50247855423331
362,732,41.197442814711884
363,730,41.222227388728605
364,729,41.93956556160164
365,718,41.034563943622885
366,715,40.896162453598016
367,690,40.359804620959004
368,731,41.98205374619352
369,729,40.80097202716691
370,719,40.009378643571644
371,741,42.28693863057941
372,731,40.94742650422486
373,728,41.345784646094295
374,741,42.52020406879608
375,706,40.35888792100476
376,709,39.322538357049446
377,734,42.78437369571064
378,729,41.23634384415077
379,750,42.60343238012674
380,744,42.16327927622338
381,723,41.300863242109564
382,749,43.43446545627036
383,725,41.43661605227033
384,753,42.38043273765803
385,721,40.8692589081028
386,743,41.36604406886394
387,699,39.98230372921806
388,745,41.90816118201018
389,765,43.82070860130697
390,733,40.78531074069898
391,740,41.97956082727308
392,719,41.95747991800215
393,718,39.13923557253679
394,733,40.841706443516294
395,709,40.60577528144769
396,712,40.687448224412385
397,735,41.02351896945832
398,740,41.27388668435474
399,741,42.57905529725912
400,746,41.86021607779769
401,732,41.56899051397792
402,734,43.24876094269887
403,734,41.114728308670635
404,733,42.20282701696829
405,707,39.72948016379527
406,730,41.8432749680677
407,729,42.567269361197404
408,701,39.95009764777126
409,688,39.4307592002743
410,707,40.44678029452613
411,723,40.99122909009238
412,771,44.09215213552444
413,719,41.00446258515969
414,725,42.19203246705023
415,707,39.29870270192975
416,737,40.33484964124362
417,770,43.763086289153286
418,719,41.4832046699288
419,707,38.98372938285572
420,697,38.92820266588026
421,705,39.68205462778509
422,724,40.42726474295092
423,738,41.53603865218741
424,745,42.193770333122465
425,714,40.16103382666979
426,737,42.205592385183095
427,732,41.24104324723067
428,724,41.01943979734693
429,706,40.96998525215123
430,732,40.90965908041056
431,724,41.24640783202293
432,738,41.064847724329844
433,743,44.09596698074835
434,747,41.00539487907434
435,747,41.05537959032525
436,729,42.11788418562351
437,735,42.25394703829709
438,732,41.28850379256772
439,731,41.05251384415428
440,713,40.09416988542889
441,727,42.17591512255341
442,744,42.89663636646048
443,749,41.62925180827364
444,719,41.219626215499964
445,759,44.28872974591684
446,732,42.586254686837975
447,745,43.19121157283603
448,719,41.04372218388637
449,737,42.4323834131813
450,735,42.88398018499417
451,755,43.41837422789192
452,705,39.595933965505395
453,704,38.804175192500765
454,712,39.384952001758066
455,734,41.09650496235322
456,698,40.495768660938296
457,752,43.11094753024522
458,734,41.42281426775341
459,750,42.2789798692298
460,731,41.38698970382204
461,713,40.12403152319657
462,723,41.091457412187765
463,710,40.18005323839259
464,741,42.90544095833573
465,713,41.54057339990594
466,699,40.615112971606294
467,700,40.546952597975356
468,710,39.98012491271692
469,750,42.33996414740225
470,711,40.89190511860331
471,733,41.01861963978771
472,761,43.23815116263457
473,719,40.52960985070333
474,722,41.65190400207199
475,738,42.199700200043644
476,743,41.79585437765002
477,712,40.95365261323894
478,713,39.20177966367552
479,740,41.50930925633863
480,719,40.84016724524808
481,739,43.43530604404015
482,725,41.04464071391177
483,743,42.27406660310977
484,714,40.772416926264476
485,724,40.827518449426826
486,726,41.30974059342746
487,721,41.19527435503453
488,734,41.55703712970094
489,731,40.780600070647345
490,747,43.78241755796728
491,712,39.97793831623164
492,720,39.77873060946863
493,728,41.94484169818086
494,709,40.21878239268109
495,708,40.81142309514093
496,722,40.66248826100412
497,733,41.27089916094177
498,727,40.681176170193
499,748,43.28893780676785
500,693,40.733091004344764
501,740,41.7299631529838
502,726,42.25697638825564
503,715,40.54128536851938
504,727,41.496189946572734
505,724,41.10661557244435
506,718,41.18839810515823
507,702,39.77310539947984
508,729,42.37156598676528
509,735,41.52996490218727
510,741,42.850363775554584
511,699,40.056694220562214
512,709,40.71132584772816
513,743,41.95132338164246
514,728,41.78822484443543
515,717,41.05485648470611
516,731,41.64858998024349
517,724,41.50260309955204
518,720,40.063589397054564
519,706,39.65315447769248
520,712,40.548360632532685
521,710,41.26673864804355
522,699,39.35843562839838
523,717,40.08664932777176
524,739,41.84722197381444
525,727,41.75449406406626
526,723,40.341328350913415
527,714,39.862307593609444
528,714,41.521848455602644
529,733,41.43048310398777
530,747,42.686969417419455
531,735,42.19204509969899
532,717,42.311915316420105
533,723,39.94414713545633
534,734,43.005687844980244
535,736,41.770967164536835
536,723,41.17648159532232
537,733,41.55457563607868
538,704,39.33897343631603
539,721,40.863180921889125
540,732,42.33279360384574
541,731,41.63424120812882
542,730,41.125917280345874
543,705,40.11040706684108
544,717,39.783452887824616
545,735,43.11744116048343
546,705,40.81974938729645
