population,generation_seed,test_index,action,action2_indicator,harmful_target,context_support_distance,action_support_distance,action_support_minus_context,predicted_action_loss,predicted_relative_loss
population_001_010,44004,40,1,0,0,1.3611159799247399,1.8428635754342442,0.4817475955095043,0.16003787680466883,0.0
population_001_010,44004,54,2,1,0,1.1774714540591213,1.2427104935352773,0.06523903947615595,0.1131273917497574,0.0
population_001_010,44005,0,2,1,0,1.7373593630171569,2.0669456614968835,0.32958629847972665,0.10930532217687736,0.0
population_001_010,44005,3,2,1,0,1.562240373894253,1.8338331768983234,0.2715928030040704,0.10886658822152724,0.0
population_001_010,44005,7,1,0,1,1.198941788160871,1.6079770513798384,0.4090352632189673,0.12124167874909836,0.0
population_001_010,44005,8,2,1,0,1.3557658643211288,1.7649583048883806,0.4091924405672518,0.10937606102036293,0.0
population_001_010,44005,10,1,0,0,1.8134941784549645,2.517392097553831,0.7038979190988663,0.1838781576239466,0.0
population_001_010,44005,11,2,1,0,1.0454307088713932,2.099421728667959,1.0539910197965656,0.1522148339952482,0.0
population_001_010,44005,15,2,1,0,1.7088015713205678,1.8816815983442745,0.17288002702370675,0.1117003505907354,0.0
population_001_010,44005,16,2,1,0,1.8530108291540976,1.9762941589258287,0.12328332977173106,0.10401221989623326,0.0
population_001_010,44005,24,2,1,0,1.3906843957060657,1.6221392304196969,0.23145483471363115,0.11587991159624667,0.0
population_001_010,44005,36,1,0,0,1.1735450604870161,1.7714369030825714,0.5978918425955553,0.05391604272572996,0.0
population_001_010,44005,37,2,1,0,1.2029846645857907,2.0583297300304872,0.8553450654446966,0.1805881339318752,0.0
population_001_010,44005,38,1,0,0,1.3941377133775212,1.6091011949699978,0.21496348159247658,0.15519949824803578,0.0
population_001_010,44005,50,2,1,0,1.205608777768467,1.369523277033903,0.163914499265436,0.1068111171208995,0.0
population_001_010,44005,56,2,1,0,1.340884932511585,1.8673260985559614,0.5264411660443764,0.1493615102948801,0.0
population_001_010,44006,5,2,1,0,1.8599081754587552,2.1835520459927986,0.3236438705340434,0.0422385421399565,0.0
population_001_010,44006,13,2,1,1,1.6401029671315441,2.451100424886372,0.810997457754828,0.15881691963261066,0.0
population_001_010,44006,30,2,1,0,1.2162675011714539,1.936523824738797,0.7202563235673431,0.050354661421231114,0.0
population_001_010,44006,32,2,1,0,1.1984240659794858,1.8914560875898236,0.6930320216103378,0.1507193966658501,0.0
population_001_010,44006,62,2,1,0,1.621773874453686,2.0173570077115386,0.39558313325785255,0.05615756753357958,0.0
population_001_010,44006,66,1,0,1,1.7216554949520895,1.920936683578257,0.19928118862616762,0.153450206230163,0.0
