generation_seed,test_index,outcome,primary_action,expanded_action,true_responsive_action,action_step,safety_score,downside_score,support_distance,predicted_under_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_k1_minus_k2,predicted_loss_k1_minus_k3,predicted_loss_k2_minus_k3,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,primary_regret,expanded_regret,incremental_regret,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate
44084,29,beneficial,3,1,1,2,0.8698541666666668,0.007099255209937698,1.6928689903324365,0.022234410961899032,0.18167942265294226,0.1854375528249887,0.20151705422497612,-0.003758130172046431,-0.01983763157203386,-0.016079501399987428,0.0,0.0009940040540242115,0.0009940040540242115,0.0,0.0,0.0,0.7668277715709836,0.20989863252330887,15.0,4.799626694340233,1.0914883195618925,0.002754411180271547,0.9180443483374685
44085,3,beneficial,3,1,1,2,0.7771458333333331,0.0011898275363569626,2.1393790947394815,0.02587563126578118,0.13017220961631593,0.16279082273175996,0.14201894373461676,-0.032618613115444034,-0.011846734118300839,0.020771878997143195,0.0,0.0007042722431184299,0.0007042722431184299,0.0,0.0,0.0,0.7074004524090867,0.29100981597904674,35.0,4.849717130894902,0.7599571719882081,0.07254441791398811,0.9194247167029725
44085,20,beneficial,3,2,2,1,0.9479999999999997,0.00010949785399405744,1.766839472610992,0.033768481516840976,0.19209690024707815,0.15943613198407683,0.16404615946427084,0.03266076826300132,0.02805074078280731,-0.004610027480194012,5.965699572958365e-05,0.0007128778021841222,0.0006532208064545385,0.0,0.0,0.0,0.702956842400404,0.3191461765967997,16.0,4.806755693104525,0.7034855632934344,0.4021527048890447,0.9205225658358677
44085,26,beneficial,3,2,2,1,0.7640243055555557,0.0006549858577033562,1.9427407776830363,0.04311617974625174,0.21748485029141942,0.19478387491872237,0.19751620698887662,0.022700975372697052,0.019968643302542805,-0.0027323320701542475,2.673973793940243e-05,0.0009384785634610434,0.000911738825521641,0.0,0.0,0.0,0.7567374528409989,0.19283571528031532,20.0,5.132292476492307,0.8956837796756536,0.23389112687358218,0.9265031427626789
44085,32,beneficial,3,2,2,1,0.9232708333333334,0.00042598381841030166,2.018132251978963,0.036904278892822724,0.1710961523985248,0.16500064724651647,0.16805337491211877,0.006095505152008324,0.003042777486406023,-0.0030527276656023006,2.1237927667627672e-05,0.0019795190466337527,0.0019582811189661252,0.0,0.0,0.0,0.7072642138675838,0.274514647433973,21.0,5.047572358895003,0.7940185118251766,0.3489229291215289,0.9195562928835308
44087,0,beneficial,3,1,1,2,0.785708333333333,0.007556809247855119,2.1521308211047114,0.002795849318411192,0.11188584159878391,0.1214020601671843,0.11608163757088631,-0.00951621856840039,-0.004195795972102401,0.005320422596297988,0.0018035903494805132,0.003044401918551445,0.0012408115690709317,0.0,0.0,0.0,0.7638058702222211,0.15354578070601915,45.0,4.659891511747577,1.0499828370753592,0.23608834887162836,0.9215185130835092
44087,2,beneficial,2,1,1,1,0.8001428571428569,0.000737353756973346,1.2076908195486766,0.0021614957767254793,0.15119395923654896,0.1525597994946748,0.15609515452791353,-0.0013658402581258333,-0.0049011952913645684,-0.003535355033238735,4.9289609337595824e-05,0.00056863403979988,0.0005193444304622842,0.0,0.0,0.0,0.7777286175771148,0.17024767855048525,17.0,5.0890874308387355,1.164085990291846,2.512411322714151e-05,0.9202846058532933
44087,18,neutral,2,1,2,1,0.6328497023809523,0.001169710074439933,1.2694707655538906,0.0021614957767254793,0.1362152272339735,0.13585843314081747,0.14080409412881922,0.00035679409315603205,-0.004588866894845722,-0.004945660988001754,0.0001152630048326277,0.0001152630048326277,0.0,0.0,0.0,0.0,0.7680776116222789,0.1982131984911153,15.0,4.799626694340233,1.0914883195618925,0.002754411180271547,0.9180443483374685
44087,44,neutral,3,2,3,1,0.6548571428571429,0.0,2.15843190533922,0.0,0.11505067623750641,0.11262538521367339,0.11075614466216721,0.002425291023833015,0.004294531575339197,0.0018692405515061822,0.004948725952798856,0.004948725952798856,0.0,0.0,0.0,0.0,0.7559241808854232,0.18318134370425693,22.0,9.418440724546118,0.8559103603719077,0.17273981835244523,0.9212258998584302
44094,32,beneficial,3,2,2,1,0.6042232142857141,0.0,2.2054691262266504,0.003694186363629916,0.18022659477863423,0.1740847705661803,0.17758100665970106,0.0061418242124539335,0.002645588118933173,-0.0034962360935207604,0.0004019706231927119,0.002050346051170957,0.0016483754279782452,0.0,0.0,0.0,0.7364873468302972,0.16560393395466336,23.0,4.993510546628228,0.9564094436318199,0.7436576696904752,0.9208834701019775
