policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
direct_loss,0.35443037974683544,0.14973783443936856,0.007540240325480022,0.0,0.12134892846180059,0.8481012658227848,0.12658227848101267,9,42,28,0.8555937907532978,0.6075949367088608,0.0,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,1
fixed_risk_0.010,0.20253164556962025,0.1469926914342001,0.004795097320311575,0.0,0.12134892846180059,0.8607594936708861,0.10126582278481013,6,57,16,0.7896178869187346,0.6582278481012658,0.4936708860759494,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,1
two_stage_0.10,0.31645569620253167,0.14883660532527407,0.00663901121138555,0.0,0.12134892846180059,0.8481012658227848,0.12658227848101267,8,46,25,0.9292524365873995,0.4936708860759494,0.17721518987341772,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,1
two_stage_0.25,0.25316455696202533,0.14792099558324942,0.005723401469360901,0.0,0.12134892846180059,0.8481012658227848,0.11392405063291139,7,52,20,0.876040692283462,0.5569620253164557,0.3924050632911392,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,1
two_stage_1.00,0.08860759493670886,0.14598686108406478,0.003789266970176247,0.0,0.12134892846180059,0.8734177215189873,0.08860759493670886,4,68,7,0.4232877095371542,0.8734177215189873,0.7088607594936709,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,1
fixed_k3,0.0759493670886076,0.14333418494400413,0.0011365908301156017,0.0,0.03671525047672519,0.8987341772151899,0.06329113924050633,0,73,6,0.0,1.0,0.8227848101265823,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,0
oracle,1.0,0.14219759411388852,0.0,0.0,0.0,1.0,0.0,0,0,79,0.7773136163400156,0.620253164556962,0.6455696202531646,4,0ffc6b229198d2fcac7d25e419e20cd06dd721834e336f3365c60eb459c276b5,262,183,79,0
direct_loss,0.3670886075949367,0.1585528783822257,0.015884908166289763,0.0,0.12057013574886033,0.7341772151898734,0.25316455696202533,19,31,29,0.973301670521393,0.4177215189873418,0.0,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,1
fixed_risk_0.010,0.17721518987341772,0.15212255689778337,0.009454586681847428,0.0,0.12057013574886033,0.7848101265822784,0.16455696202531644,12,53,14,0.7948282601212495,0.6582278481012658,0.5063291139240507,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,1
two_stage_0.10,0.3291139240506329,0.15786294608782492,0.015194975871888982,0.0,0.12057013574886033,0.7341772151898734,0.24050632911392406,18,35,26,0.9946216514533672,0.379746835443038,0.0759493670886076,5,eb0ba2083c84d1046303fca0f3fc267796cac52777b5a5582b775a1353289cda,261,182,79,1
