population,generation_seed,test_index,action,action2_indicator,harmful_target,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,predicted_under_risk,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,late_state_source
population_071_110,44080,14,2,1,0,0.6765911839122022,0.3054780317930066,37.0,5.704021002269784,0.7016742897632661,0.13825397449026183,0.9251861524370621,0.03470322152069823,0.0001976679006585167,0.0034279494500483133,0.0032302815493897965,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44080,43,2,1,0,0.6892179051747579,0.3214848531117066,16.0,4.806755693104525,0.7034855632934344,0.4021527048890447,0.9205225658358677,0.041475659289046986,0.0005179211256322414,0.002210160005277277,0.0016922388796450356,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44080,62,2,1,0,0.6875069340795437,0.30519010039765476,40.0,7.367193504614618,0.7109873672903575,0.302275430740391,0.9217229118626464,0.03366066728360054,2.5510275917712805e-05,0.0032457660750722203,0.0032202557991545073,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44080,65,2,1,0,0.7403047113248323,0.1874747000900998,40.0,7.001637488726765,0.8693947388853579,0.32456034628736385,0.9205301689294235,0.023386694677710172,0.00010245591316960973,0.0030041071837716513,0.0029016512706020415,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44081,2,1,0,0,0.6937778263359407,0.3707355750371543,48.0,5.999897567246371,0.8422124782287178,0.07008380694117063,0.9145124113465017,0.013884053261733044,0.0005388292716561045,0.0015673866944220945,0.00102855742276599,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44081,12,1,0,0,0.6746226824023105,0.31086688026297055,37.0,5.704021002269784,0.7016742897632661,0.13825397449026183,0.9251861524370621,0.024285685195679398,0.001930686015731228,0.002466864090919467,0.0005361780751882389,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44081,29,1,0,0,0.7296211621919374,0.24628005490441074,37.0,5.0890874308387355,0.9331069800243109,0.005080725001283871,0.9151827934084258,0.012943733614491379,0.00044999064308434694,0.001116510028137882,0.000666519385053535,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44081,40,2,1,0,0.6905346465484725,0.33120336766690384,16.0,4.806755693104525,0.7034855632934344,0.4021527048890447,0.9205225658358677,0.024278865857405362,0.0019814825827708976,0.0029410925613980866,0.000959609978627189,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44081,44,1,0,0,0.7077346926080363,0.3156067116769066,35.0,4.799626694340233,0.8464688322446767,0.0066324676426336975,0.9140627280680249,0.018197170333979853,0.00040273120692938495,0.0011487930503033578,0.0007460618433739728,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44081,59,1,0,0,0.6856969473406493,0.30814150165220594,40.0,7.367193504614618,0.7109873672903575,0.302275430740391,0.9217229118626464,0.017897463605357877,0.0018355339776564546,0.0024567873546026,0.0006212533769461455,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44082,26,1,0,1,0.6694605232785851,0.3563819541371686,25.0,7.6383716892492926,0.9395477770410444,0.2450937446166119,0.9102313539127934,0.0008477695821138238,0.007208632787191624,0.007208632787191624,0.0,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44084,14,2,1,0,0.7769736231637879,0.18181639048846426,17.0,5.0890874308387355,1.164085990291846,2.512411322714151e-05,0.9202846058532933,0.019695236441439737,0.0,0.0009940040540242115,0.0009940040540242115,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44084,15,1,0,0,0.7468714524052829,0.23367450324698943,37.0,5.0890874308387355,0.9331069800243109,0.005080725001283871,0.9151827934084258,0.021776470589717174,0.0,0.0009940040540242115,0.0009940040540242115,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44084,18,1,0,0,0.7406348737821145,0.2429980663069763,14.0,4.811280977798958,1.0214793499994494,0.0008353391484577535,0.9173379421895846,0.022787063871693488,0.0,0.0009940040540242115,0.0009940040540242115,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44084,24,2,1,0,0.7321700866839849,0.2144441679205265,23.0,4.830122287629284,0.8852716130645549,0.0014425063662738108,0.923558637842768,0.028287978266478383,0.0,0.0009982987275205311,0.0009982987275205311,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44084,26,2,1,0,0.6997418430727713,0.3054933075262716,16.0,4.806755693104525,0.7034855632934344,0.4021527048890447,0.9205225658358677,0.0379361372876275,0.0,0.0005435663736661582,0.0005435663736661582,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44084,29,1,0,0,0.7668277715709836,0.20989863252330887,15.0,4.799626694340233,1.0914883195618925,0.002754411180271547,0.9180443483374685,0.022234410961899032,0.0,0.0009940040540242115,0.0009940040540242115,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44085,3,1,0,0,0.7074004524090867,0.29100981597904674,35.0,4.849717130894902,0.7599571719882081,0.07254441791398811,0.9194247167029725,0.02587563126578118,0.0,0.0007042722431184299,0.0007042722431184299,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44085,20,2,1,0,0.702956842400404,0.3191461765967997,16.0,4.806755693104525,0.7034855632934344,0.4021527048890447,0.9205225658358677,0.033768481516840976,5.965699572958365e-05,0.0007128778021841222,0.0006532208064545385,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44085,26,2,1,0,0.7567374528409989,0.19283571528031532,20.0,5.132292476492307,0.8956837796756536,0.23389112687358218,0.9265031427626789,0.04311617974625174,2.673973793940243e-05,0.0009384785634610434,0.000911738825521641,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44085,32,2,1,0,0.7072642138675838,0.274514647433973,21.0,5.047572358895003,0.7940185118251766,0.3489229291215289,0.9195562928835308,0.036904278892822724,2.1237927667627672e-05,0.0019795190466337527,0.0019582811189661252,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44087,0,1,0,0,0.7638058702222211,0.15354578070601915,45.0,4.659891511747577,1.0499828370753592,0.23608834887162836,0.9215185130835092,0.002795849318411192,0.0018035903494805132,0.003044401918551445,0.0012408115690709317,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44087,2,1,0,0,0.7777286175771148,0.17024767855048525,17.0,5.0890874308387355,1.164085990291846,2.512411322714151e-05,0.9202846058532933,0.0021614957767254793,4.9289609337595824e-05,0.00056863403979988,0.0005193444304622842,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44087,18,1,0,0,0.7680776116222789,0.1982131984911153,15.0,4.799626694340233,1.0914883195618925,0.002754411180271547,0.9180443483374685,0.0021614957767254793,0.0001152630048326277,0.0001152630048326277,0.0,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
population_071_110,44087,44,2,1,0,0.7559241808854232,0.18318134370425693,22.0,9.418440724546118,0.8559103603719077,0.17273981835244523,0.9212258998584302,0.0,0.004948725952798856,0.004948725952798856,0.0,results\cross_seed_harmful_expansion_feature_decomposition_events_071_110.csv
