test_index,outcome,primary_actions,expanded_actions,true_safe_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,selected_safety_mean,selected_safety_std,selected_downside_mean,selected_downside_std,selected_realized_regret,safety_lcb_k_0.00,downside_ucb_k_0.00,safety_lcb_k_0.25,downside_ucb_k_0.25,safety_lcb_k_0.50,downside_ucb_k_0.50,safety_lcb_k_0.75,downside_ucb_k_0.75,safety_lcb_k_1.00,downside_ucb_k_1.00,safety_lcb_k_1.25,downside_ucb_k_1.25,safety_lcb_k_1.50,downside_ucb_k_1.50,safety_lcb_k_2.00,downside_ucb_k_2.00
30,beneficial,3,1|3,1|3,3,1,1,0.0,0.0,0.0,0.6619375,0.4349691036082333,0.0067408675481427,0.0204981172182359,0.0,0.6619375,0.0067408675481427,0.5531952240979416,0.011865396852701675,0.4444529481958833,0.01698992615726065,0.33571067229382495,0.022114455461819626,0.22696839639176664,0.0272389847663786,0.11822612048970826,0.03236351407093758,0.009483844587649948,0.037488043375496556,-0.20800070721646668,0.047737101984614505
31,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.6337772817460318,0.4388211766145982,4.6210284789161776e-05,0.00041586218047735775,0.0,0.6337772817460318,4.6210284789161776e-05,0.5240719875923823,0.00015017582990850122,0.41436669343873267,0.00025414137502784064,0.3046613992850831,0.0003581069201471801,0.19495610513143358,0.00046207246526651954,0.08525081097778398,0.0005660380103858589,-0.024454483175865516,0.0006700035555051983,-0.2438650714831646,0.0008779346457438772
32,harmful,3,2|3,3,3,2,3,0.0,0.03348088192022192,0.03348088192022192,0.8696041666666666,0.3027869098234213,2.957458226506354e-05,0.0003471171586058077,0.03348088192022192,0.8696041666666666,2.957458226506354e-05,0.7939074392108113,0.00011635387191651547,0.718210711754956,0.0002031331615679674,0.6425139842991006,0.0002899124512194193,0.5668172568432452,0.00037669174087087123,0.49112052938739,0.0004634710305223232,0.4154238019315346,0.000550250320173775,0.264030347019824,0.000723808899476679
33,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.7782748917748917,0.3894491229806661,2.914802579008666e-05,0.00034059213105107756,0.0,0.7782748917748917,2.914802579008666e-05,0.6809126110297252,0.00011429605855285605,0.5835503302845587,0.00019944409131562543,0.48618804953939215,0.0002845921240783948,0.38882576879422565,0.0003697401568411642,0.29146348804905914,0.0004548881896039336,0.19410120730389258,0.000540036222366703,-0.000623354186440439,0.0007103322878922418
34,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.6297753878066378,0.42120083185326945,0.009787379762724658,0.012050328789246285,0.0,0.6297753878066378,0.009787379762724658,0.5244751798433204,0.01279996196003623,0.4191749718800031,0.0158125441573478,0.3138747639166857,0.018825126354659372,0.20857455595336832,0.021837708551970945,0.10327434799005097,0.024850290749282515,-0.0020258599732664306,0.027862872946594085,-0.21262627589990113,0.03388803734121723
35,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.9200049603174603,0.25728803246972065,0.0,0.0,0.0,0.9200049603174603,0.0,0.8556829522000301,0.0,0.7913609440825999,0.0,0.7270389359651698,0.0,0.6627169278477396,0.0,0.5983949197303094,0.0,0.5340729116128793,0.0,0.40542889537801896,0.0
36,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.9768651244588744,0.137773608921333,1.4929476624190728e-05,0.0002482745570631951,0.0,0.9768651244588744,1.4929476624190728e-05,0.9424217222285411,7.69981158899895e-05,0.9079783199982079,0.00013906675515578827,0.8735349177678746,0.00020113539442158704,0.8390915155375414,0.00026320403368738584,0.8046481133072081,0.00032527267295318464,0.7702047110768749,0.0003873413122189834,0.7013179066162084,0.0005114785907505809
37,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.7958650793650793,0.3481610015759843,0.0005147742672564438,0.002604840633295148,0.0,0.7958650793650793,0.0005147742672564438,0.7088248289710832,0.001165984425580231,0.6217845785770872,0.0018171945839040179,0.5347443281830911,0.002468404742227805,0.44770407778909505,0.003119614900551592,0.36066382739509895,0.0037708250588753787,0.27362357700110296,0.004422035217199165,0.09954307621311076,0.005724455533846739
38,neutral,3,3,3,3,3,3,0.0,0.0,0.0,0.8147470376845377,0.36727490952289177,0.0,0.0,0.0,0.8147470376845377,0.0,0.7229283103038148,0.0,0.6311095829230918,0.0,0.5392908555423689,0.0,0.44747212816164594,0.0,0.355653400780923,0.0,0.26383467340020006,0.0,0.08019721863875418,0.0
39,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.9182291666666667,0.24444947270317666,4.265564749768779e-06,0.00012057296158319046,0.0,0.9182291666666667,4.265564749768779e-06,0.8571167984908725,3.4408805145566395e-05,0.7960044303150783,6.4552045541364e-05,0.7348920621392842,9.469528593716162e-05,0.67377969396349,0.00012483852633295923,0.6126673257876958,0.00015498176672875685,0.5515549576119017,0.00018512500712455446,0.42933022126031334,0.0002454114879161497
40,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.7013501984126984,0.4143539915141669,0.001481483654147133,0.002918529360300119,0.0,0.7013501984126984,0.001481483654147133,0.5977617005341567,0.0022111159942221625,0.49417320265561493,0.0029407483342971923,0.39058470477707324,0.003670380674372222,0.2869962068985315,0.004400013014447252,0.18340770901998982,0.005129645354522282,0.07981921114144808,0.0058592776945973115,-0.1273577846156354,0.007318542374747371
41,neutral,1,1,1,1,1,1,0.007375586548430901,0.007375586548430901,0.0,0.6074375,0.4125914894483145,0.02737374539033029,0.029291834363058437,0.007375586548430901,0.6074375,0.02737374539033029,0.5042896276379214,0.0346967039810949,0.4011417552758427,0.04201966257185951,0.2979938829137641,0.04934262116262412,0.1948460105516855,0.05666557975338873,0.09169813818960681,0.06398853834415334,-0.011449734172471748,0.07131149693491795,-0.21774547889662899,0.08595741411644717
42,neutral,1,1,1,1,1,1,0.03091974117703608,0.03091974117703608,0.0,0.4622113095238095,0.4192622534297671,0.02764032841853864,0.029540342967763422,0.03091974117703608,0.4622113095238095,0.02764032841853864,0.3573957461663677,0.035025414160479496,0.25258018280892597,0.04241049990242035,0.14776461945148422,0.04979558564436121,0.042949056094042426,0.05718067138630206,-0.06186650726339937,0.06456575712824292,-0.16668207062084106,0.07195084287018377,-0.37631319733572466,0.08672101435406548
43,neutral,3,3,3,3,3,3,0.006871910725323005,0.006871910725323005,0.0,0.7733612012987013,0.36822671305079807,0.0019287890704017838,0.00592709596055925,0.006871910725323005,0.7733612012987013,0.0019287890704017838,0.6813045230360019,0.003410563060541596,0.5892478447733023,0.004892337050681409,0.4971911665106028,0.0063741110408212205,0.40513448824790327,0.007855885030961034,0.31307780998520374,0.009337659021100847,0.22102113172250426,0.010819433011240658,0.0369077751971052,0.013782980991520283
44,neutral,3,3,1,3,3,1,0.006622848127195047,0.006622848127195047,0.0,0.3089756399646105,0.3934324362863148,0.003253342867833959,0.006658483823626734,0.006622848127195047,0.3089756399646105,0.003253342867833959,0.2106175308930318,0.0049179638237406426,0.11225942182145313,0.0065825847796473266,0.01390131274987444,0.008247205735554009,-0.08445679632170427,0.009911826691460693,-0.182814905393283,0.011576447647367377,-0.28117301446486165,0.013241068603274059,-0.4778892326080191,0.01657031051508743
45,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.7426547619047619,0.39115345066497903,0.00022998411588553532,0.0029043341724705515,0.0,0.7426547619047619,0.00022998411588553532,0.6448663992385171,0.0009560676590031732,0.5470780365722724,0.001682151202120811,0.4492896739060276,0.002408234745238449,0.35150131123978284,0.003134318288356087,0.2537129485735381,0.003860401831473725,0.1559245859072933,0.004586485374591363,-0.03965213942519619,0.006038652460826638
46,beneficial,3,2|3,2|3,3,2,2,0.0,0.0,0.0,0.8367946428571429,0.3312886939787549,0.000809785638086825,0.003989351303496609,0.0,0.8367946428571429,0.000809785638086825,0.7539724693624542,0.0018071234639609772,0.6711502958677654,0.0028044612898351297,0.5883281223730767,0.0038017991157092822,0.505505948878388,0.004799136941583434,0.4226837753836993,0.0057964747674575864,0.3398616018890106,0.006793812593331739,0.17421725489963313,0.008788488245080044
47,neutral,2|3,2|3,2|3,2,2,2,0.0,0.0,0.0,0.8249603174603175,0.3426358849380291,0.0,0.0,0.0,0.8249603174603175,0.0,0.7393013462258102,0.0,0.653642374991303,0.0,0.5679834037567957,0.0,0.4823244325222884,0.0,0.39666546128778113,0.0,0.31100649005327385,0.0,0.1396885475842593,0.0
