generation_seed,test_index,state_threshold,primary_specification,state_harmful_probability,current_mismatch_indicator,anchor_age,trigger_score,primary_action,baseline_action,guarded_action,true_responsive_action,baseline_outcome,baseline_expansion,vetoed,baseline_regret,guarded_regret,regret_difference_guard_minus_baseline,support_distance_baseline_action,safety_score_baseline_action,downside_score_baseline_action,selectivity_class
44020,53,0.5,1,0.4049982166544793,0.29606457385768226,38.0,5.602146552174002,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.7695022343120983,0.789923115079365,0.015665156153515075,beneficial_preserved
44020,54,0.5,1,0.22512796709105043,0.0582428845495889,10.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.487523299886044,0.8949687499999996,0.0,beneficial_preserved
44020,55,0.5,1,0.2840093577077618,0.2990751967996582,20.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.015404354230472,0.8626780753968252,7.149041759831682e-05,beneficial_preserved
44021,12,0.5,1,0.5923613097117761,0.054303427623651736,12.0,4.783886377017327,3,1,3,1,beneficial,1,1,0.0,0.0,0.0,1.8603329722853126,0.6274047619047617,0.018050301716651954,beneficial_vetoed
44021,29,0.5,1,0.7554008393240463,0.7160832198708007,14.0,9.779638565083934,3,1,3,3,harmful,1,1,0.009564095499414949,0.0,-0.009564095499414949,2.443103492317111,0.7419895833333335,0.004078312639530232,harmful_vetoed
44021,32,0.5,1,0.4522794460191581,0.06684140308736354,18.0,5.8084761013265025,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.8239105081456934,0.6477093253968256,0.0003188606415205201,beneficial_preserved
44021,51,0.5,1,0.4713685266765283,0.0006321828969838392,19.0,4.560355657254428,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.1629668247892395,0.7071994047619047,0.0005331218989790405,beneficial_preserved
44021,53,0.5,1,0.8624451291989956,0.48339738853582687,8.0,5.602146552174002,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.860636499888028,0.6491101190476194,0.0008727526912843168,beneficial_vetoed
44022,34,0.5,1,0.4522794460191581,0.06684140308736354,18.0,5.8084761013265025,3,2,2,3,neutral,1,0,0.0,0.0,0.0,1.517069667653995,0.6320684523809524,0.0,neutral_preserved
44022,39,0.5,1,0.26666899745495226,0.016739713745882706,33.0,5.324709668908,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.0974117869580526,0.6955327380952379,0.01595254792539018,beneficial_preserved
44023,3,0.5,1,0.1582074811836022,0.24658768736238285,51.0,7.114455379828495,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.46210970928594,0.9306398809523811,0.0016409301845489292,beneficial_preserved
44023,9,0.5,1,0.9983547722496268,2.096823514759016,32.0,4.783886377017327,2,1,2,1,beneficial,1,1,0.0,0.0,0.0,2.257104566139705,0.6343630952380952,0.005480688398827308,beneficial_vetoed
44023,25,0.5,1,0.7554008393240463,0.7160832198708007,14.0,9.779638565083934,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.380844404695524,0.8342455357142856,0.0037448896851621327,beneficial_vetoed
44023,35,0.5,1,0.6821330544118172,1.3372876601253636,21.0,17.264514668744685,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,2.0959606665503365,0.7845833333333333,0.0,beneficial_vetoed
44023,40,0.5,1,0.2378707274513602,0.17878894182186475,33.0,7.811138833663312,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.9988305859276576,0.6686666666666669,0.0017007570147690649,beneficial_preserved
44023,45,0.5,1,0.13835945800890273,0.06869742111987757,54.0,4.969481799948674,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.0089544714016423,0.8963363095238094,0.0021074155735196147,beneficial_preserved
44023,48,0.5,1,0.4656720470246802,0.2960889628364405,39.0,4.560355657254428,3,2,2,1,neutral,1,0,0.0,0.0,0.0,1.9768511681266907,0.7589419642857145,0.0006840326405010887,neutral_preserved
44023,50,0.5,1,0.7605918128028966,0.4383510551207277,18.0,5.602146552174002,3,2,3,1,neutral,1,1,0.0,0.0,0.0,1.9410074823453989,0.6723839285714286,0.002135020508297395,neutral_vetoed
44023,51,0.5,1,0.4049982166544793,0.29606457385768226,38.0,5.602146552174002,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.837888389430367,0.8443169642857145,0.00047516410069352576,beneficial_preserved
44023,53,0.5,1,0.2840093577077618,0.2990751967996582,20.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.1051794041669463,0.7398541666666669,0.00025134332548801833,beneficial_preserved
44023,54,0.5,1,0.06319124509410035,0.09015088490054679,40.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.9418529041210182,0.7085163690476192,0.001597171657384434,beneficial_preserved
44023,60,0.5,1,0.024421370537710832,0.13662056769635716,37.0,15.35241468980229,3,2,2,1,neutral,1,0,0.0,0.0,0.0,2.038738911017677,0.6695476190476191,5.28840829662566e-05,neutral_preserved
44024,43,0.5,1,0.7244493716139995,0.6423916688551128,23.0,7.811138833663312,3,1,3,3,harmful,1,1,0.045133122029386574,0.0,-0.045133122029386574,2.2765595323717394,0.6640109126984126,0.0033255448873317876,harmful_vetoed
44025,5,0.5,1,0.46053691034873345,0.07898471910804994,11.0,7.114455379828495,3,2,2,1,neutral,1,0,0.0,0.0,0.0,2.1976577536316606,0.7655868055555556,0.0007752398351809745,neutral_preserved
44025,36,0.5,1,0.9182053757764637,0.5528777648519895,3.0,5.324709668908,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.8947800653781122,0.7429146825396823,0.00025315718832042236,beneficial_vetoed
44025,57,0.5,1,0.22512796709105043,0.0582428845495889,10.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.2911798020636924,0.8090416666666667,0.0,beneficial_preserved
44026,6,0.5,1,0.46053691034873345,0.07898471910804994,11.0,7.114455379828495,3,2,2,1,neutral,1,0,0.0,0.0,0.0,2.2501903594854995,0.6456800595238097,0.0023401401633762345,neutral_preserved
44026,36,0.5,1,0.4190962909224715,0.06432111920289982,19.0,6.065649926874513,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.8310177749994359,0.6673586309523811,0.00027288482010876994,beneficial_preserved
44026,53,0.5,1,0.4713685266765283,0.0006321828969838392,19.0,4.560355657254428,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.108379650396577,0.7806889880952379,0.0006797835156757084,beneficial_preserved
44026,68,0.5,1,0.3389747633563465,0.03373340765553464,22.0,6.337855453748655,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.5643721482280548,0.6846651785714285,0.0006164039795933413,beneficial_preserved
44026,72,0.5,1,0.316151539490939,0.03925734127395693,30.0,5.307625746477998,2,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.3500613618334767,0.634970238095238,0.011388148902811921,beneficial_preserved
44027,34,0.5,1,0.4190962909224715,0.06432111920289982,19.0,6.065649926874513,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.002482975393531,0.6266495119463873,0.00020918536620729853,beneficial_preserved
44027,51,0.5,1,0.4713685266765283,0.0006321828969838392,19.0,4.560355657254428,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.0839974947561704,0.7631528089965595,0.00018893826529453413,beneficial_preserved
44028,2,0.5,1,0.46053691034873345,0.07898471910804994,11.0,7.114455379828495,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.195390046747285,0.85596875,5.4795881197201186e-05,beneficial_preserved
44028,32,0.5,1,0.4190962909224715,0.06432111920289982,19.0,6.065649926874513,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.8321253356185216,0.826610119047619,5.789378053051592e-05,beneficial_preserved
44028,36,0.5,1,0.046747337698923475,0.09640566040917425,11.0,17.264514668744685,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.4065137852123994,0.9261220238095238,5.789378053051592e-05,beneficial_preserved
44028,47,0.5,1,0.13835945800890273,0.06869742111987757,54.0,4.969481799948674,2,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.738481422102005,0.8325699404761905,0.007421067730887975,beneficial_preserved
44028,49,0.5,1,0.4713685266765283,0.0006321828969838392,19.0,4.560355657254428,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.592906462911141,0.7589389880952379,2.0372472123729272e-05,beneficial_preserved
44028,54,0.5,1,0.22512796709105043,0.0582428845495889,10.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.0152045145025044,0.658389880952381,4.0901373869877365e-05,beneficial_preserved
44028,55,0.5,1,0.2840093577077618,0.2990751967996582,20.0,10.79649297110075,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.9080500533284837,0.7464122023809524,0.0,beneficial_preserved
44028,62,0.5,1,0.024421370537710832,0.13662056769635716,37.0,15.35241468980229,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,2.3109517218354503,0.756704365079365,0.013428385930667856,beneficial_preserved
44028,63,0.5,1,0.45079277322658673,0.01837793865890355,12.0,6.337855453748655,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.4870163151909153,0.8214449404761907,0.0002849754139635202,beneficial_preserved
44028,64,0.5,1,0.3389747633563465,0.03373340765553464,22.0,6.337855453748655,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.4222416506827904,0.6107410714285717,5.432659232994473e-05,beneficial_preserved
44028,66,0.5,1,0.21743040202100775,0.3100614939622194,52.0,6.337855453748655,2,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.3361864845940257,0.8060252976190477,0.008341138983302649,beneficial_preserved
44028,70,0.5,1,0.16374177308079332,0.10658622892901495,30.0,9.108921018534954,3,1,1,1,beneficial,1,0,0.0,0.0,0.0,1.9898946107960302,0.6992341269841269,0.004468083858188119,beneficial_preserved
44028,71,0.5,1,0.20743142462222083,0.012900906530676133,9.0,10.795117494348787,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,1.7087444779073497,0.9172247023809526,0.0002510212937573047,beneficial_preserved
44029,1,0.5,1,0.46053691034873345,0.07898471910804994,11.0,7.114455379828495,3,2,2,2,beneficial,1,0,0.0,0.0,0.0,2.1018127238293998,0.8782440476190477,0.0007403162674855914,beneficial_preserved
44029,9,0.5,1,0.5923613097117761,0.054303427623651736,12.0,4.783886377017327,3,2,3,2,beneficial,1,1,0.0,0.0,0.0,1.8059017041899927,0.6564226190476191,0.00037610476624643055,beneficial_vetoed
44029,20,0.5,1,0.2874923007035033,0.21824896008188477,10.0,11.583959134407792,3,2,2,1,neutral,1,0,0.0,0.0,0.0,1.7523152865746137,0.6957708333333337,0.0,neutral_preserved
