context_index,best_persistence,second_persistence,worst_persistence,loss_k1,loss_k2,loss_k3,best_loss,second_loss,worst_loss,absolute_margin,relative_margin,total_spread,relative_spread,benefit_probability,release_probability,anchor_age,trigger_score,feature_distance,current_mismatch_indicator,current_parameter_estimate
44,1,2,3,0.1792899017324158,0.1792899017324158,0.1792899017324158,0.1792899017324158,0.1792899017324158,0.1792899017324158,0.0,0.0,0.0,0.0,0.7342116878599522,0.36816893841399406,20.0,23.068435745219922,0.6992848786741781,0.17314626387972654,0.9135576685357013
45,1,2,3,0.11754173977513052,0.11754173977513052,0.11754173977513052,0.11754173977513052,0.11754173977513052,0.11754173977513052,0.0,0.0,0.0,0.0,0.7792372770909626,0.2994928977128786,30.0,23.068435745219922,0.835568201018096,0.014900830983882769,0.920841835013504
46,1,2,3,0.05982856247139051,0.05982856247139051,0.05982856247139051,0.05982856247139051,0.05982856247139051,0.05982856247139051,0.0,0.0,0.0,0.0,0.7388876192154424,0.23027368282113697,50.0,23.068435745219922,1.092049242774064,0.0017990026075607626,0.9194473452368274
47,2,3,1,0.174166348088338,0.11728091996812262,0.11728091996812262,0.11728091996812262,0.11728091996812262,0.174166348088338,0.0,0.0,0.05688542812021538,0.48503565742144594,0.5505236217523972,0.6696724809963642,33.0,7.8912170398092405,0.5371428072432936,0.008885693142625509,0.9198802086143142
48,1,2,3,0.05972823441569434,0.05972823441569434,0.05972823441569434,0.05972823441569434,0.05972823441569434,0.05972823441569434,0.0,0.0,0.0,0.0,0.62644480824934,0.37063313250216934,53.0,7.8912170398092405,0.7538532299055671,0.04891999927367854,0.9158822815913195
49,1,2,3,0.10224358230114047,0.10224358230114047,0.10224358230114047,0.10224358230114047,0.10224358230114047,0.10224358230114047,0.0,0.0,0.0,0.0,0.5630953122352086,0.48152095899477654,52.0,4.667440847043931,0.6450002088329645,0.00747873082514631,0.9177386690751319
50,2,3,1,0.17918400827303105,0.128652112396424,0.128652112396424,0.128652112396424,0.128652112396424,0.17918400827303105,0.0,0.0,0.05053189587660706,0.39277937170986443,0.573972858786702,0.7657767490886902,30.0,17.49624194778837,0.3622165644629106,0.0018203510683556098,0.9238672315296176
51,1,2,3,0.060176201097921087,0.060176201097921087,0.060176201097921087,0.060176201097921087,0.060176201097921087,0.060176201097921087,0.0,0.0,0.0,0.0,0.6440439659914272,0.43567858702848167,50.0,17.49624194778837,0.5374638737765847,0.443834606137043,0.9187250503950171
52,2,3,1,0.10276962047971902,0.08839385542291968,0.08839385542291968,0.08839385542291968,0.08839385542291968,0.10276962047971902,0.0,0.0,0.014375765056799342,0.1626330810875482,0.5536743202960117,0.6248473815176487,50.0,11.344737931745112,0.43958313485070244,0.07279190017854371,0.924243570516919
53,1,2,3,0.24878391558306476,0.24878391558306476,0.24878391558306476,0.24878391558306476,0.24878391558306476,0.24878391558306476,0.0,0.0,0.0,0.0,0.8606088838315354,0.368427235894884,10.0,46.92752610978073,2.154825768974677,0.09684504646224218,0.9376756326393376
54,1,2,3,0.18015651236222824,0.18015651236222824,0.18015651236222824,0.18015651236222824,0.18015651236222824,0.18015651236222824,0.0,0.0,0.0,0.0,0.8504527425868855,0.27402369018278183,20.0,46.92752610978073,1.9764989705122173,0.2485003506740301,0.926803992445479
55,1,2,3,0.11874261729668528,0.11874261729668528,0.11874261729668528,0.11874261729668528,0.11874261729668528,0.11874261729668528,0.0,0.0,0.0,0.0,0.8092505370995396,0.21358658363452726,30.0,46.92752610978073,2.104259824255621,0.019452241788743187,0.919433071430011
56,1,2,3,0.059680193934947445,0.059680193934947445,0.059680193934947445,0.059680193934947445,0.059680193934947445,0.059680193934947445,0.0,0.0,0.0,0.0,0.7319471250813291,0.19992368302550162,50.0,46.92752610978073,2.3641429268172276,0.8391462397529469,0.9131331837001153
57,2,3,1,0.10861068497496514,0.08226528668018188,0.08226528668018188,0.08226528668018188,0.08226528668018188,0.10861068497496514,0.0,0.0,0.02634539829478326,0.3202492735105213,0.5693280702865731,0.5072201066342189,52.0,7.735991774339994,0.581121654255923,0.04134939161136215,0.9192102612354076
58,2,3,1,0.18797208219938583,0.1771994734963182,0.1771994734963182,0.1771994734963182,0.1771994734963182,0.18797208219938583,0.0,0.0,0.010772608703067621,0.0607936834712472,0.6504522926622065,0.5502955671284796,20.0,19.791358046058896,0.6077718420877435,0.00036848416412690844,0.9181506708407632
59,1,2,3,0.12025728364194688,0.12025728364194688,0.12025728364194688,0.12025728364194688,0.12025728364194688,0.12025728364194688,0.0,0.0,0.0,0.0,0.7376303618523544,0.4582374108529565,30.0,19.791358046058896,0.6935256286089592,0.6136057701688652,0.9245454792929907
