generation_seed,test_index,current_distance_k1,current_distance_k2,current_distance_k3,current_max_pairwise_difference,shared_distance_k1,shared_distance_k2,shared_distance_k3,shared_max_pairwise_difference
44011,1,2.2590374602893464,2.2590374602893464,2.2590374602893464,0.0,2.259037460289346,2.259037460289346,2.259037460289346,0.0
44011,2,3.560100493889533,3.560100493889533,3.560100493889533,0.0,3.5601004938895313,3.5601004938895313,3.5601004938895313,0.0
44011,3,9.386347450237778,9.386347450237778,9.386347450237778,0.0,9.386347450237778,9.386347450237778,9.386347450237778,0.0
44011,4,7.912335926980402,7.912335926980402,7.912335926980402,0.0,7.912335926980402,7.912335926980402,7.912335926980402,0.0
44011,5,3.800235676156498,3.800235676156498,3.800235676156498,0.0,3.800235676156498,3.800235676156498,3.800235676156498,0.0
44011,6,3.334699022089466,3.334699022089466,3.334699022089466,0.0,3.334699022089466,3.334699022089466,3.334699022089466,0.0
44011,7,4.005188828465387,4.005188828465387,4.005188828465387,0.0,4.005188828465386,4.005188828465386,4.005188828465386,0.0
44011,8,2.65748632973166,2.65748632973166,2.65748632973166,0.0,2.65748632973166,2.65748632973166,2.65748632973166,0.0
44011,9,2.8141619005654404,2.8141619005654404,2.8141619005654404,0.0,2.8141619005654404,2.8141619005654404,2.8141619005654404,0.0
44011,10,2.0701487954341076,2.0701487954341076,2.0701487954341076,0.0,2.0701487954341076,2.0701487954341076,2.0701487954341076,0.0
44011,11,2.3418400604906373,2.3418400604906373,2.3418400604906373,0.0,2.341840060490637,2.341840060490637,2.341840060490637,0.0
44011,12,2.561505737276207,2.561505737276207,2.561505737276207,0.0,2.5615057372762076,2.5615057372762076,2.5615057372762076,0.0
44011,13,1.8141291880620423,1.8141291880620423,1.8141291880620423,0.0,1.8141291880620414,1.8141291880620414,1.8141291880620414,0.0
44011,14,1.6569427225686582,1.6569427225686582,1.6569427225686582,0.0,1.6569427225686586,1.6569427225686586,1.6569427225686586,0.0
44011,15,1.6455164483457874,1.6455164483457874,1.6455164483457874,0.0,1.6455164483457871,1.6455164483457871,1.6455164483457871,0.0
