condition,true_class,run_index,seed,evidence_time,predicted_condition,condition_correct,target_p_fail_A,target_p_fail_C,target_p_fail_S,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,marginal_mae
measurement_noise_0.850,measurement_noise,143,41143,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2086632113868014,0.7403739114099257,0.05792549982830533,0.024345792458322534
measurement_noise_0.850,measurement_noise,144,41144,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.15621413821367272,0.6630468620028291,0.03824902885064034,0.07416332364428595
measurement_noise_0.850,measurement_noise,145,41145,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20812486375619665,0.7475780914728415,0.0571650184973643,0.0223773420911992
measurement_noise_0.850,measurement_noise,146,41146,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22184947502670374,0.7404323009500604,0.06285226953576908,0.021423147870804155
measurement_noise_0.850,measurement_noise,147,41147,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21025522984045225,0.6523036187162142,0.0664843793848039,0.054641843609379154
measurement_noise_0.850,measurement_noise,148,41148,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21541932708865966,0.7480496892902274,0.05982023086268865,0.018903584252808105
measurement_noise_0.850,measurement_noise,149,41149,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.1982050126746043,0.7492770900825266,0.05285374228239788,0.026554718320157076
measurement_noise_0.850,measurement_noise,150,41150,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2060151475025232,0.7508958528913293,0.056077763635173875,0.022337078656991218
measurement_noise_0.850,measurement_noise,151,41151,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21233651813008536,0.725669967695901,0.056924579806125405,0.028356311455962766
measurement_noise_0.850,measurement_noise,152,41152,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.1714189533229482,0.6615478244834719,0.04679518860201404,0.06674601119718862
measurement_noise_0.850,measurement_noise,153,41153,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21927412022530746,0.709055082551113,0.06468597984983475,0.0321189256911381
measurement_noise_0.850,measurement_noise,154,41154,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20458149260551864,0.7542935598127166,0.05545648732549462,0.021889486752090053
measurement_noise_0.850,measurement_noise,155,41155,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21268090998888645,0.7200910288076695,0.06247101775928247,0.02989969298757552
measurement_noise_0.850,measurement_noise,156,41156,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21160539746088672,0.7613506554848622,0.057719106628267874,0.016441613475327733
measurement_noise_0.850,measurement_noise,157,41157,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2223562775922734,0.7257140265391608,0.06404301567347212,0.02689508890886157
measurement_noise_0.850,measurement_noise,158,41158,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19782854425799704,0.7219576565589301,0.054752833753715736,0.035153655143119064
measurement_noise_0.850,measurement_noise,159,41159,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.16245659731426057,0.664711929709929,0.041165669542097216,0.07055526781123776
measurement_noise_0.850,measurement_noise,160,41160,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19787022270093033,0.6146278189405662,0.06063671169209083,0.06937955668353146
measurement_noise_0.850,measurement_noise,161,41161,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20300142953521866,0.7176161515985924,0.05886391694627073,0.033506167306639426
measurement_noise_0.850,measurement_noise,162,41162,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2156325607300219,0.7562707255107445,0.05965809156818667,0.016146207397015663
measurement_noise_0.850,measurement_noise,163,41163,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22819645678250067,0.6916694257667289,0.06795692669028781,0.041494652568686556
measurement_noise_0.850,measurement_noise,164,41164,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.17697595824615778,0.6626042107800924,0.05140120716315584,0.06300620793686469
measurement_noise_0.850,measurement_noise,165,41165,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.18387230051766215,0.7213366171000423,0.04783024721564023,0.042320278388885135
measurement_noise_0.850,measurement_noise,166,41166,60,process_disturbance_2.70,False,0.22,0.8,0.06,0.30048116836520744,0.4091291218259707,0.08813891987343175,0.16649698880422284
measurement_noise_0.850,measurement_noise,167,41167,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20879877181023845,0.7571950315201661,0.05658325374381399,0.019140980975260503
measurement_noise_0.850,measurement_noise,168,41168,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2171482340805994,0.7488329074477763,0.060703349105548976,0.018240735859057767
measurement_noise_0.850,measurement_noise,169,41169,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22180870989872384,0.7268748602358555,0.06440639479089616,0.026446748151254862
measurement_noise_0.850,measurement_noise,170,41170,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19319751096315238,0.7378708354955703,0.05116653974889493,0.032588371264127475
measurement_noise_0.850,measurement_noise,171,41171,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.25383254079821654,0.5768186478173619,0.08518276023949062,0.09406555107344843
measurement_noise_0.850,measurement_noise,172,41172,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22310036357407934,0.7346633337558942,0.06286262631694778,0.023766552045044315
measurement_noise_0.850,measurement_noise,173,41173,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19372299509416693,0.7254542636240072,0.05127736090816959,0.036515126791218766
measurement_noise_0.850,measurement_noise,174,41174,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.23476758429578465,0.6687112470931923,0.07345688879278847,0.053171075331793625
measurement_noise_0.850,measurement_noise,175,41175,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.1533663653306216,0.6812671998853971,0.03651055687219387,0.06961862597059583
measurement_noise_0.850,measurement_noise,176,41176,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2292223562699197,0.6628640777472419,0.07069002123567665,0.05234943325278484
measurement_noise_0.850,measurement_noise,177,41177,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.18426562037117578,0.73033915280563,0.04764196244132071,0.03925108812729119
measurement_noise_0.850,measurement_noise,178,41178,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21437040688599673,0.7483479012787765,0.060397356634685574,0.0192263494899708
measurement_noise_0.850,measurement_noise,179,41179,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.2085045918881456,0.7482617184479003,0.058108343462193915,0.02170844873392006
measurement_noise_0.850,measurement_noise,180,41180,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.21854938759466117,0.7517112435071835,0.06061419104980437,0.016784519982653234
measurement_noise_0.850,measurement_noise,181,41181,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.22658217615271403,0.6995341794874624,0.06758136460895911,0.03820978709140358
measurement_noise_0.850,measurement_noise,182,41182,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20752800314528563,0.7657865340163311,0.05607073884796365,0.01687157466347321
measurement_noise_0.850,measurement_noise,183,41183,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.20310004770464346,0.7490550114550167,0.05472952843993813,0.024371804133467238
measurement_noise_0.850,measurement_noise,184,41184,60,measurement_noise_0.850,True,0.22,0.8,0.06,0.19921110990935703,0.7191862738106252,0.05551479014713669,0.035362608710960385
