condition,true_class,seed,policy,classification_correct,classification_margin,adaptation_scale,uncertainty_scale,post_event_state_proxy_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,recovery_time,recovered,intervened
process_disturbance_boundary,process_disturbance,37104,probabilistic_failure_aware,True,0.1548101500872574,0.1,1.25,0.535252591449531,0.3778549398883906,0.3783603068010417,0.06413536418476984,,False,True
process_disturbance_boundary,process_disturbance,37105,baseline,True,0.6864314006391401,1.0,1.0,0.7330568086043469,0.008506620957386683,0.0029658386487749766,0.6887635531710489,0,True,False
process_disturbance_boundary,process_disturbance,37105,generic_uncertainty,True,0.6864314006391401,0.25,1.5,0.5985383778512398,0.31423015376948327,0.3157414596621938,0.17219088829276222,,False,True
process_disturbance_boundary,process_disturbance,37105,probabilistic_failure_aware,True,0.6864314006391401,0.1,1.25,0.655665942163349,0.3776903966560892,0.37829658386487697,0.06887635531710486,,False,True
process_disturbance_boundary,process_disturbance,37106,baseline,True,0.6607158336551151,1.0,1.0,0.6771755047603005,0.010886447748523488,0.006513183031065628,0.6551223076663609,0,True,False
process_disturbance_boundary,process_disturbance,37106,generic_uncertainty,True,0.6607158336551151,0.25,1.5,0.5529114843247924,0.31403090177222487,0.3166282957577661,0.16378057691659023,,False,True
process_disturbance_boundary,process_disturbance,37106,probabilistic_failure_aware,True,0.6607158336551151,0.1,1.25,0.6056841845367057,0.3776096201021491,0.3786513183031067,0.06551223076663606,,False,True
process_disturbance_boundary,process_disturbance,37107,baseline,True,4.424242517717591,1.0,1.0,0.8577470393673662,0.012115029444480022,0.0008114512649450845,0.6836006932491024,0,True,False
process_disturbance_boundary,process_disturbance,37107,generic_uncertainty,True,4.424242517717591,0.25,1.5,0.700347524944334,0.313541423710987,0.3147971371837641,0.1709001733122756,,False,True
process_disturbance_boundary,process_disturbance,37107,probabilistic_failure_aware,True,4.424242517717591,0.1,1.25,0.7671922750098475,0.3774135824595261,0.3779188548735063,0.06836006932491029,,False,True
process_disturbance_boundary,process_disturbance,37108,baseline,True,1.2909932260020012,1.0,1.0,0.7190102828282552,0.010551294210114498,0.0138284304630516,0.6695800005654214,0,True,False
process_disturbance_boundary,process_disturbance,37108,generic_uncertainty,True,1.2909932260020012,0.25,1.5,0.5870694375811477,0.31416206491778303,0.3115428923842375,0.16739500014135536,,False,True
process_disturbance_boundary,process_disturbance,37108,probabilistic_failure_aware,True,1.2909932260020012,0.1,1.25,0.6431023475701315,0.3776621755747382,0.3766171569536948,0.06695800005654218,,False,True
process_disturbance_boundary,process_disturbance,37109,baseline,True,4.249030852594465,1.0,1.0,0.7555824844168448,0.011613986311937313,0.003951075056158104,0.6560122136329123,0,True,False
process_disturbance_boundary,process_disturbance,37109,generic_uncertainty,True,4.249030852594465,0.25,1.5,0.6169305151352307,0.31397840370650465,0.31401223123595967,0.16400305340822807,,False,True
process_disturbance_boundary,process_disturbance,37109,probabilistic_failure_aware,True,4.249030852594465,0.1,1.25,0.6758135191056962,0.37758823146861964,0.37760489249438445,0.06560122136329123,,False,True
