generation_seed,test_index,action,unsafe_action,realized_action_regret,clean_score,poison_score,delta_score,clean_excluded,poison_excluded,membership_switch,clean_cutoff_score,abs_clean_cutoff_margin,near_cutoff_primary
44791,43,2,0,0.0,0.28943428770142104,0.3351009915359684,0.04566670383454735,1,1,0,0.2801911160011875,0.009243171700233532,1
44791,43,3,0,0.0,0.1767385357632095,0.16277132651049986,-0.01396720925270964,0,0,0,0.2801911160011875,0.10345258023797801,0
44791,44,1,0,0.0,0.6527596121369386,0.7378058878094529,0.08504627567251433,1,1,0,0.2801911160011875,0.37256849613575105,0
44791,44,2,0,0.0,0.25001613017422136,0.3299330575819913,0.07991692740776996,0,0,0,0.2801911160011875,0.03017498582696615,0
44791,44,3,0,0.0,0.14944056667256073,0.1596230338832067,0.010182467210645973,0,0,0,0.2801911160011875,0.1307505493286268,0
44791,45,1,0,0.0,0.6514941552712366,0.737680483244472,0.08618632797323544,1,1,0,0.2801911160011875,0.37130303927004904,0
44791,45,2,0,0.0,0.24897163033845615,0.3297897802441781,0.08081814990572195,0,0,0,0.2801911160011875,0.03121948566273136,0
44791,45,3,0,0.0,0.14873291693359456,0.15953610677197044,0.010803189838375887,0,0,0,0.2801911160011875,0.13145819906759296,0
44791,46,1,0,0.0,0.6690695174526214,0.7394387002612646,0.07036918280864313,1,1,0,0.2801911160011875,0.38887840145143393,0
44791,46,2,0,0.0,0.26391116534848885,0.3318055194869072,0.06789435413841832,0,0,0,0.2801911160011875,0.01627995065269866,1
44791,46,3,0,0.0,0.15893047018813028,0.16076083296804797,0.001830362779917688,0,0,0,0.2801911160011875,0.12126064581305723,0
44791,47,1,0,0.0,0.6482428673284087,0.7373590743009522,0.08911620697254341,1,1,0,0.2801911160011875,0.36805175132722123,0
44791,47,2,0,0.0,0.24630940411671098,0.3294229094255126,0.08311350530880163,0,0,0,0.2801911160011875,0.03388171188447653,0
44791,47,3,0,0.0,0.14693283481161643,0.15931361176540584,0.012380776953789419,0,0,0,0.2801911160011875,0.1332582811895711,0
44791,48,1,1,0.1001680014280323,0.6424785182863695,0.7367919247167266,0.09431340643035713,1,1,0,0.2801911160011875,0.36228740228518197,0
44791,48,2,1,0.057569966009196,0.2416636819784115,0.3287767492770712,0.08711306729865967,0,0,0,0.2801911160011875,0.038527434022776,0
44791,48,3,0,0.0,0.1438038568330098,0.15892204257400497,0.01511818574099516,0,0,0,0.2801911160011875,0.1363872591681777,0
44791,49,1,1,0.1001680014280322,0.6604035943147042,0.7385672044752909,0.0781636101605867,1,1,0,0.2801911160011875,0.3802124783135167,0
44791,49,2,1,0.0575699660091961,0.2564266778391947,0.33080450661596406,0.07437782877676935,0,0,0,0.2801911160011875,0.023764438161992807,0
44791,49,3,0,0.0,0.15380114652057159,0.16015216015328737,0.006351013632715785,0,0,0,0.2801911160011875,0.12638996948061593,0
44791,50,1,1,0.0719245058758397,0.6553622293660697,0.7380643563057262,0.0827021269396565,1,1,0,0.2801911160011875,0.3751711133648822,0
44791,50,2,0,0.0,0.25217914627866383,0.33022860238580193,0.0780494561071381,0,0,0,0.2801911160011875,0.028011969722523677,0
44791,50,3,0,0.0,0.15090853651218947,0.15980240309312926,0.008893866580939797,0,0,0,0.2801911160011875,0.12928257948899805,0
44791,51,1,1,0.0719245058758397,0.6371571629973497,0.7362712624372169,0.09911409943986715,1,1,0,0.2801911160011875,0.3569660469961622,0
44791,51,2,0,0.0,0.2374571837227701,0.3281849088127683,0.09072772508999818,0,0,0,0.2801911160011875,0.0427339322784174,0
44791,51,3,0,0.0,0.1409840663231576,0.15856373237715143,0.01757966605399383,0,0,0,0.2801911160011875,0.1392070496780299,0
44791,52,1,1,0.0719245058758397,0.6481779981472113,0.7373526729607076,0.08917467481349628,1,1,0,0.2801911160011875,0.3679868821460238,0
44791,52,2,0,0.0,0.24625659824810067,0.32941560768934697,0.0831590094412463,0,0,0,0.2801911160011875,0.03393451775308684,0
44791,52,3,0,0.0,0.14689718166146415,0.15930918478007353,0.012412003118609377,0,0,0,0.2801911160011875,0.13329393433972336,0
44791,53,1,0,0.0017501447397402,0.7068350008672022,0.7433613211291265,0.03652632026192426,1,1,0,0.2801911160011875,0.4266438848660147,0
44791,53,2,0,0.0032322927031692,0.2995049774504844,0.33635718198177167,0.03685220453128729,1,1,0,0.2801911160011875,0.019313861449296865,1
44791,53,3,0,0.0,0.18390289369810456,0.1635404007179782,-0.02036249298012635,0,0,0,0.2801911160011875,0.09628822230308295,0
44791,54,1,0,0.0,0.6754982447885651,0.740091426129094,0.06459318134052883,1,1,0,0.2801911160011875,0.3953071287873776,0
44791,54,2,1,0.0101258478425031,0.26961864216634784,0.332557671103875,0.06293902893752717,0,0,0,0.2801911160011875,0.010572473834839669,1
44791,54,3,1,0.0403835011329869,0.1628699313365084,0.16121880291080537,-0.00165112842570303,0,0,0,0.2801911160011875,0.11732118466467911,0
44791,55,1,0,0.0,0.6647097361954221,0.7389990949219355,0.07428935872651343,1,1,0,0.2801911160011875,0.38451862019423455,0
44791,55,2,1,0.0302576532904838,0.2601163231263426,0.331300121370393,0.07118379824405041,0,0,0,0.2801911160011875,0.020074792874844927,1
44791,55,3,1,0.0436157938361563,0.15632458621508982,0.1604534046839187,0.004128818468828871,0,0,0,0.2801911160011875,0.12386652978609769,0
44791,56,1,0,0.0,0.6622099542486477,0.7387481030672542,0.07653814881860654,1,1,0,0.2801911160011875,0.3820188382474602,0
44791,56,2,1,0.0133581405456724,0.2579674349733017,0.3310119862478399,0.07304455127453818,0,0,0,0.2801911160011875,0.0222236810278858,0
44791,56,3,1,0.0133581405456724,0.15485368865337187,0.16027824239496652,0.005424553741594645,0,0,0,0.2801911160011875,0.12533742734781564,0
44791,57,1,1,0.1587595785178678,0.6595747303510756,0.7384843272822309,0.07890959693115529,1,1,0,0.2801911160011875,0.3793836143498881,0
44791,57,2,1,0.0948110810267702,0.2557230389709296,0.33070950448035286,0.07498646550942328,0,0,0,0.2801911160011875,0.02446807703025794,0
44791,57,3,0,0.0,0.15332104799036445,0.1600944422496233,0.0067733942592588525,0,0,0,0.2801911160011875,0.12687006801082307,0
44791,58,1,1,0.1587595785178678,0.6537071880981907,0.7378999056065527,0.08419271750836199,1,1,0,0.2801911160011875,0.3735160720970032,0
44791,58,2,1,0.0948110810267702,0.25080133381821546,0.33004052458627325,0.0792391907680578,0,0,0,0.2801911160011875,0.029389782182972057,0
44791,58,3,0,0.0,0.1499730652786215,0.15968824727306247,0.009715181994440963,0,0,0,0.2801911160011875,0.130218050722566,0
44791,59,1,0,0.0,0.6537820894377098,0.7379073414840877,0.08412525204637789,1,1,0,0.2801911160011875,0.37359097343652226,0
44791,59,2,0,0.0,0.2508635133696618,0.3300490259815477,0.07918551261188589,0,0,0,0.2801911160011875,0.02932760263152573,0
44791,59,3,0,0.0,0.15001525252640266,0.15969340657141498,0.009678154045012322,0,0,0,0.2801911160011875,0.13017586347478485,0
44791,60,1,0,0.0,0.6435449904834271,0.7368966019237849,0.09335161144035786,1,1,0,0.2801911160011875,0.36335387448223955,0
44791,60,2,0,0.0,0.2425161360275264,0.3288958931753248,0.08637975714779841,0,0,0,0.2801911160011875,0.03767497997366112,0
44791,60,3,0,0.0,0.14437683658000436,0.15899421377527442,0.014617377195270065,0,0,0,0.2801911160011875,0.13581427942118315,0
44791,61,1,0,0.0,0.645184519487941,0.737057747061446,0.09187322757350502,1,1,0,0.2801911160011875,0.36499340348675346,0
44791,61,2,0,0.0,0.2438328640213792,0.329079411671573,0.08524654765019382,0,0,0,0.2801911160011875,0.036358251979808326,0
44791,61,3,0,0.0,0.14526290590959112,0.15910540567552575,0.01384249976593463,0,0,0,0.2801911160011875,0.1349282100915964,0
44791,62,1,0,0.0,0.6841296692599261,0.7409767891869893,0.05684711992706315,1,1,0,0.2801911160011875,0.4039385532587386,0
44791,62,2,0,0.0,0.27749885363836213,0.33358122692902786,0.05608237329066573,0,1,1,0.2801911160011875,0.0026922623628253817,1
44791,62,3,0,0.0,0.1683493095711687,0.16184288033434707,-0.006506429236821626,0,0,0,0.2801911160011875,0.11184180643001881,0
44791,63,1,0,0.0,0.6690398963952845,0.7394357053562519,0.07039580896096742,1,1,0,0.2801911160011875,0.388848780394097,0
44791,63,2,0,0.0,0.26388517829767194,0.3318020731740336,0.06791689487636166,0,0,0,0.2801911160011875,0.01630593770351557,1
44791,63,3,0,0.0,0.1589125887695327,0.16075873580088273,0.0018461470313500261,0,0,0,0.2801911160011875,0.1212785272316548,0
44791,64,1,0,0.0,0.6861057395090847,0.7411810140060063,0.05507527449692162,1,1,0,0.2801911160011875,0.4059146235078972,0
44791,64,2,0,0.0,0.27933908632709054,0.33381787466932694,0.054478788342236406,0,1,1,0.2801911160011875,0.0008520296740969768,1
44791,64,3,0,0.0,0.1696356638852004,0.161987308527916,-0.007648355357284392,0,0,0,0.2801911160011875,0.11055545211598711,0
44791,65,1,0,0.0,0.6677145199807406,0.7393018154438691,0.07158729546312848,1,1,0,0.2801911160011875,0.3875234039795531,0
44791,65,2,0,0.0,0.26272527923273603,0.3316480472760689,0.06892276804333286,0,0,0,0.2801911160011875,0.01746583676845148,1
44791,65,3,0,0.0,0.1581149854753361,0.16066501859348553,0.0025500331181494418,0,0,0,0.2801911160011875,0.12207613052585142,0
44791,66,1,1,0.0646237192409887,0.6618501535384539,0.7387120395489769,0.07686188601052302,1,1,0,0.2801911160011875,0.3816590375372664,0
