trial,audit_rows,poison_rows_recovered,unsafe_selected,total_regret
250,1576,74,392,16.207577242407055
251,1576,80,391,16.188885873708163
252,1576,67,392,16.20742687464437
253,1576,69,393,16.21321524468546
254,1576,58,392,16.20742687464437
255,1576,70,392,16.20742687464437
256,1576,63,392,16.20742687464437
257,1576,71,391,16.188885873708163
258,1576,64,392,16.20742687464437
259,1576,51,392,16.20742687464437
260,1576,54,392,16.20742687464437
261,1576,80,392,16.210995650828668
262,1576,63,393,16.21321524468546
263,1576,72,393,16.21321524468546
264,1576,64,392,16.20742687464437
265,1576,65,392,16.20742687464437
266,1576,68,393,16.21321524468546
267,1576,74,392,16.196789766255822
268,1576,67,393,16.21321524468546
269,1576,55,392,16.20742687464437
270,1576,70,393,16.21321524468546
271,1576,66,392,16.20742687464437
272,1576,59,392,16.20742687464437
273,1576,58,392,16.20742687464437
274,1576,57,392,16.20742687464437
275,1576,72,391,16.182071902179747
276,1576,74,391,16.182071902179747
277,1576,71,392,16.196789766255822
278,1576,61,392,16.20742687464437
279,1576,61,392,16.20742687464437
280,1576,54,392,16.20742687464437
281,1576,66,393,16.21321524468546
282,1576,65,393,16.21321524468546
283,1576,65,392,16.20742687464437
284,1576,60,392,16.20742687464437
285,1576,71,392,16.20742687464437
286,1576,67,392,16.196789766255822
287,1576,64,393,16.21321524468546
288,1576,66,393,16.21321524468546
289,1576,77,393,16.21321524468546
290,1576,64,393,16.21321524468546
291,1576,60,392,16.20742687464437
292,1576,51,392,16.20742687464437
293,1576,66,392,16.20742687464437
294,1576,55,392,16.20742687464437
295,1576,54,392,16.20742687464437
296,1576,69,393,16.21321524468546
297,1576,62,392,16.20742687464437
298,1576,72,392,16.20742687464437
299,1576,77,390,16.156156092332473
300,1576,70,392,16.196789766255822
301,1576,66,393,16.21321524468546
302,1576,60,393,16.21321524468546
303,1576,60,392,16.20742687464437
304,1576,66,392,16.20742687464437
305,1576,73,390,16.156156092332473
306,1576,69,393,16.21321524468546
307,1576,65,392,16.20742687464437
308,1576,62,392,16.20742687464437
309,1576,65,393,16.21321524468546
310,1576,66,393,16.21321524468546
311,1576,66,392,16.20742687464437
312,1576,61,392,16.20742687464437
313,1576,70,393,16.21321524468546
314,1576,61,392,16.20742687464437
315,1576,78,393,16.21321524468546
316,1576,76,391,16.182071902179747
317,1576,72,393,16.21321524468546
318,1576,67,390,16.156156092332473
319,1576,47,392,16.20742687464437
320,1576,65,393,16.21321524468546
321,1576,70,393,16.21321524468546
322,1576,62,392,16.20742687464437
323,1576,60,392,16.20742687464437
324,1576,73,393,16.21321524468546
325,1576,66,393,16.21321524468546
326,1576,64,392,16.20742687464437
327,1576,78,391,16.182071902179747
328,1576,72,391,16.188885873708163
329,1576,70,391,16.182071902179747
330,1576,75,392,16.210995650828668
331,1576,55,392,16.20742687464437
332,1576,64,392,16.20742687464437
333,1576,59,392,16.20742687464437
334,1576,68,392,16.20742687464437
335,1576,72,391,16.188885873708163
336,1576,76,391,16.188885873708163
337,1576,54,392,16.20742687464437
338,1576,76,392,16.19915509217374
339,1576,69,391,16.182071902179747
340,1576,76,391,16.182071902179747
341,1576,56,392,16.20742687464437
342,1576,67,392,16.20742687464437
343,1576,82,392,16.207577242407055
344,1576,56,392,16.20742687464437
345,1576,66,393,16.21321524468546
346,1576,62,392,16.20742687464437
347,1576,60,392,16.20742687464437
348,1576,63,393,16.21321524468546
349,1576,55,392,16.20742687464437
350,1576,69,393,16.21321524468546
351,1576,71,391,16.182071902179747
352,1576,75,391,16.19808338230796
353,1576,70,392,16.19915509217374
354,1576,62,392,16.20742687464437
355,1576,53,392,16.20742687464437
356,1576,76,391,16.188885873708163
357,1576,68,393,16.21321524468546
358,1576,77,392,16.210995650828668
359,1576,70,390,16.156156092332473
360,1576,58,392,16.20742687464437
361,1576,68,392,16.20742687464437
362,1576,58,392,16.20742687464437
363,1576,58,392,16.20742687464437
364,1576,71,392,16.20742687464437
365,1576,57,392,16.20742687464437
366,1576,66,393,16.21321524468546
367,1576,53,392,16.20742687464437
368,1576,71,392,16.19915509217374
