generation_seed,test_index,primary_action,support_baseline_action,calibration_guard_action,support_changed_action,guard_changed_support_action,baseline_expansion_outcome,guarded_expansion_outcome,baseline_regret,guarded_regret,primary_regret,context_support_distance,calibration_probability_baseline_action,calibration_threshold,predicted_baseline_action_loss,realized_baseline_action_loss,baseline_action_loss_error,severe_underestimation,true_best_action,true_responsive_action,vetoed_actions
44101,53,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,16.724225893768693,nan,0.468010308717,0.11697589670608885,0.05318890716962495,0.0637869895364639,0,1,1,
44101,54,1,1,1,0,0,neutral,neutral,0.010665676113637147,0.010665676113637147,0.010665676113637147,15.278680475875882,nan,0.468010308717,0.0914168783464561,0.04306584105614176,0.04835103729031435,0,2,1,
44101,55,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,23.53661017809005,nan,0.468010308717,0.11915482474964112,0.020899114619031683,0.09825571013060944,0,1,1,
44101,56,1,1,1,0,0,neutral,neutral,0.0126970089200635,0.0126970089200635,0.0126970089200635,13.347118777014922,nan,0.468010308717,0.07802348971788652,0.059567760335607116,0.0184557293822794,0,2,1,
44102,0,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.930864838089014,nan,0.468010308717,0.1177490373696528,0.024999749386940967,0.09274928798271183,0,1,1,
44102,1,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,5.662007580332902,nan,0.468010308717,0.279198014212508,0.16713473462446693,0.11206327958804108,0,1,1,
44102,2,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.7749836328190662,nan,0.468010308717,0.11944754975915506,0.11382024000927392,0.00562730974988114,0,1,1,
44102,3,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.965251013705069,nan,0.468010308717,0.17002107572915628,0.040994212546182004,0.1290268631829743,0,1,1,
44102,4,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,1.9963183358040104,nan,0.468010308717,0.15691241420065763,0.138638111559445,0.01827430264121263,0,2,3,
44102,5,1,1,1,0,0,neutral,neutral,0.09084795550392881,0.09084795550392881,0.09084795550392881,2.0598236462125756,nan,0.468010308717,0.08978826833937381,0.17150493551310603,-0.08171666717373222,0,2,3,
44102,6,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.9424795669286707,nan,0.468010308717,0.08296800680704813,0.03627771220968512,0.04669029459736301,0,2,2,
44102,7,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.832928957636858,nan,0.468010308717,0.19185557399874165,0.26004930804630216,-0.06819373404756052,0,2,3,
44102,8,1,1,1,0,0,neutral,neutral,0.006031549422246429,0.006031549422246429,0.006031549422246429,3.109846521239649,nan,0.468010308717,0.09363586949972381,0.19423054781656554,-0.10059467831684173,0,2,1,
44102,9,1,1,1,0,0,neutral,neutral,0.006031549422246429,0.006031549422246429,0.006031549422246429,3.5866472811543857,nan,0.468010308717,0.11601645119171292,0.10229671830344111,0.013719732888271802,0,2,1,
44102,10,1,1,1,0,0,neutral,neutral,0.09012349573458761,0.09012349573458761,0.09012349573458761,3.128931525226096,nan,0.468010308717,0.12532934326758796,0.21047929345139063,-0.08514995018380267,0,2,3,
44102,11,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.9768150860939984,nan,0.468010308717,0.17128454198580162,0.06296748066302577,0.10831706132277585,0,2,2,
44102,12,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,4.389792202063243,nan,0.468010308717,0.11420415725891256,0.02614089585398333,0.08806326140492923,0,2,3,
44102,13,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.168156905680801,nan,0.468010308717,0.17962337832059097,0.22341228283881862,-0.043788904518227645,0,3,3,
44102,14,1,1,1,0,0,neutral,neutral,0.163428139195942,0.163428139195942,0.163428139195942,4.769082856728021,nan,0.468010308717,0.06744487350288485,0.3069687428224084,-0.23952386931952352,0,3,1,
44102,15,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,3.3609419345664717,nan,0.468010308717,0.11684679315230215,0.029412062032426738,0.0874347311198754,0,1,1,
44102,16,1,1,1,0,0,neutral,neutral,0.09827758497346994,0.09827758497346994,0.09827758497346994,2.1189478456748345,nan,0.468010308717,0.16078457136988716,0.21535675065393078,-0.05457217928404362,0,2,3,2
44102,17,1,1,1,0,0,neutral,neutral,0.09827758497346996,0.09827758497346996,0.09827758497346996,2.9940905247194833,nan,0.468010308717,0.14985459839496573,0.16662592702896972,-0.01677132863400399,0,2,1,
44102,18,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.491209661216056,nan,0.468010308717,0.09653470324358153,0.028969282497756092,0.06756542074582544,0,2,2,
44102,19,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,2.4910283379351457,nan,0.468010308717,0.1279358686292045,0.02837818725058491,0.09955768137861959,0,1,3,
44102,20,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,4.181776695544149,nan,0.468010308717,0.12920877560593694,0.13086220963566259,-0.0016534340297256478,0,1,1,
44102,21,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,4.206670074474671,nan,0.468010308717,0.1450981314761544,0.06905266593252501,0.0760454655436294,0,1,2,
44102,22,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,4.632484700502282,nan,0.468010308717,0.0983894605680497,0.028487163078544035,0.06990229748950566,0,1,1,
44102,23,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.4753750698954677,nan,0.468010308717,0.13475725276157968,0.13140812737343557,0.0033491253881441085,0,1,1,
44102,24,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.5897296608053586,nan,0.468010308717,0.17049919599470317,0.07334310189195653,0.09715609410274664,0,1,2,
44102,25,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,3.385907041447998,nan,0.468010308717,0.10767889328616058,0.030789856889103878,0.0768890363970567,0,1,1,
44102,26,1,1,1,0,0,neutral,neutral,0.06484974270063329,0.06484974270063329,0.06484974270063329,3.0652231734080084,nan,0.468010308717,0.17393894150526992,0.19000230434522064,-0.016063362839950718,0,2,1,
44102,27,1,1,1,0,0,neutral,neutral,0.0648497427006333,0.0648497427006333,0.0648497427006333,3.2572480342715715,nan,0.468010308717,0.08815892322088584,0.13370278627377893,-0.0455438630528931,0,2,1,
44102,28,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.3186099392657127,nan,0.468010308717,0.11206224956412893,0.02963919926983317,0.08242305029429575,0,2,2,
44102,29,1,1,1,0,0,neutral,neutral,0.13742619758434677,0.13742619758434677,0.13742619758434677,3.013594855602742,nan,0.468010308717,0.08498859579383676,0.4257351927661669,-0.3407465969723301,0,3,1,
44102,30,1,1,1,0,0,neutral,neutral,0.18447051366789335,0.18447051366789335,0.18447051366789335,3.3178449283554334,nan,0.468010308717,0.09824764068398441,0.2959565872650868,-0.19770894658110238,0,3,1,
44102,31,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.114011682454273,nan,0.468010308717,0.1552234919703642,0.15035711059440207,0.0048663813759621255,0,1,2,
44102,32,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.1280575042777907,nan,0.468010308717,0.13198587092962083,0.09365609836065283,0.038329772568967996,0,1,2,
44102,33,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.498121277405906,nan,0.468010308717,0.08805635667088751,0.044284932045048415,0.0437714246258391,0,1,2,
44102,34,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.055955173880918,nan,0.468010308717,0.10721257939684747,0.13434704744900858,-0.027134468052161104,0,1,1,3
44102,35,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.899926430237583,nan,0.468010308717,0.11581974148260633,0.07564248219069784,0.04017725929190849,0,1,1,
44102,36,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.4035972116159483,nan,0.468010308717,0.06984977844576971,0.033312900744650376,0.03653687770111934,0,1,2,
44102,37,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,1.2255797608952228,nan,0.468010308717,0.12036465392349628,0.13646932186001137,-0.01610466793651509,0,1,3,
44102,38,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,2.8224481218884687,nan,0.468010308717,0.14238572368846247,0.08063103874357558,0.061754684944886895,0,1,2,
44102,39,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.676760187842999,nan,0.468010308717,0.07309460167740581,0.04118570722903999,0.03190889444836582,0,1,1,
44102,40,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,5.157562678771291,nan,0.468010308717,0.14433567548727305,0.12806797594658947,0.016267699540683578,0,1,3,
44102,41,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,4.850026225661087,nan,0.468010308717,0.1358857613692091,0.07176364310678424,0.06412211826242487,0,1,3,
44102,42,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,5.3648587125478455,nan,0.468010308717,0.11240192674687449,0.03200837163029904,0.08039355511657545,0,1,1,
44102,43,1,1,1,0,0,neutral,neutral,0.10630875979662169,0.10630875979662169,0.10630875979662169,2.256066401650114,nan,0.468010308717,0.11074317541459902,0.24067769161692587,-0.12993451620232685,0,2,1,
44102,44,1,1,1,0,0,neutral,neutral,0.10630875979662169,0.10630875979662169,0.10630875979662169,3.5580443240853983,nan,0.468010308717,0.14205730339385345,0.18724928953942632,-0.04519198614557288,0,2,1,
44102,45,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.3201028532265093,nan,0.468010308717,0.09276493976292279,0.0440454526899934,0.048719487072929384,0,2,2,
44102,46,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,1.9047650534153189,nan,0.468010308717,0.10214193663830555,0.15204260245437554,-0.049900665816069986,0,1,1,3
44102,47,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.4773926676296094,nan,0.468010308717,0.09721603944474717,0.09423833389594888,0.0029777055487982956,0,1,1,
44102,48,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,3.9335640986820417,nan,0.468010308717,0.1031880352369175,0.05006945898242022,0.05311857625449728,0,1,2,
44102,49,3,3,3,0,0,neutral,neutral,0.03770845753424534,0.03770845753424534,0.03770845753424534,3.698905096509331,nan,0.468010308717,0.11315650102718479,0.45254459387090057,-0.3393880928437158,0,1,1,
44102,50,3,3,3,0,0,neutral,neutral,0.035668631218992664,0.035668631218992664,0.035668631218992664,4.2716874434823735,nan,0.468010308717,0.15504399658230905,0.31851638416514283,-0.16347238758283378,0,1,1,
44102,51,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,13.502234467638246,nan,0.468010308717,0.10455430290560162,0.11548232787066562,-0.010928024965063995,0,1,1,
44102,52,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,18.14674042128599,nan,0.468010308717,0.08456605173980881,0.022517711578161164,0.06204834016164765,0,1,1,
44102,53,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,17.573507537608346,nan,0.468010308717,0.040965787939432646,0.0995885252449756,-0.05862273730554296,0,1,1,
44102,54,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,13.884201597028461,nan,0.468010308717,0.04198137034319985,0.037209576612874794,0.004771793730325054,0,1,1,
44102,55,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,16.33586431624642,nan,0.468010308717,0.0920936000701524,0.05314056481490008,0.038953035255252316,0,1,1,
44102,56,1,1,1,0,0,neutral,neutral,0.010523606300437562,0.010523606300437562,0.010523606300437562,14.944453559971828,nan,0.468010308717,0.07613141114324606,0.043083614633795876,0.03304779650945019,0,2,1,
44102,57,3,3,3,0,0,neutral,neutral,0.057325759680123725,0.057325759680123725,0.057325759680123725,23.30623754203271,nan,0.468010308717,0.12485834153248716,0.07790423617306305,0.04695410535942411,0,1,1,
44102,58,1,1,1,0,0,neutral,neutral,0.015089334833275563,0.015089334833275563,0.015089334833275563,13.064696817814355,nan,0.468010308717,0.056218152214095866,0.06177828986543546,-0.005560137651339593,0,2,1,
44103,0,2,2,2,0,0,neutral,neutral,0.0,0.0,0.0,5.335991758998526,nan,0.468010308717,0.27247662685865504,0.16680937342215774,0.1056672534364973,0,1,2,
44103,1,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.915297761803265,nan,0.468010308717,0.12776496604744522,0.11340760730961222,0.014357358737833004,0,1,1,
44103,2,1,1,1,0,0,neutral,neutral,0.0,0.0,0.0,2.734844491391574,nan,0.468010308717,0.16007552708585757,0.040981635972568514,0.11909389111328905,0,1,1,
44103,3,3,2,2,1,0,beneficial,beneficial,0.0,0.0,0.0,1.8769621418527311,0.30797206545711503,0.468010308717,0.16427564182034649,0.13835787080337758,0.025917771016968905,0,2,3,
44103,4,3,1,3,1,1,harmful,neutral,0.09157732648995356,0.0,0.0,1.809127544062786,0.5213466678943514,0.468010308717,0.11359633335503082,0.17194784364052684,-0.058351510285496025,1,2,3,1
44103,5,3,3,3,0,0,neutral,neutral,0.0,0.0,0.0,3.101382944474611,nan,0.468010308717,0.08526744092508431,0.03597513299970144,0.049292307925382875,0,2,2,
