threshold,rows,harmful,beneficial,harmful_recall,harmful_precision,beneficial_specificity,balanced_accuracy,flagged,flagged_fraction,tp,fp,fn,tn,qualifies_recall_constraint,selected_threshold,transfer,training_block,test_block
0.04199266720110108,49,6,43,1.0,0.17647058823529413,0.3488372093023256,0.6744186046511628,34,0.6938775510204082,6,28,0,15,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.04225472036673278,49,6,43,1.0,0.18181818181818182,0.37209302325581395,0.686046511627907,33,0.673469387755102,6,27,0,16,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.042804813750191247,49,6,43,1.0,0.1875,0.3953488372093023,0.6976744186046512,32,0.6530612244897959,6,26,0,17,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.04545596816068852,49,6,43,1.0,0.1935483870967742,0.4186046511627907,0.7093023255813954,31,0.6326530612244898,6,25,0,18,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.045746291196928066,49,6,43,1.0,0.2,0.4418604651162791,0.7209302325581395,30,0.6122448979591837,6,24,0,19,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.045828345891274276,49,6,43,1.0,0.20689655172413793,0.46511627906976744,0.7325581395348837,29,0.5918367346938775,6,23,0,20,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.04651266257713771,49,6,43,1.0,0.21428571428571427,0.4883720930232558,0.7441860465116279,28,0.5714285714285714,6,22,0,21,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.04695985597327947,49,6,43,1.0,0.2222222222222222,0.5116279069767442,0.7558139534883721,27,0.5510204081632653,6,21,0,22,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.04842183549151196,49,6,43,1.0,0.23076923076923078,0.5348837209302325,0.7674418604651163,26,0.5306122448979592,6,20,0,23,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.051061574193885975,49,6,43,1.0,0.24,0.5581395348837209,0.7790697674418605,25,0.5102040816326531,6,19,0,24,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.052864930203876136,49,6,43,1.0,0.25,0.5813953488372093,0.7906976744186047,24,0.4897959183673469,6,18,0,25,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.0546316555825784,49,6,43,1.0,0.2608695652173913,0.6046511627906976,0.8023255813953488,23,0.46938775510204084,6,17,0,26,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.0571165929475962,49,6,43,1.0,0.2727272727272727,0.627906976744186,0.813953488372093,22,0.4489795918367347,6,16,0,27,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.05884203144663692,49,6,43,1.0,0.2857142857142857,0.6511627906976745,0.8255813953488372,21,0.42857142857142855,6,15,0,28,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.06049219092008293,49,6,43,1.0,0.3,0.6744186046511628,0.8372093023255813,20,0.40816326530612246,6,14,0,29,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.0643632489186513,49,6,43,0.8333333333333334,0.2631578947368421,0.6744186046511628,0.7538759689922481,19,0.3877551020408163,5,14,1,29,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.06505863367865762,49,6,43,0.8333333333333334,0.2777777777777778,0.6976744186046512,0.7655038759689923,18,0.3673469387755102,5,13,1,30,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.0658756137196054,49,6,43,0.8333333333333334,0.29411764705882354,0.7209302325581395,0.7771317829457365,17,0.3469387755102041,5,12,1,31,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.06594282834007281,49,6,43,0.8333333333333334,0.3125,0.7441860465116279,0.7887596899224807,16,0.32653061224489793,5,11,1,32,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.06815821302907853,49,6,43,0.8333333333333334,0.3333333333333333,0.7674418604651163,0.8003875968992249,15,0.30612244897959184,5,10,1,33,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.06876289693168543,49,6,43,0.8333333333333334,0.35714285714285715,0.7906976744186046,0.812015503875969,14,0.2857142857142857,5,9,1,34,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.06959688867753228,49,6,43,0.8333333333333334,0.38461538461538464,0.813953488372093,0.8236434108527132,13,0.2653061224489796,5,8,1,35,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.07222223135276055,49,6,43,0.8333333333333334,0.4166666666666667,0.8372093023255814,0.8352713178294574,12,0.24489795918367346,5,7,1,36,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.07316449868695787,49,6,43,0.8333333333333334,0.45454545454545453,0.8604651162790697,0.8468992248062015,11,0.22448979591836735,5,6,1,37,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.07471871297217172,49,6,43,0.8333333333333334,0.5,0.8837209302325582,0.8585271317829457,10,0.20408163265306123,5,5,1,38,1,1,block_091_110_to_block_071_090,block_091_110,block_071_090
0.0813987815230119,49,6,43,0.6666666666666666,0.4444444444444444,0.8837209302325582,0.7751937984496124,9,0.1836734693877551,4,5,2,38,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.08306417136597159,49,6,43,0.6666666666666666,0.5,0.9069767441860465,0.7868217054263565,8,0.16326530612244897,4,4,2,39,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.08361774493814307,49,6,43,0.6666666666666666,0.5714285714285714,0.9302325581395349,0.7984496124031008,7,0.14285714285714285,4,3,2,40,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.08372114297260096,49,6,43,0.5,0.5,0.9302325581395349,0.7151162790697674,6,0.12244897959183673,3,3,3,40,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.08578870755527016,49,6,43,0.3333333333333333,0.4,0.9302325581395349,0.6317829457364341,5,0.10204081632653061,2,3,4,40,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.09222520343657604,49,6,43,0.3333333333333333,0.5,0.9534883720930233,0.6434108527131783,4,0.08163265306122448,2,2,4,41,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.09619748383158591,49,6,43,0.3333333333333333,0.6666666666666666,0.9767441860465116,0.6550387596899224,3,0.061224489795918366,2,1,4,42,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.10301203433861286,49,6,43,0.16666666666666666,0.5,0.9767441860465116,0.5717054263565892,2,0.04081632653061224,1,1,5,42,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.10402073411576326,49,6,43,0.0,0.0,0.9767441860465116,0.4883720930232558,1,0.02040816326530612,0,1,6,42,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
