regime,seed,mean_innovation,std_innovation,mean_absolute_innovation,mean_nis,std_nis,fraction_nis_above_1,fraction_nis_above_3,max_nis,longest_nis_run_above_1,innovation_lag1_autocorrelation
process_disturbance,3,0.27348093833230014,0.7886668633408963,0.6623669580661401,1.4731936523801612,2.2403811055634253,0.45,0.1,14.971547027472038,10,0.39905927332490554
process_disturbance,4,0.2770555066340557,0.8640545783275597,0.675437817137825,1.662428772345538,3.474335421865174,0.4,0.17,31.468254023336996,6,0.3221587325949234
process_disturbance,5,0.2904971981107031,0.9764286987388878,0.8039355807100559,1.8167743587912064,2.497735134999801,0.52,0.19,13.956719028728196,7,0.19898895058418284
process_disturbance,6,0.2600038290624289,0.9153808559586899,0.7073298389441147,1.7655604281637385,3.93903561568832,0.4,0.18,35.896066142410156,6,0.3099220352623543
process_disturbance,7,0.2692117002113948,0.8566767342375896,0.6634575097435628,1.575445154366941,3.0450183340947197,0.38,0.16,26.03642030394636,6,0.4060709525981721
process_disturbance,8,0.32285108437741544,0.9008612503733846,0.7323371577146265,1.7315490096465351,3.3383686072920784,0.43,0.15,28.925573319413214,12,0.3371152183514276
process_disturbance,9,0.2701992019783963,0.8507025378935051,0.6814120877974952,1.6589738558852052,3.5501210219724637,0.42,0.15,31.79228001400151,9,0.37685195230718066
process_disturbance,10,0.2694243236759311,0.893574252315147,0.7187821123852396,1.7608771993470038,3.6104299748598327,0.42,0.12,30.491616428685465,10,0.4411595240908657
process_disturbance,11,0.2898659489805556,0.8601095616812141,0.688056164079049,1.6400376155766978,3.23207326471758,0.41,0.15,27.89613988335453,10,0.3265543444019601
process_disturbance,12,0.28145424471434566,0.92850404013378,0.7297604552805217,1.7756457982399803,3.762289952758911,0.39,0.15,33.00580014471466,12,0.32553413037175827
process_disturbance,13,0.3100959925991539,0.9145198712754304,0.7317011614328397,1.776230663129347,3.502742992576155,0.44,0.18,30.863493267841505,7,0.375235287138146
process_disturbance,14,0.2998541680806422,0.8696965840074239,0.6997862530385616,1.7228572088675156,3.9605033619989682,0.42,0.11,35.444278085682825,6,0.38448112127229284
process_disturbance,15,0.2801576339074811,0.8709077370455759,0.675801632060547,1.637578206744965,3.074226328384592,0.4,0.12,21.31972642415316,5,0.31480366325038706
process_disturbance,16,0.2696242705200111,0.8756238137358778,0.6529064832040545,1.6887856732206736,3.9833197401774076,0.34,0.19,28.242597296492576,5,0.2836537171865447
process_disturbance,17,0.2709189999512449,0.8548509792432154,0.6520976804601208,1.5420356425000168,3.4965136797142815,0.35,0.11,28.372839175770284,4,0.3757660411063008
process_disturbance,18,0.280105680900464,0.8635933050672296,0.6895212362373471,1.646231892432125,3.1340602714098855,0.37,0.15,24.683193519074628,4,0.19527524343403796
process_disturbance,19,0.2542270933386831,0.8438700256874623,0.6626774006401601,1.561514689278573,2.870751918583691,0.36,0.13,15.142913096362333,9,0.36413729854375254
process_disturbance,20,0.2684432648750648,0.8714627835353859,0.6803238781706978,1.735005958948171,4.4265162394726545,0.35,0.17,40.64430215381383,7,0.48628674182499726
process_disturbance,21,0.297791483802677,0.8829194511423267,0.737659612444933,1.7350567530262806,2.7848817343398777,0.43,0.16,19.41799223692759,12,0.43418076968380054
process_disturbance,22,0.26194918455303495,0.8426055179283196,0.6487921344698828,1.6348134574128066,4.434748962594365,0.35,0.12,40.96277227532453,10,0.4078826345352037
process_disturbance,23,0.2694437422854233,0.8027842501065215,0.6710727225385587,1.4739344590922356,1.9480660267798622,0.4,0.14,10.4780977542424,8,0.35740097052359115
process_disturbance,24,0.26268744178513254,0.891265817265593,0.6635498712352725,1.7931131082746237,4.204826531450626,0.39,0.14,32.19810846048425,6,0.24052965457898257
process_disturbance,25,0.280509702665368,0.8508330978437615,0.7021782000960913,1.557395465934745,2.252528279002587,0.44,0.17,16.39643970310949,5,0.41892547860310936
process_disturbance,26,0.2587920631212096,0.8537702558784391,0.6762781474697129,1.6632961068325232,3.9095789409978234,0.42,0.12,35.65896070973232,10,0.3733435279146419
process_disturbance,27,0.26151415325145305,0.8686906585710958,0.6991783274054653,1.6654384436415164,2.9066598952011975,0.43,0.15,22.97603617209356,5,0.33008415692785875
process_disturbance,28,0.28603513165100203,0.8263391793926272,0.6490736965845358,1.4648654774149552,2.292148192563503,0.38,0.14,12.040531721419699,8,0.5620520593024764
process_disturbance,29,0.2669103099567228,0.8935774309038615,0.7117658000448813,1.6733495480804879,2.9781614592197534,0.43,0.14,19.62047587414542,9,0.44655436699475726
process_disturbance,30,0.2710785111900574,0.8614064068176481,0.6761709268150174,1.6279879051335602,3.4640269022654904,0.42,0.17,30.57539574502074,7,0.4064152560217987
process_disturbance,31,0.2646894133962793,0.9310955902054104,0.7101074081868686,1.7647234853147507,3.690399321442693,0.43,0.15,32.76764117505152,6,0.22621079322951074
process_disturbance,32,0.2783385419618419,0.8066375440577918,0.6760002884315258,1.437778987740476,1.8096689087248954,0.39,0.16,7.198997553332278,8,0.3559306516430782
process_disturbance,33,0.28355413990850986,0.8229899340656487,0.6354182326495649,1.4496085613400889,2.6070599376212127,0.41,0.11,20.492233928839028,7,0.3713992105734657
process_disturbance,34,0.29149832514413343,0.8664070103331131,0.6909685680459566,1.5996674512736002,2.9603347781263234,0.36,0.15,25.032397964873777,5,0.3478008017258788
process_disturbance,35,0.27627330088476837,0.8830922046823552,0.6714853914675148,1.6707915692338748,4.122870017983933,0.36,0.11,34.657335784381424,10,0.41043979384640533
process_disturbance,36,0.3151648324590897,0.8829932271091929,0.660571883959025,1.6806339940159634,3.8402959273645982,0.34,0.11,27.61132481226319,4,0.4096357734206607
process_disturbance,37,0.27523604742366253,0.8484688432916321,0.6729041423637993,1.49071180186317,2.0624616086919927,0.37,0.19,8.400774785281934,5,0.43862069922239316
process_disturbance,38,0.2665677511300156,0.8087822058932992,0.6509942377905872,1.4458642021030415,2.2820485355960134,0.36,0.13,12.520087982454427,4,0.40242283504663967
process_disturbance,39,0.27056082917153557,0.8334440659446886,0.6411187826500883,1.627392871690132,4.598567166135704,0.34,0.13,43.25597464260659,5,0.4141458407196396
process_disturbance,40,0.2704041367007209,0.8509544996241376,0.6657067279916938,1.620307525358193,3.2033684882644504,0.42,0.13,25.851816724443303,5,0.41042345389216794
process_disturbance,41,0.26837250235123183,0.9285915466709787,0.7276912789343137,1.7465802937890096,3.1109713841176054,0.43,0.17,24.29661557031567,9,0.3156825566174594
process_disturbance,42,0.2764454192717387,0.8394958291601278,0.6623192685127308,1.640378161994864,4.088766759733468,0.37,0.12,37.6459399158006,4,0.43885675448090605
process_disturbance,43,0.2784356350385807,0.9063533342579737,0.7054748598060375,1.795586446848705,3.699546376054502,0.38,0.18,31.51916105925833,3,0.3150517732527545
process_disturbance,44,0.28738370403619135,0.870003924989981,0.7077015366343881,1.7139225396613345,3.787620858372688,0.39,0.15,35.12651020084898,10,0.31213558434220673
process_disturbance,45,0.2699718220590703,0.8589879002390252,0.6977415530535973,1.5396416698683353,2.250832232009187,0.38,0.17,14.736546989405802,6,0.36958901944420375
process_disturbance,46,0.2809843476473473,0.8534425543583584,0.6764515956354727,1.6673193815909133,3.3832690795059723,0.38,0.16,28.92959725631292,5,0.39557235205646163
process_disturbance,47,0.28362867704799116,0.8572404357876928,0.6836436397092325,1.6318464126319583,3.0034495325252744,0.39,0.17,23.94335586349183,4,0.32704696255978427
process_disturbance,48,0.2968859356205943,0.8769854956871912,0.7101872523151805,1.5561482143928922,2.230801564436676,0.41,0.18,16.87821249102202,5,0.30329304772120746
process_disturbance,49,0.2764687764646903,0.8203908642098511,0.6423339922774709,1.5379146947805984,2.7630794913740537,0.37,0.16,19.5772954039363,4,0.3354843011878899
process_disturbance,50,0.2842005150199004,0.8865330749946784,0.674180409930793,1.7414065812536925,4.088030137115874,0.34,0.18,36.63923111420088,7,0.3663141610951401
process_disturbance,51,0.2907636000833728,0.8048916682797722,0.6499523794628145,1.4659891640489915,2.489267733810179,0.39,0.2,20.079493650988947,9,0.40719962823458233
process_disturbance,52,0.28343260656351743,0.8475969181300086,0.7069770796015893,1.5239167743137705,1.8515699440101154,0.46,0.2,9.296326843044502,8,0.4629383651959407
process_disturbance,53,0.24215060256329005,0.8587969259045104,0.6636309655142236,1.4944108563929348,2.570928668347808,0.43,0.11,18.95581497182511,6,0.33475815550626503
process_disturbance,54,0.2614684062318212,0.9473725420586424,0.7101871287487912,2.049578302859953,5.425762438083556,0.34,0.14,46.30651949410332,5,0.37360515175298914
