test_index,outcome,primary_actions,expanded_actions,true_safe_actions,added_actions,primary_action,expanded_action,true_responsive_action,primary_regret,expanded_regret,incremental_regret,safety_score,downside_score,nearest_distance,mean_knn_distance,local_safe_fraction,nearest_safe_distance,nearest_unsafe_distance,safe_distance_advantage,mahalanobis_distance
55,neutral,3,3,1|3,,3,3,1,0.0,0.0,0.0,0.925409902597403,0.00016764635200797903,4.047195918265332,5.010021190965499,1.0,4.047195918265332,8.308371615532998,4.261175697267666,6.484578919542096
56,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7112175404252606,0.0029025627055316847,3.098289198539804,3.432262997014141,1.0,3.098289198539804,4.000333045045701,0.9020438465058969,4.2374144717179965
57,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7833823131525338,0.002870978576422809,2.0754283493279533,2.601436875039647,0.8,2.0754283493279533,2.8576212981120688,0.7821929487841155,3.5694177412586487
58,beneficial,3,2|3,2|3,2,3,2,2,0.0,0.0,0.0,0.6097351190476191,0.000809785638086825,2.0961925353684183,3.2201799493333993,0.2,2.0961925353684183,2.745526916450683,0.6493343810822645,3.276273087376921
59,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.8970863095238093,0.0,2.1974904788662935,2.528054650230097,0.6,2.1974904788662935,2.5391923866966626,0.34170190783036913,2.8213678086629446
60,beneficial,3,1|3,1|3,1,3,1,1,0.0,0.0,0.0,0.603017857142857,0.011938327103978859,2.495614657088235,2.8471170694459818,0.6,2.495614657088235,2.603968191511957,0.10835353442372186,3.849506407255807
61,neutral,3,3,2|3,,3,3,2,0.0,0.0,0.0,0.8426969835719835,5.687419666358372e-06,1.8771668383417308,2.406410024618552,1.0,1.8771668383417308,4.8916240169669525,3.0144571786252214,3.7971709605479527
62,harmful,3,2|3,3,2,3,2,3,0.0,0.03676296772801363,0.03676296772801363,0.8773244047619048,0.0007638969302730996,6.689308574870041,7.761045165956389,1.0,6.689308574870041,8.83863133289193,2.1493227580218894,9.304712055835434
63,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.6646400162337662,0.0022452789186694073,2.5557872138003654,2.966550728565929,1.0,2.5557872138003654,3.517413259427221,0.9616260456268555,2.980307841376418
64,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7644247835497837,0.0,1.5194188538912752,2.0129186602562696,1.0,1.5194188538912752,3.2686745698191415,1.7492557159278663,2.605481787790401
65,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.6276835317460318,0.0,1.2523180333168882,1.7095637367327794,0.0,2.3896720685460533,1.2523180333168882,-1.1373540352291651,1.8630569445815313
66,neutral,1,1|3,3,3,1,1,3,0.03138122831986774,0.03138122831986774,0.0,0.6971041666666664,0.03429307173858844,1.5839163089519133,2.202656400095338,0.4,1.74603124620074,1.5839163089519133,-0.16211493724882664,2.9293188467047635
67,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7841066468253969,0.0020803511824398317,2.5376294554808885,2.699404146380945,1.0,2.5376294554808885,3.74743570628853,1.2098062508076417,4.091751506208188
68,neutral,1,1,1,,1,1,1,0.057717810433482175,0.057717810433482175,0.0,0.46729464285714306,0.03284494675367072,2.674716656106008,3.6384464929333986,0.4,4.352930842314244,2.674716656106008,-1.678214186208236,4.6011974192138
69,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7892260180587385,0.0026141871077540336,2.0873026886654866,2.532141525705946,1.0,2.0873026886654866,3.003259850653658,0.9159571619881715,2.890040534075768
70,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.7884196255133753,0.0,1.921682237014371,2.252335669093159,1.0,1.921682237014371,3.441853526902338,1.520171289887967,2.468593584377694
71,neutral,2|3,2|3,2|3,,2,2,2,0.0,0.0,0.0,0.34210416666666665,0.0,1.436977461676338,1.6108883164543637,0.4,1.436977461676338,1.6014691310032196,0.16449166932688164,2.132781170045294
72,neutral,3,3,3,,3,3,3,0.0,0.0,0.0,0.830152560266531,0.0002609712046401773,1.9301482363785436,2.1732534718631684,1.0,1.9301482363785436,3.1752465975112054,1.2450983611326618,3.1096027250659786
73,neutral,1|3,1|3,1|3,,1,1,1,0.0,0.0,0.0,0.7564895833333333,0.013311526687831744,7.159010480614398,7.662269101649455,0.8,7.258474745068638,7.159010480614398,-0.09946426445424006,11.496202234242087
74,neutral,1|3,1|3,1|3,,1,1,1,0.0,0.0,0.0,0.7851354166666665,0.012256552742049958,8.07492972223543,8.48303135587498,0.8,8.108573292881836,8.07492972223543,-0.03364357064640622,12.553979698677583
