population,performance_weight,responsiveness_weight,weight_ratio,policy,multiplier,weighted_distance,selected
seed_100_139,1.05,1.0,1.05,two_stage_0.40,0.4,0.4869034022095132,1
seed_100_139,1.05,1.0,1.05,two_stage_0.45,0.45,0.5612238908634362,0
seed_100_139,1.05,1.0,1.05,two_stage_0.50,0.5,0.6984302957695783,0
seed_100_139,1.1,1.0,1.1,two_stage_0.25,0.25,0.7237468644557459,0
seed_100_139,1.1,1.0,1.1,two_stage_0.30,0.3,0.5483727677451015,0
seed_100_139,1.1,1.0,1.1,two_stage_0.35,0.35,0.4943937835141922,0
seed_100_139,1.1,1.0,1.1,two_stage_0.40,0.4,0.4830529782399912,1
seed_100_139,1.1,1.0,1.1,two_stage_0.45,0.45,0.5551533502067245,0
seed_100_139,1.1,1.0,1.1,two_stage_0.50,0.5,0.6900655593423543,0
seed_100_139,1.15,1.0,1.15,two_stage_0.25,0.25,0.7313574508612273,0
seed_100_139,1.15,1.0,1.15,two_stage_0.30,0.3,0.5529590372658592,0
seed_100_139,1.15,1.0,1.15,two_stage_0.35,0.35,0.4950750741954603,0
seed_100_139,1.15,1.0,1.15,two_stage_0.40,0.4,0.47935284027571473,1
seed_100_139,1.15,1.0,1.15,two_stage_0.45,0.45,0.5493026840846398,0
seed_100_139,1.15,1.0,1.15,two_stage_0.50,0.5,0.6819943394704735,0
seed_100_139,1.2,1.0,1.2,two_stage_0.25,0.25,0.7385489458759964,0
seed_100_139,1.2,1.0,1.2,two_stage_0.30,0.3,0.5573016331129731,0
seed_100_139,1.2,1.0,1.2,two_stage_0.35,0.35,0.49572452367159736,0
seed_100_139,1.2,1.0,1.2,two_stage_0.40,0.4,0.47579404827088523,1
seed_100_139,1.2,1.0,1.2,two_stage_0.45,0.45,0.5436592256004507,0
seed_100_139,1.2,1.0,1.2,two_stage_0.50,0.5,0.674199862463242,0
seed_100_139,1.25,1.0,1.25,two_stage_0.25,0.25,0.7453559924999299,0
seed_100_139,1.25,1.0,1.25,two_stage_0.30,0.3,0.5614198416584835,0
seed_100_139,1.25,1.0,1.25,two_stage_0.35,0.35,0.49634431475775365,0
seed_100_139,1.25,1.0,1.25,two_stage_0.40,0.4,0.4723683747270603,1
seed_100_139,1.25,1.0,1.25,two_stage_0.45,0.45,0.5382113019406876,0
seed_100_139,1.25,1.0,1.25,two_stage_0.50,0.5,0.6666666666666666,0
seed_100_139,1.3,1.0,1.3,two_stage_0.25,0.25,0.7518094115561124,0
seed_100_139,1.3,1.0,1.3,two_stage_0.30,0.3,0.5653309269954823,0
seed_100_139,1.3,1.0,1.3,two_stage_0.35,0.35,0.49693643507114305,0
seed_100_139,1.3,1.0,1.3,two_stage_0.40,0.4,0.4690682338777245,1
seed_100_139,1.3,1.0,1.3,two_stage_0.45,0.45,0.5329481364105684,0
seed_100_139,1.3,1.0,1.3,two_stage_0.50,0.5,0.6593804733957871,0
seed_100_139,1.35,1.0,1.35,two_stage_0.25,0.25,0.7579367289598671,0
seed_100_139,1.35,1.0,1.35,two_stage_0.30,0.3,0.5690503942882894,0
seed_100_139,1.35,1.0,1.35,two_stage_0.35,0.35,0.4975026983879868,0
seed_100_139,1.35,1.0,1.35,two_stage_0.40,0.4,0.46588661925747793,1
seed_100_139,1.35,1.0,1.35,two_stage_0.45,0.45,0.5278597620091094,0
seed_100_139,1.35,1.0,1.35,two_stage_0.50,0.5,0.6523280730534422,0
seed_100_139,1.4,1.0,1.4,two_stage_0.25,0.25,0.7637626158259734,0
seed_100_139,1.4,1.0,1.4,two_stage_0.30,0.3,0.5725922122556537,0
seed_100_139,1.4,1.0,1.4,two_stage_0.35,0.35,0.49804476325462144,0
seed_100_139,1.4,1.0,1.4,two_stage_0.40,0.4,0.46281704850953104,1
seed_100_139,1.4,1.0,1.4,two_stage_0.45,0.45,0.5229369449716307,0
seed_100_139,1.4,1.0,1.4,two_stage_0.50,0.5,0.6454972243679028,0
seed_100_139,1.45,1.0,1.45,two_stage_0.25,0.25,0.769309258162072,0
seed_100_139,1.45,1.0,1.45,two_stage_0.30,0.3,0.5759690021274911,0
seed_100_139,1.45,1.0,1.45,two_stage_0.35,0.35,0.4985641492562613,0
seed_100_139,1.45,1.0,1.45,two_stage_0.40,0.4,0.4598535144621077,1
seed_100_139,1.45,1.0,1.45,two_stage_0.45,0.45,0.5181711169494312,0
seed_100_139,1.45,1.0,1.45,two_stage_0.50,0.5,0.6388765649999398,0
seed_100_139,1.5,1.0,1.5,two_stage_0.25,0.25,0.7745966692414834,0
seed_100_139,1.5,1.0,1.5,two_stage_0.30,0.3,0.5791921989224439,0
seed_100_139,1.5,1.0,1.5,two_stage_0.35,0.35,0.4990622512804957,0
seed_100_139,1.5,1.0,1.5,two_stage_0.40,0.4,0.4569904416509683,1
seed_100_139,1.5,1.0,1.5,two_stage_0.45,0.45,0.5135543146970978,0
seed_100_139,1.5,1.0,1.5,two_stage_0.50,0.5,0.6324555320336759,0
seed_100_139,1.55,1.0,1.55,two_stage_0.25,0.25,0.7796429549831781,0
seed_100_139,1.55,1.0,1.55,two_stage_0.30,0.3,0.5822721897385028,0
seed_100_139,1.55,1.0,1.55,two_stage_0.35,0.35,0.4995403520582461,0
seed_100_139,1.55,1.0,1.55,two_stage_0.40,0.4,0.4542226475872616,1
seed_100_139,1.55,1.0,1.55,two_stage_0.45,0.45,0.5090791263049531,0
seed_100_139,1.55,1.0,1.55,two_stage_0.50,0.5,0.6262242910851495,0
seed_100_139,1.6,1.0,1.6,two_stage_0.25,0.25,0.7844645405527362,0
seed_100_139,1.6,1.0,1.6,two_stage_0.30,0.3,0.5852184328479746,0
seed_100_139,1.6,1.0,1.6,two_stage_0.35,0.35,0.49999963322022645,0
seed_100_139,1.6,1.0,1.6,two_stage_0.40,0.4,0.45154530817182026,1
seed_100_139,1.6,1.0,1.6,two_stage_0.45,0.45,0.5047386431537533,0
seed_100_139,1.6,1.0,1.6,two_stage_0.50,0.5,0.6201736729460422,0
seed_100_139,1.65,1.0,1.65,two_stage_0.25,0.25,0.7890763647670371,0
