regime,seed,mean_pre_nis,mean_event_nis,mean_post_nis,delta_event_vs_pre_nis,delta_post_vs_pre_nis,recovery_ratio_nis,event_max_nis,post_max_nis,event_longest_nis_run_above_1,post_longest_nis_run_above_1,mean_pre_absolute_innovation,mean_event_absolute_innovation,mean_post_absolute_innovation,delta_event_vs_pre_absolute_innovation,delta_post_vs_pre_absolute_innovation,pre_innovation_lag1_autocorrelation,event_innovation_lag1_autocorrelation,post_innovation_lag1_autocorrelation,delta_event_vs_pre_autocorrelation,delta_post_vs_pre_autocorrelation
process_disturbance,65,1.5171941778728026,1.8063265214095414,1.308857533713441,0.2891323435367388,-0.2083366441593617,0.7245963109102599,12.986919994532757,4.711194539959278,1,3,0.6597722191893977,0.6418145837319222,0.6175874087211791,-0.017957635457475418,-0.042184810468218537,-0.10317957390786633,-0.12435254004302755,-0.3239121991782038,-0.021172966135161217,-0.22073262527033746
process_disturbance,66,0.7379844270621069,3.59233655120713,1.3620289884607049,2.854352124145023,0.624044561398598,0.37914849264405476,29.40956747495999,6.559034242686494,2,2,0.40670659193009834,0.9603648730304094,0.5444895361185503,0.553658281100311,0.137782944188452,-0.2348600646782781,0.3871411334117283,0.20902394600987872,0.6220011980900064,0.44388401068815686
process_disturbance,67,1.0816086678836234,4.8928259871884245,0.6265651851077388,3.8112173193048013,-0.4550434827758846,0.12805793354356657,41.37400805380186,2.9857057781261207,1,1,0.5300462259721804,1.0534439373303943,0.3812967262413373,0.5233977113582139,-0.14874949973084312,-0.26177082275960933,-0.03177050405565355,-0.09483853744769959,0.2300003187039558,0.16693228531190973
process_disturbance,68,1.1353662521074557,2.259381227729088,1.1924552357507028,1.1240149756216322,0.057088983643247104,0.5277795624374183,11.54593783333269,5.887279540712057,2,3,0.5597531246272779,0.9335895018635251,0.5747108998172483,0.3738363772362472,0.014957775189970435,-0.41079673612171114,0.09211875849749813,-0.1778874411598411,0.5029154946192093,0.23290929496187004
process_disturbance,69,1.4570233282097087,1.8045426140862093,0.6893579798486423,0.3475192858765006,-0.7676653483610664,0.38201258006718775,10.005836824831075,3.127232833641379,1,2,0.6650360414784618,0.6667861590458173,0.41578717064973764,0.0017501175673554359,-0.2492488708287242,-0.6022074901242395,0.04001536781072491,0.3606183615358068,0.6422228579349644,0.9628258516600463
process_disturbance,70,0.6303408134070864,2.4439279151771682,0.5754490150606673,1.8135871017700818,-0.05489179834641911,0.2354607153045738,16.37403000185932,3.453496233114309,2,2,0.29345264553899914,0.9072094801960106,0.36683656629724615,0.6137568346570115,0.07338392075824701,0.030804098695291344,0.5399715830165714,0.012466212802934694,0.5091674843212801,-0.018337885892356652
process_disturbance,71,0.523213182557777,6.134510798405122,1.2105125695756795,5.611297615847345,0.6872993870179025,0.19732829713009825,51.28959923941749,5.3652801586999965,2,2,0.3567207008035607,1.2401488636235827,0.5806425681359402,0.883428162820022,0.22392186733237945,0.1919667321133605,0.28364641130554047,0.12604445137340137,0.09167967919217998,-0.06592228073995912
process_disturbance,72,1.2415516866713017,2.70912003916236,1.0532220554381173,1.4675683524910583,-0.18832963123318436,0.3887690616187598,16.208852385097124,5.297831054263281,2,2,0.589552696268072,0.8710127280614367,0.5213946691040624,0.28146003179336465,-0.06815802716400965,-0.2762634077036926,0.36955747549931567,0.015645213611236785,0.6458208832030083,0.2919086213149294
process_disturbance,73,0.9631231332285584,2.916319773881355,0.924878526813012,1.9531966406527967,-0.03824460641554639,0.31713892800643256,18.332183571998492,3.218129309262357,2,4,0.493344801946211,0.9943516582462342,0.5115621830851012,0.5010068563000232,0.018217381138890154,0.11444608361575596,0.5441437696559724,0.10528562318358978,0.42969768604021646,-0.009160460432166187
process_disturbance,74,0.6311914091914254,3.479132973307435,1.1095312752890285,2.8479415641160095,0.47833986609760315,0.3189102813261933,26.692321371378476,3.394599997011197,2,4,0.3645286188797678,0.8873994959088213,0.5858365308096956,0.5228708770290535,0.22130791192992777,-0.34845205083850367,0.31241571304067334,-0.23725614619662133,0.660867763879177,0.11119590464188234
process_disturbance,75,1.2409489962803366,4.800462467947912,1.6282782759879195,3.559513471667575,0.3873292797075829,0.33919196053700884,40.543539012293195,12.226776339668234,2,2,0.5649088308897898,1.0640208197382652,0.6394800391784221,0.4991119888484754,0.07457120828863228,-0.48223057153607907,0.3743491496355097,0.08573923292806725,0.8565797211715888,0.5679698044641464
process_disturbance,76,0.9774238576735236,3.145376403058133,0.7280510960374796,2.167952545384609,-0.24937276163604394,0.23146708143718223,26.68304485050528,4.215929846385661,1,2,0.4721749678528101,0.8163668317446732,0.3869710697761423,0.34419186389186307,-0.08520389807666778,0.443259126209181,0.30838355871040246,0.33216333114550706,-0.13487556749877855,-0.11109579506367395
process_disturbance,77,0.49292848324715477,4.461588228372114,1.57237986364493,3.9686597451249592,1.0794513803977752,0.35242603825371105,36.70935379887002,5.208183528842023,3,6,0.28437511004710164,0.8784390298922133,0.7904896623145409,0.5940639198451116,0.5061145522674393,-0.16362081692381872,0.22343230434102496,-0.3230252836317513,0.3870531212648437,-0.1594044667079326
process_disturbance,78,0.8223693224517392,4.66815974542965,0.9490151186451025,3.8457904229779105,0.12664579619336325,0.20329533914815792,38.203105438329295,3.2120936557682622,2,3,0.36634856766915397,1.1186221846620688,0.518571205978106,0.7522736169929147,0.15222263830895205,-0.38343825302170775,0.38759431777947023,0.05074704475483258,0.771032570801178,0.43418529777654036
process_disturbance,79,1.0262607786421283,4.326594765381227,1.0570478667864345,3.3003339867390986,0.030787088144306196,0.24431404467181503,33.92177607910409,6.548996628372886,1,2,0.43511421498966907,1.0610233885066522,0.4968447701750258,0.6259091735169832,0.06173055518535675,-0.0039711715904385,0.1529965884973421,-0.020512655998485587,0.1569677600877806,-0.016541484408047088
process_disturbance,80,0.8934471536482748,3.441429867338878,1.4261423071940886,2.5479827136906033,0.5326951535458139,0.414404001292769,18.366103737238863,6.553137663596144,3,3,0.46384641369445784,1.2065690169267418,0.5908742386043903,0.742722603232284,0.12702782490993242,0.2672231663588928,0.2340517740956865,-0.15983530552329253,-0.03317139226320631,-0.4270584718821854
process_disturbance,81,1.278827386926317,6.320900891662292,1.2778481737352387,5.042073504735976,-0.0009792131910781876,0.20216234926584709,54.5252138263607,4.772362085404097,2,3,0.6246233523208985,1.1174317968005198,0.626793549172234,0.49280844447962135,0.0021701968513354597,-0.6335273341742981,0.40226567690055515,-0.26872158244255967,1.0357930110748532,0.3648057517317384
process_disturbance,82,0.9035616244593468,5.32178364199316,0.9227377953029402,4.418222017533813,0.019176170843593354,0.17338882175171916,42.66691464779481,4.689777353053451,3,2,0.4643307860117304,1.3176607136954002,0.4779790506120493,0.8533299276836698,0.013648264600318927,0.2607703678790755,0.2989791722249746,0.3154868563539005,0.03820880434589913,0.05471648847482502
process_disturbance,83,0.2963727291499855,3.7811634028018295,1.3184517594457053,3.484790673651844,1.0220790302957197,0.34868944263778395,25.442953330700124,7.107140099762284,3,3,0.23616592560952382,1.122891738905346,0.598388312359001,0.8867258132958222,0.3622223867494772,-0.5614861038097954,0.2565101444949155,0.18705841686807095,0.8179962483047108,0.7485445206778663
process_disturbance,84,0.840428276980088,5.427053147311089,2.023542337633386,4.586624870331001,1.1831140606532982,0.3728620823688831,45.982481721427405,16.189477354945268,2,4,0.4748348485536488,1.1837467033051834,0.693273187355478,0.7089118547515345,0.21843833880182922,-0.3879108908120417,0.293381246385015,-0.07739073178532138,0.6812921371970567,0.31052015902672037
process_disturbance,85,1.0077775417280546,3.536372974026399,1.2011063184276138,2.528595432298345,0.19332877669955928,0.3396435634049464,24.891832696573275,9.303731747376224,2,3,0.5335989731896571,1.0420292660394226,0.5770364150150642,0.5084302928497655,0.0434374418254071,-0.06168187622939241,0.3090849698459972,-0.24948246765355064,0.3707668460753896,-0.18780059142415823
process_disturbance,86,0.9042081696897319,4.502168347925586,1.0356175213978915,3.597960178235854,0.1314093517081596,0.230026387590511,36.46882006258981,8.389172921029862,2,1,0.48122360717566387,1.1026521210562126,0.4006334063285393,0.6214285138805486,-0.0805902008471246,0.265071279820759,0.395517928994639,-0.21900704186544662,0.13044664917388,-0.4840783216862056
process_disturbance,87,0.8085222202580091,3.816797199350527,0.9029058090309127,3.008274979092518,0.09438358877290354,0.236561117049739,27.632343064501093,3.925520343489379,1,2,0.41178604510134137,0.9881023946687719,0.477238864011259,0.5763163495674306,0.06545281890991761,0.0472625638204542,0.3231569131453077,0.09341927446358292,0.2758943493248535,0.04615671064312872
process_disturbance,88,0.8123163656676283,2.088074941414073,1.1056604203639344,1.275758575746445,0.2933440546963061,0.5295118476996024,10.92693298938107,4.441427053165459,2,2,0.4485453958562459,0.8424378869157099,0.5480386193421031,0.39389249105946395,0.09949322348585715,0.021864884445444367,0.4285868145992236,-0.24598681445530068,0.4067219301537792,-0.26785169890074506
process_disturbance,89,1.1955871043918727,2.5183561715649923,1.014144104438631,1.3227690671731196,-0.18144299995324165,0.40270082361225523,13.590759667563756,3.996676457104703,2,2,0.5454297351278998,0.9597609025358589,0.5587802457928743,0.41433116740795906,0.013350510664974502,-0.06212243738242879,0.2574458129839875,0.07799871370974715,0.3195682503664163,0.14012115109217593
process_disturbance,90,0.7011293580751402,3.6071152213917093,0.39770955731829466,2.905985863316569,-0.30341980075684555,0.1102569596223596,23.9277780675276,1.3978749800644246,3,1,0.41734609829239183,1.092987533867726,0.287628007539077,0.6756414355753342,-0.1297180907533148,-0.11826505207115236,0.45950836424021585,-0.0902761571659647,0.5777734163113682,0.02798889490518766
process_disturbance,91,1.3900718673330104,3.045348738206392,1.1428508840973912,1.6552768708733818,-0.24722098323561914,0.3752775075507827,23.426983694969557,6.153105052885627,2,2,0.6135877318089374,0.7812447264603692,0.5359907348821328,0.1676569946514318,-0.07759699692680466,-0.35281821286555665,0.25943878719813523,0.17884736195772916,0.6122570000636919,0.5316655748232858
process_disturbance,92,1.0477884984700756,2.0699758462090188,1.1521973674589256,1.0221873477389432,0.10440886898885005,0.5566235806898513,10.316628099413423,4.76737880133004,3,3,0.5394282582504737,0.9260213318504906,0.5682840502925517,0.38659307360001693,0.028855792042078,-0.653396875497857,0.09402650946928887,0.41512326730746957,0.7474233849671459,1.0685201428053266
process_disturbance,93,0.8254484624062226,2.8458455267706695,0.7682170774040936,2.020397064364447,-0.05723138500212899,0.2699433508169222,21.258342570861107,3.7677678214864896,2,3,0.4400703014566878,0.869750942472377,0.41546704018890657,0.42968064101568926,-0.02460326126778123,-0.04106098608265993,0.48941038426582556,0.0700446275095077,0.5304713703484855,0.11110561359216763
process_disturbance,94,0.8750873861972954,3.339808732672105,1.1985004497127705,2.4647213464748097,0.32341306351547505,0.3588530199313296,25.63882610474622,8.370816820185162,2,2,0.4435163021341765,0.9309373173415473,0.529631058810871,0.4874210152073708,0.08611475667669455,-0.18850623853074713,0.39220509306579016,0.12621303243498336,0.5807113315965373,0.3147192709657305
process_disturbance,95,1.2161248869788672,2.6195493348599395,0.6999299339662279,1.4034244478810722,-0.5161949530126393,0.26719478982570266,18.76977896359814,3.5017290321461294,1,1,0.5896483989683637,0.8617954340071086,0.37471371917656376,0.2721470350387448,-0.21493467979179998,-0.46415460836088107,0.2939489740406208,0.07081080864957982,0.7581035824015019,0.5349654170104609
process_disturbance,96,0.9934880037989482,2.348266653206767,0.5686904988211652,1.354778649407819,-0.424797504977783,0.24217458355690802,15.815435660860194,1.8684121050815299,1,2,0.5579240900826931,0.730747197175637,0.36571183804040325,0.1728231070929439,-0.1922122520422898,-0.35803516022756177,0.36553968747302923,0.503682661346641,0.723574847700591,0.8617178215742027
process_disturbance,97,1.0948208338240002,3.6661595763660517,1.055027813485826,2.5713387425420517,-0.03979302033817422,0.2877746566971033,26.524039766956687,4.6881648594719065,3,1,0.5444055088387736,1.05873866227472,0.4772376974657595,0.5143331534359463,-0.06716781137301409,0.07487351711607523,0.11177231523115684,-0.2308058710155923,0.03689879811508161,-0.3056793881316675
process_disturbance,98,1.0985077742797116,3.3062305525579934,1.3496299292782943,2.207722778278282,0.2511221549985827,0.4082080507766443,25.8105790150811,4.587278811097784,2,3,0.5943817515973483,1.0245303236428887,0.6327399316155937,0.43014857204554036,0.038358180018245425,-0.13434889725383176,0.35860187604018656,0.166363153173679,0.4929507732940183,0.30071205042751076
