test_index,best_persistence,predicted_under_risk,action_lambda_0.00,action_lambda_0.10,action_lambda_0.25,action_lambda_1.00,regret_lambda_0.00,regret_lambda_0.10,regret_lambda_0.25,regret_lambda_1.00,minimum_regret,exact_min_levels,responsive_exact_min_lambda,conservative_exact_min_lambda,exact_min_lambda_span,action_groups,regret_groups,largest_action_group,largest_regret_group,epsilon_0.000000_levels,epsilon_0.000000_size,epsilon_0.000000_responsive_lambda,epsilon_0.000000_conservative_lambda,epsilon_0.000100_levels,epsilon_0.000100_size,epsilon_0.000100_responsive_lambda,epsilon_0.000100_conservative_lambda,epsilon_0.000500_levels,epsilon_0.000500_size,epsilon_0.000500_responsive_lambda,epsilon_0.000500_conservative_lambda,epsilon_0.001000_levels,epsilon_0.001000_size,epsilon_0.001000_responsive_lambda,epsilon_0.001000_conservative_lambda,epsilon_0.002500_levels,epsilon_0.002500_size,epsilon_0.002500_responsive_lambda,epsilon_0.002500_conservative_lambda,epsilon_0.005000_levels,epsilon_0.005000_size,epsilon_0.005000_responsive_lambda,epsilon_0.005000_conservative_lambda
20,2,0.040866210078494974,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
21,2,0.04299907391748921,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
22,2,0.03670897179644808,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
23,2,0.029217456164213465,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
24,1,0.04592788430002088,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
25,1,0.022694503764401536,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
26,1,0.023856148773027813,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
27,1,0.035066168873382424,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
28,1,0.04750235102302107,1,1,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10;k2:0.25;k3:1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
29,1,0.023237868677336185,2,2,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10|0.25|1.00,2,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
30,1,0.023780873381575078,1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
31,1,0.019701317976916273,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
32,3,0.041186146798371175,2,2,3,3,0.03348088192022192,0.03348088192022192,0.0,0.0,0.0,0.25|1.00,0.25,1.0,0.75,k2:0.00|0.10;k3:0.25|1.00,0.00|0.10;0.25|1.00,2,2,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0,0.25|1.00,2,0.25,1.0
33,3,0.0332631374973132,1,1,1,3,0.08845427211044027,0.08845427211044027,0.08845427211044027,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
34,2,0.042777572975419474,1,1,1,3,0.10302316959890084,0.10302316959890084,0.10302316959890084,0.0,0.0,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
35,2,0.03567679074560212,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
36,2,0.0361148293602659,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
37,2,0.03646748878062584,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
38,2,0.02468004002788759,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k3:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
39,2,0.03118213995305355,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
40,2,0.034663160168209146,2,3,3,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00;k3:0.10|0.25|1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
41,3,0.020797499966750708,1,1,1,1,0.007375586548430901,0.007375586548430901,0.007375586548430901,0.007375586548430901,0.007375586548430901,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
42,3,0.026822066442761982,1,1,1,1,0.03091974117703608,0.03091974117703608,0.03091974117703608,0.03091974117703608,0.03091974117703608,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k1:0.00|0.10|0.25|1.00,0.00|0.10|0.25|1.00,4,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
43,2,0.03951930612254934,1,1,1,3,0.015518906986917713,0.015518906986917713,0.015518906986917713,0.006871910725323005,0.006871910725323005,1.00,1.0,1.0,0.0,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0,1.00,1,1.0,1.0
44,1,0.024436690988507717,1,1,1,3,0.0,0.0,0.0,0.006622848127195047,0.0,0.00|0.10|0.25,0.0,0.25,0.25,k1:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25;1.00,3,3,0.00|0.10|0.25,3,0.0,0.25,0.00|0.10|0.25,3,0.0,0.25,0.00|0.10|0.25,3,0.0,0.25,0.00|0.10|0.25,3,0.0,0.25,0.00|0.10|0.25,3,0.0,0.25,0.00|0.10|0.25,3,0.0,0.25
45,1,0.021222086183046187,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
46,1,0.01365850721967068,2,2,2,3,0.0,0.0,0.0,0.0,0.0,0.00|0.10|0.25|1.00,0.0,1.0,1.0,k2:0.00|0.10|0.25;k3:1.00,0.00|0.10|0.25|1.00,3,4,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0,0.00|0.10|0.25|1.00,4,0.0,1.0
