threshold,test_index,best_persistence,primary_actions,expanded_actions,true_safe_actions,selected_action,true_responsive_action,selected_regret,responsive_retained,responsive_recovered_by_expansion,safe_action_recall,safe_action_precision,false_safe_actions,score_action_1,score_action_2,score_action_3
0.6,23,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.3708229166666666,0.6562991071428573,0.813746941579662
0.6,24,1,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.12383531746031742,0.847958333333333,0.9151572420634921
0.6,25,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.11962499999999998,0.7487500000000001,0.7688397054334556
0.6,26,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.12087499999999997,0.817787698412698,0.8326242247335994
0.6,27,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.8090625,0.19272371031746033,0.892186507936508
0.6,28,1,3,3,1|2|3,3,1,0.0,0,0,0.3333333333333333,1.0,,0.4159156746031747,0.1693095238095238,0.7070477092352091
0.6,29,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.05745833333333335,0.8049404761904762,0.8170010059385058
0.6,30,1,3,1|3,1|3,1,1,0.0,1,1,1.0,1.0,,0.6619375,0.07770833333333332,0.6533384428071924
0.6,31,1,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.14979166666666668,0.6337772817460319,0.8595318050005549
0.6,32,3,3,2|3,3,2,3,0.03348088192022192,1,0,1.0,0.5,2,0.026229166666666668,0.8696041666666667,0.9340019841269839
0.6,33,3,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.5348720238095236,0.08725,0.7782748917748918
0.6,34,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.2776488095238095,0.1998511904761904,0.6297753878066374
0.6,35,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.028770833333333336,0.3049246031746032,0.9200049603174604
0.6,36,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.03989583333333333,0.4497867063492064,0.9768651244588746
0.6,37,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.0771875,0.7958650793650791,0.8692746742636447
0.6,38,2,3,3,3,3,3,0.0,1,0,1.0,1.0,,0.12110416666666665,0.2583333333333333,0.8147470376845378
0.6,39,2,2|3,2|3,2|3,2,2,0.0,1,0,1.0,1.0,,0.02270833333333333,0.9182291666666665,0.9774980158730158
0.6,40,2,3,2|3,2|3,2,2,0.0,1,1,1.0,1.0,,0.08149999999999999,0.7013501984126986,0.8448645011034714
0.6,41,3,1,1,1,1,1,0.007375586548430901,1,0,1.0,1.0,,0.6074375000000001,0.09533333333333335,0.19759270345667393
0.6,42,3,1,1,1,1,1,0.03091974117703608,1,0,1.0,1.0,,0.46221130952380945,0.23813690476190477,0.4526915213054917
0.6,43,2,3,3,3,3,3,0.006871910725323005,1,0,1.0,1.0,,0.3013392857142857,0.21998511904761908,0.7733612012987013
