bootstrap,primary_auc,action_only_auc,difference
73,0.828056646109998,0.7832245462897982,0.044832099820199756
74,0.8285958601785324,0.7796257282991541,0.048970131879378265
75,0.8286273089781926,0.7764178310625891,0.052209477915603486
76,0.8255961795872228,0.7803484464443369,0.04524773314288588
77,0.8320880454659131,0.7851159993392116,0.04697204612670147
78,0.8309162143899859,0.7818940763175792,0.04902213807240663
79,0.833240045285619,0.7877101589456487,0.04552988633997035
80,0.8212879773177933,0.7800836831503157,0.04120429416747762
81,0.835037380386362,0.7837487975665867,0.05128858281977533
82,0.8309881149500429,0.7787274616477837,0.05226065330225915
83,0.8286578944419158,0.7814456130862495,0.04721228135566635
84,0.8274746013049368,0.7748365980490042,0.0526380032559326
85,0.8330038602694546,0.7855557055733596,0.04744815469609498
86,0.8275742799112891,0.7825414572231106,0.04503282268817843
87,0.8266930085820194,0.7784066806945188,0.048286327887500646
88,0.8262941353078846,0.7778834585514249,0.048410676756459714
89,0.821822852694932,0.7744302543961642,0.04739259829876785
90,0.8273694423397626,0.7788290401898283,0.04854040214993427
91,0.8336617288991056,0.7883384917218537,0.04532323717725195
92,0.8268574384841725,0.7761477745084303,0.05070966397574217
93,0.8328511515558282,0.7831086501706754,0.04974250138515279
94,0.8291362311206874,0.7791021745786704,0.05003405654201698
95,0.8314909636747128,0.7791475742413294,0.05234338943338335
96,0.8344450620205378,0.7896105968720077,0.04483446514853007
97,0.8307396125544397,0.7799571107524398,0.050782501801999946
98,0.8261598237646773,0.777490215089793,0.048669608674884346
99,0.8321073199183435,0.7795231846019247,0.05258413531641881
100,0.8274919985329359,0.7843495703177863,0.043142428215149575
101,0.8232321069983408,0.7758959655063551,0.04733614149198573
102,0.831413736448913,0.7822652081109926,0.04914852833792038
103,0.830362560903761,0.7832548563602644,0.047107704543496665
104,0.8239564743366121,0.7779538008393962,0.046002673497215874
105,0.8384100406952506,0.7919166809172693,0.0464933597779813
106,0.830569975986476,0.7834363878561346,0.04713358813034141
107,0.8333281485687274,0.7883380728771852,0.04499007569154223
108,0.8246590832764529,0.7736953512998188,0.050963731976634064
109,0.8250110648642486,0.7801039311484002,0.044907133715848424
110,0.8277802353357516,0.7800593043847047,0.0477209309510469
111,0.8311390534268916,0.7836589184519737,0.04748013497491799
112,0.833570549533498,0.7774075013111144,0.056163048222383605
113,0.81967834939047,0.7702942071501749,0.04938414224029508
114,0.8173021972842416,0.7754394302742473,0.04186276700999425
115,0.8271961976639651,0.7832329015474293,0.04396329611653582
116,0.8262412315338522,0.7765519141380908,0.049689317395761434
117,0.8259953789945097,0.7778054516825887,0.048189927311920955
118,0.8247202392964255,0.775371316040873,0.04934892325555251
119,0.8219497782138474,0.7735066834296458,0.04844309478420161
120,0.8227854943555696,0.7758208010510296,0.046964693304540006
121,0.8219067332544632,0.7714399572778677,0.050466775976595435
122,0.8232200513565866,0.784573905699024,0.038646145657562636
123,0.8307561499165922,0.7860066673621169,0.044749482554475306
124,0.8326890308531623,0.7841991260725539,0.04848990478060833
125,0.8294962485814913,0.7780110954503736,0.05148515313111768
126,0.8283314895383633,0.7768369657294109,0.051494523808952475
127,0.8296978651949651,0.7825918910381306,0.047105974156834485
128,0.8318451701726073,0.7769367666944446,0.054908403478162726
129,0.8284347460722008,0.7834297138418574,0.045005032230343356
130,0.8293602915665708,0.781201465437158,0.0481588261294128
131,0.8266167393107342,0.7789002805766821,0.04771645873405206
132,0.8245693984125643,0.7786193625460858,0.0459500358664785
133,0.8270833414081975,0.7769789554355582,0.05010438597263933
134,0.8255075005982917,0.7770054107380309,0.04850208986026083
135,0.8304317383423256,0.786400993101528,0.04403074524079764
136,0.8195284180196969,0.7736948184772723,0.04583359954242461
137,0.8305048190784007,0.7846178810712106,0.045886938007190126
138,0.8316668466363941,0.7827587776229975,0.048908069013396616
139,0.8251721264010723,0.7773631324982444,0.04780899390282789
140,0.8309462862762355,0.7889747652861019,0.04197152099013357
141,0.8248824799563215,0.7761959510108214,0.048686528945500074
142,0.8312170458742498,0.7814819257785912,0.049735120095658614
143,0.836322948784627,0.7850104107340499,0.05131253805057712
144,0.8269769220106409,0.7795577563929907,0.04741916561765014
145,0.829459933564737,0.7823598429711967,0.04710009059354037
146,0.8325606138866809,0.7777505154836714,0.054810098403009544
147,0.8314768118647705,0.7841609438281387,0.04731586803663179
148,0.8291874294171674,0.7858224416004834,0.043364987816683964
149,0.8335825382923143,0.7852403538051393,0.04834218448717498
150,0.8293848252120366,0.784250924715221,0.04513390049681565
151,0.8316452582170429,0.7847599325771015,0.04688532563994141
152,0.8342507598968234,0.7798549384211101,0.05439582147571331
153,0.8287031815470984,0.7794499472508802,0.049253234296218196
154,0.8401539976450971,0.7920332171364473,0.048120780508649874
155,0.8290760306057883,0.7818845742785893,0.04719145632719901
156,0.8292126133755855,0.7874092378273307,0.04180337554825475
157,0.8277211960933251,0.7822111597608141,0.04551003633251094
158,0.8224544482912037,0.7753760391789868,0.047078409112216946
159,0.8292579692924273,0.7833172670763646,0.04594070221606272
160,0.8314829574395537,0.7836983289296254,0.04778462850992826
161,0.8295191113302824,0.7826200939288963,0.046899017401386134
162,0.8271570976618741,0.774055795818599,0.053101301843275106
163,0.8250904441966108,0.7788014837572674,0.046288960439343385
164,0.8311756663015327,0.7774717205552171,0.05370394574631565
165,0.835850500242383,0.7897155582664029,0.046134941975980115
166,0.8299217907706153,0.7799835050141493,0.04993828575646608
167,0.8242973635876916,0.7715792804374497,0.052718083150241846
168,0.8326420853487283,0.7918566664066158,0.04078541894211252
169,0.8325817703821161,0.7858393122967069,0.04674245808540922
170,0.8278332376208317,0.781933892879018,0.045899344741813675
171,0.8201191715066964,0.7710417824132987,0.04907738909339776
172,0.8251357386704223,0.7781163756352714,0.047019363035150974
173,0.8204529765646045,0.7713926551135853,0.04906032145101913
174,0.8328717200235467,0.7819906110960008,0.05088110892754594
175,0.8206012474852897,0.7745359010096647,0.04606534647562499
176,0.8318003258505814,0.7852921949982741,0.04650813085230732
177,0.8136606810848417,0.7692999028392531,0.044360778245588595
178,0.8356602486828002,0.7873458343867608,0.04831441429603944
179,0.8259615616355451,0.7777789366286918,0.04818262500685333
180,0.8265621703358523,0.7779728093924756,0.048589360943376736
181,0.8280425524360343,0.7839096802181991,0.04413287221783524
182,0.8327620620982118,0.7916331337972384,0.041128928300973366
183,0.8369088629145746,0.7868581105702369,0.050050752344337646
184,0.8332618174121632,0.7875871313672922,0.045674686044871016
185,0.8196892256637435,0.7649433233539776,0.05474590230976584
186,0.8287854153414029,0.7762032648526606,0.052582150488742374
187,0.8270152179078661,0.7754124007279093,0.05160281717995685
188,0.8329610675550904,0.7824659153672642,0.05049515218782619
189,0.8471166905869967,0.7990967152632127,0.04801997532378399
190,0.8305390355099921,0.7828255523061007,0.04771348320389135
191,0.8244266573420611,0.7736211342518855,0.05080552309017561
192,0.8153892588698057,0.7652491108166731,0.050140148053132605
193,0.8295049789112809,0.7839026578075201,0.045602321103760834
194,0.8228642102059469,0.7728572958493511,0.050006914356595766
195,0.8305328417648254,0.7860439979005278,0.044488843864297634
196,0.8344646298472724,0.7880243225023827,0.046440307344889686
197,0.8243908702951317,0.7723596141528173,0.05203125614231441
198,0.8295380221098664,0.7810207206893842,0.04851730142048216
199,0.8296755194864117,0.7854263077900276,0.04424921169638407
200,0.8306358648006218,0.7836261579937552,0.04700970680686656
201,0.8329479569588804,0.7863064889480611,0.046641468010819254
202,0.8281403096217912,0.7832285356439945,0.044911773977796665
203,0.8362812187895694,0.7936486464663826,0.042632572323186846
204,0.8406184623430961,0.7877261598234402,0.05289230251965593
205,0.8248919176427667,0.7820526261728254,0.042839291469941254
206,0.840695716327519,0.7859499493227731,0.05474576700474598
207,0.8356037561169157,0.7858676158052438,0.04973614031167195
208,0.8268141359741875,0.7806628872108115,0.04615124876337606
209,0.8241506440764008,0.7768353885962871,0.04731525548011373
210,0.8390990266208131,0.7869733211351737,0.05212570548563944
211,0.8370657819438307,0.7857855657855657,0.05128021615826506
