model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
action_support_only,44006,237,71,166,0.510308840997794,0.2676056338028169,0.31666666666666665,0.7530120481927711,0.5534532496181911
action_support_only,44007,237,75,162,0.5344444444444445,0.3466666666666667,0.36619718309859156,0.7222222222222222,0.5730041152263374
action_support_only,44008,234,78,156,0.5256410256410257,0.38461538461538464,0.36585365853658536,0.6666666666666666,0.5279421433267587
action_support_only,44009,237,66,171,0.5862573099415205,0.5,0.3707865168539326,0.672514619883041,0.5838206627680311
action_support_only,44010,228,55,173,0.5765633210719916,0.43636363636363634,0.3287671232876712,0.7167630057803468,0.5848660010509722
context_plus_action_support,44001,228,55,173,0.6299527062532844,0.7454545454545455,0.328,0.5144508670520231,0.6724119810825013
context_plus_action_support,44002,228,50,178,0.6155056179775281,0.54,0.32926829268292684,0.6910112359550562,0.6421348314606741
context_plus_action_support,44003,228,61,167,0.5336212820261117,0.36065573770491804,0.30985915492957744,0.7065868263473054,0.5604201433199174
context_plus_action_support,44004,231,58,173,0.5911899541558701,0.4482758620689655,0.3611111111111111,0.7341040462427746,0.6166035479370142
context_plus_action_support,44005,228,59,169,0.606157857787584,0.3898305084745763,0.4339622641509434,0.8224852071005917,0.6509878648079429
context_plus_action_support,44006,237,71,166,0.6280332597997624,0.5211267605633803,0.4567901234567901,0.7349397590361446,0.6643475309689462
context_plus_action_support,44007,237,75,162,0.5701234567901234,0.56,0.38181818181818183,0.5802469135802469,0.6141563786008231
context_plus_action_support,44008,234,78,156,0.5705128205128205,0.5,0.4105263157894737,0.6410256410256411,0.5877712031558187
context_plus_action_support,44009,237,66,171,0.5833333333333333,0.5,0.36666666666666664,0.6666666666666666,0.589845826687932
context_plus_action_support,44010,228,55,173,0.6092485549132948,0.6,0.3333333333333333,0.6184971098265896,0.6352075669994746
context_loss_action_support,44001,228,55,173,0.6237519705727799,0.7272727272727273,0.3252032520325203,0.5202312138728323,0.6603258013662638
context_loss_action_support,44002,228,50,178,0.5668539325842696,0.6,0.26548672566371684,0.5337078651685393,0.6447191011235955
context_loss_action_support,44003,228,61,167,0.5426033179542554,0.36065573770491804,0.3235294117647059,0.7245508982035929,0.5585550211053304
context_loss_action_support,44004,231,58,173,0.5392664939206697,0.41379310344827586,0.2926829268292683,0.6647398843930635,0.6106238788120391
context_loss_action_support,44005,228,59,169,0.5625814863102999,0.3559322033898305,0.35,0.7692307692307693,0.6228061377996189
context_loss_action_support,44006,237,71,166,0.5938401493297132,0.4647887323943662,0.4177215189873418,0.7228915662650602,0.6894620736466994
context_loss_action_support,44007,237,75,162,0.5722222222222222,0.5333333333333333,0.3883495145631068,0.6111111111111112,0.6190946502057613
context_loss_action_support,44008,234,78,156,0.5544871794871795,0.5384615384615384,0.3853211009174312,0.5705128205128205,0.5691157133464826
context_loss_action_support,44009,237,66,171,0.5558213716108453,0.5151515151515151,0.3300970873786408,0.5964912280701754,0.5942760942760943
context_loss_action_support,44010,228,55,173,0.588176563321072,0.5636363636363636,0.3163265306122449,0.6127167630057804,0.6275354703100369
