threshold,rows,harmful,beneficial,harmful_recall,harmful_precision,beneficial_specificity,balanced_accuracy,flagged,flagged_fraction,tp,fp,fn,tn,qualifies_recall_constraint,selected_threshold,transfer,training_block,test_block
0.3089667365128593,49,6,43,1.0,0.13636363636363635,0.11627906976744186,0.5581395348837209,44,0.8979591836734694,6,38,0,5,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.31390165499845696,49,6,43,1.0,0.13953488372093023,0.13953488372093023,0.5697674418604651,43,0.8775510204081632,6,37,0,6,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.3244928551246919,49,6,43,1.0,0.14285714285714285,0.16279069767441862,0.5813953488372093,42,0.8571428571428571,6,36,0,7,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.3246659126039296,49,6,43,1.0,0.14634146341463414,0.18604651162790697,0.5930232558139534,41,0.8367346938775511,6,35,0,8,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.32710017335909786,49,6,43,1.0,0.15,0.20930232558139536,0.6046511627906976,40,0.8163265306122449,6,34,0,9,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.32853939814071026,49,6,43,1.0,0.15384615384615385,0.23255813953488372,0.6162790697674418,39,0.7959183673469388,6,33,0,10,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.33979287529852725,49,6,43,1.0,0.15789473684210525,0.2558139534883721,0.627906976744186,38,0.7755102040816326,6,32,0,11,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.3569772868958526,49,6,43,1.0,0.16216216216216217,0.27906976744186046,0.6395348837209303,37,0.7551020408163265,6,31,0,12,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.3682362645272409,49,6,43,1.0,0.16666666666666666,0.3023255813953488,0.6511627906976745,36,0.7346938775510204,6,30,0,13,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.37233805698308786,49,6,43,1.0,0.17142857142857143,0.32558139534883723,0.6627906976744187,35,0.7142857142857143,6,29,0,14,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.37500897907088376,49,6,43,1.0,0.17647058823529413,0.3488372093023256,0.6744186046511628,34,0.6938775510204082,6,28,0,15,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.3895178970880561,49,6,43,1.0,0.18181818181818182,0.37209302325581395,0.686046511627907,33,0.673469387755102,6,27,0,16,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.4093719184667914,49,6,43,1.0,0.1875,0.3953488372093023,0.6976744186046512,32,0.6530612244897959,6,26,0,17,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.413042044902187,49,6,43,1.0,0.1935483870967742,0.4186046511627907,0.7093023255813954,31,0.6326530612244898,6,25,0,18,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.41836071999081254,49,6,43,1.0,0.2,0.4418604651162791,0.7209302325581395,30,0.6122448979591837,6,24,0,19,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.4343439958337169,49,6,43,1.0,0.20689655172413793,0.46511627906976744,0.7325581395348837,29,0.5918367346938775,6,23,0,20,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.4446678286612458,49,6,43,1.0,0.21428571428571427,0.4883720930232558,0.7441860465116279,28,0.5714285714285714,6,22,0,21,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.4675066633444006,49,6,43,1.0,0.2222222222222222,0.5116279069767442,0.7558139534883721,27,0.5510204081632653,6,21,0,22,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.4774429828222849,49,6,43,1.0,0.23076923076923078,0.5348837209302325,0.7674418604651163,26,0.5306122448979592,6,20,0,23,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.48738605484785624,49,6,43,1.0,0.24,0.5581395348837209,0.7790697674418605,25,0.5102040816326531,6,19,0,24,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.4996333537399255,49,6,43,1.0,0.25,0.5813953488372093,0.7906976744186047,24,0.4897959183673469,6,18,0,25,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5081940401843656,49,6,43,0.8333333333333334,0.21739130434782608,0.5813953488372093,0.7073643410852714,23,0.46938775510204084,5,18,1,25,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5223682586791448,49,6,43,0.8333333333333334,0.22727272727272727,0.6046511627906976,0.7189922480620154,22,0.4489795918367347,5,17,1,26,1,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5284621869339239,49,6,43,0.8333333333333334,0.23809523809523808,0.627906976744186,0.7306201550387597,21,0.42857142857142855,5,16,1,27,1,1,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5441369116776286,49,6,43,0.6666666666666666,0.2,0.627906976744186,0.6472868217054264,20,0.40816326530612246,4,16,2,27,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5851798251228222,49,6,43,0.6666666666666666,0.21052631578947367,0.6511627906976745,0.6589147286821706,19,0.3877551020408163,4,15,2,28,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.594143444718976,49,6,43,0.6666666666666666,0.2222222222222222,0.6744186046511628,0.6705426356589147,18,0.3673469387755102,4,14,2,29,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5952596287689192,49,6,43,0.6666666666666666,0.23529411764705882,0.6976744186046512,0.6821705426356589,17,0.3469387755102041,4,13,2,30,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.5988216461668854,49,6,43,0.6666666666666666,0.25,0.7209302325581395,0.693798449612403,16,0.32653061224489793,4,12,2,31,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6027985905951019,49,6,43,0.6666666666666666,0.26666666666666666,0.7441860465116279,0.7054263565891472,15,0.30612244897959184,4,11,2,32,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6236175561698784,49,6,43,0.5,0.21428571428571427,0.7441860465116279,0.622093023255814,14,0.2857142857142857,3,11,3,32,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6483982306888629,49,6,43,0.3333333333333333,0.15384615384615385,0.7441860465116279,0.5387596899224806,13,0.2653061224489796,2,11,4,32,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6572693194331644,49,6,43,0.3333333333333333,0.16666666666666666,0.7674418604651163,0.5503875968992248,12,0.24489795918367346,2,10,4,33,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6617440735117629,49,6,43,0.3333333333333333,0.18181818181818182,0.7906976744186046,0.562015503875969,11,0.22448979591836735,2,9,4,34,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6736538368703721,49,6,43,0.3333333333333333,0.2,0.813953488372093,0.5736434108527132,10,0.20408163265306123,2,8,4,35,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6909457638080648,49,6,43,0.3333333333333333,0.2222222222222222,0.8372093023255814,0.5852713178294574,9,0.1836734693877551,2,7,4,36,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.6977258985752528,49,6,43,0.3333333333333333,0.25,0.8604651162790697,0.5968992248062015,8,0.16326530612244897,2,6,4,37,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.7058113689376203,49,6,43,0.3333333333333333,0.2857142857142857,0.8837209302325582,0.6085271317829457,7,0.14285714285714285,2,5,4,38,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.7262322629465434,49,6,43,0.3333333333333333,0.3333333333333333,0.9069767441860465,0.6201550387596899,6,0.12244897959183673,2,4,4,39,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.7351233707835221,49,6,43,0.16666666666666666,0.2,0.9069767441860465,0.5368217054263565,5,0.10204081632653061,1,4,5,39,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
0.7411040484703456,49,6,43,0.16666666666666666,0.25,0.9302325581395349,0.5484496124031008,4,0.08163265306122448,1,3,5,40,0,0,block_091_110_to_block_071_090,block_091_110,block_071_090
