policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,dataset_fingerprint,context_count,train_count,test_count,pareto_efficient
fixed_k3,0.10810810810810811,0.1261922726548741,0.002595712633119963,0.0,0.04599389584596955,0.9054054054054054,0.0945945945945946,0,66,8,0.0,1.0,0.7027027027027027,105,dd8becb66acce9c32bcfe1a7bd0e6cfbe9708eb8b2f37857893078132d24da79,246,172,74,0
oracle,1.0,0.12359656002175413,0.0,0.0,0.0,1.0,0.0,0,0,74,0.8504209395136557,0.5540540540540541,0.6486486486486487,105,dd8becb66acce9c32bcfe1a7bd0e6cfbe9708eb8b2f37857893078132d24da79,246,172,74,0
direct_loss,0.3026315789473684,0.15277810895742155,0.01865166875343045,0.0,0.10970147204022615,0.6973684210526315,0.3026315789473684,21,32,23,0.9438685148994068,0.5,0.0,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,1
fixed_risk_0.010,0.14473684210526316,0.14902705110353517,0.014900610899544071,0.0,0.10970147204022615,0.7631578947368421,0.23684210526315788,16,49,11,0.8820969999221182,0.5657894736842105,0.3157894736842105,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,1
two_stage_0.10,0.27631578947368424,0.14957132837533244,0.015444888171341337,0.0,0.10970147204022615,0.75,0.25,17,38,21,0.9495438902288266,0.40789473684210525,0.14473684210526316,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,1
two_stage_0.25,0.23684210526315788,0.14980258563488555,0.015676145430894437,0.0,0.10970147204022615,0.75,0.25,17,41,18,0.9114443954229786,0.47368421052631576,0.21052631578947367,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,0
two_stage_1.00,0.10526315789473684,0.1447950472550615,0.010668607051070408,0.0,0.10970147204022615,0.8157894736842105,0.18421052631578946,11,57,8,0.7819550921177547,0.6710526315789473,0.4473684210526316,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,1
fixed_k3,0.09210526315789473,0.13686182520346346,0.0027353849994723512,0.0,0.049858046605505746,0.9210526315789473,0.07894736842105263,0,69,7,0.0,1.0,0.7236842105263158,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,0
oracle,1.0,0.13412644020399112,0.0,0.0,0.0,1.0,0.0,0,0,76,0.813721038315848,0.5921052631578947,0.6973684210526315,106,fca9007b1b511fb3712195342ea75d36bd98a5215b22dedb9dd891df082713da,253,177,76,0
direct_loss,0.40789473684210525,0.14879293042070382,0.01733233210048663,0.0,0.1099005704423972,0.7236842105263158,0.27631578947368424,19,26,31,0.9171081669014929,0.5394736842105263,0.0,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,1
fixed_risk_0.010,0.15789473684210525,0.14602582709356648,0.014565228773349282,0.0,0.1099005704423972,0.7631578947368421,0.23684210526315788,16,48,12,0.7904036080725377,0.6052631578947368,0.39473684210526316,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,1
two_stage_0.10,0.34210526315789475,0.14750329409017934,0.016042695769962124,0.0,0.1099005704423972,0.7368421052631579,0.2631578947368421,18,32,26,0.9279280427528047,0.4868421052631579,0.13157894736842105,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,1
two_stage_0.25,0.3026315789473684,0.14621365775965484,0.014753059439437622,0.0,0.1099005704423972,0.75,0.25,17,36,23,0.9279469869690402,0.4342105263157895,0.21052631578947367,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,1
two_stage_1.00,0.18421052631578946,0.14071395654813898,0.009253358227921773,0.0,0.1099005704423972,0.8289473684210527,0.17105263157894737,10,52,14,0.7996680068017685,0.631578947368421,0.47368421052631576,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,1
fixed_k3,0.06578947368421052,0.1341529601201952,0.0026923617999780086,0.0,0.047810565600789556,0.9210526315789473,0.07894736842105263,0,71,5,0.0,1.0,0.7894736842105263,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,0
oracle,1.0,0.1314605983202172,0.0,0.0,0.0,1.0,0.0,0,0,76,0.8000064790328514,0.5394736842105263,0.5921052631578947,107,de937354aec5e48fcbe0f52f559a6bb24f9f773a5a07f4c05e6decef5f51c521,253,177,76,0
direct_loss,0.42857142857142855,0.14105014442678407,0.012959216843155106,0.0,0.1115401156842547,0.7662337662337663,0.23376623376623376,16,28,33,0.9365978603152318,0.5064935064935064,0.0,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,1
fixed_risk_0.010,0.24675324675324675,0.13818609983122887,0.010095172247599891,0.0,0.09638705663181021,0.8051948051948052,0.19480519480519481,13,45,19,0.9058306413262963,0.5194805194805194,0.2857142857142857,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,1
two_stage_0.10,0.36363636363636365,0.1403828063979278,0.012291878814298838,0.0,0.1115401156842547,0.7792207792207793,0.22077922077922077,15,34,28,0.9454474922415821,0.44155844155844154,0.1038961038961039,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,1
two_stage_0.25,0.2727272727272727,0.1403828063979278,0.012291878814298838,0.0,0.1115401156842547,0.7792207792207793,0.22077922077922077,15,41,21,0.8647935560164682,0.4935064935064935,0.22077922077922077,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,0
two_stage_1.00,0.19480519480519481,0.13727319423281992,0.009182266649190963,0.0,0.1115401156842547,0.8311688311688312,0.16883116883116883,11,51,15,0.7923935558757825,0.6233766233766234,0.36363636363636365,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,1
fixed_k3,0.06493506493506493,0.1306920328700511,0.002601105286422145,0.0,0.05263292497995864,0.9090909090909091,0.09090909090909091,0,72,5,0.0,1.0,0.7142857142857143,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,0
oracle,1.0,0.12809092758362897,0.0,0.0,0.0,1.0,0.0,0,0,77,0.7818413600666466,0.5844155844155844,0.5714285714285714,108,40d1d0689d1d27f19da679e7becb920447360316fc75d47501fc5d26f30c19fb,254,177,77,0
direct_loss,0.4155844155844156,0.14210555609554065,0.013501410567059901,0.0,0.11129997184961887,0.7662337662337663,0.23376623376623376,16,29,32,0.9397276113692952,0.5064935064935064,0.0,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,1
fixed_risk_0.010,0.18181818181818182,0.14010134163590662,0.011497196107425845,0.0,0.09685659328355391,0.7662337662337663,0.23376623376623376,14,49,14,0.8439772523668172,0.5974025974025974,0.4155844155844156,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,0
two_stage_0.10,0.37662337662337664,0.14167891751289696,0.013074771984416204,0.0,0.11129997184961887,0.7662337662337663,0.23376623376623376,16,32,29,0.9472998258956337,0.4675324675324675,0.14285714285714285,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,1
two_stage_0.25,0.3246753246753247,0.13982704472407562,0.011222899195594844,0.0,0.09685659328355391,0.7792207792207793,0.22077922077922077,14,38,25,0.9126671300675055,0.45454545454545453,0.24675324675324675,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,1
two_stage_1.00,0.16883116883116883,0.13776409438239595,0.00915994885391519,0.0,0.09685659328355391,0.8051948051948052,0.19480519480519481,11,53,13,0.7611041962328078,0.6623376623376623,0.4805194805194805,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,1
fixed_k3,0.06493506493506493,0.1313269741372574,0.00272282860877665,0.0,0.05502135783531803,0.9090909090909091,0.09090909090909091,0,72,5,0.0,1.0,0.7792207792207793,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,0
oracle,1.0,0.12860414552848076,0.0,0.0,0.0,1.0,0.0,0,0,77,0.7683482399830459,0.6103896103896104,0.5844155844155844,109,d3a0e4d3abadfc5151205182727b619820487ce9a5267bc70796b7dcb2cdb5b4,254,177,77,0
direct_loss,0.3380281690140845,0.14175973257197927,0.013652088600954083,0.0,0.11234187515791359,0.7464788732394366,0.2535211267605634,17,30,24,0.9314977651015649,0.5211267605633803,0.0,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,1
fixed_risk_0.010,0.08450704225352113,0.14127441264023005,0.013166768669204862,0.0,0.11234187515791359,0.7464788732394366,0.2535211267605634,16,49,6,0.7081147884071,0.647887323943662,0.4507042253521127,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,1
two_stage_0.10,0.2676056338028169,0.14175973257197927,0.013652088600954083,0.0,0.11234187515791359,0.7464788732394366,0.2535211267605634,17,35,19,0.9217912951944314,0.4647887323943662,0.15492957746478872,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,0
two_stage_0.25,0.16901408450704225,0.14127441264023005,0.013166768669204864,0.0,0.11234187515791359,0.7464788732394366,0.2535211267605634,16,43,12,0.8086139829853238,0.5352112676056338,0.323943661971831,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,1
two_stage_1.00,0.14084507042253522,0.1389705397883623,0.010862895817337093,0.0,0.11234187515791359,0.8028169014084507,0.19718309859154928,11,50,10,0.7095135890024521,0.676056338028169,0.49295774647887325,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,1
fixed_k3,0.056338028169014086,0.1315560691313377,0.0034484251603124944,0.0,0.055687321136881573,0.9154929577464789,0.08450704225352113,0,67,4,0.0,1.0,0.7746478873239436,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,0
oracle,1.0,0.1281076439710252,0.0,0.0,0.0,1.0,0.0,0,0,71,0.741041751683454,0.6338028169014085,0.6619718309859155,110,995045250f730d7411854ded5060575ba226d0dc13c7d10137a55c6b250b564c,234,163,71,0
direct_loss,0.36231884057971014,0.12970216768566215,0.012770448163573067,0.0,0.11064310934032767,0.782608695652174,0.21739130434782608,14,30,25,0.9223738456171053,0.4782608695652174,0.0,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,1
fixed_risk_0.010,0.14492753623188406,0.12880582947664188,0.011874109954552781,0.0,0.11064310934032767,0.8115942028985508,0.18840579710144928,12,47,10,0.7661350110985073,0.6521739130434783,0.5217391304347826,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,1
two_stage_0.10,0.3188405797101449,0.13002814163462448,0.013096422112535384,0.0,0.11064310934032767,0.782608695652174,0.21739130434782608,14,33,22,0.966684185832147,0.463768115942029,0.11594202898550725,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,1
two_stage_0.25,0.2608695652173913,0.12962603928118116,0.012694319759092087,0.0,0.11064310934032767,0.7971014492753623,0.2028985507246377,13,38,18,0.9619147546237239,0.4057971014492754,0.2463768115942029,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,1
two_stage_1.00,0.15942028985507245,0.12822324318500383,0.011291523662914745,0.0,0.11064310934032767,0.8405797101449275,0.15942028985507245,10,48,11,0.8242558631399255,0.6231884057971014,0.5217391304347826,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,1
fixed_k3,0.07246376811594203,0.11992371166120777,0.002991992139118682,0.0,0.05502945407932902,0.927536231884058,0.07246376811594203,0,64,5,0.0,1.0,0.8405797101449275,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,0
oracle,1.0,0.11693171952208908,0.0,0.0,0.0,1.0,0.0,0,0,69,0.7501163611919017,0.6521739130434783,0.6376811594202898,111,6e2e9928e09c511fa2de842a3f24250bd7ed7183ada24c52a7c83e2a246f7daf,230,161,69,0
direct_loss,0.3333333333333333,0.12007380320480134,0.011502386131217228,0.0,0.11151971723406928,0.7971014492753623,0.2028985507246377,13,33,23,0.966684185832147,0.463768115942029,0.0,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,1
fixed_risk_0.010,0.13043478260869565,0.11879186958099157,0.010220452507407449,0.0,0.11151971723406928,0.8115942028985508,0.18840579710144928,12,48,9,0.685400033554927,0.6811594202898551,0.42028985507246375,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,1
two_stage_0.10,0.2608695652173913,0.12007380320480134,0.011502386131217228,0.0,0.11151971723406928,0.7971014492753623,0.2028985507246377,13,38,18,0.9525264953279642,0.4057971014492754,0.15942028985507245,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,0
two_stage_0.25,0.2463768115942029,0.12040809736699257,0.011836680293408453,0.0,0.11151971723406928,0.7971014492753623,0.2028985507246377,13,39,17,0.9133571734708936,0.463768115942029,0.2028985507246377,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,0
two_stage_1.00,0.11594202898550725,0.12002679032457554,0.011455373250991423,0.0,0.11151971723406928,0.8115942028985508,0.18840579710144928,12,49,8,0.7195682040009624,0.6666666666666666,0.42028985507246375,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,1
fixed_k3,0.057971014492753624,0.11163917558765256,0.0030677585140684383,0.0,0.05619662000780962,0.927536231884058,0.07246376811594203,0,65,4,0.0,1.0,0.7246376811594203,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,0
oracle,1.0,0.10857141707358411,0.0,0.0,0.0,1.0,0.0,0,0,69,0.7074081456248289,0.6811594202898551,0.6666666666666666,112,32be7cf48470d7e62fc04bb713b2f88399044d7054ad7581d1ad6d151ecfd849,229,160,69,0
direct_loss,0.25,0.12649360278043498,0.016814675816018736,0.0,0.12677846523617964,0.75,0.25,15,33,16,0.9864491382208695,0.40625,0.0,113,f3102cf725a17dad3a59421cd4a737f0572af5ba90267d7d32055eaa32878549,213,149,64,1
fixed_risk_0.010,0.125,0.12051017870381488,0.01083125173939864,0.0,0.11096949930992916,0.828125,0.171875,10,46,8,0.6920588931438156,0.71875,0.46875,113,f3102cf725a17dad3a59421cd4a737f0572af5ba90267d7d32055eaa32878549,213,149,64,1
two_stage_0.10,0.203125,0.12563146044013895,0.015952533475722737,0.0,0.12677846523617964,0.765625,0.234375,14,37,13,0.9936626487697715,0.375,0.125,113,f3102cf725a17dad3a59421cd4a737f0572af5ba90267d7d32055eaa32878549,213,149,64,1
