model,held_out_seed,test_rows,test_unsafe,test_safe,balanced_accuracy,unsafe_recall,unsafe_precision,safe_specificity,roc_auc
context_plus_loss,44093,180,32,148,0.6811655405405406,0.53125,0.40476190476190477,0.831081081081081,0.6028293918918919
context_plus_loss,44094,180,30,150,0.69,0.5333333333333333,0.41025641025641024,0.8466666666666667,0.6457777777777777
context_plus_loss,44095,180,39,141,0.6213857064920895,0.38461538461538464,0.42857142857142855,0.8581560283687943,0.6150209128932533
context_plus_loss,44096,177,32,145,0.6948275862068966,0.5,0.5,0.8896551724137931,0.6743534482758622
context_plus_loss,44097,174,35,139,0.6314491264131552,0.45714285714285713,0.37209302325581395,0.8057553956834532,0.6478931140801645
context_plus_loss,44098,174,35,139,0.6384378211716342,0.5142857142857142,0.35294117647058826,0.762589928057554,0.6846865364850976
context_plus_loss,44099,171,35,136,0.5496848739495799,0.37142857142857144,0.26,0.7279411764705882,0.6245798319327731
context_plus_loss,44100,177,38,139,0.5247065505490345,0.39473684210526316,0.23809523809523808,0.6546762589928058,0.6389625141991669
context_plus_loss,44101,171,32,139,0.6265737410071943,0.5625,0.29508196721311475,0.6906474820143885,0.6724370503597122
context_plus_loss,44102,177,42,135,0.6042328042328042,0.5714285714285714,0.3287671232876712,0.6370370370370371,0.6532627865961199
context_plus_loss,44103,177,41,136,0.5954985652797704,0.5365853658536586,0.3188405797101449,0.6544117647058824,0.6734218077474892
context_plus_loss,44104,183,45,138,0.5635265700483092,0.5111111111111111,0.3026315789473684,0.6159420289855072,0.6156199677938808
context_plus_loss,44105,186,47,139,0.5973519057094749,0.46808510638297873,0.36666666666666664,0.7266187050359713,0.6617174345629879
context_plus_loss,44106,183,42,141,0.5131712259371835,0.38095238095238093,0.24242424242424243,0.6453900709219859,0.5491388044579534
context_plus_loss,44107,183,43,140,0.5002491694352159,0.27906976744186046,0.23529411764705882,0.7214285714285714,0.5637873754152823
context_plus_loss,44108,189,44,145,0.4939655172413793,0.25,0.22448979591836735,0.7379310344827587,0.5473354231974922
context_plus_loss,44109,189,40,149,0.5276845637583892,0.25,0.2564102564102564,0.8053691275167785,0.5449664429530201
context_plus_loss,44110,186,40,146,0.5402397260273972,0.375,0.25862068965517243,0.7054794520547946,0.5320205479452055
action_support_only,44071,240,44,196,0.6192022263450835,0.38636363636363635,0.3695652173913043,0.8520408163265306,0.6718460111317255
action_support_only,44072,237,45,192,0.6263888888888889,0.37777777777777777,0.4146341463414634,0.875,0.6368055555555555
action_support_only,44073,240,46,194,0.6409681757059614,0.3695652173913043,0.5,0.9123711340206185,0.6162034961900493
action_support_only,44074,234,44,190,0.6624401913875598,0.4090909090909091,0.5294117647058824,0.9157894736842105,0.7016746411483253
action_support_only,44075,231,41,190,0.6652118100128369,0.4146341463414634,0.5151515151515151,0.9157894736842105,0.6833119383825417
action_support_only,44076,228,43,185,0.6544311753614079,0.3953488372093023,0.5151515151515151,0.9135135135135135,0.6659962287869265
action_support_only,44077,225,44,181,0.6489829231541939,0.38636363636363635,0.5151515151515151,0.9116022099447514,0.6703917629331995
action_support_only,44078,222,47,175,0.6330699088145897,0.3404255319148936,0.5517241379310345,0.9257142857142857,0.648145896656535
action_support_only,44079,225,46,179,0.6376001943162497,0.34782608695652173,0.5517241379310345,0.9273743016759777,0.6878795239251883
action_support_only,44080,225,42,183,0.6467603434816549,0.38095238095238093,0.5,0.912568306010929,0.6665365599791828
action_support_only,44081,222,41,181,0.6497776579975745,0.36585365853658536,0.5555555555555556,0.9337016574585635,0.621749090419081
action_support_only,44082,216,45,171,0.62046783625731,0.3111111111111111,0.5384615384615384,0.9298245614035088,0.6532813515269655
action_support_only,44083,210,48,162,0.6338734567901234,0.3541666666666667,0.5483870967741935,0.9135802469135802,0.6993312757201645
action_support_only,44084,204,45,159,0.6448637316561845,0.37777777777777777,0.5483870967741935,0.9119496855345912,0.7587700908455626
action_support_only,44085,192,49,143,0.6516340802055087,0.40816326530612246,0.5714285714285714,0.8951048951048951,0.7658056229484801
action_support_only,44086,189,48,141,0.6622340425531915,0.4166666666666667,0.6060606060606061,0.9078014184397163,0.7405437352245863
action_support_only,44087,189,38,151,0.7036423841059603,0.5,0.5757575757575758,0.9072847682119205,0.7678633670268387
action_support_only,44088,192,39,153,0.6978381096028154,0.48717948717948717,0.5757575757575758,0.9084967320261438,0.7129210658622424
action_support_only,44089,177,45,132,0.6176767676767676,0.3111111111111111,0.5833333333333334,0.9242424242424242,0.655892255892256
action_support_only,44090,180,34,146,0.6647864625302176,0.4117647058823529,0.5384615384615384,0.9178082191780822,0.8019742143432715
action_support_only,44091,180,37,143,0.6477036477036477,0.35135135135135137,0.6190476190476191,0.9440559440559441,0.7108297108297109
action_support_only,44092,186,37,149,0.631960819880283,0.32432432432432434,0.5714285714285714,0.9395973154362416,0.7355341919100309
action_support_only,44093,180,32,148,0.6570945945945945,0.375,0.5714285714285714,0.9391891891891891,0.785472972972973
action_support_only,44094,180,30,150,0.69,0.43333333333333335,0.6190476190476191,0.9466666666666667,0.8311111111111111
action_support_only,44095,180,39,141,0.644026186579378,0.358974358974359,0.5833333333333334,0.9290780141843972,0.7190398254228042
action_support_only,44096,177,32,145,0.6564655172413794,0.375,0.5714285714285714,0.9379310344827586,0.715301724137931
action_support_only,44097,174,35,139,0.6211716341212744,0.3142857142857143,0.5238095238095238,0.9280575539568345,0.7064748201438847
action_support_only,44098,174,35,139,0.6211716341212744,0.3142857142857143,0.5238095238095238,0.9280575539568345,0.6423432682425488
action_support_only,44099,171,35,136,0.5918067226890756,0.2571428571428571,0.47368421052631576,0.9264705882352942,0.6224789915966387
action_support_only,44100,177,38,139,0.5967436577054146,0.3157894736842105,0.41379310344827586,0.8776978417266187,0.5891707686482393
action_support_only,44101,171,32,139,0.6371402877697842,0.375,0.46153846153846156,0.8992805755395683,0.6351169064748201
action_support_only,44102,177,42,135,0.5873015873015872,0.2857142857142857,0.4444444444444444,0.8888888888888888,0.6126984126984126
action_support_only,44103,177,41,136,0.59487087517934,0.2926829268292683,0.46153846153846156,0.8970588235294118,0.5936154949784792
action_support_only,44104,183,45,138,0.5826086956521739,0.26666666666666666,0.46153846153846156,0.8985507246376812,0.6275362318840579
action_support_only,44105,186,47,139,0.5984233889484157,0.3191489361702128,0.46875,0.8776978417266187,0.6307974896678401
action_support_only,44106,183,42,141,0.5815602836879432,0.3333333333333333,0.3684210526315789,0.8297872340425532,0.6285038838230328
action_support_only,44107,183,43,140,0.5412790697674419,0.23255813953488372,0.3225806451612903,0.85,0.5335548172757475
action_support_only,44108,189,44,145,0.5446708463949843,0.22727272727272727,0.3333333333333333,0.8620689655172413,0.577115987460815
action_support_only,44109,189,40,149,0.5578859060402684,0.25,0.3333333333333333,0.8657718120805369,0.5691275167785235
action_support_only,44110,186,40,146,0.615582191780822,0.375,0.4166666666666667,0.8561643835616438,0.6964041095890411
context_plus_action_support,44071,240,44,196,0.6217532467532467,0.38636363636363635,0.37777777777777777,0.8571428571428571,0.6677875695732838
context_plus_action_support,44072,237,45,192,0.6394097222222221,0.37777777777777777,0.4722222222222222,0.9010416666666666,0.6480324074074074
