record_type,group,diagnostic,count,mean,median,min,max,first_count,second_count,first_mean,second_mean,standardized_difference
comparison,harmful_vetoed_vs_beneficial_vetoed,trigger_score,41,0.23648996363140995,,,,5,36,7.265000802197671,7.028510838566261,0.07903112130128356
comparison,harmful_vetoed_vs_beneficial_vetoed,support_distance_baseline_action,41,0.2782614841033808,,,,5,36,2.2763737228248178,1.998112238721437,0.9458311276933049
comparison,harmful_vetoed_vs_beneficial_vetoed,safety_score_baseline_action,41,-0.0009528663253767222,,,,5,36,0.7532823982851944,0.7542352646105711,-0.010510486469032156
comparison,harmful_vetoed_vs_beneficial_vetoed,downside_score_baseline_action,41,0.0023382643445692694,,,,5,36,0.006745832610298001,0.004407568265728731,0.40032141754688083
comparison,harmful_vetoed_vs_beneficial_vetoed,baseline_regret,41,0.03891880493075732,,,,5,36,0.03891880493075732,0.0,5.523452035130586
comparison,harmful_vetoed_vs_beneficial_vetoed,regret_difference_guard_minus_baseline,41,-0.03891880493075732,,,,5,36,-0.03891880493075732,0.0,-5.523452035130586
comparison,harmful_vetoed_vs_beneficial_preserved,state_harmful_probability,69,0.41178517602854214,,,,5,64,0.7144657330312688,0.30268055700272667,3.0736533935357833
comparison,harmful_vetoed_vs_beneficial_preserved,current_mismatch_indicator,69,0.39459582663209825,,,,5,64,0.5064513062668271,0.11185547963472889,2.9138900869573394
comparison,harmful_vetoed_vs_beneficial_preserved,anchor_age,69,-6.993749999999999,,,,5,64,17.6,24.59375,-0.5335315302471136
comparison,harmful_vetoed_vs_beneficial_preserved,trigger_score,69,-0.6381355785947962,,,,5,64,7.265000802197671,7.903136380792467,-0.18306535407104602
comparison,harmful_vetoed_vs_beneficial_preserved,support_distance_baseline_action,69,0.2722228548308756,,,,5,64,2.2763737228248178,2.004150867993942,0.9839959069200127
comparison,harmful_vetoed_vs_beneficial_preserved,safety_score_baseline_action,69,-0.016749973179061906,,,,5,64,0.7532823982851944,0.7700323714642563,-0.173260748564324
comparison,harmful_vetoed_vs_beneficial_preserved,downside_score_baseline_action,69,0.0027774560767437626,,,,5,64,0.006745832610298001,0.003968376533554238,0.4605102485777929
comparison,harmful_vetoed_vs_beneficial_preserved,baseline_regret,69,0.03891880493075732,,,,5,64,0.03891880493075732,0.0,7.239618561552086
comparison,harmful_vetoed_vs_beneficial_preserved,regret_difference_guard_minus_baseline,69,-0.03891880493075732,,,,5,64,-0.03891880493075732,0.0,-7.239618561552086
comparison,harmful_preserved_vs_beneficial_preserved,state_harmful_probability,65,-0.1719626890071812,,,,1,64,0.13071786799554547,0.30268055700272667,0.0
comparison,harmful_preserved_vs_beneficial_preserved,current_mismatch_indicator,65,-0.10775420105408899,,,,1,64,0.0041012785806398945,0.11185547963472889,0.0
comparison,harmful_preserved_vs_beneficial_preserved,anchor_age,65,-5.59375,,,,1,64,19.0,24.59375,0.0
comparison,harmful_preserved_vs_beneficial_preserved,trigger_score,65,2.8919811135563203,,,,1,64,10.795117494348787,7.903136380792467,0.0
comparison,harmful_preserved_vs_beneficial_preserved,support_distance_baseline_action,65,0.2874146050877613,,,,1,64,2.2915654730817034,2.004150867993942,0.0
comparison,harmful_preserved_vs_beneficial_preserved,safety_score_baseline_action,65,-0.08323326432139888,,,,1,64,0.6867991071428574,0.7700323714642563,0.0
comparison,harmful_preserved_vs_beneficial_preserved,downside_score_baseline_action,65,0.004589386132348836,,,,1,64,0.008557762665903074,0.003968376533554238,0.0
comparison,harmful_preserved_vs_beneficial_preserved,baseline_regret,65,0.10257280196541352,,,,1,64,0.10257280196541352,0.0,0.0
comparison,harmful_preserved_vs_beneficial_preserved,regret_difference_guard_minus_baseline,65,0.0,,,,1,64,0.0,0.0,0.0
comparison,beneficial_vetoed_vs_beneficial_preserved,state_harmful_probability,100,0.43907770811835234,,,,36,64,0.741758265121079,0.30268055700272667,3.0953185385956767
comparison,beneficial_vetoed_vs_beneficial_preserved,current_mismatch_indicator,100,0.4675346722202057,,,,36,64,0.5793901518549346,0.11185547963472889,1.5913626128474578
comparison,beneficial_vetoed_vs_beneficial_preserved,anchor_age,100,-10.038194444444445,,,,36,64,14.555555555555555,24.59375,-0.8075021015975826
comparison,beneficial_vetoed_vs_beneficial_preserved,trigger_score,100,-0.8746255422262061,,,,36,64,7.028510838566261,7.903136380792467,-0.25704219057804406
comparison,beneficial_vetoed_vs_beneficial_preserved,support_distance_baseline_action,100,-0.006038629272505203,,,,36,64,1.998112238721437,2.004150867993942,-0.020727494914190795
comparison,beneficial_vetoed_vs_beneficial_preserved,safety_score_baseline_action,100,-0.015797106853685183,,,,36,64,0.7542352646105711,0.7700323714642563,-0.16928012797342634
comparison,beneficial_vetoed_vs_beneficial_preserved,downside_score_baseline_action,100,0.00043919173217449314,,,,36,64,0.004407568265728731,0.003968376533554238,0.07514424688101784
comparison,beneficial_vetoed_vs_beneficial_preserved,baseline_regret,100,0.0,,,,36,64,0.0,0.0,0.0
comparison,beneficial_vetoed_vs_beneficial_preserved,regret_difference_guard_minus_baseline,100,0.0,,,,36,64,0.0,0.0,0.0
