generation_seed,test_index,outcome,primary_action,expanded_action,true_responsive_action,action_step,safety_score,downside_score,support_distance,predicted_under_risk,predicted_loss_k1,predicted_loss_k2,predicted_loss_k3,predicted_loss_k1_minus_k2,predicted_loss_k1_minus_k3,predicted_loss_k2_minus_k3,predicted_primary_regret,predicted_expanded_regret,predicted_regret_margin,primary_regret,expanded_regret,incremental_regret,context_benefit_probability,context_release_probability,context_anchor_age,context_trigger_score,context_feature_distance,context_current_mismatch_indicator,context_current_parameter_estimate,expanded_action_reconstructed,context_support_distance,action_support_distance,epistemic_excess,predicted_action_loss,predicted_relative_loss,harmful_target
44002,3,beneficial,3,2,2,1,0.7089102182539684,2.4063572544434365e-05,2.0467880520897457,0.05965325722378984,0.23578186303433094,0.22936559322665204,0.23287067091216476,0.006416269807678898,0.002911192122166173,-0.0035050776855127252,7.140035989172697e-06,0.0015597774853757782,0.0015526374493866056,0.0,0.0,0.0,0.6621805232954114,0.3720275254384491,4.0,7.879384310189478,1.5186374030612273,0.2270048725502553,0.917368274121192,2,1.4568501795958184,2.3778737895807587,0.9210236099849403,0.22936559322665204,0.0,0
44002,7,beneficial,3,1,1,2,0.8026250000000001,0.0185205838800074,1.6887653921371637,0.04369657813032087,0.18810575343072683,0.21310935421033309,0.21268188661111362,-0.025003600779606255,-0.02457613318038679,0.00042746759921946653,0.0005378236535335462,0.008045970432224419,0.0075081467786908725,0.0,0.0,0.0,0.7811956998313856,0.4165083204821286,10.0,4.912692563952169,1.0907345477350994,0.0867064058143898,0.9243235030267924,1,1.1676751206024452,1.6443550030957887,0.4766798824933436,0.18810575343072683,0.0,0
44002,11,beneficial,3,2,2,1,0.7520059523809524,4.715228345273693e-06,2.1774796451617746,0.05690535516229232,0.12708596509340786,0.11248595213826115,0.11358866753586373,0.014600012955146707,0.013497297557544127,-0.00110271539760258,0.0,0.0006616313475015282,0.0006616313475015282,0.0,0.0,0.0,0.675387911154316,0.5206388512662593,32.0,8.148622816496854,0.7423967050897616,0.03732684545589215,0.9243381068176053,2,1.5587972189523285,1.945815415729868,0.38701819677753946,0.11248595213826115,0.0,0
44002,40,beneficial,3,1,1,2,0.9350059523809524,0.0047609250320191756,1.7025940772542483,0.045543101125860005,0.19052268916614484,0.21125548126102067,0.21295021067745565,-0.02073279209487583,-0.022427521511310805,-0.0016947294164349758,6.4665988735182085e-06,0.0005152008855429907,0.0005087342866694725,0.0,0.0,0.0,0.7605099574731168,0.36561828770763455,10.0,5.622785264913806,1.0968505567749078,0.0738432048619085,0.9187538953088877,1,1.0113676814199626,1.7183034370703816,0.706935755650419,0.19052268916614484,0.0,0
44002,65,beneficial,3,2,2,1,0.7913630952380953,0.00013150456398836494,2.4495229975560595,0.03521671201315114,0.08830184413165788,0.08058728101531587,0.08692492814408527,0.007714563116342013,0.0013769159875726134,-0.0063376471287694,0.00014459291689593345,0.0009480136577017373,0.0008034207408058039,0.0,0.0,0.0,0.6387815815221553,0.5880449495434769,38.0,6.361122938861032,0.6915540784807667,0.22184808434997733,0.9254053836149294,2,1.7742536770795951,2.0919024272766378,0.31764875019704264,0.08058728101531587,0.0,0
44003,3,beneficial,3,2,2,1,0.7879404761904761,0.00013894932994140276,2.1798858857103385,0.030104222504136767,0.12242325830836401,0.11361108972050758,0.1144578334053468,0.008812168587856425,0.007965424903017201,-0.000846743684839224,0.0008407540505611864,0.008866569038312455,0.008025814987751269,0.0,0.0,0.0,0.6728523502424479,0.41467615278011705,30.0,4.912692563952169,0.8968154843212621,0.39183085443051147,0.9243225843361633,2,1.5109301615563049,2.1805613491076676,0.6696311875513627,0.11361108972050758,0.0,0
44003,8,beneficial,3,2,2,1,0.8052023809523812,0.00013894932994140276,2.177009635318626,0.03134539374213381,0.13124971265509902,0.11943118589512397,0.12206877446033607,0.011818526759975051,0.009180938194762955,-0.0026375885652120956,0.000502459693186143,0.004439522616297747,0.0039370629231116035,0.0,0.0,0.0,0.6862654088188727,0.41736575391291636,30.0,5.09200706575872,0.8301000588488668,0.046034465889978185,0.9201791612646568,2,1.3774250159285795,2.1120474252370256,0.7346224093084461,0.11943118589512397,0.0,0
44003,18,harmful,3,2,3,1,0.756495535714286,0.00010197780854718191,2.3159683559495026,0.02340496636269675,0.1608144244340273,0.1419015221278546,0.15757407239673168,0.018912902306172708,0.003240352037295613,-0.015672550268877095,0.00024263003882303227,0.001904212768742899,0.0016615827299198667,0.0,0.033845780081112165,0.033845780081112165,0.6286170306612898,0.5492790655749819,26.0,6.8876662802456226,0.813262581437948,0.41252322618521464,0.9214295048444798,2,1.6299460127433825,2.07411073818679,0.44416472544340757,0.1419015221278546,0.0,1
44003,19,harmful,3,2,3,1,0.9272559523809519,0.00011470039868204043,2.210804522358378,0.025600738768138228,0.11373987795845679,0.09479039692721056,0.10056352224422993,0.018949481031246232,0.013176355714226859,-0.005773125317019373,0.0008446147049197467,0.0018084914108549104,0.0009638767059351636,0.0,0.05375802411073766,0.05375802411073766,0.5922399044251382,0.5997130720043393,36.0,6.8876662802456226,0.6940328175021409,0.03200640575261031,0.91960918301864,2,1.6757622777416348,2.0509198687563064,0.3751575910146716,0.09479039692721056,0.0,1
44003,36,beneficial,3,2,2,1,0.9274999999999999,0.0,1.6078909764001366,0.027280138843395165,0.08251141416173709,0.07675313327898976,0.08531774206133912,0.005758280882747324,-0.002806327899602029,-0.008564608782349353,0.0,0.0005178381821702519,0.0005178381821702519,0.0,0.0,0.0,0.6680140798262727,0.4187728741812497,40.0,5.622785264913806,0.7797343993379826,0.2288110763443333,0.9176689192949017,2,1.2112453482862648,1.7152083740743382,0.5039630257880734,0.07675313327898976,0.0,0
