beta,test_index,best_persistence,predicted_under_risk,selected_lambda,selected_action,selected_regret,predicted_regret,regularization_cost
0.005,25,1,0.022694503764401536,0.0,2,0.0,0.00010699654136893345,0.0
0.005,26,1,0.023856148773027813,0.0,2,0.0,3.882205948953818e-05,0.0
0.005,27,1,0.035066168873382424,0.25,3,0.0,0.0,0.00125
0.005,28,1,0.04750235102302107,1.0,3,0.0,0.0,0.005
0.005,29,1,0.023237868677336185,0.0,2,0.0,0.0,0.0
0.005,30,1,0.023780873381575078,1.0,3,0.0,0.0,0.005
0.005,31,1,0.019701317976916273,0.0,2,0.0,0.0,0.0
0.005,32,3,0.041186146798371175,0.1,2,0.03348088192022192,0.0008276333361250962,0.0005
0.005,33,3,0.0332631374973132,1.0,3,0.0,9.749862285185782e-06,0.005
0.005,34,2,0.042777572975419474,1.0,3,0.0,2.2749678665433488e-05,0.005
0.005,35,2,0.03567679074560212,0.1,3,0.0,0.0,0.0005
0.005,36,2,0.0361148293602659,0.1,3,0.0,0.002240008794722068,0.0005
0.005,37,2,0.03646748878062584,0.25,3,0.0,0.0,0.00125
0.005,38,2,0.02468004002788759,0.0,3,0.0,0.0,0.0
0.005,39,2,0.03118213995305355,0.0,2,0.0,0.00034978602026100044,0.0
0.005,40,2,0.034663160168209146,0.25,3,0.0,0.0,0.00125
0.005,41,3,0.020797499966750708,1.0,1,0.007375586548430901,0.0007902263382143077,0.005
0.005,42,3,0.026822066442761982,1.0,1,0.03091974117703608,0.0003917819661597157,0.005
0.005,43,2,0.03951930612254934,1.0,3,0.006871910725323005,2.1124701617902526e-05,0.005
0.005,44,1,0.024436690988507717,1.0,3,0.006622848127195047,0.0008381631611164708,0.005
0.005,45,1,0.021222086183046187,1.0,3,0.0,0.0,0.005
0.005,46,1,0.01365850721967068,0.25,2,0.0,0.002620174013107413,0.00125
0.005,47,1,0.01259623508265569,0.0,2,0.0,0.0,0.0
0.005,48,1,0.009318752027240971,0.25,1,0.0,0.0011144367578716334,0.00125
0.005,49,1,0.028818895238164565,0.25,1,0.0,0.00324972846645007,0.00125
0.005,50,1,0.023520217346594405,0.1,3,0.0,0.0013517400697712154,0.0005
0.005,51,1,0.02958356952205886,0.25,1,0.0,0.0018255313418692237,0.00125
0.005,52,1,0.03759264192945932,1.0,3,0.0,3.2499540950619273e-06,0.005
0.005,53,1,0.024715343027548062,0.25,1,0.0,0.0002589306514709241,0.00125
0.005,54,1,0.024536543970978028,0.0,2,0.0,0.0,0.0
0.005,55,1,0.04103390877169623,0.1,3,0.0,0.0002655579077168058,0.0005
0.005,56,3,0.03274480707504506,0.25,3,0.0,0.004773051311653395,0.00125
0.005,57,3,0.03312817728570933,1.0,3,0.0,0.00118460826765007,0.005
0.005,58,2,0.03188031448587982,1.0,3,0.0,0.00047693076345033835,0.005
0.005,59,1,0.02450722746566402,0.1,2,0.0,5.3498270684466725e-05,0.0005
0.005,60,1,0.025880579595396618,1.0,3,0.0,0.0,0.005
0.005,61,1,0.013577055933409007,0.0,2,0.0,0.0005158609861461599,0.0
0.005,62,3,0.05077392905885838,0.25,2,0.03676296772801363,0.0037217949366551576,0.00125
0.005,63,3,0.03441037613827375,1.0,3,0.0,0.00047238082771725156,0.005
0.005,64,2,0.028331236741233785,0.0,1,0.03138122831986773,0.0016933395023597008,0.0
0.005,65,2,0.02666612018666824,0.0,2,0.0,0.0,0.0
0.005,66,2,0.024864527996219323,0.25,1,0.03138122831986774,0.0,0.00125
0.005,67,3,0.03559728941070486,0.25,3,0.0,0.0028857353969822994,0.00125
0.005,68,3,0.02766769465236672,1.0,1,0.057717810433482175,0.0010411227943530866,0.005
0.005,69,2,0.03267914010910429,0.25,1,0.06960889750293561,0.0026432359153988993,0.00125
0.005,70,2,0.02537222256577211,0.25,1,0.0605707328558652,0.0027973783769248244,0.00125
0.005,71,2,0.0203037311797933,0.0,2,0.0,0.0,0.0
0.005,72,2,0.031056467919537645,1.0,3,0.0,0.00013731056051636647,0.005
0.005,73,1,0.012339921780130157,0.0,1,0.0,0.000148356024096776,0.0
0.005,74,1,0.01009082743405334,0.0,1,0.0,7.831396032117225e-05,0.0
0.01,0,1,0.02280515121673653,0.0,2,0.0,0.00010699654136893345,0.0
0.01,1,1,0.011179931936987006,0.25,2,0.0,0.0003193205217879835,0.0025
0.01,2,1,0.011272623240007376,0.0,2,0.0,0.0,0.0
0.01,3,1,0.024593994812742055,0.25,3,0.0,0.0002589306514709241,0.0025
0.01,4,1,0.02638256442498864,1.0,1,0.0,0.0008068011040991233,0.01
0.01,5,2,0.027565087328314322,1.0,3,0.0,2.8437098331791866e-05,0.01
0.01,6,2,0.03441937398111071,0.25,3,0.0,0.0018851828044434264,0.0025
0.01,7,2,0.03425887702294003,0.25,3,0.0,0.0002460147562673342,0.0025
0.01,8,1,0.0460522615338116,0.25,1,0.0,0.002492508941845555,0.0025
0.01,9,1,0.042567450027431425,0.1,3,0.0,0.00032716220608554125,0.001
0.01,10,1,0.030993522774128465,0.0,3,0.0,0.00016049481205340018,0.0
0.01,11,1,0.037248184346602375,0.1,1,0.0,0.00113176450846491,0.001
0.01,12,1,0.03664991528924929,0.1,2,0.0,0.0002933409521360185,0.001
0.01,13,1,0.018872985450852996,0.0,1,0.0,0.0004879447551249397,0.0
0.01,14,1,0.02476059077747911,0.0,2,0.0,5.3498270684466725e-05,0.0
0.01,15,1,0.03670569933458623,0.25,3,0.0,0.0013066388518604046,0.0025
0.01,16,1,0.03144023959720714,1.0,3,0.0,0.0004691308736221897,0.01
0.01,17,1,0.04538115275370475,0.1,3,0.0,0.0023077533651864454,0.001
0.01,18,2,0.027912106784189476,0.1,2,0.0,0.0051208582010269345,0.001
0.01,19,2,0.01849410688953061,0.0,1,0.09518820021482474,0.0007406351577642839,0.0
0.01,20,2,0.040866210078494974,0.0,3,0.0,0.0007640603981340285,0.0
0.01,21,2,0.04299907391748921,0.1,3,0.0,0.0020066474409262377,0.001
0.01,22,2,0.03670897179644808,0.1,3,0.0,0.00205566089390275,0.001
0.01,23,2,0.029217456164213465,0.25,3,0.0,0.0003193205217879835,0.0025
0.01,24,1,0.04592788430002088,0.1,2,0.0,0.0005656328253586306,0.001
0.01,25,1,0.022694503764401536,0.0,2,0.0,0.00010699654136893345,0.0
0.01,26,1,0.023856148773027813,0.0,2,0.0,3.882205948953818e-05,0.0
0.01,27,1,0.035066168873382424,0.0,1,0.0,0.0018937184110290664,0.0
0.01,28,1,0.04750235102302107,1.0,3,0.0,0.0,0.01
0.01,29,1,0.023237868677336185,0.0,2,0.0,0.0,0.0
0.01,30,1,0.023780873381575078,0.25,1,0.0,0.007075805634498555,0.0025
0.01,31,1,0.019701317976916273,0.0,2,0.0,0.0,0.0
0.01,32,3,0.041186146798371175,0.1,2,0.03348088192022192,0.0008276333361250962,0.001
0.01,33,3,0.0332631374973132,1.0,3,0.0,9.749862285185782e-06,0.01
0.01,34,2,0.042777572975419474,1.0,3,0.0,2.2749678665433488e-05,0.01
0.01,35,2,0.03567679074560212,0.0,3,0.0,0.0006329330658822826,0.0
0.01,36,2,0.0361148293602659,0.1,3,0.0,0.002240008794722068,0.001
0.01,37,2,0.03646748878062584,0.0,2,0.0,0.0017772765105626281,0.0
0.01,38,2,0.02468004002788759,0.0,3,0.0,0.0,0.0
0.01,39,2,0.03118213995305355,0.0,2,0.0,0.00034978602026100044,0.0
0.01,40,2,0.034663160168209146,0.0,2,0.0,0.0018762531648030896,0.0
0.01,41,3,0.020797499966750708,1.0,1,0.007375586548430901,0.0007902263382143077,0.01
0.01,42,3,0.026822066442761982,1.0,1,0.03091974117703608,0.0003917819661597157,0.01
0.01,43,2,0.03951930612254934,1.0,3,0.006871910725323005,2.1124701617902526e-05,0.01
