trial,unsafe_recall,unsafe_precision,balanced_accuracy,true_positives,alert_coverage
121,0.6259150805270863,0.2378964941569282,0.6383654953884794,855,0.390228013029316
122,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
123,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
124,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
125,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
126,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
127,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
128,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
129,0.6412884333821376,0.24373956594323873,0.6473907745697021,876,0.390228013029316
130,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
131,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
132,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
133,0.6420204978038068,0.24401780745687257,0.6478205497688081,877,0.390228013029316
134,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
135,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
136,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
137,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
138,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
139,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
140,0.6383601756954612,0.2426265998887034,0.6456716737732788,872,0.390228013029316
141,0.6390922401171303,0.24290484140233723,0.6461014489723846,873,0.390228013029316
142,0.6244509516837482,0.23734001112966055,0.6375059449902678,853,0.390228013029316
143,0.6390922401171303,0.24290484140233723,0.6461014489723846,873,0.390228013029316
144,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
145,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
146,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
147,0.6259150805270863,0.2378964941569282,0.6383654953884794,855,0.390228013029316
148,0.6273792093704246,0.2384529771841959,0.6392250457866911,857,0.390228013029316
149,0.6412884333821376,0.24373956594323873,0.6473907745697021,876,0.390228013029316
150,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
151,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
152,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
153,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
154,0.6222547584187409,0.23650528658875905,0.6362166193929503,850,0.390228013029316
155,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
156,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
157,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
158,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
159,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
160,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
161,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
162,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
163,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
164,0.6288433382137628,0.23900946021146355,0.6400845961849029,859,0.390228013029316
165,0.6251830161054173,0.2376182526432944,0.6379357201893736,854,0.390228013029316
166,0.6251830161054173,0.2376182526432944,0.6379357201893736,854,0.390228013029316
167,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
168,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
169,0.6295754026354319,0.2392877017250974,0.6405143713840087,860,0.390228013029316
170,0.6398243045387995,0.24318308291597107,0.6465312241714904,874,0.390228013029316
171,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
172,0.6295754026354319,0.2392877017250974,0.6405143713840087,860,0.390228013029316
173,0.62298682284041,0.23678352810239287,0.6366463945920561,851,0.390228013029316
174,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
175,0.6456808199121523,0.24540901502504173,0.6499694257643372,882,0.390228013029316
176,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
177,0.62298682284041,0.23678352810239287,0.6366463945920561,851,0.390228013029316
178,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
179,0.6295754026354319,0.2392877017250974,0.6405143713840087,860,0.390228013029316
180,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
181,0.6222547584187409,0.23650528658875905,0.6362166193929503,850,0.390228013029316
182,0.6427525622254758,0.2442960489705064,0.6482503249679139,878,0.390228013029316
183,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
184,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
185,0.6266471449487555,0.23817473567056205,0.6387952705875852,856,0.390228013029316
186,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
187,0.6405563689604685,0.2434613244296049,0.6469609993705963,875,0.390228013029316
188,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
189,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
190,0.6405563689604685,0.2434613244296049,0.6469609993705963,875,0.390228013029316
191,0.6332357247437774,0.24067890929326655,0.642663247379538,865,0.390228013029316
192,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
193,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
194,0.6405563689604685,0.2434613244296049,0.6469609993705963,875,0.390228013029316
195,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
196,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
197,0.6259150805270863,0.2378964941569282,0.6383654953884794,855,0.390228013029316
198,0.637628111273792,0.24234835837506957,0.6452418985741729,871,0.390228013029316
199,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
200,0.6361639824304539,0.2417918753478019,0.6443823481759613,869,0.390228013029316
201,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
202,0.6317715959004392,0.2401224262659989,0.6418036969813261,863,0.390228013029316
203,0.636896046852123,0.24207011686143573,0.6448121233750671,870,0.390228013029316
204,0.6398243045387995,0.24318308291597107,0.6465312241714904,874,0.390228013029316
205,0.636896046852123,0.24207011686143573,0.6448121233750671,870,0.390228013029316
206,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
207,0.6390922401171303,0.24290484140233723,0.6461014489723846,873,0.390228013029316
208,0.6259150805270863,0.2378964941569282,0.6383654953884794,855,0.390228013029316
209,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
210,0.6325036603221084,0.24040066777963273,0.642233472180432,864,0.390228013029316
211,0.6266471449487555,0.23817473567056205,0.6387952705875852,856,0.390228013029316
212,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
213,0.6273792093704246,0.2384529771841959,0.6392250457866911,857,0.390228013029316
214,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
215,0.62298682284041,0.23678352810239287,0.6366463945920561,851,0.390228013029316
216,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
217,0.636896046852123,0.24207011686143573,0.6448121233750671,870,0.390228013029316
218,0.6281112737920937,0.2387312186978297,0.6396548209857971,858,0.390228013029316
219,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
220,0.6303074670571011,0.2395659432387312,0.6409441465831145,861,0.390228013029316
221,0.6266471449487555,0.23817473567056205,0.6387952705875852,856,0.390228013029316
222,0.6390922401171303,0.24290484140233723,0.6461014489723846,873,0.390228013029316
223,0.6310395314787701,0.23984418475236505,0.6413739217822203,862,0.390228013029316
224,0.637628111273792,0.24234835837506957,0.6452418985741729,871,0.390228013029316
225,0.6244509516837482,0.23734001112966055,0.6375059449902678,853,0.390228013029316
226,0.6346998535871157,0.24123539232053423,0.6435227977777496,867,0.390228013029316
227,0.6354319180087847,0.24151363383416805,0.6439525729768554,868,0.390228013029316
228,0.6339677891654466,0.2409571508069004,0.6430930225786438,866,0.390228013029316
229,0.6273792093704246,0.2384529771841959,0.6392250457866911,857,0.390228013029316
