policy,accuracy,mean_loss,mean_regret,median_regret,max_regret,zero_regret_fraction,regret_gt_0_005_fraction,under_count,over_count,exact_count,action_entropy,dominant_action_fraction,deviation_from_direct,seed,train_count,test_count,pareto_efficient
fixed_risk_0.010,0.08,0.14312881726984453,0.00928103166535457,0.0,0.18820447819337066,0.8533333333333334,0.14666666666666667,3,66,6,0.2637850261198623,0.9333333333333333,0.44,4,174,75,0
two_stage_0.10,0.16,0.14299553256612105,0.00914774696163108,0.0,0.18820447819337066,0.8533333333333334,0.14666666666666667,3,60,12,0.7019558150992012,0.72,0.22666666666666666,4,174,75,0
two_stage_0.25,0.14666666666666667,0.14312881726984453,0.00928103166535457,0.0,0.18820447819337066,0.8533333333333334,0.14666666666666667,3,61,11,0.5011535315688265,0.84,0.3466666666666667,4,174,75,0
two_stage_1.00,0.12,0.1411921290659191,0.007344343461429147,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,0,66,9,0.15286935115005693,0.96,0.4666666666666667,4,174,75,1
fixed_k3,0.08,0.1418526505881502,0.008004864983660223,0.0,0.18820447819337066,0.88,0.12,0,69,6,0.0,1.0,0.5066666666666667,4,174,75,0
oracle,1.0,0.13384778560448995,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7072456932178688,0.7066666666666667,0.6933333333333334,4,174,75,0
direct_loss,0.3466666666666667,0.15812302431266628,0.011427775097583023,0.0,0.18820447819337066,0.8133333333333334,0.17333333333333334,7,42,26,0.9758914124809772,0.4266666666666667,0.0,5,174,75,1
fixed_risk_0.010,0.10666666666666667,0.15835605137440897,0.011660802159325709,0.0,0.18820447819337066,0.8133333333333334,0.17333333333333334,5,62,8,0.4714474214830805,0.8533333333333334,0.4266666666666667,5,174,75,0
two_stage_0.10,0.26666666666666666,0.15660700505727623,0.009911755842192982,0.0,0.18820447819337066,0.84,0.14666666666666667,5,50,20,0.8334680953407093,0.6266666666666667,0.2,5,174,75,1
two_stage_0.25,0.17333333333333334,0.15699253406264543,0.010297284847562184,0.0,0.18820447819337066,0.84,0.14666666666666667,5,57,13,0.6475984021524027,0.76,0.3333333333333333,5,174,75,0
two_stage_1.00,0.13333333333333333,0.1580606925176263,0.01136544330254305,0.0,0.18820447819337066,0.8533333333333334,0.14666666666666667,1,64,10,0.3000972305087439,0.92,0.49333333333333335,5,174,75,1
fixed_k3,0.10666666666666667,0.15852033652559427,0.011825087310511021,0.0,0.18820447819337066,0.8533333333333334,0.14666666666666667,0,67,8,0.0,1.0,0.5733333333333334,5,174,75,0
oracle,1.0,0.14669524921508326,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7938995734743085,0.64,0.6533333333333333,5,174,75,0
direct_loss,0.22666666666666666,0.14084370238411673,0.006049559153691874,0.0,0.18820447819337066,0.88,0.12,4,54,17,0.8903009148952307,0.5733333333333334,0.0,6,174,75,1
fixed_risk_0.010,0.06666666666666667,0.14121470310448694,0.00642055987406209,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,2,68,5,0.3042211976516048,0.92,0.3466666666666667,6,174,75,0
two_stage_0.10,0.22666666666666666,0.1404252860065185,0.005631142776093638,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,3,55,17,0.8216767817408348,0.64,0.08,6,174,75,1
two_stage_0.25,0.21333333333333335,0.14149623801350614,0.006702094783081266,0.0,0.18820447819337066,0.88,0.12,3,56,16,0.8061531357810277,0.6533333333333333,0.10666666666666667,6,174,75,0
two_stage_1.00,0.13333333333333333,0.14120466659220382,0.006410523361778946,0.0,0.18820447819337066,0.8933333333333333,0.10666666666666667,1,64,10,0.43156539001549765,0.8666666666666667,0.29333333333333333,6,174,75,1
fixed_k3,0.05333333333333334,0.14104381872168886,0.0062496754912640074,0.0,0.18820447819337066,0.9066666666666666,0.09333333333333334,0,71,4,0.0,1.0,0.4266666666666667,6,174,75,0
oracle,1.0,0.13479414323042488,0.0,0.0,0.0,1.0,0.0,0,0,75,0.7127817546181594,0.6666666666666666,0.7733333333333333,6,174,75,0
direct_loss,0.3333333333333333,0.13252444864827137,0.003393832582490537,0.0,0.07568233978693295,0.8933333333333333,0.10666666666666667,5,45,25,0.9647942880512111,0.4666666666666667,0.0,7,174,75,1
