model,generation_seed,rows,unsafe_rows,unsafe_prevalence,roc_auc,brier_score
comparator_action_identity_only,44168,228,41,0.17982456140350878,0.7973783748532672,0.19901905923214103
comparator_action_identity_only,44169,228,49,0.2149122807017544,0.8119370653289248,0.19068434611175783
comparator_action_identity_only,44170,225,39,0.17333333333333334,0.7998345740281224,0.19916202335711913
comparator_action_identity_only,44171,246,51,0.2073170731707317,0.7556058320764203,0.20516161895758692
comparator_action_identity_only,44172,237,42,0.17721518987341772,0.8086691086691087,0.19646158051803095
comparator_action_identity_only,44173,255,56,0.2196078431372549,0.7669597989949748,0.2012621831246775
comparator_action_identity_only,44174,261,52,0.19923371647509577,0.7561648877438352,0.20588024956432155
comparator_action_identity_only,44175,261,54,0.20689655172413793,0.7412775093934514,0.20818799917016828
comparator_action_identity_only,44176,264,48,0.18181818181818182,0.7121913580246914,0.21749802755887318
comparator_action_identity_only,44177,264,50,0.1893939393939394,0.7714018691588784,0.20402950023124117
comparator_action_identity_only,44178,264,54,0.20454545454545456,0.7871252204585538,0.19809251558416321
comparator_action_identity_only,44179,258,54,0.20930232558139536,0.7888525780682644,0.1970298177149132
comparator_action_identity_only,44180,249,59,0.23694779116465864,0.7887600356824265,0.19490767580148335
comparator_action_identity_only,44181,246,61,0.24796747967479674,0.8342490031014621,0.1804737634411352
comparator_action_identity_only,44182,246,58,0.23577235772357724,0.808327219369039,0.19027025231240036
comparator_action_identity_only,44183,246,52,0.21138211382113822,0.8332672482157018,0.18477352879050402
comparator_action_identity_only,44184,246,50,0.2032520325203252,0.8346938775510204,0.18545025774298124
comparator_action_identity_only,44185,240,48,0.2,0.8559027777777779,0.17954205950458965
comparator_action_identity_only,44186,240,47,0.19583333333333333,0.8527725719325323,0.18117473028253608
comparator_action_identity_only,44187,246,49,0.1991869918699187,0.8397907386304776,0.1845341371559985
comparator_action_identity_only,44188,249,49,0.19678714859437751,0.8387755102040817,0.18524804543076856
comparator_action_identity_only,44189,243,45,0.18518518518518517,0.8272727272727274,0.1902526589107756
comparator_action_identity_only,44190,240,33,0.1375,0.8044942175376959,0.20403212117378616
