record_type,metric,beneficial_count,harmful_count,beneficial_mean,harmful_mean,difference_harmful_minus_beneficial,beneficial_median,harmful_median,beneficial_min,beneficial_max,harmful_min,harmful_max,standardized_difference,threshold,flagged_events,harmful_flagged,beneficial_flagged,harmful_recall,beneficial_preservation,harmful_precision,generation_seed,test_index,veto_class,value,percentile_among_vetoes
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44095,13,beneficial,0.15132731867184565,0.7045454545454546
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44095,19,beneficial,0.10323460534581053,0.022727272727272728
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44095,29,beneficial,0.13850414818021775,0.4772727272727273
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44095,33,beneficial,0.1285281033575394,0.38636363636363635
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44095,48,beneficial,0.1195804919609403,0.25
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44096,20,beneficial,0.10390128756209825,0.06818181818181818
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44096,22,harmful,0.18945303023305818,0.9318181818181818
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44097,18,beneficial,0.19457324947730384,0.9772727272727273
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44097,22,harmful,0.13788336446865274,0.4318181818181818
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44098,6,beneficial,0.15222127014866932,0.75
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44098,31,beneficial,0.15097729620963335,0.6590909090909091
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44099,0,beneficial,0.14018191537849137,0.5227272727272727
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44099,4,beneficial,0.1653211879719513,0.7954545454545454
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44100,49,beneficial,0.12779859430285323,0.3409090909090909
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44101,5,harmful,0.10681091701336692,0.11363636363636363
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44103,4,harmful,0.11359633335503082,0.1590909090909091
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44103,33,beneficial,0.12332866759484036,0.29545454545454547
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44104,43,beneficial,0.11683407403708605,0.20454545454545456
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44105,48,beneficial,0.14070578828245123,0.5681818181818182
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44108,38,harmful,0.14239371172106666,0.6136363636363636
event_rank,predicted_baseline_action_loss,,,,,,,,,,,,,,,,,,,,44110,6,beneficial,0.18410877690686883,0.8863636363636364
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44094,32,beneficial,0.05853987784241853,0.75
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44095,13,beneficial,0.08879691112150864,0.8409090909090909
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44095,19,beneficial,0.022585924804219726,0.4772727272727273
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44095,29,beneficial,0.10967981341169389,0.9318181818181818
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44095,33,beneficial,0.10058042930991495,0.8863636363636364
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44095,48,beneficial,-0.017170704386215804,0.25
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44096,20,beneficial,0.023139580525114473,0.5227272727272727
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44096,22,harmful,-0.07645690593953944,0.022727272727272728
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44097,18,beneficial,-0.07209921801386046,0.06818181818181818
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44097,22,harmful,-0.013058879293572523,0.29545454545454547
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44098,6,beneficial,0.036329763688658784,0.6590909090909091
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44098,31,beneficial,0.018396634112191668,0.4318181818181818
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44099,0,beneficial,0.11281317525702045,0.9772727272727273
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44099,4,beneficial,0.05134544086908566,0.7045454545454546
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44100,49,beneficial,0.02689701877737405,0.6136363636363636
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44101,5,harmful,-0.062269974331599226,0.11363636363636363
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44103,4,harmful,-0.058351510285496025,0.1590909090909091
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44103,33,beneficial,-0.011061416597140147,0.38636363636363635
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44104,43,beneficial,0.024787096833686434,0.5681818181818182
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44105,48,beneficial,-0.011335746972725963,0.3409090909090909
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44108,38,harmful,-0.044262098478148076,0.20454545454545456
event_rank,baseline_action_loss_error,,,,,,,,,,,,,,,,,,,,44110,6,beneficial,0.0614450136839714,0.7954545454545454
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44094,32,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44095,13,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44095,19,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44095,29,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44095,33,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44095,48,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44096,20,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44096,22,harmful,0.0023762787710386313,0.7954545454545454
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44097,18,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44097,22,harmful,0.08779151747751225,0.8409090909090909
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44098,6,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44098,31,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44099,0,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44099,4,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44100,49,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44101,5,harmful,0.08920453549650931,0.8863636363636364
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44103,4,harmful,0.09157732648995356,0.9318181818181818
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44103,33,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44104,43,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44105,48,beneficial,0.0,0.38636363636363635
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44108,38,harmful,0.0918432570224697,0.9772727272727273
event_rank,baseline_regret,,,,,,,,,,,,,,,,,,,,44110,6,beneficial,0.0,0.38636363636363635
