dose,trial,flipped_source_unsafe_rows,unsafe_selected,total_regret
0.05,105,82,324,15.178820427483283
0.05,106,82,323,15.161576106369107
0.05,107,82,323,15.161576106369107
0.05,108,82,323,15.161576106369107
0.05,109,82,322,15.144049682330769
0.05,110,82,326,15.210417058450277
0.05,111,82,323,15.161576106369107
0.05,112,82,326,15.210417058450277
0.05,113,82,322,15.144049682330769
0.05,114,82,323,15.161576106369107
0.05,115,82,324,15.178820427483283
0.05,116,82,321,15.12671251805837
0.05,117,82,326,15.210417058450277
0.05,118,82,323,15.161576106369107
0.05,119,82,325,15.195242320632861
0.05,120,82,324,15.178820427483283
0.05,121,82,322,15.144049682330769
0.05,122,82,325,15.195242320632861
0.05,123,82,323,15.161576106369107
0.05,124,82,326,15.210417058450277
0.05,125,82,326,15.210417058450277
0.05,126,82,323,15.161576106369107
0.05,127,82,323,15.161576106369107
0.05,128,82,323,15.161576106369107
0.05,129,82,323,15.161576106369107
0.05,130,82,325,15.195242320632861
0.05,131,82,325,15.195242320632861
0.05,132,82,326,15.210417058450277
0.05,133,82,325,15.195242320632861
0.05,134,82,325,15.195242320632861
0.05,135,82,323,15.161576106369107
0.05,136,82,323,15.161576106369107
0.05,137,82,325,15.195242320632861
0.05,138,82,325,15.195242320632861
0.05,139,82,323,15.161576106369107
0.05,140,82,324,15.178820427483283
0.05,141,82,321,15.12671251805837
0.05,142,82,324,15.178820427483283
0.05,143,82,327,15.227445119461581
0.05,144,82,323,15.161576106369107
0.05,145,82,326,15.210417058450277
0.05,146,82,328,15.242029730777546
0.05,147,82,324,15.178820427483283
0.05,148,82,322,15.144049682330769
0.05,149,82,327,15.227445119461581
0.05,150,82,323,15.161576106369107
0.05,151,82,324,15.178820427483283
0.05,152,82,323,15.161576106369107
0.05,153,82,323,15.161576106369107
0.05,154,82,323,15.161576106369107
0.05,155,82,325,15.195242320632861
0.05,156,82,322,15.144049682330769
0.05,157,82,321,15.12671251805837
0.05,158,82,323,15.161576106369107
0.05,159,82,321,15.12671251805837
0.05,160,82,324,15.178820427483283
0.05,161,82,325,15.195242320632861
0.05,162,82,325,15.195242320632861
0.05,163,82,327,15.227445119461581
0.05,164,82,323,15.161576106369107
0.05,165,82,321,15.12671251805837
0.05,166,82,323,15.161576106369107
0.05,167,82,325,15.195242320632861
0.05,168,82,322,15.144049682330769
0.05,169,82,323,15.161576106369107
0.05,170,82,324,15.178820427483283
0.05,171,82,324,15.178820427483283
0.05,172,82,323,15.161576106369107
0.05,173,82,323,15.161576106369107
0.05,174,82,323,15.161576106369107
0.05,175,82,327,15.227445119461581
0.05,176,82,323,15.161576106369107
0.05,177,82,327,15.227445119461581
0.05,178,82,323,15.161576106369107
0.05,179,82,323,15.161576106369107
0.05,180,82,321,15.12671251805837
0.05,181,82,323,15.161576106369107
0.05,182,82,325,15.195242320632861
0.05,183,82,323,15.161576106369107
0.05,184,82,325,15.195242320632861
0.05,185,82,324,15.178820427483283
0.05,186,82,323,15.161576106369107
0.05,187,82,327,15.227445119461581
0.05,188,82,325,15.195242320632861
0.05,189,82,326,15.210417058450277
0.05,190,82,325,15.195242320632861
0.05,191,82,322,15.144049682330769
0.05,192,82,321,15.12671251805837
0.05,193,82,323,15.161576106369107
0.05,194,82,323,15.161576106369107
0.05,195,82,325,15.195242320632861
0.05,196,82,327,15.227445119461581
0.05,197,82,321,15.12671251805837
0.05,198,82,328,15.242029730777546
0.05,199,82,322,15.144049682330769
0.05,200,82,324,15.178820427483283
0.1,1,164,328,15.242029730777546
0.1,2,164,323,15.161576106369107
0.1,3,164,328,15.242029730777546
0.1,4,164,322,15.144049682330769
0.1,5,164,328,15.242029730777546
0.1,6,164,321,15.12671251805837
0.1,7,164,327,15.227445119461581
0.1,8,164,326,15.210417058450277
0.1,9,164,327,15.227445119461581
0.1,10,164,322,15.144049682330769
0.1,11,164,327,15.227445119461581
0.1,12,164,322,15.144049682330769
0.1,13,164,327,15.227445119461581
0.1,14,164,322,15.144049682330769
0.1,15,164,323,15.161576106369107
0.1,16,164,327,15.227445119461581
0.1,17,164,325,15.195242320632861
0.1,18,164,323,15.161576106369107
0.1,19,164,328,15.242029730777546
0.1,20,164,325,15.195242320632861
0.1,21,164,321,15.12671251805837
0.1,22,164,322,15.144049682330769
0.1,23,164,323,15.161576106369107
0.1,24,164,321,15.12671251805837
0.1,25,164,325,15.195242320632861
0.1,26,164,323,15.161576106369107
0.1,27,164,325,15.195242320632861
0.1,28,164,328,15.242029730777546
0.1,29,164,324,15.178820427483283
0.1,30,164,325,15.195242320632861
0.1,31,164,327,15.227445119461581
0.1,32,164,323,15.161576106369107
0.1,33,164,328,15.242029730777546
0.1,34,164,322,15.144049682330769
0.1,35,164,327,15.227445119461581
0.1,36,164,321,15.12671251805837
0.1,37,164,325,15.195242320632861
0.1,38,164,325,15.195242320632861
0.1,39,164,327,15.227445119461581
0.1,40,164,328,15.242029730777546
0.1,41,164,323,15.161576106369107
0.1,42,164,327,15.227445119461581
0.1,43,164,328,15.242029730777546
0.1,44,164,327,15.227445119461581
0.1,45,164,323,15.161576106369107
0.1,46,164,328,15.242029730777546
0.1,47,164,322,15.144049682330769
0.1,48,164,323,15.161576106369107
0.1,49,164,328,15.242029730777546
0.1,50,164,327,15.227445119461581
0.1,51,164,323,15.161576106369107
0.1,52,164,324,15.178820427483283
0.1,53,164,321,15.12671251805837
0.1,54,164,321,15.12671251805837
0.1,55,164,323,15.161576106369107
0.1,56,164,325,15.195242320632861
0.1,57,164,321,15.12671251805837
0.1,58,164,323,15.161576106369107
0.1,59,164,325,15.195242320632861
0.1,60,164,323,15.161576106369107
0.1,61,164,325,15.195242320632861
0.1,62,164,328,15.242029730777546
0.1,63,164,323,15.161576106369107
0.1,64,164,323,15.161576106369107
0.1,65,164,326,15.210417058450277
