model,held_out_seed,test_rows,test_severe,test_nonsevere,balanced_accuracy,severe_recall,severe_precision,nonsevere_specificity,roc_auc
local_underestimate_fraction_only,44013,231,48,183,0.5840163934426229,0.9166666666666666,0.2430939226519337,0.25136612021857924,0.7115209471766849
local_underestimate_fraction_only,44014,252,45,207,0.6222222222222222,0.8,0.23841059602649006,0.4444444444444444,0.6719806763285023
local_underestimate_fraction_only,44015,246,32,214,0.6165303738317757,0.8125,0.17333333333333334,0.4205607476635514,0.7142961448598131
local_underestimate_fraction_only,44016,240,42,198,0.6363636363636364,0.8333333333333334,0.23972602739726026,0.4393939393939394,0.7157888407888409
local_underestimate_fraction_only,44017,243,33,210,0.651082251082251,0.7878787878787878,0.203125,0.5142857142857142,0.6814574314574314
local_underestimate_fraction_only,44018,243,21,222,0.620978120978121,0.8095238095238095,0.11888111888111888,0.43243243243243246,0.6383526383526383
local_underestimate_fraction_only,44019,270,33,237,0.6574606827771385,0.9393939393939394,0.17318435754189945,0.3755274261603376,0.7309806930060094
local_underestimate_fraction_only,44020,267,31,236,0.6232230727173318,0.9032258064516129,0.15300546448087432,0.3432203389830508,0.7374931656642975
local_underestimate_fraction_only,44021,264,21,243,0.6134626690182245,0.7619047619047619,0.1095890410958904,0.46502057613168724,0.6525573192239859
local_underestimate_fraction_only,44022,261,22,239,0.5916698364397109,0.7272727272727273,0.1095890410958904,0.4560669456066946,0.6501521491061241
local_underestimate_fraction_only,44023,255,24,231,0.6244588744588745,0.8333333333333334,0.12903225806451613,0.4155844155844156,0.7539682539682541
local_underestimate_fraction_only,44024,252,23,229,0.603379532940953,0.6521739130434783,0.1282051282051282,0.5545851528384279,0.6422061894816784
local_underestimate_fraction_only,44025,258,12,246,0.5752032520325203,0.6666666666666666,0.05925925925925926,0.483739837398374,0.5904471544715447
local_underestimate_fraction_only,44026,249,17,232,0.6537778904665315,0.9411764705882353,0.09815950920245399,0.36637931034482757,0.6853448275862069
local_underestimate_fraction_only,44027,261,20,241,0.5449170124481328,0.65,0.08783783783783784,0.43983402489626555,0.5346473029045644
local_underestimate_fraction_only,44028,261,16,245,0.6633928571428571,0.8125,0.09848484848484848,0.5142857142857142,0.7470663265306122
local_underestimate_fraction_only,44029,270,19,251,0.667225833508073,0.7368421052631579,0.12173913043478261,0.5976095617529881,0.699203187250996
local_underestimate_fraction_only,44030,261,14,247,0.5436668594563332,0.2857142857142857,0.07547169811320754,0.8016194331983806,0.6648351648351648
local_underestimate_fraction_only,44031,258,11,247,0.5371733529628266,0.2727272727272727,0.057692307692307696,0.8016194331983806,0.7810084652189915
local_underestimate_fraction_only,44032,261,9,252,0.5515873015873016,0.2222222222222222,0.0625,0.8809523809523809,0.4627425044091711
