bootstrap,unsafe_recall,safe_specificity,unsafe_precision,negative_predictive_value,alert_coverage,balanced_accuracy
162,0.7889672867222579,0.6912227851567849,0.35294117647058826,0.9388134647572997,0.3932520875648838,0.7400950359395214
163,0.8085409252669039,0.6894010451561035,0.32889403590040533,0.9503140007388252,0.38949030221019393,0.7489709852115036
164,0.8137829912023461,0.6876341201716738,0.3227682465833091,0.9527968779037354,0.3899092970521542,0.7507085556870099
165,0.8056975894813733,0.6856339536751908,0.3196175021732831,0.9506218674586968,0.39047295768273366,0.745665771578282
166,0.8551440329218107,0.681635926222935,0.30371236480561237,0.9666413949962093,0.3933540301253306,0.7683899795723729
167,0.8209969788519638,0.6910352187833512,0.3194240376138701,0.9562488462248477,0.385827664399093,0.7560160988176574
168,0.7974870657797487,0.6831709956709957,0.31540485238234434,0.9485349361382419,0.39119496855345914,0.7403290307253723
169,0.8226744186046512,0.6866711319490958,0.3261307980409104,0.954562383612663,0.39260264675941636,0.7546727752768735
170,0.8146520146520146,0.6787783043707214,0.3130630630630631,0.9532261046404141,0.39638433210579177,0.746715159511368
171,0.796976241900648,0.6852450188476037,0.3213352685050798,0.947505584512286,0.39072246795962345,0.7411106303741258
172,0.834271922767498,0.687822777928785,0.3110377924415117,0.9608885513575091,0.3876293454249506,0.7610473503481414
173,0.8115064345193036,0.688747115515135,0.31857355126300146,0.9532218673680255,0.3873158379373849,0.7501267750172194
174,0.8073529411764706,0.683564567769477,0.3164265129682997,0.9513553657630895,0.3918247515808491,0.7454587544729738
175,0.7965116279069767,0.6851160309415845,0.31703789412785655,0.9483108731770352,0.3895650214108632,0.7408138294242805
176,0.8038516405135521,0.6871313672922252,0.3256284310892806,0.9490835030549898,0.3905438952832318,0.7454915039028887
177,0.8185419968304279,0.6860168923448183,0.30607407407407405,0.9571642349420127,0.38699690402476783,0.7522794445876231
178,0.8056562726613488,0.6843158175513471,0.31943645773433005,0.9503611779959251,0.39179903120423565,0.7449860451063479
179,0.828113063407181,0.6846318036286019,0.314385150812065,0.9579988799701326,0.39159568427030095,0.7563724335178914
180,0.8254460822342902,0.682044384667115,0.3103850641773629,0.9575151057401813,0.3929390187987162,0.7537452334507027
181,0.8436744560838034,0.679849845823837,0.30480349344978164,0.9631528964862298,0.39482758620689656,0.7617621509538202
182,0.7923728813559322,0.6878029079159935,0.3260680034873583,0.9455857856746253,0.38907734056987786,0.7400878946359628
183,0.8058176100628931,0.6804884594739667,0.3009395184967704,0.953553967657014,0.39041723979825765,0.7431530347684299
184,0.8352668213457076,0.6861716437987624,0.3164371520656314,0.9599171998494542,0.39108513807723155,0.760719232572235
185,0.8175,0.6871380471380472,0.2969128329297821,0.9588423228716406,0.38307246376811593,0.7523190235690236
186,0.8392568659127625,0.6845810207120617,0.30840011872959333,0.962138508371385,0.39060869565217393,0.7619189433124121
187,0.824812030075188,0.681326025932362,0.31513932777937376,0.9562851782363978,0.3950743388945636,0.7530690280037751
188,0.8223826714801444,0.6850553007823037,0.32786413356361543,0.9538028169014084,0.39481759290828505,0.7537189861312241
189,0.807909604519774,0.6860712387028176,0.3262977752424415,0.9499447920500552,0.39217002237136467,0.7469904216112958
190,0.8183217859892224,0.6876326963906582,0.31109160081943227,0.9564414913252123,0.3867572156196944,0.7529772411899402
191,0.8153846153846154,0.6860897265728697,0.2986358244365362,0.9577543079488605,0.38453643516934655,0.7507371709787425
192,0.8074824629773967,0.6863961170284482,0.30814991076740034,0.9537279880104909,0.3864367816091954,0.7469392900029224
193,0.8062937062937063,0.6885134214470636,0.3352718813608607,0.9480300187617261,0.392176987113696,0.747403563870385
194,0.8193901485535575,0.6845100962189998,0.3104265402843602,0.9562665656948126,0.3899283899283899,0.7519501223862787
195,0.7878989361702128,0.6884543262791321,0.3375106807177442,0.9415643890822495,0.39141583054626533,0.7381766312246725
196,0.8091106290672451,0.6864327013580744,0.32425383946682124,0.9508288321847644,0.39126984126984127,0.7477716652126598
197,0.8194552529182879,0.6805184393372528,0.3057491289198606,0.9564319248826291,0.39274717755730415,0.7499868461277703
198,0.8260553129548762,0.6855924296947887,0.32484258729250143,0.955600966004087,0.3936014419285795,0.7558238713248324
199,0.816,0.6828746994389527,0.300530347672363,0.9569449644327968,0.388507326007326,0.7494373497194764
200,0.8211256746337703,0.6856065706207082,0.31323529411764706,0.9564237415477085,0.3897294818890417,0.7533661226272392
201,0.8080731150038081,0.6866872234884033,0.3122424955856386,0.9531075548939337,0.3873689010487916,0.7473801692461057
202,0.8260869565217391,0.6821305841924399,0.31049311926605505,0.9576915939877528,0.39292553790695056,0.7541087703570895
203,0.8042059463379261,0.6897077157501039,0.3311436249626754,0.9485616307868165,0.38950918818329844,0.746956831044015
204,0.8086642599277978,0.6912019166777585,0.32558139534883723,0.9514474166361304,0.3866037311755451,0.7499330883027782
205,0.8006158583525789,0.6900093370681606,0.3091557669441142,0.9523195876288659,0.3824465666211915,0.7453125977103697
206,0.8126501200960768,0.6856686201385189,0.30074074074074075,0.9565217391304348,0.3854059609455293,0.7491593701172978
207,0.8159163987138264,0.6846762300576484,0.30145530145530147,0.9570839580209896,0.3868780880156268,0.7502963143857374
208,0.8110726643598616,0.6861352980576021,0.33342816500711236,0.9493975903614458,0.3945005611672278,0.7486039812087318
209,0.7908201655379985,0.686436024162548,0.3151424287856072,0.9473285335354301,0.3872053872053872,0.7386280948502733
210,0.8021660649819494,0.685741470708169,0.3245690914402571,0.9484865576236134,0.39155799588194923,0.7439537678450592
211,0.8306138306138307,0.68981667335742,0.3156185414821376,0.959426763446864,0.38664383561643834,0.7602152519856253
212,0.8019504876219055,0.685850682933298,0.31093659104130306,0.9514348785871964,0.38742393509127787,0.7439005852776017
213,0.8347750865051903,0.685500066943366,0.29118889559444777,0.9640369045377518,0.38423188405797104,0.7601375767242782
214,0.8138825324180016,0.6852144172586162,0.3083815028901734,0.9552539886301119,0.38819701559519804,0.7495484748383089
215,0.8132749817651349,0.6904470716129909,0.32861774241084585,0.9520329773280869,0.388659793814433,0.7518610266890629
216,0.804860088365243,0.685069350013598,0.32062188325022,0.9500282858759193,0.3912993572084481,0.7449647191894205
217,0.8109756097560976,0.6847257610299048,0.3115666178623719,0.9536794919686216,0.3894400729843768,0.7478506853930011
218,0.8093158660844251,0.6841165155262434,0.32600410436822047,0.9500095401640908,0.39424410540915394,0.7467161908053342
219,0.8283699059561128,0.6854827998406163,0.3086131386861314,0.9592936802973978,0.3889835320840432,0.7569263528983645
220,0.8218682114409848,0.6873804971319312,0.3314836448598131,0.9534002652017427,0.393427553717109,0.7546243542864579
221,0.8243978243978244,0.685752688172043,0.31215063253898206,0.9575825825825826,0.38948092127878997,0.7550752562849337
222,0.8268330733229329,0.6855531686358755,0.3115814226925338,0.9583333333333334,0.38969072164948454,0.7561931209794042
223,0.8062865497076024,0.686538723288417,0.32384028185554903,0.950084761725372,0.3908204245553643,0.7464126364980097
224,0.8036363636363636,0.6838423247679268,0.31982633863965265,0.9495609938352326,0.39225703905540416,0.7437393442021452
225,0.8103061986557132,0.6881432963507552,0.31743709771796375,0.9529803776379119,0.38752834467120184,0.7492247475032342
226,0.8054094665664914,0.6890392422192152,0.31810089020771515,0.9515978321809008,0.3864235752780644,0.7472243543928533
227,0.8190764572293717,0.6874749365058147,0.316374269005848,0.9555927164622817,0.3885480572597137,0.7532756968675932
228,0.8026412325752018,0.6900147039165887,0.3205391151479637,0.9504695267906463,0.38591135232926277,0.7463279682458952
229,0.8094585332419465,0.689787525702536,0.3429152148664344,0.9476459510357815,0.3934201507882111,0.7496230294722412
230,0.7935306262904336,0.6943811184122302,0.335955710955711,0.9452354874041621,0.3851851851851852,0.7439558723513319
231,0.8170462894930198,0.6838901663735967,0.3224122934183821,0.9530631479736098,0.3939913182545122,0.7504682279333083
232,0.8016937191249118,0.6917771165810116,0.3326500732064422,0.9479243884358785,0.38758370219044375,0.7467354178529617
233,0.8301886792452831,0.6777104377104377,0.3061757031023485,0.9588414634146342,0.39657353110267907,0.7539495584778604
234,0.8239757207890743,0.6851580210694759,0.31505657093124456,0.9567970204841714,0.390949302483838,0.7545668709292751
235,0.7897687456201822,0.6881879194630872,0.32666666666666666,0.9447208402432283,0.388644812436634,0.7389783325416347
236,0.8333333333333334,0.6830423602652592,0.30853262474165927,0.9602359208523592,0.391877820201319,0.7581878467992963
237,0.8218867924528301,0.6845400108873163,0.31963604343997654,0.9551842005317128,0.3928283177677851,0.7532134016700732
238,0.8275340393343419,0.6826857993772845,0.3182082606166376,0.9567444507683551,0.39476403720289355,0.7551099193558132
239,0.8115064345193036,0.6902210769022108,0.31942789034564956,0.9533533158486325,0.3860133425350817,0.7508637557107571
240,0.8018531717747683,0.6854957735140212,0.3243009512827904,0.9483942825320215,0.3917118337850045,0.7436744726443948
241,0.8209285187914517,0.6951652553947009,0.33293484757919906,0.9544346521657604,0.3855282866689711,0.7580468870930763
242,0.8142514011208967,0.6811805187930122,0.2968476357267951,0.9568693065625581,0.38909710391822827,0.7477159599569545
243,0.8060512024825446,0.6896373056994819,0.3024745269286754,0.9551489056332975,0.3812853812853813,0.7478442540910133
244,0.8,0.6836830148336229,0.31884892086330935,0.9486371221954385,0.3918583671628327,0.7418415074168114
