model,held_out_seed,test_events,test_harmful,test_beneficial,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc
loss_plus_excess,44010,1,0,1,nan,0.0,0.0,1.0,nan
context_loss_excess,44001,10,1,9,0.8333333333333333,1.0,0.25,0.6666666666666666,0.7777777777777778
context_loss_excess,44002,5,0,5,nan,0.0,0.0,0.4,nan
context_loss_excess,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
context_loss_excess,44004,12,4,8,0.5625,0.75,0.375,0.375,0.59375
context_loss_excess,44005,14,1,13,0.23076923076923078,0.0,0.0,0.46153846153846156,0.3076923076923077
context_loss_excess,44006,6,2,4,1.0,1.0,1.0,1.0,1.0
context_loss_excess,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
context_loss_excess,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
context_loss_excess,44010,1,0,1,nan,0.0,0.0,1.0,nan
