condition,true_class,sequence_replicate,evidence_budget,policy,selected_action,reference_action,action_matches_reference,parameter_learning_scale,process_uncertainty_scale,allow_commitment,allow_structural_intervention,estimated_p_pass,estimated_p_fail_A,estimated_p_fail_C,estimated_p_fail_S,reference_p_pass,reference_p_fail_A,reference_p_fail_C,reference_p_fail_S,post_event_state_rmse,post_event_parameter_rmse,final_parameter_error,cumulative_abs_parameter_update,mean_post_event_nis,recovered,recovery_time
measurement_noise_0.850,measurement_noise,5,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.33090045720146755,0.005882382743035495,0.014370580041235703,0.8371003587470812,0.9685734344004134,True,0
measurement_noise_0.850,measurement_noise,5,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.3327725672500907,0.0059088316535514315,0.014370138777699104,0.8360960180759827,0.9643537568225017,True,0
measurement_noise_0.850,measurement_noise,5,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.3327725672500907,0.0059088316535514315,0.014370138777699104,0.8360960180759827,0.9643537568225017,True,0
measurement_noise_0.850,measurement_noise,5,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.2,0.9,0.0,0.2,0.22,0.8,0.06,0.33090045720146755,0.005882382743035495,0.014370580041235703,0.8371003587470812,0.9685734344004134,True,0
measurement_noise_0.850,measurement_noise,5,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.2,0.9,0.0,0.2,0.22,0.8,0.06,0.3327725672500907,0.0059088316535514315,0.014370138777699104,0.8360960180759827,0.9643537568225017,True,0
measurement_noise_0.850,measurement_noise,5,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.2,0.9,0.0,0.2,0.22,0.8,0.06,0.3327725672500907,0.0059088316535514315,0.014370138777699104,0.8360960180759827,0.9643537568225017,True,0
measurement_noise_0.850,measurement_noise,5,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.15,0.15,0.85,0.05,0.2,0.22,0.8,0.06,0.33090045720146755,0.005882382743035495,0.014370580041235703,0.8371003587470812,0.9685734344004134,True,0
measurement_noise_0.850,measurement_noise,5,20,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.15,0.15,0.85,0.05,0.2,0.22,0.8,0.06,0.3327725672500907,0.0059088316535514315,0.014370138777699104,0.8360960180759827,0.9643537568225017,True,0
measurement_noise_0.850,measurement_noise,5,20,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.15,0.15,0.85,0.05,0.2,0.22,0.8,0.06,0.3327725672500907,0.0059088316535514315,0.014370138777699104,0.8360960180759827,0.9643537568225017,True,0
measurement_noise_0.850,measurement_noise,6,5,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.34599241608795483,0.007468489588106533,0.004978210841531494,0.8496648406601771,0.8925850091576628,True,0
measurement_noise_0.850,measurement_noise,6,5,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.34839620516830244,0.007452647716834261,0.004692668062928229,0.8494787527211777,0.8879362312941443,True,0
measurement_noise_0.850,measurement_noise,6,5,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.0,0.2,1.0,0.0,0.2,0.22,0.8,0.06,0.34839620516830244,0.007452647716834261,0.004692668062928229,0.8494787527211777,0.8879362312941443,True,0
measurement_noise_0.850,measurement_noise,6,10,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.1,0.2,0.9,0.0,0.2,0.22,0.8,0.06,0.34599241608795483,0.007468489588106533,0.004978210841531494,0.8496648406601771,0.8925850091576628,True,0
measurement_noise_0.850,measurement_noise,6,10,reference_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.2,0.9,0.0,0.2,0.22,0.8,0.06,0.34839620516830244,0.007452647716834261,0.004692668062928229,0.8494787527211777,0.8879362312941443,True,0
measurement_noise_0.850,measurement_noise,6,10,inferred_failure_aware,coverage_wait,coverage_wait,True,1.0,1.1,False,False,0.1,0.2,0.9,0.0,0.2,0.22,0.8,0.06,0.34839620516830244,0.007452647716834261,0.004692668062928229,0.8494787527211777,0.8879362312941443,True,0
measurement_noise_0.850,measurement_noise,6,20,baseline,normal,coverage_wait,False,1.0,1.0,True,True,0.15,0.2,0.85,0.0,0.2,0.22,0.8,0.06,0.34599241608795483,0.007468489588106533,0.004978210841531494,0.8496648406601771,0.8925850091576628,True,0
