model,held_out_seed,test_events,test_harmful,test_beneficial,balanced_accuracy,harmful_recall,harmful_precision,beneficial_specificity,roc_auc
predicted_loss_spread,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
predicted_loss_spread,44002,5,0,5,nan,0.0,0.0,0.6,nan
predicted_loss_spread,44003,9,4,5,0.525,0.25,0.5,0.8,0.6500000000000001
predicted_loss_spread,44004,12,4,8,0.5625,0.5,0.4,0.625,0.4375
predicted_loss_spread,44005,14,1,13,0.9230769230769231,1.0,0.3333333333333333,0.8461538461538461,1.0
predicted_loss_spread,44006,6,2,4,1.0,1.0,1.0,1.0,1.0
predicted_loss_spread,44007,5,2,3,1.0,1.0,1.0,1.0,1.0
predicted_loss_spread,44008,3,1,2,1.0,1.0,1.0,1.0,1.0
predicted_loss_spread,44010,1,0,1,nan,0.0,0.0,0.0,nan
floor_plus_spread,44001,10,1,9,0.7222222222222222,1.0,0.16666666666666666,0.4444444444444444,1.0
floor_plus_spread,44002,5,0,5,nan,0.0,0.0,0.4,nan
floor_plus_spread,44003,9,4,5,0.625,0.25,1.0,1.0,0.75
floor_plus_spread,44004,12,4,8,0.5625,0.5,0.4,0.625,0.5
floor_plus_spread,44005,14,1,13,0.8846153846153846,1.0,0.25,0.7692307692307693,0.7692307692307692
floor_plus_spread,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
floor_plus_spread,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
floor_plus_spread,44008,3,1,2,0.75,1.0,0.5,0.5,1.0
floor_plus_spread,44010,1,0,1,nan,0.0,0.0,1.0,nan
floor_plus_action_loss,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,0.8888888888888888
floor_plus_action_loss,44002,5,0,5,nan,0.0,0.0,0.4,nan
floor_plus_action_loss,44003,9,4,5,0.75,0.5,1.0,1.0,0.8
floor_plus_action_loss,44004,12,4,8,0.625,0.5,0.5,0.75,0.875
floor_plus_action_loss,44005,14,1,13,0.3076923076923077,0.0,0.0,0.6153846153846154,0.6153846153846154
floor_plus_action_loss,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
floor_plus_action_loss,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
floor_plus_action_loss,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
floor_plus_action_loss,44010,1,0,1,nan,0.0,0.0,1.0,nan
surface_compact,44001,10,1,9,0.7777777777777778,1.0,0.2,0.5555555555555556,1.0
surface_compact,44002,5,0,5,nan,0.0,0.0,0.4,nan
surface_compact,44003,9,4,5,0.625,0.25,1.0,1.0,0.75
surface_compact,44004,12,4,8,0.5625,0.5,0.4,0.625,0.5
surface_compact,44005,14,1,13,0.8846153846153846,1.0,0.25,0.7692307692307693,0.7692307692307692
surface_compact,44006,6,2,4,0.875,1.0,0.6666666666666666,0.75,1.0
surface_compact,44007,5,2,3,0.8333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0
surface_compact,44008,3,1,2,0.75,1.0,0.5,0.5,1.0
surface_compact,44010,1,0,1,nan,0.0,0.0,1.0,nan
calibration_compact,44001,10,1,9,1.0,1.0,1.0,1.0,1.0
calibration_compact,44002,5,0,5,nan,0.0,0.0,1.0,nan
calibration_compact,44003,9,4,5,1.0,1.0,1.0,1.0,1.0
calibration_compact,44004,12,4,8,0.9375,1.0,0.8,0.875,0.96875
calibration_compact,44005,14,1,13,0.8846153846153846,1.0,0.25,0.7692307692307693,0.9230769230769231
calibration_compact,44006,6,2,4,1.0,1.0,1.0,1.0,1.0
calibration_compact,44007,5,2,3,1.0,1.0,1.0,1.0,1.0
calibration_compact,44008,3,1,2,0.75,1.0,0.5,0.5,0.5
calibration_compact,44010,1,0,1,nan,0.0,0.0,1.0,nan
