trial,unsafe_selected,total_regret
856,733,41.15381017597572
857,741,41.717463739807286
858,743,41.92375775421822
859,730,40.413770796768894
860,741,41.220934194464604
861,739,41.22091731985542
862,746,42.27913595039018
863,742,41.83483246812115
864,755,42.74214875755061
865,743,41.7484630400299
866,751,42.162105465594585
867,743,42.04779281662804
868,718,39.687733575499195
869,755,41.831822883906
870,746,41.55836249341458
871,740,41.1281817711089
872,720,40.74473543574527
873,719,40.59764005436823
874,726,40.537561630532416
875,750,42.24616129020088
876,732,40.33464036921834
877,751,41.4536802836936
878,728,40.52310830868996
879,762,41.44036505118561
880,738,41.105868954176096
881,739,41.765719675101806
882,746,41.545381744208186
883,744,42.19904500832332
884,731,41.321443894601146
885,755,42.20447805760186
886,765,43.159321486318696
887,727,40.781271225837585
888,736,41.466715978080366
889,712,39.84074716347125
890,752,41.96076731596087
891,731,41.35608062630079
892,738,40.96837047110862
893,731,40.850644940251726
894,772,43.20250783703103
895,778,43.741919994074365
896,769,43.1638702880254
897,736,41.72742708403461
898,730,40.06038767305877
899,755,42.26561309871966
900,724,40.740090484619586
901,736,40.96552993489816
902,764,43.19865777666176
903,758,42.489591829480254
904,723,40.23637600624443
905,768,43.674145459583414
906,744,41.361488273127804
907,761,43.06746877022652
908,734,40.75833647699977
909,726,40.031164717975344
910,755,41.82530869152013
911,736,41.20040855878436
912,771,43.49252111339584
913,745,41.686650041258844
914,739,41.805675943259146
915,768,43.74709343058517
916,754,41.89906946370578
917,738,41.224188676445515
918,727,40.094369573121924
919,750,41.79549073012271
920,732,41.20715759393908
921,744,41.344180899012045
922,727,40.20824461685689
923,777,42.74205205885253
924,735,41.36513909435331
925,721,40.985939122086144
926,729,40.55753428014818
927,748,41.63391496451327
928,745,42.455231284297795
929,761,43.21416534194292
930,719,39.22501225455293
931,750,41.95336876958263
932,727,40.87669445450037
933,757,42.03770391335234
934,745,41.982229364409314
935,717,39.93397253238157
936,739,42.150378491512676
937,734,40.56211545627469
938,725,41.22239327870368
939,727,40.39130286981584
940,759,41.38698704709596
941,748,41.2964189020592
942,746,42.01702330814099
943,731,40.47570328111504
944,732,41.09370802803854
945,752,42.86609815954339
946,733,40.20417366061417
947,733,41.406854240406766
948,750,41.60229963179705
949,753,41.12811970109746
950,718,40.476953772228455
951,751,42.07447508526563
952,729,40.56015040179422
953,731,41.308245132913264
954,712,39.87675209427092
955,746,40.82021749879801
956,735,40.89822970477453
957,737,41.24401591200939
958,740,42.03546552620739
959,752,42.26513461423086
960,757,42.08155741258263
961,753,41.947854582573854
962,720,40.30417622636934
963,729,40.406904221583076
964,749,41.33919431199046
965,736,40.75518845607795
966,756,41.785705861836234
967,728,40.7557596371654
968,719,39.74878824516489
969,739,41.368169918283776
970,748,41.05927697707234
971,725,40.81359308360517
972,719,40.11412152349119
973,729,40.984540931670544
974,752,42.088906911046955
975,744,40.92471927853662
976,744,41.90409387626847
977,739,41.279976820915664
978,727,40.860326719472205
979,744,40.82721483954021
980,749,42.13535919792089
981,746,41.597493492504036
982,742,40.58403573858605
983,754,41.78409982790034
984,744,41.84816062393369
985,732,40.63828790941516
986,767,43.0996696239717
987,755,41.22677999252837
988,735,41.8649490677494
989,733,41.481813020906934
990,740,41.013643048072396
991,758,42.83755466303396
992,732,40.58780362992535
993,760,41.95401139703773
994,739,41.72849014897121
995,762,42.23251354364185
996,735,41.3570895456485
997,741,41.568897691702055
998,741,41.215657942645215
999,726,41.09924874651528
1000,752,41.53775765892806
1001,736,41.19532175909338
1002,747,41.357271534906445
1003,735,41.233214665638904
1004,732,40.98431640748373
1005,733,40.27663354478758
1006,765,43.62356975067381
1007,737,41.24565471779002
1008,738,40.510259801970776
1009,739,41.4474612781524
1010,738,41.04426714172923
1011,734,41.949883295174146
1012,739,41.310432757238125
1013,757,42.525243547074496
1014,740,40.678847752866375
1015,736,40.71969345351446
1016,746,41.11969837352652
1017,743,40.998887854010604
1018,734,40.207510697377145
1019,737,41.44589098923071
1020,723,39.94933843805283
1021,769,42.87848174246087
1022,732,40.5801506258137
1023,742,40.716556503701945
